0:2:41|0:2:45|Everyone looked disappointed, except for one person who couldn't stop laughing.
0:3:19|0:3:26|The female tourist put the gnawed chicken wing back, while one of the tourists laughed happily beside her.
0:4:12|0:4:38|A tattered wooden door was opened, and everyone curiously gathered around, stepping into the room one by one. In a bathtub filled with water floated some green plants. People gradually approached the bathtub and then saw a person with golden hair gradually floating up from the bottom of the tub. Upon closer inspection, it turned out to be the curator who had just dressed up as a mermaid, sitting up from the bathtub.
0:4:38|0:4:49|Tourists, with terrified expressions, all leaned back in unison. [Liu Xuan], with exaggerated golden hair on top of his head and wearing a cheap fake fishtail, sat by the bathtub striking a seductive pose.
0:4:52|0:5:4|A tourist looked at the curator dressed as a mermaid and laughed so hard that his heart condition acted up. The tourists looked speechlessly at the fake mermaid in the bathtub.
0:5:28|0:5:38|The scene shifts to an auction, where everyone is bidding for the Qingluo Bay. People are raising their paddles one after another, and the auction price keeps rising.
0:6:14|0:6:33|A luxurious red sports car is driving on an empty road, then pulls into a round mansion. The car drifts to a stop in the courtyard, and a sexy woman with a voluptuous figure and red high heels steps out of the car as the black-clad bodyguards open the door for her.
0:6:33|0:6:40|This beauty is the famous female tycoon [Li Ruolan], followed by a group of bodyguards running ahead to clear the way for a red luxury car.
0:6:40|0:6:57|A black luxury car slowly drove into the courtyard, with the guards quickly splitting into two rows and standing in position as the car doors opened. [Li Ruolan]'s father, Fourth Master, stepped out of the car with a smile on his face, followed by a guard who whistled, prompting the rest of the guards to form a circle as instructed.
0:6:57|0:7:13|Zheng Zong, dressed in leopard print attire, descends from the sky with a flying apparatus on his back. Several bodyguards quickly surround him to help him unload his equipment. The mansion is brightly lit, with maids each performing their duties in their respective positions. A group of wealthy elites stride down the steps together, exuding an imposing aura.
0:7:14|0:7:27|The owner of the mansion, [Liu Xuan], stood inside the house, watching the wealthy guests approaching closer and closer. He took a few steps forward, smiled, opened his arms, and welcomed everyone who came to visit.
0:10:11|0:10:28|Liu Xuan handed the stamped paper to General Zheng, Brother Ba and Li Ruolan widened their eyes at the same time, but Liu Xuan remained indifferent. After General Zheng put on his glasses and finished reading, he forcefully tossed the approval to the side.
0:10:54|0:11:6|[Liu Xuan] opened a bottle of champagne, and the cork suddenly popped onto the switch of Director Zheng's aircraft. Director Zheng's body then flew off the ground towards the second floor, hit the wall, and fell to the ground again.
0:11:37|0:12:5|Liu Xuan pretended to shake hands with the Fourth Prince, dodged his hand, and then patted him on the shoulder. The Fourth Prince stood there stunned with his hand still outstretched. The scene then shifted to the party by the pool, where many guests gathered. Several beautiful women dressed as mermaids danced to the music. Suddenly, Li Ruolan's appearance caught everyone's attention, and all the men at the scene flocked to her.
0:12:5|0:12:28|However, Li Ruolan ignored them and walked directly towards Liu Xuan. At that moment, Liu Xuan was surrounded by many beautiful women in his convertible. Li Ruolan stopped by Liu Xuan's luxury car, took off her watch, and threw it into the swimming pool in front of everyone.
0:12:36|0:12:43|The beauties immediately got up and jumped out of the pool to search for the watch.
0:13:40|0:13:49|[Liu Xuan] looked at [Li Ruolan] in front of him, pulled her into his arms, gazed at her for a moment, and then kissed her on the lips.
0:13:54|0:14:10|[Liu Xuan] and [Li Ruolan] reached an agreement, preparing to kiss again. [Shan Shan], with heavy makeup on, suddenly interrupted the two who were about to kiss. The bodyguard pushed [Shan Shan] away and then threw her to the ground with a shoulder throw.
0:14:22|0:14:26|[Li Ruolan] has no lingering feelings for [Liu Xuan] and walks away without looking back.
0:15:2|0:15:26|[Liu Xuan] turned around and saw [Shan Shan] wearing an extravagant fake fishtail, bouncing step by step outward. The scene shifted from the party to the street, with [Shan Shan] carrying a large backpack and skateboarding on the road. She skated to a bustling food street, placed her backpack and skateboard on a bucket at a roast chicken shop, and stared intently at the chef holding the just-out-of-the-oven roast chicken.
0:15:30|0:15:36|[Shan Shan] personally cooked the fairy chicken in the stove, then sat at the table and ate heartily.
0:15:42|0:16:4|[Shan Shan] rode her skateboard alone on the road by the sea, as the sky grew brighter. She stopped, jumped off the skateboard, took out a yogurt drink, took a few sips, and looked up at the house on the hilltop. The small house was empty. [Shan Shan] rode her skateboard into the house, bypassed the furniture, and then lifted the iron plate on the floor.
