0:0:53|0:0:59|After hearing this, [Jiang Haolong] reached out and took the bag of clothes from [Mandy]'s hand.
0:1:5|0:1:17|Suddenly a minibus crashed into [Jiang Haolong], [Mandy] was so scared that she covered her ears with both hands, her pupils dilated.
0:1:26|0:1:53|[Mandy] suddenly paused for a moment, then continued cutting vegetables. [Chen Qiang] glanced at her, still standing by the window hanging clothes. Suddenly losing balance, [Chen Qiang] tumbled out of the window and into a massage parlor. [Mandy] and Jimmy were sitting side by side on the sofa. [Mandy] turned her head, lowered her eyes, and thought for a moment.
0:2:5|0:2:10|His head tilted to one side, body unmoving, [Mandy] looked at him with a puzzled expression, reaching out to push him again, but he remained completely still.
0:3:18|0:3:30|[ Yu Chunjiao ] stood up, took a tissue in one hand, picked up the phone on the coffee table and started flipping through photos. She handed the phone with the photos to [ Zhang Zhiming ], who was drinking watermelon juice.
0:3:51|0:4:9|Ignoring [Zhang Zhiming], she walked away. Amidst their argument, the film title "Zhang Zhiming and Yu Chunjiao" appeared on the screen, with the sun shining brightly and the wind changing, the setting sun appeared exceptionally lonely against the backdrop of tall buildings.
0:4:10|0:4:34|On the night of July 27, 2009, the bustling streets of Hong Kong were brightly lit. [Zhang Zhiming], Gong Gong, Da Ge, and [Paul] sat in the bar. Paul took out his phone and played a recording. He closed his eyes, took a deep breath, and everyone looked at the phone, then turned to look at his sinister expression. Zhang Zhiming joked:
0:6:2|0:6:18|At this moment, with the street brightly lit and vehicles constantly passing by, the family of Yu Chunjiao sits in Joyful Restaurant. Yu Chunjiao looks embarrassed, while her mother, sitting in the middle, keeps yawning.
0:6:30|0:7:1|[Zhang Zhiming] returned home late at night, as soon as he opened the door, he called out to [Yu Chunjiao], but she didn't respond. He turned on the light and changed his shoes before heading towards the bedroom. Glancing at the living room on his way to the bedroom, he suddenly stopped and slowly leaned forward. He saw a birthday cake in a box on the table, smacked his lips, and casually put down his backpack. Meanwhile, [Yu Chunjiao] was focused on washing dishes in the kitchen. [Zhang Zhiming] cautiously walked up behind [Yu Chunjiao], who had just put down a washed dish. [Zhang Zhiming] gazed at her back.
0:7:4|0:7:20|[ Yu Chunjiao ] pouted while tidying up the dishes, [ Zhang Zhiming ] remained silent, his hands in his pockets, looking at the floor.
0:7:44|0:7:50|After she finished speaking, she turned around and picked up the bowls in the washbasin and placed them on the cupboard.
0:8:12|0:8:19|[Yu Chunjiao] looked up at [Zhang Zhiming] for a moment, [Zhang Zhiming] lowered his head and met her gaze, then [Yu Chunjiao] looked away.
