0:4:0|0:4:7|[Li Tianran] and senior sister saw [Zhu Qianlong] take out a land deed from his bosom,
0:4:37|0:4:49|[Zhu Qianlong] bowed with his fists, then suddenly drew his gun and shot the master in the forehead. With another shot, the master fell to the ground.
0:4:58|0:5:20|[Zhu Qianlong] approached [Li Tianran], who was so scared that he knelt on the ground. The gun slowly approached, but [Li Tianran] dodged four shots in a row. As he chased [Li Tianran] out of the house, [Li Tianran] was shot and fell to the ground.
0:5:27|0:5:41|The raging fire immediately ignited on the body, engulfing the house. Under the cover of night, the two escaped from the manor. Two figures swiftly ran down the hillside, and the two quickly got into the car and drove away into the desolate snowy field.
0:5:43|0:6:3|Unexpectedly, another car turned at the intersection, and the two cars nearly collided. The [Doctor Hendler] in the car cursed at their driving skills. Turning back, [Doctor Hendler] noticed the fire on the mountaintop. He slammed on the brakes and quickly looked over, only to see a figure with fire behind them, shouting as they ran down the hillside from top to bottom.
0:6:4|0:6:11|Doctor Hendler looked in horror at the newcomer, the miraculously surviving Li Tianran, who was clinging to the front of the car and screaming in agony.
0:6:15|0:6:27|The sound of four gunshots introduces the title: "Evil Cannot Overcome Righteousness". American doctor [Doctor Hendler] adopted [Li Tianran] and kept him in San Francisco to protect him. Fifteen years later,
0:6:27|0:6:49|[Li Tianran] practices shooting in the jungle with a gun in each hand. On the training ground, [Li Tianran] wields a knife to chop off wooden stakes, runs long distances on the road. Through repeated shooting and chopping, day after day, he hones his skills, developing strong arms, agile movements, and precise marksmanship with unwavering perseverance.
0:6:49|0:6:55|In the jungle, Li Tianran effortlessly runs across the log, then steps forward to the obstacle net and climbs up with all his strength.
0:6:59|0:7:6|The car brought him to the manor, in the office, the chief approved Li Tianran's application, Li Tianran was very excited, he could finally return to Beijing.
0:8:37|0:8:45|[Li Tianran] imitated it once and asked how to continue the next line. The officer patted his forehead twice with the back of his hand, and [Li Tianran] followed suit.
0:8:54|0:9:9|The sound of the train whistle pierced the sky, the cold of the snow-covered Beiping was intense, and the branches on both sides of the railway were covered with ice chips. The eaves of the drum tower were also covered with thick snow, everything looked like a silver world.
0:9:9|0:9:24|On the train, Li Tianran looked at the appearance of Beiping like this, expressing a deep longing for his hometown as an outsider. Will the justice that Li Tianran's heart calls for be able to prevail as the land soon ignites with war?
0:9:24|0:9:48|The train slowed down, its front releasing hot steam, attempting to melt the chill in the air over Beiping. A figure walked against the tracks, a middle-aged man in a hat and a neat coat, gazing at the train's windows as he approached. [Li Tianran] carried two large suitcases to greet his father, the middle-aged man who was Doctor Hendler.
0:11:45|0:11:57|The car slowly stopped at the door, [Lan Qingfeng] was pushing a bicycle out, greeted the two, the father closed the car door, [Lan Qingfeng] pushed the bike closer to [Li Tianran],
0:12:37|0:12:45|[Lan Qingfeng] hummed a song as he rode away on his bicycle.
0:13:47|0:14:0|[Zhu Qianlong] and [Lan Qingfeng] stepped back together, with [Lan Qingfeng] signaling that they could begin. The two of them knelt down slowly, then prostrated themselves on the ground, knocking their heads. The portrait of Zhu Yuanzhang on the wall was gently shaken by the knocking, but the two of them showed no intention of stopping.
0:14:1|0:14:20|After performing the kowtow three times, the two finally stood up. [Zhu Qianlong] rubbed his eyes, tears seemed to be hanging at the corners of his eyes. He walked slowly towards the portrait, and the [Zhu Qianlong] next to the portrait mimicked the same posture.
0:16:29|0:16:41|[Lan Qingfeng] took a puff of his cigar, smiling as he looked at [Zhu Qianlong]. [Zhu Qianlong]'s expression changed immediately, realizing that the other party was not joking.
0:17:13|0:17:19|Toasting joyfully, the two clinked their glasses.
0:19:32|0:19:42|Approaching, the subordinate whispered a few words, [Zhu Qianlong] had just picked up a dumpling, but then he put it back on the plate.
0:21:35|0:21:58|[Li Tianran] stared into his father's eyes, and his father met his gaze without flinching. The car drove out of the back door of the [Lan family] at night, and [Lan Qingfeng] at the door smiled as [Zhu Qianlong]'s car left. Not far from the departure of the car, a figure leaped onto the roof with a push of his hands, quietly following the car on the roof without anyone noticing. Meanwhile, [Doctor Hendler] paid a visit to [Lan Qingfeng].
0:22:10|0:22:32|Cars drove by on the street, while a figure chased relentlessly on the snow-covered eaves. The agile figure was none other than Li Tianran, who was eager for revenge. The car turned into an alley, Li Tianran swiftly turned and leaped over the roof, while on the other side Doctor Hendler was visibly emotional.
0:23:7|0:23:25|On the roof, [Li Tianran] leaped into the courtyard with arms outstretched. After entering the house and closing the door with a muttered curse, he turned on the light, took off his mask, and leaned back on the bed, looking at himself in the mirror. Breathing heavily, [Li Tianran] took a nut from the small table.
0:26:2|0:26:16|[Li Tianran] took the opportunity to blend in with the doctors being driven out and left. He walked through the corridor, turned onto a side path, went upstairs, passed through several room doors, and arrived in front of the mirror in the injection room. He took off his mask and washed his face.
0:26:20|0:26:42|Suddenly, the sound of the door opening was heard, and [Li Tianran] immediately became alert. He gently turned off the tap and walked slowly towards it. As he reached the curtain, a well-dressed woman's figure was reflected in it. Seeing this, [Li Tianran] slowly put on his mask. Unexpectedly, the curtain was suddenly pulled open by the other party, revealing a charming beauty who claimed to be looking for [Doctor Hendler].
0:27:14|0:27:27|[Li Tianran] walked out of the curtain in a daze, and a beautiful woman in a cheongsam was splitting her legs apart. As [Li Tianran] looked over, lace panties were hanging on the screen. He lifted the cheongsam and used alcohol cotton to wipe the woman's crotch.
0:27:44|0:27:57|Tang Fengyi pushed away Zhu Qianlong, who wanted to kiss her buttocks. Zhu Qianlong left the room, and at that moment Li Tianran walked out from behind the curtain with a syringe in hand. Li Tianran readily agreed to his request.
0:27:58|0:28:5|After a simple disinfection, the needle was immediately inserted, and as the syringe advanced, [Tang Fengyi] showed a look of enjoyment.
0:28:17|0:28:22|On the other side, in the hospital, [Tang Fengyi] was flirting with [Li Tianran] joyfully.
0:28:32|0:28:45|Later, he took out a tip and a business card, letting [Li Tianran] choose. After a moment of hesitation, [Li Tianran] took the tip. [Tang Fengyi], displeased, shot him a glance, then picked up her coat from the hanger and walked out straight. [Li Tianran] turned around, and the underwear left on the screen swayed in the wind.
0:28:47|0:28:51|[Li Tianran] hurried to the window and watched as the car drove out of the hospital below.
0:28:52|0:29:1|He guessed that the person who had just left the car was most likely [Zhu Qianlong]. [Li Tianran] put on his coat, walked out, and quickly went upstairs. He jumped from the window of the stairs to the roof.
0:29:1|0:29:26|He used both hands and feet to climb quickly to the highest point of the roof, and with a push of his arms, he vaulted over. Then he hurried to a poplar tree and realized he had to cross the road to catch up. So, [Li Tianran] stepped on the power line and slowly passed over the road. In front of him was a vast expanse of roofs, densely packed and orderly. For [Li Tianran], who had trained for many years, it was like walking on flat ground. His figure moved lightly and swiftly.
0:29:26|0:29:33|Li Tianran easily crossed over the eaves one by one, swiftly climbed up the beams, as if this place was his home turf.
0:29:33|0:29:49|Outside the city, the car raced away, kicking up clouds of yellow dust. [Li Tianran] was stopped by the moat, so he had to detour through the woods to catch up. By the time the car was about to reach its destination, [Zhu Qianlong] walked into the execution ground.
0:30:13|0:30:21|[Zhu Qianlong] shot and killed Chinese people, but he gained the support and admiration of the people, confidently waving as he climbed onto the car.
0:33:42|0:34:10|On this sunny day, Li Tianran stepped out of the house in the early morning, walking through the streets and alleys bathed in sunlight. The cold winter had already passed, with the sound of cicadas everywhere, and the bustling alleys of Beiping were filled with constant shouts of vendors. Li Tianran dodged the cars and crossed to the other side of the road. He jumped up and burst a pig bladder, then approached a skinny man.
0:34:30|0:34:50|[Li Tianran] finally caught up, but the smoker had already run away for a while. [Li Tianran] trained day and night to improve his running, naturally surpassing the smoker. The smoker often hung around this area, using his familiarity with the environment to navigate alleys and streets. [Li Tianran] relentlessly pursued him to the front of a bookstore, where the smoker was injecting himself with drugs.
