0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:4:34|0:4:46|The agents approached to inspect the food. When they saw the window glass shattered, they immediately aimed their guns. After the agents approached and confirmed that there was nothing unusual, they relaxed their guard.
0:4:48|0:4:52|He didn't check the food and approved it to be served, the steward took it away and walked up.
0:4:57|0:5:3|Mr. Fan glanced at the steamed chicken.
0:5:4|0:5:29|As soon as the words fell, the stewardess opened the steamer and pulled out a gun, shooting Ye Jianbo dead with two shots. The spies immediately opened fire at him, only to see him fleeing in panic towards the door, and just as he was about to reach the door, he was shot in the leg. The spies took the opportunity to chase after him, while Mr. Fan sat at the table, looking in horror at Ye Jianbo's body.
0:5:29|0:5:36|More and more news about assassinations and attacks are appearing in the newspapers. The headline reads "Ye Jianbo Assassinated".
0:5:36|0:5:52|The Tenth Army of the Central China Front, led by Colonel Kusunoki, was poisoned. The Thirty-Fourth Division, led by General Gongben Musashi, was ambushed. Even the Epidemic Prevention Water Supply Research Base of the Kwantung Army was attacked. The Central China dispatched military transport vehicles were bombed. Colonel Tanaka Shigemitsu of the Fifteenth Division was ambushed.
0:5:52|0:6:8|A series of reports, a stack of newspapers, have exposed all the negative news about the puppet government and the Japanese army, casting a terrifying atmosphere. Even within their ranks, more and more military and political leaders are also filled with fear and unease, unable to find peace.
0:6:10|0:6:25|In the interrogation room of the Japanese East China Special Police Branch that day, the female assassin sat on the ground, the blood on her legs had just dried up. Beside her, the head of the secret service [Wang Tianxiang] sniffed a brush. The female assassin looked at him in extreme fear.
0:6:37|0:7:3|Wang Tianxiang brushed the spices on the female assassin's chest. The female assassin looked at him in horror, but had no intention of betraying the organization. The chief of the secret service didn't want to waste time, so he picked up the spices and sprinkled them on the chest of the female agent. Then, he got up and walked to the pool to wash his hands. His subordinate turned on the faucet for him.
0:7:8|0:7:12|The hunting dog barks wildly. The female spy is extremely nervous.
0:7:21|0:7:29|The hunting dog gnawed on the part smeared with spices. The head of the Imperial Army's secret service, [Wu Tian], arrived at the dungeon. [Wu Tian] slowed down and turned around.
0:7:45|0:8:1|Uncle Liu bowed and took his orders. Finally, he followed [Wang Tianxiang] to the interrogation room. Meanwhile, back at the headquarters, [Wu Tian] was being questioned by a major general. The task of destroying the assassination organization had been handed over to the anti-bandit headquarters of the Wang government.
0:8:21|0:8:31|General [Wu Tian] harshly mocked his unreliable intuition. At this point, [Wu Tian] could no longer argue back, as intuition without any evidence is hard to convince others.
0:8:32|0:8:37|He stared at the general, took two steps back, and suddenly knelt down in front of the general.
0:8:38|0:9:6|The lieutenant general was slightly stunned. [Wu Tian] placed his hands on his thighs and made his final request. After speaking, [Wu Tian] bowed his head, and the lieutenant general remained silent. On the other side, the old man known as Uncle Six walked out of the military police department escorted by Japanese military officers. As they parted ways, they exchanged greetings. Inside the interrogation room,
0:9:6|0:9:26|The spy was cleaning the iron frame. The female assassin lay on the ground, with a horrifying look of death. Silver needles were inserted into her temples and eye corners, and there were bloodstains on her face and chest. [Wu Tian] stood by the window in the office, as [Wang Tianxiang] approached and handed over a tattered notebook. Ignoring her, [Wu Tian] turned back to his chair.
0:9:27|0:9:31|[Wang Tianxiang] was a little unhappy, holding a notebook and following behind.
0:9:42|0:10:4|[Wu Tian] lowered his head and pondered for a moment while leaning on the chair. He lightly tapped the table with his fingers, and [Wang Tianxiang] understood, putting down the small notebook. [Wu Tian] put on white gloves with both hands and gently turned over the tattered notebook's cover page.
