0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:3:10|0:3:21|[Jing Ruyi] disdainfully glanced at [Wu Fuchun], ignoring his outstretched hand. Seeing this, [Wu Fuchun] awkwardly withdrew his hand, leaning back in his chair, staring thoughtfully at [Jing Ruyi].
0:3:55|0:3:59|[Wu Fuchun] smugly looked at [Jing Ruyi], then followed her gaze to the window.
0:4:1|0:4:9|[Wu Fuchun] quickly took out a DSLR camera from his bag and started snapping away at the penguins outside the window.
0:4:35|0:4:42|At this moment, a thick fog rolled in, reducing visibility. The control tower called out to the pilots, warning them of a massive cyclone forming ahead.
0:5:4|0:5:13|The plane jolted heavily several times again, and [Wu Fuchun] immediately dropped the camera, hurriedly fastening the seat belt in a fluster. The plane slowly entered a dark cloud layer, with a dark and oppressive cloud inside, occasionally with lightning flashing across.
0:5:31|0:5:39|[Jing Ruyi] and Natasha ignored him, holding each other's hands tightly. Seeing this, [Wu Fuchun] became even more anxious, tightening the seatbelt as much as possible. At this moment, the control tower issued another warning.
0:5:42|0:6:1|The pilot flew the plane past lightning, with extremely low visibility in the foggy clouds. Relying on experience, the pilot continued to fly forward. [Wu Fuchun] looked out the window with a nearly tearful expression, and only after narrowly avoiding a mountain did the pilot have time to contact the control tower. At this moment
0:6:1|0:6:8|The plane has encountered severe icing and needs to make an emergency landing. The cockpit instruments are flashing uncontrollably, causing [Wu Fuchun] to panic.
0:6:10|0:6:21|The pilot tried his best to control the plane, but couldn't stop the turbulence. The overhead bins shook more and more violently, and suddenly the plane seemed to be suspended in mid-air as if someone had pressed the pause button.
0:6:21|0:6:39|Natasha then fell uncontrollably, like a dry leaf being blown by the wind. At this moment, Wu Fuchun and [Jing Ruyi] screamed in confusion, while [Jing Ruyi] held onto the handrail, closed her eyes tightly, her face pale. The plane continued to flip uncontrollably, making everyone extremely uncomfortable.
0:6:39|0:6:58|The suitcases on the luggage rack also fell down one after another, with the items inside scattered all over the cabin. What's even more dangerous is a thermos cup flew up and hit the pilot on the head. The pilot fell straight onto the control stick, and the plane headed straight towards the mountain ahead, scraping the belly of the aircraft as it rushed up the mountainside.
0:6:58|0:7:10|The left engine hit a rock, instantly igniting a fire, and the propeller, due to inertia, swung back again, directly stirring into the cabin. The rapidly rotating propeller blade brushed against the hem of [Jing Ruyi]'s clothes.
0:7:10|0:7:28|In an instant, her glasses were shattered, causing a loss of cabin pressure and sending a large number of items flying out of the cabin, including the crucial latitude and longitude detector. The plane is now completely out of control, intentionally skimming the mountainside and sliding down, flipping and crashing, with the pilot and seat scraping out.
0:7:28|0:7:37|After skimming over the mountain, the plane did not stop, but continued to dive forward along its inertia, crashing onto the ice surface.
0:7:39|0:7:48|At this moment, the three people in the cabin are unconscious, their fate unknown. The film begins with this plane crash.
0:7:52|0:8:9|After an unknown period of time, [Wu Fuchun] finally opened his eyes. His mind was still spinning, and for a moment he couldn't figure out where he was. He could see half of his head buried in the snow. After a moment of daze, he finally turned his eyes and struggled to get up.
0:8:9|0:8:27|Originally, [Wu Fuchun] was knocked down with a chair in a snowy field. He quickly unfastened the safety buckle around his waist, then fell off the chair. [Wu Fuchun] blinked hard, trying to clear his head a bit, then stood up. At this moment, there was nothing around except for vast glaciers and the chair.
0:8:27|0:8:38|He took a few steps, holding his neck, before weakly collapsing on the ground. With a dazed look in his eyes, he inadvertently turned his head to the side, only to be stunned by the sight before him.
0:8:38|0:8:53|Only to see the wreckage of the plane everywhere, scattered all over the ground, the tail of the plane was lifted up under the huge impact, only the cabin barely remained intact. [Wu Fuchun] looked fearfully at everything in front of him, a little hesitant to face it.
0:8:53|0:9:12|Suddenly he panicked, touching his face, then looking at his hands and feeling his head intact. Immediately after, [Wu Fuchun] pinched his thighs, calves, and knees. Confirming that he was not injured, the sudden strange noise made [Wu Fuchun] look back at the wreckage of the plane.
0:9:13|0:9:35|He instantly welled up with tears, pacing aimlessly in place. At this moment, [Jing Ruyi] was still lying in the cabin of the plane, her head hitting a cabinet. Blood kept flowing down her forehead, and after a while, she slowly opened her eyes. Suddenly, she felt liquid dripping from above her head, and she sluggishly lifted her head.
0:9:35|0:9:46|Natascha, sitting next to her, was hanging upside down with blood continuously flowing from her mouth. [Jing Ruyi] was too preoccupied to care about Natascha at the moment, wiping the blood off her face.
0:9:46|0:10:4|Struggling to sit up with her upper body, she found her legs trapped under a huge steel plate. [Jing Ruyi] was both angry and frustrated as she pushed with all her might against the steel plate on her leg, but it didn't budge an inch despite her efforts.
0:10:5|0:10:21|At this moment, Natasha finally regained consciousness, furrowing her brow and opening her eyes. [Jing Ruyi] frantically tapped on the airplane window to seek help, and [Wu Fuchun] rushed into the cabin upon hearing the noise, only to be shocked by the scene before him.
0:10:22|0:10:28|[Wu Fuchun] carefully looked at the position of the iron plate on the ground, then glanced at the weakly breathing Natasha.
