0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside the house.
0:2:21|0:2:34|Looking at the calm lake, the man looked up at the sky and lit a cigarette. With this, the movie "Extraordinary Mission" officially begins. The scene shifts, and he is washing his face, then hears a noise.
0:2:36|0:2:51|His name is [Lin Kai], who is now staring at a dirty mirror, gazing at himself. In the dimly lit room, the man with a beard took out several packages of something resembling flour from the cabinet, and handed the list in his hand to the young man opposite him.
0:2:52|0:3:7|The young man quickly put away the powdery small package and paper into his backpack. Then he bowed to the bearded man and turned around to leave the room. It seems that he is one of the bearded man's henchmen.
0:3:17|0:3:24|Lin Kai's henchman, carrying a bag, walked through the narrow passage towards them.
0:3:42|0:3:56|[Lin Kai] took the list from Bin Ge's hands. Seeing [Lin Kai] putting the powdery substance into the backpack, [Li Jianguo] ordered.
0:3:58|0:4:8|[Li Jianguo] smiled and watched as the others left, then walked over to [Lin Kai] who was packing up the trunk. After speaking, [Lin Kai] walked around to the driver's seat and got into the car.
0:4:10|0:4:18|On the other side, the bearded man sat on the boss chair, took out a phone from his pocket, put it to his ear, and spoke softly.
0:4:19|0:4:33|On the rugged and dark mountain road, only [Li Jianguo] and [Lin Kai]'s cars were driving one after the other. [Li Jianguo] was smoking, casually glanced at the rearview mirror, then reached out of the window to signal to [Lin Kai] to split up at the fork in the road ahead.
0:4:34|0:4:43|So [Lin Kai] made a sharp turn and headed downhill. [Li Jianguo] glanced at the rearview mirror, took a puff of smoke, and said.
0:5:3|0:5:17|Glancing at the rearview mirror, [Lin Kai] suddenly turned around and saw a police car approaching him. About to step on the gas and flee, he noticed a temporary roadblock ahead at the bridge. So he had no choice but to grit his teeth and drive forward.
0:5:33|0:5:42|[Lin Kai] raised his hands, turned around and lay on the car. The police searched him, while others checked the trunk and found a tire.
0:5:44|0:5:50|At this moment, the black bag slipped out, and one of the police officers walked towards [Lin Kai] holding something.
0:5:57|0:6:13|After speaking, the police officer took out handcuffs. At that moment, [Lin Kai] suddenly turned around, swiftly threw a punch, knocking the opponent to the ground. Then he quickly got into the car, smoothly shifted gears, and drifted in place.
0:6:16|0:6:32|[Lin Kai] took advantage of the chaos, pushed open the car door, bent down to pick up the small bag, accelerated to crash through the roadblock, and immediately rushed forward. The police, seeing this, first fired a warning shot, then started chasing in their car. On the narrow and dark mountain road, [Lin Kai] drove while keeping an eye on the rearview mirror.
0:6:32|0:6:49|At this moment, a police car accelerated and arrived on his right side, while another one ruthlessly crashed into the rear of the car. The three cars maintained a sandwiched appearance and sped forward. Suddenly, the police car on the right forcefully rammed to the left, and in an instant, the front of [Lin Kai]'s car was fiercely pushed onto the roadside curb.
0:6:50|0:7:5|The police pursued relentlessly, once again exerting force, and the left side of [Lin Kai]'s car was directly lifted up, resting on the cement guardrail, continuing to move forward. Just as it was about to flip off the cliff, [Lin Kai] forcefully turned the steering wheel to the right, stepped hard on the gas pedal, and broke free from the restraint.
0:7:6|0:7:17|Who knew, just as he entered the curve, his car was rammed on the left side by a police car, and then pushed towards the edge of the road. In the end, [Lin Kai], along with his car, uncontrollably was pushed off the cliff.
0:7:17|0:7:29|After a cloud of dust settled, the night returned to tranquility. Subsequently, several police officers holding flashlights cautiously slid down the hillside and approached the car of [Lin Kai].
0:7:33|0:7:45|The driver's seat was unexpectedly empty. The scene shifts to a dimly lit lumber mill, where two men are standing on the empty ground.
0:7:55|0:8:2|The man with short hair is roaring angrily at the man with a beard.
