0:2:44|0:2:48|Shen Lian felt a tightness in his heart as he watched.
0:2:50|0:3:12|The Tartar refused to give up, urinating towards the bodies of the captives. Holding a bloody knife, the Tartar approached two other captives. [Shen Lian] hesitated behind a huge rock, while Dazi shot an arrow with both hands, hitting the head. Then [Shen Lian] leaped forward and knocked down the Tartar, dodging a kick coming towards him, followed by a vertical strike with a stick.
0:3:12|0:3:23|Shen Lian sneaked behind the Jurchen and executed a reverse throw. As the Jurchen got up, his flying knife was kicked away by Shen Lian's foot. Then, he lunged forward again, stabbing the Jurchen in the heart with a knife. It was only then that the two captives got a clear look at Shen Lian.
0:3:23|0:3:48|He was in the process of cutting open the heart of a Tartar with his knife, when a Tartar emerged from the thick fog with a spear, aiming directly at [Shen Lian]. However, he was knocked down by a prisoner who jumped up, the grieving Tartar reached out to struggle, [Shen Lian] bit off his fingers, and the spear struck the prisoner's head. The Tartar, holding the spear, pressed closer to the fallen prisoner step by step. At a critical moment, [Shen Lian] rushed out with a military knife from the side, stabbing through him. The severely injured Tartar pulled out a dagger from his waist and swung it towards [Shen Lian]'s neck.
0:3:48|0:4:14|[Shen Lian] raised his arm to block, but was overpowered by the strength of the Tartar, the blade pierced into [Shen Lian]'s shoulder. Gritting his teeth, [Shen Lian] turned the blade horizontally, gripping it with both hands and fighting desperately. Blood splattered everywhere for a moment, and [Shen Lian] collapsed on the ground due to exhaustion. The Tartar, however, did not die completely. The other captives on the side were truly frightened. [Shen Lian] used all his strength to pull out the dagger from his shoulder, ignoring the bleeding wound, and first untied the captive next to him.
0:4:14|0:4:23|The hemp rope was easily cut by a military knife, exhausted [Shen Lian] handed the dagger to the captive, who took the knife and stood up to help his colleague untie the ropes.
0:4:40|0:4:57|[Shen Lian] knelt on the ground, holding the wound on his shoulder. The guard with a squinting eye stared at [Shen Lian]. Only then did [Shen Lian] notice him eyeing the water pouch at his waist. He casually took it off and threw it away. Thirsty, he tilted his head back and drank eagerly, even more satisfying than the fine wine.
0:5:0|0:5:23|After quenching his thirst, the guard handed the water bag to his colleague lying on the ground, then turned around and solemnly clasped his hands towards [Shen Lian]. [Shen Lian] returned the gesture, their eyes met, both with a particularly serious expression. The snow continued to fall, yet the sun rose on the horizon, casting a dazzling light on their faces.
0:5:23|0:5:37|[Lu Wenzhao] turned around first and came to the edge of the cliff, looking into the distance at the rising sun. [Shen Lian] followed suit, pausing to look around. As the saying goes, the rising sun breaks through the clouds, and the snow melts away. [Lu Wenzhao] gazed at the millions of rotting corpses.
0:5:53|0:6:2|[Shen Lian] looked at [Lu Wenzhao] and couldn't figure it out for a moment. He turned to look at the endless bodies, his thin and resolute face showing indomitability and arrogance.
0:6:13|0:6:20|Eight years have passed in the blink of an eye. When the dead climbed out of the pile, the once tattered [Shen Lian] is now dressed in the embroidered uniform of the Jin Yiwei.
0:6:20|0:6:40|That night, he brought his men to Ming Xufang in the south of Beijing. In the small Jinling city tower, a big tragedy occurred. [Shen Lian] held a kerosene lamp, looking up and down at the body in front of him. His subordinate holding a torch couldn't help but vomit.
0:7:3|0:7:10|The newcomer was none other than the subordinate he had sent out earlier, [Shen Lian].
0:7:26|0:7:39|The commanding officer here is [Ling Yunkai], the archenemy of [Shen Lian]. [Ling Yunkai] arrives with a large group of soldiers in a menacing manner, and greets them with clasped hands.
0:7:59|0:8:14|[Ling Yunkai] held a small book and, upon hearing that it was a eunuch from the Eastern Depot, quickly stepped forward to inspect. Soon, he recognized the deceased - the eunuch in charge of the seal, which was now lying dead here.
