0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:2:19|0:2:28|[Chun Qin] was quite frightened by this strange occurrence. She quickly placed a whole plate of melons not far from the demon cat, and took the opportunity while it was stretching to make her escape.
0:2:29|0:2:44|Upon seeing [Chun Qin] leave, the talking cat did not chase after her, but remained in a lazy manner. [Chun Qin] was in a panic and hurried to the room on the third floor. Just as she was recalling how the cat could speak human language, suddenly another meow broke her thoughts.
0:2:44|0:2:58|She couldn't care about her fear and hurried to the window to check. Suddenly, the voice of the demon cat came from behind again. [Chun Qin] was startled and turned around abruptly.
0:3:13|0:3:20|The demon cat, despite limping on its left hind leg, effortlessly leaped onto the front window before leaving with a parting remark.
0:3:22|0:3:32|After the demon cat finished speaking, it jumped out of the window. However, [Chun Qin] stood still in place. Suddenly, her eyes flashed, as if they had turned into cat eyes.
0:3:33|0:3:51|Fortunately, [Chun Qin] soon regained consciousness. She peeked out from behind the rockery and, after confirming that the demon cat had left, returned to the lakeside where she had been eating melons earlier. She saw melon peels scattered on the deck, along with a pool of blood. Following the blood trail, she found a fish with its eyeballs eaten.
0:3:51|0:4:0|Struggling desperately on the deck, blood splattered everywhere. She arrived under the pomegranate tree and, following the words of the demon cat, indeed started digging with a hoe.
0:4:1|0:4:8|Under the tree, [Chun Qin] heard her husband returning and hurried forward to greet him. Her husband, [Chen Yunqiao], is the commander of the Jinwu Guard.
0:4:10|0:4:24|She walked arm in arm with her husband and couldn't wait to get back to the room. On the way, she recounted the encounter with the demon cat and the digging for money under the tree from beginning to end. [Chen Yunqiao] found this matter too bizarre, and as soon as he entered the room, he asked [Chun Qin].
0:4:25|0:4:40|[Chun Qin] turned back to look at her husband without saying a word. She slowly opened the door and then lifted a jar from the table, pouring it out. With a clatter, gold coins covered the entire table. [Chen Yunqiao] picked up a gold coin in surprise and looked at [Chun Qin], who was looking at him with a proud expression.
0:4:41|0:4:50|The cawing of crows and the sound of wooden drums intermingled in the air above the Great Wall, entering [Kong Hai]'s ears as he sat in the sedan chair, silently contemplating.
0:4:54|0:5:12|[Kong Hai] is a monk from Japan who has come a long way to lift the curse for the emperor. He has a kind face with a faint smile at the corner of his mouth. It's hard to tell what he is really thinking from his calm expression. At this moment, he is being escorted by the royal guards to the depths of the imperial city.
0:5:12|0:5:20|The sky gradually darkened, bats kept circling low in the sky, and the lanterns under the eaves emitted a faint light.
0:5:29|0:5:48|The attendant [Bai Letian] wrote down on paper the date and purpose of [Kong Hai]'s visit to the palace. Following numerous royal guards, they passed through layers of gates and arrived at the emperor's sleeping chamber. The magnificent hall appeared even more splendid under the flickering candlelight, yet the emperor's wailing echoed in the air, making it particularly desolate.
0:5:48|0:6:1|The guard hurriedly brought [Kong Hai] to the Emperor's bedside. At this moment, the Emperor was lying face up, hands slightly bent in a surrendering posture, with no trace of blood on his face. His eyes were staring straight up, breathing heavily.
0:6:2|0:6:8|[Master Konghai] noticed the situation and asked the young minister standing beside him.
0:6:12|0:6:20|[Master Konghai] listened and vaguely sensed that something was wrong. Suddenly, a sharp meow came from above.
0:6:21|0:6:41|The demon cat strikes again. [Master Konghai] vigilantly scans the hall, about to investigate, when suddenly a piercing scream comes from behind. The Emperor's face, once lifeless, flushes with blood, his eyes turning gray. He leaps up, then falls heavily back onto the bed. At this moment, [Master Konghai] is certain that the Emperor's illness is the work of the demon cat.
0:6:41|0:6:45|Suddenly, the sound of the bell rang out, and the courtiers all knelt down.
0:6:50|0:7:6|[Bai Letian] hesitated and didn't start writing. Just as the imperial physician urged him to write, [Kong Hai] noticed footprints on the ground. A junior official at the door cautioned.
0:7:11|0:7:19|Kong Hai made a soft exclamation. Looking down, Kong Hai realized that his feet were covered with many shiny things.
0:7:25|0:7:33|Just as [Kong Hai] was puzzled in silence, lost in thought in the distance, he suddenly heard someone calling him from behind.
0:7:34|0:7:41|[Master Konghai] turned around and unexpectedly saw [Bai Letian] walking towards him.
0:8:14|0:8:26|[Bai Letian] took the hair from [Master Konghai] and examined it carefully before saying something. Suddenly, as if [Master Konghai] had discovered something, he quickly walked forward. Following the direction pointed by [Master Konghai's] finger,
0:8:28|0:8:34|Under the moonlight, [Bai Letian] discovered fluorescent cat footprints on the ground of the imperial city.
0:8:50|0:8:57|Between the two of them talking, a wooden sign suddenly appeared on the ground. [Kong Hai] bent down to pick it up, but the wooden sign moved on its own, startling [Bai Letian]. [Kong Hai] picked up the wooden sign, and there was writing on it.
0:9:8|0:9:13|As soon as the palace courtyard was mentioned, thunder roared, as if something bad was about to happen.
0:9:13|0:9:28|That night in the mansion of [Chen Yunqiao], he was enjoying a romantic moment with [Chun Qin]. The two were in bed together when they suddenly heard the sound of broken tiles outside. Sensing it was the work of a demon cat, [Chun Qin] whispered to [Chen Yunqiao]'s ear.
0:9:40|0:9:47|But at this moment, [Chen Yunqiao] only wanted to be in the land of tenderness, he pounced on [Chun Qin], with no thoughts of anything else in his mind.
0:9:48|0:9:57|Little did he know that, through the moonlight, the shadow of a cat was cast on the wall inside their house, watching their every move.
0:9:57|0:10:15|In the middle of the night, [Bai Letian] sneaked into the Imperial Library in the Imperial Hall. The hall was filled with boxes of all sizes. He stepped on a wooden box and reached for a small box on top labeled "Phoenix Perch Tower." After grabbing it, he looked around cautiously to make sure no one was watching before carefully opening the box.
0:10:15|0:10:19|Inside the box is a key carved with a phoenix and the words "Death upon intrusion".
0:10:20|0:10:37|Suddenly there was a sound of the door opening, and he quickly blew out the candle and sneaked out. Taking advantage of the night, he hid in the artificial mountain in the palace, and when he saw no one chasing after him, he headed towards the Phoenix Pavilion. He swiftly passed through the secret passage hidden in the artificial mountain, and from the way he moved so skillfully, it was clear that he had been there before.
0:10:37|0:10:53|Before long, he arrived at the Phoenix Perch. Pushing open the heavy door, he found it empty inside. Walking up the towering cloud ladder, he finally reached the inner hall. Looking up, he saw various constellation patterns embedded on the dome.
0:10:54|0:11:5|In the middle of the hall stood a round cloisonné box three people high. Unfortunately, he didn't have time to admire the scenery in the hall carefully. He took three steps and stepped onto the steps in front of the cloisonné box, taking out the key he had stolen from the Imperial Hall.
0:11:5|0:11:14|He carefully opened the box with a portrait of the empress. To his surprise, inside was a box with a dragon head painted on it. Upon opening that, there was another box with a sea pattern on it.
0:11:14|0:11:25|Upon opening the patterned box, Bai Letian finally saw what was inside the cabinet. Just as he was about to reach for it, a pipa suddenly appeared behind him and started playing on its own.
0:11:26|0:11:36|To avoid alarming the patrolling soldiers outside, he quickly went to grab the pipa. After some maneuvering, he finally managed to grab hold of the pipa, but still made some noise in the process.
0:11:41|0:11:53|Just as the soldiers outside were puzzled, suddenly the mechanism inside the house was triggered again. At the critical moment, [Bai Letian] took a big step forward to the cabinet, took out the sachet from it, and iron arrows poured down from the roof, deeply piercing into the ground.
0:11:53|0:12:3|Luckily he reacted quickly and escaped. Just as he rushed down the ladder, he suddenly heard the voices of the soldiers. He hid behind the door, and then a cat's meow suddenly sounded.
0:12:5|0:12:12|The guards outside the house saw a cat appearing on the railing of the gap, thinking that the noise just now was made by the cat, so they didn't investigate further.
0:12:13|0:12:17|Bai Letian, hiding behind the door, thus escaped unscathed.
0:12:18|0:12:24|The next morning, [Bai Letian] went to visit [Master Konghai], only to find [Master Konghai] packing his bags at home. He bowed to [Master Konghai].
0:12:37|0:12:48|He sat down on the couch while speaking, and added.
0:14:54|0:15:6|[Bai Letian] said triumphantly, then turned around and walked away. [Kong Hai] smiled and followed suit. The two of them walked and chatted along the bustling streets of Chang'an.
0:15:31|0:15:46|The distant sound of the bell from the Great Blue Dragon Temple was heard as they were talking. Accompanied by the melodious bell sound, the two passed through the bustling acrobatic performance and were finally attracted by the shouting of a melon farmer.
0:15:54|0:16:6|The two walked through the crowd to the melon farmer. He first showed the watermelon seeds to everyone, then bent down to plant the seeds in the ground, and covered them with soil using his feet. He then took out a water bottle to show to everyone, and proceeded to water the newly planted watermelon.
0:16:6|0:16:21|In front of everyone's eyes, something magical happened - the watermelon seeds sprouted. Not only did they sprout, but they grew taller and taller. Soon, the watermelon vines extended and began to entwine around the trellis.
0:16:22|0:16:45|Some were puzzled, some were surprised, with various expressions. Following the instructions of the farmer, the watermelon quickly climbed the entire trellis, bloomed, and eventually bore a large watermelon. While Bai Letian and the others cheered and applauded, Kong Hai remained indifferent.
0:16:56|0:17:5|Just as [Bai Letian] felt that [Kong Hai] was unreasonable, a melon farmer picked a watermelon, cut it with a knife, revealing the flesh inside, and the crowd applauded again. Reluctantly, [Bai Letian] followed [Kong Hai] as they left, when suddenly the melon farmer rushed up to them.
0:17:44|0:17:50|After the melon farmer finished speaking, he stuffed the watermelon into [Kong Hai]'s arms, laughed heartily, and turned away. [Kong Hai] walked through the market holding the melon, when suddenly [Bai Letian] noticed something was wrong.
0:17:59|0:18:3|After saying that, Bai Letian snatched the fish head from Kong Hai's hand and ran off. Kong Hai stared at the fish blood on his hand.
0:18:23|0:18:31|The two arrived outside the imperial city to find [Chen Yunqiao], and happened to see him finishing his duty, chatting with his men about having fun tonight.
0:18:32|0:18:38|A group of people set off on horseback, whistling as they go, with [Bai Letian] pointing at the receding figures and saying to [Kong Hai].
0:18:39|0:18:52|[Chen Yunqiao] was seen hunched over, squinting, sitting on a horse looking rather unhappy. [Bai Letian] and [Kong Hai], without horses, could only take shortcuts to chase after them as much as possible. After a chase, [Chen Yunqiao] and the others dismounted at the ferry crossing, preparing to change boats.
0:19:19|0:19:32|Upon hearing that [Kong Hai] was going to the brothel, [Bai Letian] couldn't help but laugh. The Hu Yulou was built by the water, accompanied by the sound of the river waves, as the sky gradually darkened. Soon, the twinkling lights formed a cluster, and beautiful singing could be heard coming from the building.
0:19:42|0:19:57|At this moment, [Chen Yunqiao] stood unmoved at the bow of the boat despite the soft calls of the girls. It turns out he has a lover named [Bai Ling] at the Hu Yulou. Just as [Bai Ling] was about to go find her lover [Chen Yunqiao], she suddenly bumped into [Chen Yunqiao] who was scrutinizing [Yu Lian] up and down.
0:20:0|0:20:6|Chen Yunqiao was immediately attracted to the beauty of Yu Lian.
0:20:17|0:20:32|After saying that, [Yu Lian] was taken away, completely forgetting about her lover [Bai Ling]. Enraged, [Bai Ling] viciously stabbed the jade hairpin into the nearby armrest. She stormed back to her room, only to be surprised to find the jade hairpin she had just stabbed into the armrest, miraculously intact on the table.
0:20:35|0:20:41|She picked up the jade hairpin and examined it carefully, confirming it was hers. Just as she was puzzled, she suddenly heard a strange voice.
0:20:42|0:20:54|Mysterious things happened again, the wine pot on the table poured wine into the cup by itself, startling [Bai Ling] who kept retreating. As the wine in the cup was filled, [Bai Ling]'s expression also changed.
0:20:55|0:21:12|A gust of demonic wind surrounded her, and she casually tossed aside a jade hairpin. Her eyes stared straight ahead, with dark eye sockets and glowing eyeballs, as if possessed by a demon. The scene shifted to outside the house, where a bright moon was reflected on the lake, and [Bai Letian] and [Master Konghai] approached in a boat.
0:21:20|0:21:36|After the two of them finished speaking, they burst into laughter. At this moment, [Chen Yunqiao] was focused on watching [Yu Lian] dance, thoroughly enjoying it. Wearing a flowing robe and with waist-length hair, her graceful movements, accompanied by the lingering sound of the pipa, captivated everyone, leaving them entranced by the dancing [Yu Lian].
0:21:36|0:21:48|With the rhythm of the music, she gracefully moves her wrist and lowers her brows, captivating the audience with every gesture. Suddenly, a seductive and charming woman with enchanting smiles also joins in, stirring the hearts of everyone present, including [Yu Lian].
0:21:48|0:22:0|Enter. Suddenly, his eyes furrowed as if filled with endless sorrow. Then, a radiant smile appeared on his face as if filled with boundless joy. Truly embodying the saying, "Such a scene exists only in heaven, rarely seen in the human world."
0:22:1|0:22:8|On the other side, [Bai Letian] and [Master Konghai] also arrived. As the two of them were going upstairs, a constable stopped [Bai Letian].
0:22:21|0:22:30|[Bai Letian] and [Master Konghai] arrived at the hall with ease, just in time to see [Yu Lian] gracefully spinning in the center of the hall with her veil, indicating that this exquisite and unparalleled dance performance was finally coming to an end.
0:22:30|0:22:39|But Master Konghai suddenly became interested and quietly walked behind Yu Lian. Yu Lian pretended to fall, and Master Konghai supported her with his long sleeves, and the two of them jumped up again.
0:22:40|0:22:50|I didn't expect the Japanese monk to dance. His hand movements were like a butterfly fluttering around [Yu Lian]. The two interacted frequently, and with his accompanying dance, [Yu Lian]'s dance gained a different kind of charm.
0:22:50|0:22:59|[Chen Yunqiao] and the others were watching with great interest. After another dance, [Bai Letian] pulled [Master Konghai] to a corridor and started mocking him.
0:23:6|0:23:20|[Kong Hai] laughed heartily. During the conversation, Lixiang walked over with a wine glass. [Kong Hai] noticed something unusual about Lixiang's hairpin and took a closer look. When Lixiang realized this, she coldly snorted at [Kong Hai], then turned on her heels and walked straight towards [Chen Yunqiao], respectfully handing the wine to him.
0:23:21|0:23:33|[Chen Yunqiao] didn't even glance at Lixiang, just coldly took the wine glass, then leered at the dancing [Yu Lian]. After the song ended, he stood up unsteadily and casually said to everyone.
