0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp.
0:0:59|0:1:5|Prince Bei, trusted by Empress Dowager Cixi, wielded great power at the time. He vigorously promoted the construction of railways and factories, as well as the modernization of the military.
0:1:27|0:1:33|Prince Bei hurriedly ran within the palace, followed by four maids carrying the Six Harmonies Unified Hat in their hands.
0:1:35|0:1:50|Following closely behind. Just as they turned the corner, a massive and uniquely designed mechanical flying craft flew over the prince's head. This aircraft was extremely domineering, with a perfect integration of mortise and tenon structure and steel bars, but the most eye-catching feature was its flamboyant wings that resembled a phoenix.
0:2:3|0:2:17|Prince Bei looked at the majestic Tianwei Wing in the sky, with a slight smile on his lips, filled with confidence in his heart. He stopped his hurried pace and carefully observed the Tianwei Wing soaring freely above the Forbidden City.
0:2:26|0:2:42|Outside the village of [Chenjia Gou], in the distance, on the destroyed war machine Troy, there lies a groom in a silk jacket and a six-hat. To be lying alone on the ruins on his wedding day, this person is not ordinary.
0:3:55|0:4:2|Yang Luchan, who fell from the ruins, rushed to the hall non-stop to attend the wedding with Chen Yuniang.
0:4:2|0:4:14|On the left and right of the main hall sat the elders of Chen Village, while seated at the top of the hall were Chen Yuniang's father Chen Changxing and the highly respected San Shuzu. However, at this solemn wedding ceremony, Yang Luchan, who was naturally a bit foolish, looked around in confusion.
0:4:15|0:4:22|Even with the reminder from the disciples of the [Chen family], he remembered to kneel in front of the two elders.
0:4:37|0:4:56|In the distance, a loud shout broke the original tranquility. Everyone looked towards the sound and saw two figures outside the door, wearing masks and straw hats, slowly walking towards the hall. Halfway there, the man suddenly threw his hat back into the hall. As the hat left the man's hand, it spun rapidly like a flying knife, as if it could cut through anything.
0:4:56|0:5:3|As the groomsman [Chen Youzhi] saw the situation, he took the lead and kicked his hat from the rooftop into the copper bell below.
0:5:4|0:5:19|[Chen Youzhi] finished speaking, then swiftly flew out of the hall, leaping in mid-air at the steps, arriving in front of the man. Seeing the man unaffected with his head down, [Chen Youzhi] naturally did not hold back, gathering strength in his fist and striking directly at the man's face. Strangely, the man seemed to be familiar with [Chen's] fist movements.
0:5:19|0:5:42|Chen Youzhi had not yet made his next move when he used his right foot as a pivot to lean back and avoid the attack. He then blocked Chen Youzhi's arms with both hands and said, "After hearing about my big brother, Chen Yuniang tore off the red headscarf and ran out."
0:5:48|0:6:2|Chen Zaiyang, the eldest son of the Chen family, saw San Shuzu who had come specially. His eyes gradually moistened, and he couldn't care about catching up with his siblings. He walked through the crowd, straight to San Shuzu, clasped his hands in front of him, bowed deeply, and paid his respects.
0:6:5|0:6:20|After bowing to [San Shuzu], [Chen Zaiyang] slowly shifted his gaze to his father who was still sitting sternly in the hall. The elders in the hall also started to discuss in whispers upon seeing [Chen Zaiyang], but [Chen Changxing] did not show any joy of reunion upon seeing his eldest son who had been wandering outside for many years. Instead, he remained frowning.
0:6:20|0:6:28|[Chen Zaiyang] had a thousand words to say, but now, seeing his stern father, he didn't know where to start. After staring at each other for a long time,
0:6:28|0:6:37|[Chen Changxing] turned and walked towards the room. Faced with this situation, [Chen Zaiyang] obviously did not expect it, standing still at a loss. At this moment, outside the door, [Brother Tofu] shouted,
0:6:46|0:7:7|Just after the little incident, the groom [Yang Luchan] has already finished off the roast chicken on the table. At night, the Chen family's valley was brightly lit, with fireworks going off, as lively as the New Year. [San Shuzu] warmly entertained everyone at the banquet.
0:7:46|0:7:55|It seems that [Chen Zaiyang] and his wife noticed each other's unusual behavior, while on the rooftop, [Chen Changxing] and [Chen Yuniang] were watching [Yang Luchan] inside the house.
0:8:44|0:8:52|Chen Changxing sighed as he looked at his strong-willed daughter, and said very tactfully,
0:9:51|0:10:3|[Chen Changxing] finished speaking, then gracefully leaped down from the high eaves like walking on water. Following that, [Chen Yuniang] entered the room, snatched the leaves from [Yang Luchan]'s hand, and tapped on his head, but [Yang Luchan] just laughed out loud.
0:10:14|0:10:20|[Yang Luchan], although looking puzzled, obediently knelt in front of [Chen Yuniang], who then established the family rules.
0:11:7|0:11:16|Just as [Chen Zaiyang] was pondering with his head down, he suddenly sensed movement outside the door. Before [Chen Zaiyang] could get up, [Jin Yuner] had already silently arrived at the window like a ghost.
0:11:32|0:11:42|After seeing that there was no danger, he slowly closed the window. But at that moment, a dark figure flashed outside. Seeing this figure, [Jin Yuner] immediately hid behind the door pillar and drew out the Indian soft sword hidden in his sleeve.
0:11:46|0:11:57|Upon hearing it was [Chen Youzhi], [Chen Zaiyang] lightly patted [Jin Yuner] on the shoulder to signal her to stay calm, then opened the door.
0:12:9|0:12:16|Upon [Chen Youzhi]'s late-night visit, [Chen Zaiyang], after much contemplation, decided to explain the reasons to him.
0:12:43|0:12:52|The tenth ancestor [Chen Suole], although old with gray temples, effortlessly sent the young and strong Hu Xingmen Zhou Bin flying several meters away.
0:13:48|0:13:58|The crazy monk gathered his energy in his dantian, stood in front of the door, with a scar on his head, a sudden golden light appeared, and his own Buddha energy immediately surrounded him like a golden bell. With just this move, he severely injured several Chen family disciples.
