0:1:57|0:2:0|Dong Xianzhou teaches the young [Dong Haichuan] martial arts step by step.
0:2:9|0:2:14|Now, his boxing skills are strong and powerful. At this moment, he is practicing martial arts in the courtyard.
0:2:18|0:2:30|Carrying a quiver on his back and holding a bow and arrow in his hand, [Ma Dongmei] walked out of the house with a wide stride, approaching him who was practicing martial arts with a smile.
0:2:56|0:3:5|With his father Dong Xianzhou's permission, Dong Ying happily pulled [Dong Haichuan] towards the forest and successfully shot a wild rabbit.
0:3:15|0:3:28|A wealthy young master rode a horse to the woods, followed by many servants. At this moment, one of the servants spotted a girl picking mushrooms.
0:3:30|0:3:37|Upon seeing the teenage girl, the wealthy young master, along with his servant, quietly approached the girl.
0:4:0|0:4:8|The girl exerted all her strength and landed a solid slap on the face of the wealthy young master.
0:4:22|0:4:39|During the struggle, the girl's clothes were torn apart, revealing her tight-fitting underwear. [Dong Haichuan] and the other person heard the cry for help and quickly ran towards the sound.
0:4:44|0:4:55|Only [Dong Haichuan] was seen sweeping with a stick, and several servants fell to the ground. The rich young master, seeing this, released the girl and gritted his teeth as he watched this troublemaker.
0:5:0|0:5:15|The wealthy young master took the sword from [Butler Luo], walked towards [Dong Haichuan] who was fighting, before he could get close, everyone accompanying him fell to the ground and couldn't get up. The wealthy young master tried to frame [Butler Luo], but was immediately knocked down by [Dong Haichuan].
0:5:44|0:5:50|[Hu Gongzi] swung his sword, [Dong Haichuan] reacted quickly and then used a stick to push him away with a strike and a poke.
0:6:35|0:6:46|Led by the girl, [Dong Haichuan] and Dong Ying arrived at the grass hut deep in the jungle, where an old man was practicing Tai Chi with a horse stance in the courtyard.
0:6:47|0:7:4|[Dong Haichuan] watched the old man's every move with fascination. The old man's movements were smooth and flowing, like a fox catching a rabbit, and his spirit was sharp like a cat catching a mouse. After absorbing the energy into his lower abdomen, he relaxed his whole body, slowly bent his knees, and turned to look at his granddaughter standing at the door.
0:8:29|0:8:44|[Butler Luo] led several servants to search for [Dong Haichuan]'s whereabouts. It started to rain heavily outside. At that moment, [Dong Haichuan] and two others were carrying a wild rabbit they had hunted, planning to sell it to a tavern. Coincidentally, this scene was witnessed by the passing [Butler Luo].
0:8:44|0:8:50|He carefully identified him and, after confirming it was [Dong Haichuan], hurriedly ran back to the mansion.
0:10:28|0:10:37|[Butler Luo]'s words temporarily calmed [Mr. Hu]'s mood. In the peaceful life, [Xuelian] embroidered a handkerchief with flowers for [Dong Haichuan].
0:10:48|0:10:52|[Xuelian] avoided the intense gaze of [Dong Haichuan] and smiled awkwardly.
0:11:25|0:11:41|The simple conversation between the master and disciple at night not only resolved the long-standing concerns of the master, but also brought [Dong Haichuan] and [Xuelian] closer together. One morning, [Dong Haichuan] held [Xuelian]'s hand and arrived at a waterfall in the deep forest.
0:11:41|0:11:48|The two people admired the majestic waterfall, gazing affectionately at each other, gradually leaning towards each other.
0:11:48|0:12:6|[Xuelian] leaned shyly against [Dong Haichuan]'s chest, and at that moment, [Dong Haichuan] felt like he had the whole world. He was already deeply in love with [Xuelian]. They played and frolicked together by the mountain stream, filled with happiness and laughter.
0:12:6|0:12:19|Nestled in the valley, the only thing in the eyes of the two people is each other. As time passes day by day, [Dong Haichuan] practices Tai Chi diligently with his master, while sweetly spending time with [Xuelian].
0:12:19|0:12:28|One night, Master had another conversation with [Dong Haichuan] in the courtyard, walking and talking. [Dong Haichuan] followed behind him.
0:14:57|0:15:5|Inside the house, [Xuelian] saw this scene, feeling particularly conflicted.
0:15:26|0:15:47|The butler brought back three martial arts masters from the capital to the courtyard, who then demonstrated their martial arts skills one by one. The first to perform was the Flying Knife God [Li Jie], who did several backflips in a row, then threw several short daggers from the sheath on his thigh, firmly embedding them into the trees in the courtyard.
0:15:47|0:16:6|Madam Wu nodded approvingly when she saw it. Following that, the Meteor Strange Hero Yun Ye displayed his unique skill, swinging an iron whip at a tree stump, instantly creating a large hole. Then, Dong Haichuan, wielding his own unique weapon, ...
0:16:6|0:16:14|After spinning rapidly, the table used for the ritual in the courtyard was chopped in half.
