0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then he placed the skewer on the plate.
0:2:39|0:2:45|Defeated, [Zhu Guangsheng] placed his clenched fist on the table and immediately stood up.
0:2:52|0:3:1|The other two at the table watched as Zhu Guangsheng's eyes followed the man who had just left, and Zhu Guangsheng was called back.
0:3:31|0:3:57|The fat man shook off [Zhu Guangsheng]'s hand. [Zhu Guangsheng] shouted at their backs in response. Speechless, he looked at the little dog in his arms with a heart full of pity. The just rescued little dog had a pair of big watery eyes, looking innocent. He nodded and continued speaking. Then he walked home with the little dog. However, after a short walk, he placed the little dog on the side of the road.
0:3:57|0:4:1|He felt very pleased watching the lively little dog in front of him.
0:4:4|0:4:31|The clueless puppy sat still watching him swing the scarf around his neck. Then he made a dramatic gesture towards the puppy, took a few quick steps forward, and [Zhu Guangsheng]'s figure gradually moved away. The puppy then got up and walked towards him. The screen gradually darkened, and the title "Bloodhound" emerged in the middle, accompanied by the mournful howls of two evil wolves.
0:5:4|0:5:25|The highly vigilant snow wolf looked back at everything around it, the sky full of white clouds flowing rapidly in its eyes. Suddenly, under the snow-covered ground, a pair of eyes covered in frost slowly opened under a black hat. He stared closely at the snow wolf not far away, and finally the snow on the branches fell down, and the flat ground sank.
0:5:25|0:5:30|The snow wolf, Zhu Guangsheng, heard the movement and let out a low growl, but the hunting rifle in the dark had already aimed at him.
0:5:31|0:5:44|The long-planned gunshot finally rang out, and the snow wolf at this moment also fell in a pool of blood. On the other side, the forest ranger [Zhu Guangsheng], who rushed to the sound, was galloping towards the deep mountains, followed closely by hunting dogs to help him find the right direction.
0:5:44|0:6:3|At the same time, a group of people emerged from the snow, ignoring the snow on their bodies, their eyes fixed on the fallen snow wolf not far away. [Zhang Biao], holding a hunting rifle with a forest ranger badge on his arm, then took out a woven bag they carried with them and approached the snow wolf, putting it inside.
0:6:3|0:6:13|Zhu Guangsheng then arrived at the forest police station in the Sardabank Grand Canyon. Sitting on a horse, he pulled down the scarf wrapped around his mouth, looked around, as if searching for something.
0:6:14|0:6:35|In the deep mountains, hunters carrying snow wolf woven bags walked towards the forest, unaware that three snow wolves standing on the mountainside were staring at them fiercely. Soon they reached the snow wolf's den, and upon seeing the wolf cubs, the lead man immediately caught one out. The captured wolf cub looked at the hunters and kept making a mournful and plaintive cry.
