0:3:40|0:3:44|On the other side, the female lead [Sha Lu] is wearing a pair of exquisite high heels.
0:3:57|0:4:2|The lawyer placed the agreement in front of [Sha Lu], who lowered his head to look at it.
0:4:21|0:4:30|The lawyer handed the pen on the table to [Sha Lu], who took it and signed his name, then the lawyer quickly put away the agreement.
0:4:38|0:4:50|The lawyer packed up the agreement and left with a smile. On the other side, [Xiang Shaolong] was driving on the bustling street. Suddenly, a delivery man pulling a large basket of goods appeared in front of him.
0:5:7|0:5:13|The daughter [Ah Hei] had a blank expression on her face, wearing dirty overalls. The two then arrived at the entrance of a restaurant.
0:5:15|0:5:23|[Xiang Shaolong] pushed aside the door curtain and walked in, followed by [Sha Lu]. He saw many guests dining with their heads down and was taken aback.
0:6:38|0:6:49|[Xiang Shaolong] reached into his pocket, while [Sha Lu] stared at him intently. He took out a tissue to wipe his mouth, and continued to eat heartily.
0:6:50|0:6:58|He took out a toothpick from the other pocket and cleaned his teeth with it. [Ah Hei] rolled his eyes.
0:7:8|0:7:11|On the other side, [Sha Lu] arrives at the hospital. The camera switches, and a door opens.
0:7:38|0:7:46|[Xiang Shaolong] brings his fiancée [Jiang Yi] to their new home, and he unties the scarf covering her eyes and opens the curtains. [Xiang Shaolong] stands by the window.
0:8:0|0:8:3|He raised the key and knelt down on one knee. Aunt Jiang, with tears in her eyes, covered her mouth and walked towards another room.
0:9:27|0:9:29|Aunt Jiang looked at [Xiang Shaolong].
0:9:51|0:9:53|[Xiang Shaolong] embraces crying Aunt Jiang.
0:10:2|0:10:11|Soon, at night, [Sha Lu] passed by a real estate agency and picked up a flyer at the entrance. [Xiang Shaolong] stood alone by the wall on the street, smoking.
0:10:15|0:10:33|[Xiang Shaolong] walked towards the real estate agency with a lunch box in his hand, his attention caught by the sports car parked outside the company. On the other side, the young colleague [Very Wong] was playing with the nameplate of the intern. After carefully examining the sports car, [Xiang Shaolong] entered the company's office.
0:10:33|0:10:35|[Xiang Shaolong] stared at the intern as soon as he walked in.
0:10:50|0:10:52|[Xiang Shaolong] hesitated to speak.
0:11:12|0:11:15|[Xiang Shaolong] sighed.
0:11:23|0:11:33|[Very Wong] gets into a sports car and quickly drives away. [Xiang Shaolong] is alone in the office, opening a lunch box.
0:11:51|0:11:55|After hanging up the phone, [Xiang Shaolong] immediately called the client.
0:12:11|0:12:14|This is [Sha Lu] arriving at the agency.
0:12:38|0:12:51|Miss, Xiang Shaolong hangs up the phone and arrives at Wushuang Terrace with Sha Lu, Ah Hei, and Very Wong.
0:14:19|0:14:22|Four people arrived at the rooftop, [Ah Hei] looked at the distant night view and smiled.
0:14:59|0:15:4|Sha Lu did not express his opinion, he leaned over to [Xiang Shaolong] and said to him.
0:15:29|0:15:51|Sha Lu waved his hand and said, "I have seen many houses, but none of them can compare to this view." The camera then cuts to the four of them walking on the streets of Hong Kong. Each person had a happy smile on their face. They walked side by side among the skyscrapers, heading towards the law firm. Xiang Shaolong and Sha Lu each signed their names.
0:15:51|0:16:3|The law firm stamped the documents. The Five-Star Red Flag and the Purple Gold Flag fluttered in the wind on the street. The four of them acted in unison, flipping through and passing around documents in the office, signing each page of the contract.
