0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Skyhaven.
0:2:18|0:2:25|In the city of Tiandu, the young [Ni Kongkong] is hiding in a narrow cave, using a fence to block the entrance, nervously looking out of the cave.
0:2:42|0:2:47|An older child, a few years older than the others, shooed everyone away and spoke to [Ni Kongkong].
0:3:9|0:3:26|[Ni Kongkong] slowly moved away from the fence, looking timidly at the unfamiliar older child in front of the cave. The older child managed to trick [Ni Kongkong] out. At that moment, a young child unexpectedly pulled out a dagger and slid it towards the shining palm of [Ni Kongkong].
0:3:29|0:3:47|One afternoon many years later, the adult Ni Kongkong sat on the eaves of Tian Du City, looking at his still glowing palm, reminiscing about the painful memories of his childhood. At this moment, his pet Ouka bounced around beside him, gesturing excitedly. Ni Kongkong looked at it and said helplessly.
0:3:57|0:4:13|[Ni Kongkong] said, and then with Ouka, they leaped off the roof and arrived at the bustling main street of Tiandu City. The wide street was crowded with people coming and going, and the businesses along the street were thriving, with merchants from afar wandering between various shops.
0:4:55|0:5:8|At this moment, [Ni Kongkong] tossed a gold coin to him. But as soon as the boss turned around, [Ni Kongkong] slyly stole the gold coin back.
0:5:26|0:5:37|[Ni Kongkong] instantly recalled his son's ordeal, pulled out a dagger, and stabbed the burly man to the ground. As he stood up, he found himself surrounded by several thugs wielding machetes.
0:5:37|0:5:45|In the jianghu for many years, [Ni Kongkong] remained calm and composed. He swung an iron chain to the ground, and Ouka immediately grabbed the chain, curling up into a ball.
0:5:46|0:5:56|[Ni Kongkong] actually threw off several people from Ouka. Ouka, with its hard shell, is not suitable for any weapon, like a hammer mercilessly knocking down several people to the ground.
0:5:59|0:6:12|[Ni Kongkong] saw the situation was not good, so he released a mist bomb and prepared to escape. However, he was stopped by the King in the sky. After tying up [Ni Kongkong], the henchman's owner, holding a fake product, walked up to him and said.
0:6:50|0:6:55|Ni Kongkong had no choice but to take a risk.
0:7:19|0:7:27|When night fell, [Ni Kongkong] used lightness skills to arrive on the rooftop of the Prince's mansion, searching for the right moment.
0:7:40|0:7:51|At this moment, the Prince's mansion was filled with ice sculptures, and the courtyard was full of rare treasures beyond count. Even top-grade jade and agate were nothing special here. At this time, the steward of the mansion shouted to everyone,
0:8:31|0:8:46|The Prince stepped down and saw a seahorse emitting a strange light in the crystal stone. The seahorse had a head resembling a dragon's head, with two pairs of wings behind it. Although the Tian Du City had a variety of rare treasures, such a treasure could not be found anywhere else in the world.
0:8:46|0:8:56|The prince was still basking in the admiring gazes of the crowd, completely unaware that [Ni Kongkong] and Ou Ka had silently arrived at the underground palace in the prince's mansion where treasures were stored.
0:8:57|0:9:9|Ni Kongkong looked at the countless treasures in front of him, feeling overjoyed. But upon hearing the footsteps of the guards patrolling, he quickly hid with Ou Ka in the rafters. However, the guards with keen senses still sensed something unusual.
