0:0:38|0:0:41|On a remote country road, a bus rushes past.
0:0:45|0:1:0|Please don't hesitate to like, subscribe, share, and support the "Mingjing" and "Diandian" programs.
0:1:22|0:1:43|Accompanied by cheerful music, a bus full of girls who came from the city to work passes through a tunnel. The road, lined with rice fields on both sides, stretches towards the countryside, where the buildings in the distance gradually transition from tall buildings in the city to unique rural tiled houses. The road in the village becomes increasingly bumpy.
0:2:20|0:2:28|[Song Daxiong] put down his phone and turned to look at the girls who were still immersed in the excitement, loudly introducing them.
0:2:40|0:2:55|[Sung Daxiong] finished speaking, swaying happily in his seat to the music. His friend who had asked the question before immediately deflated upon hearing it, expressionless as he leaned heavily against the seat back. The bus wound around the mountain road, passing by patches of woods and ponds.
0:3:35|0:3:54|Accompanied by the girls' laughter, the bus was getting closer to the destination. It didn't take long for it to be disrupted, as the bus suddenly braked and a girl holding a silver rod lost her grip, spilling out a lot of water. The culprit of all this was a wooden barrel leisurely carried by a cow, slowly passing in front of the bus.
0:4:31|0:4:49|After a long time, the bus finally arrived at the destination, swiftly passing through the village entrance with a banner hanging above it. The banner read "Wushan Chao Civilization Stone Flower Wine Fragrance". Driving further in, as the bus approached, the children playing at the village entrance spontaneously lined up into two rows to make way for the bus, then playfully chased after the departing bus.
0:4:52|0:5:8|After a long journey, the group finally arrived at the village. The girls carried their suitcases and walked unsteadily to the open space in the village. By now, many villagers had gathered there, each one scrutinizing and sizing up these fashionable girls who had come from the city.
0:5:8|0:5:14|The girls are wearing tight jeans and cropped tops, completely different from the village women in loose shirts.
0:5:34|0:5:40|The girls who were shouting to go to the bathroom were stunned by [Song Daxiong] in a chrome jacket, and they all walked back.
0:6:9|0:6:25|In the village committee, a middle-aged man with a bushy beard is carefully weighing the neatly arranged tea leaves on the table. He picks up a pinch of tea leaves, puts them in his mouth, and savors them carefully. As he picks up the kettle to prepare a cup of hot tea, a middle-aged man wearing glasses rushes in anxiously.
0:6:31|0:6:35|The village chief was startled, hot boiling water spilled on his hand, and the teacup fell to the ground.
0:6:51|0:7:4|On the vast edge of Changyuan, [Song Daxiong] on the co-driver's seat of the bus was writing the words "sprout tea" on a blackboard. He was surrounded by curious villagers and city girls who came to attend the training.
0:8:1|0:8:19|The girls dispersed in excitement, rushing to open the dormitory door. They chattered away, disrupting the dormitory and noisily assigning beds. The girl with the fish tank almost got into an argument with the girl holding a cat. The originally plain room was quickly decorated with fashionable posters and small animals by the girls, creating a warm atmosphere.
0:8:20|0:8:28|The one leading them in, [Luo Minying], stood at the door awkwardly stirring the clothes with his hands, watching their smooth movements in a daze.
0:8:40|0:8:53|Luo Mingying was stunned by this question, and the noisy girls instantly quieted down, turning their heads to look at [Zhang Lilei] who asked the question. [Zhang Lilei] also didn't expect this outcome, innocently pouted and didn't speak again.
0:8:53|0:9:3|After the girls finished packing up, they returned to the previous open space and lined up to receive the tea house and apron from Luo Mingying and [Song Daxiong].
0:9:15|0:9:29|The girls followed the villagers and [Song Daxiong] to the tea plantation. The road in the tea plantation was lined with flags. On a high platform, a boy and a girl in rattan outfits were performing tea art at a table with a stove.
0:9:29|0:9:37|High toss, turn around, catch the pot, bend down, pour water, a copper pot with a spout about one meter long in their hands seems to come to life.
0:9:38|0:9:56|As their movements danced, the tea flowed down with their actions, but landed steadily into the cups. The audience below widened their eyes, amazed by their superb skills. After the tea performance, [Song Daxiong] and his sister Xiaojuan walked up to the stage with their mother holding a tray.
0:9:56|0:10:8|The tray was covered with a piece of cloth, making it impossible to see what was inside. As they walked onto the stage, [Zhang Lilei] slowly uncovered the cloth. Inside, there was a set of glass tea ware and a jar full of tea leaves.
0:10:18|0:10:44|After Luo Mingying finished explaining, the girls from the town who were gathered around him whispered to each other, all with smiles on their faces, craning their necks to look towards the stage.
0:10:46|0:11:1|On stage, [Zhang Lilei] carefully poured the boiling water he had just boiled into the teapot with the tea leaves in it. The soft tea leaves seemed to come to life as the boiling water was poured in, dancing in the teapot as if they had a life of their own, with each leaf standing upright without falling over.
0:11:2|0:11:18|[Sung Daxiong] covered the teapot, poured the tea into the cup beside him, raised the tea cup high towards the nearby stone tablet, and then respectfully walked to the table with the incense burner. He held the tea cup up to his forehead, bowed deeply towards the stone tablet.
0:11:20|0:11:30|The audience below the stage looked curiously at his mysterious ritual. He set down the teacup, clasped his hands together, and bowed reverently towards the stone tablet. Only then did the ritual officially come to an end.
0:13:14|0:13:17|The manager [Zhang Lilei] smoothly slid along the tender shoots of the tea tree.
