0:1:6|0:1:11|At this moment, they are conducting physical training around the training ground.
0:1:57|0:2:16|On the training ground is the figure of [Liu Li] practicing, with a boyish short haircut. She shouts loudly to boost her morale while practicing in the air. Yang Hui looks at [Liu Li]. Shuihuo, Xiaoyue, and Yang Hui hold timers in their hands, looking smugly at Liu Li.
0:2:20|0:2:34|Yang Hui propped herself up and glanced at the timer, saying to [Liu Li]. [Liu Li], who had been practicing vigorously, stopped and looked exhausted. Sweat soaked her hair as she rested her hands on her knees and slowly counted to two.
0:3:2|0:3:5|Liu Li pulled Yang Hui and playfully pushed her down with a smile.
0:3:12|0:3:38|Our shared life journey has created a deep connection between the two of us, who are not quite like typical girls. There is a kind of emotional bond that doesn't need words. We don't know what she is, but we are pleasantly surprised to see her, becoming more intense with each passing day.
0:4:1|0:4:4|The two hurriedly scattered a handful of banknotes.
0:4:44|0:4:46|At this moment, [Liu Li] grabbed the money and ran outside.
0:4:51|0:5:4|[Liu Li] ran all the way from the changing room to the venue, clutching the few bills in her hand. However, the glass door of the venue was locked. She pounded on the door with all her might, memories of her childhood flashing through her mind.
0:5:4|0:5:14|At that time, [Liu Li] brought Yang Hui to the doorstep. Yang Hui's mother, with a dark expression, pushed open the door, pulled Yang Hui in, and then looked at the boyish [Liu Li] with disdain, saying,
0:5:21|0:5:41|[Liu Li] left Yang Hui's house while making faces. Yang Hui's mother then glanced at the deep-rooted Yang Hui. Yang Hui completely ignored her mother's scolding, making faces at her while going upstairs.
0:5:44|0:6:2|He pulled Yang Hui's arm, at this moment, [Liu Li] climbed onto the roof. After Yang Hui's mother finished speaking, she angrily grabbed a basin to fetch hot water, while Yang Hui stood by, feeling wronged, and looked up to see [Liu Li] practicing martial arts on the roof.
0:6:11|0:6:17|Yang Hui's mother was about to wipe her daughter's hands, only to find them covered in blood, but Yang Hui remained silent.
0:6:31|0:6:37|The mischievous [Liu Li] was still on the roof watching Yang Hui and her mother. When Yang Hui's mother turned around, [Liu Li] stuck her tongue out at her.
0:6:43|0:6:53|Speaking, she splashed a bucket of water towards him. At this moment, a call brought him back to reality. [Liu Li] nodded absentmindedly. The old man glanced at her and reminded her.
0:6:57|0:7:1|[Liu Li] took a few steps back towards the old man, with a hint of numbness in her eyes.
0:7:13|0:7:26|Suddenly, [Liu Li] remembered that she still had to call for training, so she ran back to the training ground. When she returned to the team, Coach Yang Huichun asked if [Liu Li]'s mother was there, and [Liu Li] shook her head firmly, secretly returning the money in her hand to her.
0:7:26|0:7:34|Unexpectedly, this scene was caught by the coach's sharp eyes. She fiercely hit Liu Li's hand with the stick in her hand, causing money to scatter all over the ground.
0:7:37|0:7:51|[Liu Li] reluctantly stood in place and followed everyone to start physical training. The students were seen continuously swinging the jump ropes in their hands, then immediately kicking their legs in the air to enhance their personal endurance, balance, and explosive power, sweating profusely.
0:7:51|0:7:58|[Liu Li] and Yang Hui were also among them, their expressions determined, each kick accompanied by a loud roar of anger.
0:7:58|0:8:22|Even though their hair was completely soaked with sweat, the students practiced with each other. While others used their feet, [Liu Li] kicked one after another with all her strength. By the time lunchtime arrived, [Liu Li] saw a long line at the cafeteria and squeezed into a queue full of boys. At this moment, the boys behind her were not happy.
0:8:22|0:8:26|[Liu Li] was not convinced, almost raising her fist, while the young man behind her glanced at her.
