0:0:51|0:0:55|On a rainy day, [Ke Jianming] is being criticized by the boss.
0:2:8|0:2:23|The boss watched as [Ke Jianming] walked away and asked the secretary. The secretary nodded innocently, and [Ke Jianming], upon learning that his wife was dying, rushed home in a state of anxiety. Unfortunately, the weather did not cooperate as it started to rain heavily outside.
0:2:23|0:2:28|Watching the pedestrians with umbrellas on the road, he stomped his feet in anxiety and turned to the security guard for help.
0:2:40|0:2:58|[Ke Jianming] could only grit his teeth and rush into the rain alone, the pouring rain causing the streets to be flooded everywhere. He used his arms to shield himself from the rain and dodged puddles as he ran towards home, finally making it to the entrance of the residential area. A speeding car splashed him with water again, making his already makeshift suit even worse off.
0:2:58|0:3:5|Wife [Wang Yue] is sitting in front of the dressing table at the moment, concentrating on applying makeup, dabbing lipstick on her lips to create full lips.
0:3:6|0:3:13|Open your eyes wide and use mascara to brush your eyelashes thick and long. At this moment, [Ke Jianming] ran back to the apartment in the pouring rain.
0:3:19|0:3:29|He didn't have time to answer, casually said a few words, and then hurriedly ran towards the elevator. After pressing for a while, the elevator did not respond. Upon closer inspection, the sign on the elevator door read:
0:3:33|0:3:42|He rolled his eyes in resignation, ran towards the stairwell, and started climbing the stairs. He gripped the handrail tightly and took big steps upwards. Before long, he sighed in exhaustion:
0:3:46|0:3:52|To save his wife, he had to grit his teeth and persevere. By the time he reached the floor, he was already exhausted and powerless.
0:3:56|0:4:1|He walked to the door gasping for breath, urgently knocking on the door and shouting loudly inside.
0:7:0|0:7:7|[Wang Yue] watched as [Ke Jianming] walked away, gradually calming down. She glanced at her watch and said disappointedly.
0:7:18|0:7:35|[Wang Yue] muttered to herself and closed the door. That night, [Zhao Kexin] and her husband [Yu Bin] were sleeping soundly when a phone call came in. [Yu Bin] groggily answered the phone. The crying on the other end puzzled her, and [Zhao Kexin] asked her about it.
0:9:21|0:9:37|Please don't hesitate to like, subscribe, share, and support the Mingjing and Diandian programs.
0:10:27|0:10:35|[Ke Jianming] returned to the company after leaving home. He sat in a chair, looking at the newspaper with fatigue. The secretary, beautiful, came in with coffee and knocked on the door, warmly saying to him.
