0:4:28|0:4:37|说完转过头温柔地看了看[小安]问她，听到这里，[小安]用无声的眼神回答了父亲。
0:4:38|0:5:11|随后父亲双手撑着大腿站起，来走向屋内，[小安]跟了上去，爸爸打开门，领着[小安]到了一个布满管道的房间里，等[小安]进门后关上了门，后者疑惑地打量着房间，随后爸爸拉着她走到另一个门前说道：听到父亲这么说，[小安]深吸了一口气，
0:5:11|0:5:27|抬起右手放在父女俩交握的另一只手上说道，说完彻底将左手挣脱开，扭头就走。父亲立刻扯过[小安]的手腕想往外拉，[小安]感觉到自己被骗了。
0:5:27|0:5:43|听到[小安]这样说，父亲向后轻轻仰了一下，慢慢松开抓着她手腕的右手，半空中[小安]握紧了自己的左拳头，又用右手摸了摸被爸爸拽过的地方，咽了咽口水，迅速地转身离开了。
0:5:45|0:5:56|父亲看到[小安]执意回到[毒贩]身边，死死盯着她离开的方向，身体轻微地晃动着，并且陷入了沉思。
0:5:56|0:6:24|至此，今天的电影《边境风云》正式拉开了帷幕，在漆黑又寂静的凌晨，空旷的大路上，一辆出租车在行驶着，平行于大路的另一边，一辆轿车也向前开着，此时出租车还没意识到自己正在被轿车跟踪，仍然不紧不慢地行驶着，轿车加速冲出路口后，连忙左转，在出租车到路口前截住了它，而它的后方也被一辆警车堵住了。
0:6:24|0:6:33|然后一个年轻警察从轿车上下来，用手枪瞄准司机，指着对方太阳穴敲了敲窗户，示意对方下车，
0:6:36|0:6:53|之后年轻警察打开了后备箱，发现了可疑装饰品，并拧下饰品顶部的圆头套。拧掉后看了看里面，又发现箱子上贴着一把钥匙，拽下来后，他用手把玩着钥匙，皱起眉头，陷入了沉思当中。
0:6:56|0:7:11|画面一转，年轻警察来到一个繁忙的加油站，他用这把钥匙正在开大货车的门，试过打不开之后，他决定寻找下一辆货车，他选择从其中一辆大货车车底弯腰经过抄近道去找。
0:7:13|0:7:40|这条近道被两辆长达20米车身的大货车包围，所以他只能边走边观察下一个开锁对象，看到新目标后，年轻警察准备动手了，开锁前他环顾了一下四周，将钥匙插进去后，门居然打开了，然后他赶忙拽着方向盘登上了驾驶座，看了看车内没有人后就退出驾驶室，关上了车门，
0:7:40|0:7:58|然后他从车前绕过在副驾驶右后方的地上发现了什么东西，他急忙上前去查看，随后弯了弯腰，看了看车底的方向，看到车体后他终于明白了什么，并向着目的地走了过去。
0:7:59|0:8:25|原来这辆车的一个车胎没有了，附近刚好有一个修车厂，找到修车厂后，年轻警察从门口走了进来，左右看了看，没发现什么人，不过在修车厂休息室前方的地上，他发现了一个疑似修好的轮胎，为了确认自己的猜测，他拿起一旁的修车扳手，他弯腰使劲翘着轮胎内部，此时感觉有人靠近他
0:8:27|0:8:34|难道是货车司机？他将扳手扔在地上走向对方，问道：
0:8:34|0:9:0|对方双手搓着毛巾望向警察身后说道：听到这里警察回头看了看，向对方点头后走了出去，这个男人停下揉搓的动作，紧闭双唇向着修车厂的休息室走了进去，得到指引的警察急切地在加油站中寻找着，掀开帘子来到加油站的便利店后，他停下了脚步，
0:9:0|0:9:15|他感觉到不对劲，之后慢慢转身望着便利店的门帘又重新走回修车厂，再次来到修车厂，这里依旧是空荡荡，没有什么人，只不过警察没有在意，直接向着休息室走了进去。
0:9:18|0:9:46|在休息室的热水机旁有一扇紧闭的门，他透过磨砂玻璃向里望了望，发现灯是开的，想了一会儿慢慢推开了门，门开了，警察直接愣在门口，深吸一口气后，他左手握拳捶了捶门框，地上躺着的正是货车司机，身下大片血迹，身上趴着两只幼猫，
0:9:46|0:10:13|画面一转，镜头给到了在修车厂指引警察的那个男人，他居然出现在了缅甸的勐秀车站，坐在车站前的椅子上，脚边放着一个和小腿一样高的凳子，此时一个剃着平头的男人也提着相似的箱子走过来，他把自己的箱子放在椅子上，拿起修车场男人脚边的箱子看了他一眼后，转身离开了。
0:10:13|0:10:35|修车厂男人看着对方离去低下了头，拿到新箱子后，这个男人又提了一个箱子拐进了租住地，在家门口，他放下了提着的两个箱子，不过并没有着急开门，而是先直直地平视着房门，然后慢慢低头看向家里的锁孔。
0:10:36|0:10:43|看了好一会儿，他又低下头看了看脚下，没有发现什么异常之后，
