0:0:53|0:0:59|听完这话[蒋浩龙]伸手拿过[曼迪]手中的衣服袋子，
0:1:5|0:1:17|突然一辆小巴撞上[蒋浩龙]，[曼迪]吓得双手捂住耳朵，瞳孔放大，
0:1:26|0:1:53|[曼迪]忽然停顿了一下，继续切菜。[陈强]看了她一眼，继续站在窗口晾衣服晾衣服的[陈强]突然失去重心，整个人翻出窗外镜头一转进入一家按摩店，[曼迪]吉米并排坐在沙发上，[曼迪]转过头低下眼眸想了想，
0:2:5|0:2:10|他的头直接倒向一边，身体一动不动，[曼迪]表情疑惑地看着他，再次伸手推他，他还是丝毫未动。
0:3:18|0:3:30|[春娇]起身一手抽纸，一手拿起茶几上的手机开始翻照片，[春娇]将手机中的照片递给喝西瓜汁的[张志明]，
0:3:51|0:4:9|不理[张志明]直接走开。伴随着二人的吵闹声，影片片名[张志明]与[春娇]出现在荧幕上，阳光明媚，风云变幻，夕阳在高楼的映衬下显得异常孤独。
0:4:10|0:4:34|2009年7月27号夜晚的香港人头攒动，灯火通明，[张志明]，公公，达哥，[保罗]坐在酒吧中，[保罗]拿出手机点开一段录音，他闭着眼睛深吸一口气，大家齐齐看向手机又转过头看着他狰狞的表情，[张志明]开玩笑说道：
0:6:2|0:6:18|此时街道上灯火通明，车辆不断行驶通过[春娇]一家三口坐在喜悦酒家中，[春娇]满脸尴尬，母亲坐在中间不断打哈欠，
0:6:30|0:7:1|[张志明]深夜回家，一开门就朝[春娇]喊道，[春娇]并没有回应他，他顺手开灯换鞋后朝卧室走去，瞥了一眼客厅走向卧室，紧接着停下脚步慢慢探出身子，他看到桌上餐盒里放着寿包，他吧唧下嘴顺手放下背包，[春娇]在厨房专注洗碗，[张志明]小心翼翼地走到[春娇]身后，[春娇]放下手中洗过的一个碗，[张志明]看着[春娇]的背影，
0:7:4|0:7:20|[春娇]边收拾碗筷边嘟起嘴巴，[张志明]沉默不语，[张志明]双手插兜看见地板，
0:7:44|0:7:50|说完她转头抱起洗菜盆里的碗放在橱柜上，
0:8:12|0:8:19|[余春娇]瞬间抬眼看着[张志明]，[张志明]低头和她对视，[余春娇]看向别处，
0:9:1|0:9:27|晚上[余春娇]和闺蜜们坐在海湾吃烧烤，伊莎贝尔打着电话[余春娇]满脸忧郁地坐在那，[张志明]向她们走过来，径直坐在[余春娇]身边，[张志明]拿起[余春娇]的饮料喝了一口拧上，转头对[余春娇]说道：他伸手去拿鸡翅，
0:9:36|0:9:59|[张志明]拎着鸡翅直接离开，[余春娇]接着烤肉。[余春娇]转头看到远处的[张志明]将鸡翅递给别人，公公看见[余春娇]过来直接闪身离开，
0:10:56|0:11:22|[余春娇]转身摸了摸鼻子离开了，[张志明]不耐烦地动了动嘴，到了晚上[张志明]回家一手扶着门把，他一手开灯，转身看到餐桌上的字条，他将钥匙扔在玄关的柜子上，他慢慢走进餐桌，看到餐桌上的字写着：我回妈妈家住，雨滴洒落在车窗上，[余春娇]看着窗外的夜景，
0:11:22|0:11:37|夜晚昏暗的灯光，照映出[余春娇]阴郁的心情，另一边[张志明]在家喝了一口啤酒然后放下
0:11:42|0:12:3|[余春娇]母亲家楼上灯火通明，手机上连续发来八条短信，[余春娇]躺在床上，刚拿起手机，母亲推门进来，母亲坐在她身边，将手放在她肩膀上，客厅里[张志明]听到[余春娇]母亲出来抬头看着他，
0:12:47|0:13:7|[张志明]转身走出[余春娇]家，伯母目送他出门，[余春娇]靠窗凝望楼下取车的[张志明]，[张志明]在马路对面向楼上看了看，随后驾车离开了。[余春娇]一个人呆呆地站在窗帘后默不作声。
0:13:7|0:13:19|第二天仰视天空，天气晴朗，风云变幻。垃圾桶上的烟蒂还在冒烟，未建完的高楼在风中飘摇。2009年11月22号，
0:13:32|0:13:54|另一边阳光明媚，[余春娇]牵着然后，听到电话，拿出手机看了一眼，紧张地接起了电话，地铁上[张志明]看着窗外，[余春娇]慢慢往前走，[张志明]用舌头舔了一下嘴巴，[余春娇]沉默着，
0:14:11|0:14:25|[张志明]面色不自然地抬头，用舌头顶了一下脸颊，[余春娇]听着电话里的声音，眼里充满泪水，
0:14:27|0:14:35|[余春娇]听后眼泪顺着脸颊流下来，
0:14:55|0:15:17|挂了电话，[余春娇]流下泪水，地铁里[张志明]静静地等待到站，另一边[余春娇]牵着狗慢慢走下楼梯，一架飞机从天空缓缓飞过，屏幕渐黑，出现字幕。
0:15:17|0:15:23|2010年10月15号，[余春娇]和[张志明]认识的第四百二十一天，
0:16:23|0:16:30|乘客用手肘碰了碰空姐的臀部，空姐转过头，
0:16:43|0:17:8|飞机缓缓落地，一望无际的停机坪里停着数架飞机，机舱内空姐带着乘务人员出现乘务人员走到乘客面前，乘客站起来看着公公[张志明]急忙为公公掩饰，
0:17:48|0:17:55|[张志明]转头死死凝视公公，公公心虚地转头不再看他。
0:18:4|0:18:18|正如公公所言，[张志明]和这位身材火辣的空姐接下来会有一段美好的邂逅。汽车急速行驶，道路两旁高楼林立，红灯时汽车在大街上排起长队，喇叭声此起彼伏。
0:18:18|0:18:44|到了公寓内，[张志明]双手抱着一摞书整齐地放在书架上，然后转身蹲在地上整理纸箱里的东西，他拿出一个礼盒和杯子放在地上，接着拿起一个小玻璃瓶，停下了手中的活，他拆开包装，小玻璃瓶里还有半根烟，耳边想起[余春娇]的话，
0:18:44|0:18:51|他将小玻璃瓶拿到眼前，用手指转动玻璃瓶，陷入了回忆当中，
0:19:19|0:19:23|[余春娇]被吓得直接捂着眼睛跳上沙发，
0:20:15|0:20:22|[余春娇]摇头，[张志明]笑喷，连忙用手捂着嘴巴，
0:22:12|0:22:26|回忆过后[张志明]低着头发呆，他看着手中的玻璃瓶，脚踩开垃圾桶，面无表情地低着头看见垃圾桶，他捏了捏玻璃瓶，移开了脚，转身离开了。
0:22:26|0:22:44|仰望天空风云变幻，垃圾桶上的烟蒂还在冒烟，后巷内[余春娇]和party正在垃圾桶前，[余春娇]手拿饮料，嘴咬着吸管，旁边的party抽了口烟，拿着烟盒递给[余春娇]，[余春娇]摇着头，
0:22:54|0:23:14|[余春娇]呆住，另一边夜店里烟雾迷绕，舞池里性感的美女们疯狂扭动着腰肢和臀部，男人们嬉笑着脸游走在他们中间，舞池旁[Sam]拿着啤酒，扭动着身躯走向美女，
0:23:28|0:23:35|[Sam]一手搂住美女的肩膀和她碰杯，随后推着美女到好友面前，
0:23:42|0:23:48|转眼间一群人到了餐厅，男士们贴心的为美女们拉椅子，
0:24:26|0:24:32|深夜北京的办公楼依然灯火通明，
0:24:58|0:25:21|接着[张志明]拿着手机来到一个叫上床吧的地方，轻轻叹了口气，将手机装进兜里走了进去。床吧建筑风格有些复古，里面放着古典音乐，[尚优优]召唤道，[尚优优]坐在沙发上，[张志明]走进来，顺势坐在她身边，
