0:3:38|0:3:47|热闹的街道上烟花礼炮齐鸣，而在这座酒店里，
0:4:34|0:4:46|特务上前检查饭菜。只是窗户玻璃被人砸碎，特务们就拔枪瞄准。特务们上前查看，确定没有异样才放松警惕。
0:4:48|0:4:52|他饭菜也没有检查，便批准了上桌，内务服务员端走，上前走来。
0:4:57|0:5:3|范老先生瞥了一眼粉蒸鸡。
0:5:4|0:5:29|话音刚落，内务服务员掀开蒸笼拔枪，当即两枪打死了叶剑波，特务们纷纷朝其开枪，只见他朝着门外仓皇而逃，就在他快跑到门口时被一枪击中小腿。特务们趁机追赶，而餐桌上留下范老先生惊恐地看着叶剑波的尸体。
0:5:29|0:5:36|报纸上越来越多关于被刺杀和被袭击的消息。标题为叶剑波被刺杀。
0:5:36|0:5:52|华中方面军第十军柳村平助遭投毒，第三十四师团宫本武藏遭受伏击，甚至关东军防疫给水部研究基地遭袭，华中派遣军运输车被炸，第十五师团田中茂大佐遭伏。
0:5:52|0:6:8|一条条报道，一张张报纸，将一个个汪伪政府和日军的负面消息通通都公之于众，一种恐怖气氛不觉间已然笼罩。即便是他们内部，越来越多的军政高层也人心惶惶，不可终日。
0:6:10|0:6:25|这天，日本华东宪兵支部的刑讯室内，女刺客靠坐在地上，腿上的鲜血刚刚干涸。一旁的特务处长[王田香]闻着一柄刷子。女刺客万分惊恐地看着他。
0:6:37|0:7:3|王天祥把香料刷在女刺客的胸口，女刺客惊恐地看着他，却丝毫没有出卖组织的打算。特务处长自是不想耗着，端起香料泼在女特务胸前。继而，他起身来到水池前准备洗手。手下为其拧开水龙头。
0:7:8|0:7:12|猎犬狂吠。女特务紧张极了。
0:7:21|0:7:29|猎犬啃食掉涂有香料的部位。皇军特务机关长[武田]来到了地牢。[武田]放缓脚步回过身来。
0:7:45|0:8:1|六爷哈腰领命。最后，跟着[王田香]走去审讯室。这边，回到司令部的[武田]被中将责问。原本摧毁暗杀组织的任务已经交给汪政府的剿匪司令部了。
0:8:21|0:8:31|中将狠狠地嘲讽了他不靠谱的直觉。[武田]这时已再无法反驳，毕竟毫无证据的直觉难以让人信服。
0:8:32|0:8:37|他紧盯着中将的目光，后退两步，猛然跪倒在中将面前。
0:8:38|0:9:6|中将微微一愣。[武田]双手放在大腿上，陈述最后的请求。说罢，[武田]磕下头，中将始终没有说话。另一边，外号六爷的老头，在日军军官的护送下走出宪兵部。临别时，互打招呼。刑讯室内，
0:9:6|0:9:26|特务正擦洗着铁架。而女刺客躺在地上，死相可怖。她头上太阳穴和眼角都插着银针，脸上胸口都是血迹。[武田]正站在办公室的窗前，[王田香]走来，递出一个破旧的小本。[武田]没有搭理，转身回到椅子上。
0:9:27|0:9:31|[王田香]有些不爽，拿着本子跟上。
0:9:42|0:10:4|[武田]靠着椅子低着头沉思了一会儿。他手指轻点桌面，[王天祥]会意，将小本放下。[武田]双手戴上白手套，轻轻翻开破旧的笔记本的扉页。
0:10:8|0:10:31|城隍庙前有磨剪刀的和各种小摊小贩，路上人来人往。这时，列队跑步训练的日军经过。路边车里，[王田香]正抽着烟盯着梢。此时一个戴着帽子的瘸腿大爷挎着包叼着烟，走在人群中。
0:10:31|0:10:59|他一瘸一拐的身影很快吸引了乔装后的特务。拐角处，伪装成洋车夫的特务，也认出了这个瘸子。而瘸大爷毫不知情地朝布告栏走去。洋车夫急忙回身跑到车前。处长听到一愣，然后沉思了一会儿，又抽了口烟屁股。
0:11:0|0:11:5|洋车夫转身跑走。马路上，薛大爷仍旧一摇一晃地朝着布告栏走去。
0:11:6|0:11:11|身后紧跟着的特务正要抓个人赃俱获，洋车夫跑来制止。
0:11:13|0:11:31|乔装的特务互相传话。薛大爷全然不知，仍在布告栏刷着浆糊。他表情木讷，行为自然，任谁也看不出来是在执行任务。完事后，他拎着桶走进人群。
0:11:52|0:12:8|武田在地图上画些圆圈。说完，他伸了个懒腰。办公室的电报机传出一份机密情报，情报以无线电磁波的形式穿过复杂的设备，在终端传出。
0:12:8|0:12:33|内容如下：近期恐怖活动猖獗，我方情报渠道似乎已被渗透，帝国中将掛尾良夫，诚邀剿匪司令部张司令及有关人员，于10月31号晚9:00往西郊百草堂探讨情报作业流程。至此，密电全部内容已经发送到汪伪华东剿匪司令。
0:12:33|0:12:51|这份密电，正是[武田]大佐准备的圈套。其目的，是要利用告密者，引诱出暗中潜伏的老鬼和老枪。这天，汪伪政府华东剿匪司令部内。电报室内，一众密码员井然有序地开展工作，
0:12:52|0:13:8|有的敲击着电报机发送讯息，有的查阅密码本翻译电报，最前面的[顾晓梦]正边打着电话，边记录文件内容。随后，她挂掉电话，把写好的内容夹进文件夹，快步走进更里面的办公室。
0:13:9|0:13:23|她将文件夹递给电译组长[李宁玉]。[李宁玉]打开文件夹，取出里面的手稿翻看了一下，又将文件夹合上，把手稿重新抄写一份在另一张纸上。
0:13:24|0:13:40|收发专员[顾晓梦]抱着文件夹走进处长办公室。正巧，锄奸队队长[吴志国]也在屋里。处长一手接起电话，一手接过文件夹。[吴志国]摸出打火机，边点烟，一边靠近。
0:13:41|0:13:56|他深吸了口烟，来到处长旁边。处长不耐烦地挂掉电话。接着，他合上文件夹走出办公室。此人便是军机处长[金生火]。他夹着文件夹，快步走向司令办公室。
0:14:0|0:14:8|进门他一看，只有司令侍从官[白小年]一人靠在沙发。[白小年]看到处长，起身准备接过文件。
0:14:10|0:14:16|[白小年]哼了一声，夺来文件夹，一边翻看，一边推门走进司令的里屋。
0:14:19|0:14:41|推开门，[白小年]拿着文件，快步来到司令办公桌前，将其放进抽屉里。两天后的城隍庙，傍晚，行人熙熙攘攘，薛老头拎着一桶浆糊来到布告栏前，他将一份彩票公告不紧不慢地贴上布告栏。做完这些，他拎着桶便离开了。
0:14:41|0:14:49|而这份彩票公告传递的情报正是：10月31掛尾等齐聚百草堂，请同志袭杀之。
0:14:54|0:15:13|夜里纵情声色的歌舞厅，俊男靓女在舞池里摇曳生姿。其中，不乏军界商界年轻翘楚前来买醉潇洒。[顾晓梦]正和一位白人年轻小伙跳舞。而[李宁玉]则趴在吧台上抽着烟，面前还有半杯喝剩下的洋酒。
0:15:13|0:15:28|靓丽的[李宁玉]愁眉不展，似乎有什么心事。她盯着烟灰缸，吸着男士香烟。舞池里的[顾晓梦]玩得不亦乐乎，在舞伴的帮助下完成高难度的舞姿。酒保接通了吧台的电话。
0:15:31|0:15:41|[李宁玉]盯着酒保，似乎期待着什么。[顾晓梦]穿过拥挤的人群，朝着吧台走来。[李宁玉]注意到回来的[顾晓梦]，仰头喝完了杯子里的洋酒。
0:15:41|0:15:52|[顾晓梦]接通电话。挂断电话的[顾晓梦]抓起一瓶洋酒，探头凑近[李宁玉]招呼道。
0:15:55|0:16:16|[李宁玉]起身，掐灭了手中的香烟。[顾晓梦]端起杯子将洋酒一口闷完，留下小费。两人披上大衣潇洒离去。深夜里，一辆汽车行驶在山路上，车里坐着[白小年]、[顾晓梦]、[李宁玉]、[吴志国]和[金生火]。
0:16:16|0:16:29|酒后受不了颠簸的[顾晓梦]趴在窗户上吐了起来，难闻的气味在车里挥散出来。众人掏出手帕，捂鼻子或是轻轻煽动。
0:16:31|0:16:36|汽车来到一处铁门前，两边驻扎的士兵急忙移开路障。
0:16:37|0:16:58|汽车顺利通过后，没多久，便在一处小路边停了下来。这条小路蜿蜒狭窄，只够一人通过。而小路的两旁却立着两个碉堡，其上巨大的射灯闪耀夺目。卫兵打开车门。[吴志国]率先走出，而后是处长[金生火]，
0:16:58|0:17:4|电译组长[李宁玉]和收发专员[顾晓梦]。夜里的山林小路崎岖，
0:17:5|0:17:22|[顾晓梦]和[李宁玉]互相搀扶向前。一行人来到一座钢桥上，周围散发着阴森可布的气息。[顾晓梦]先忍不住了，小声骂道。
0:17:24|0:17:40|作为司令侍从官的[白小年]为众人解惑。众人来到桥头。[吴志国]看到一旁的日文警告。
0:17:43|0:17:49|众人顺着[白小年]的目光看去。
0:18:8|0:18:24|[白小年]妖娆地挤开[顾晓梦]，朝着房间走去。有了他带头，众人也都纷纷跟上。直到最后，剩下[李宁玉]挽着好姐妹[顾晓梦]走来。二人经过特务处处长[王田香]时，[顾晓梦]还趁机挑衅地瞥了一眼。
0:18:24|0:18:43|不多时，众人依次走进豪宅内。随着大门砰然关上，宣告着这次特殊会议的开始。众人顺着楼梯走上卫兵指出每个人的房间。
0:18:54|0:18:58|[李宁玉]拽着[顾晓梦]朝房间走去。
0:18:59|0:19:8|推开门，[顾晓梦]来不及考察考究的家具，快步走向卫生间。她拽亮电灯，推开门，直奔马桶。
0:19:9|0:19:34|客厅里的[李宁玉]看着室内环境思索着什么。卫生间传出冲水声。楼下大厅几名特务退至钢桥，不小心发出声响。半个小时不觉已经过去。[李宁玉]扶着[顾晓梦]，快步走进会议室。[金生火]看着彩票。
0:19:34|0:19:48|众人围坐长桌前，面前各放着一张瘸老头贴的彩票单子。
0:20:32|0:20:40|[白小年]透露出司令并没有为此事点头，众人开始插科打荤。
0:21:17|0:21:21|[吴志国]起身，把[王田香]正看的报纸抽走。
0:21:30|0:21:34|暗处的[武田]将母本丢到桌上。
0:21:36|0:21:43|[王田香]看到熟悉的本子，率先站起身。[武田]从暗处走来，直到灯光照亮他的脸庞。
0:22:1|0:22:9|[武田]目光锐利地扫过每个人，还没醒酒的[顾晓梦]差点又吐出来。
0:22:10|0:22:24|长桌前，[武田]高坐在首位，盯着[李宁玉]和[顾晓梦]的破译进度。身为电译小组组长的[李宁玉]，这事对她来说并不难。她翻动着母本勾画着。
0:23:0|0:23:9|[李宁玉]将每个组合写在纸条上，不断拼凑尝试。
0:23:15|0:23:25|酒醒的[顾晓梦]瞪着迷糊的眼睛看着[李宁玉]问道。[李宁玉]重新整理顺序。
0:23:26|0:23:42|[武田]这时抬眼看向[李宁玉]的神色。另一边，沙发上三个男人突然也关注起来。桌上标着数字的纸条，不知道什么时候已经写全了对应的汉字。将14个汉字排列成通顺的语句，正是：
0:23:43|0:24:9|10月31掛尾等齐聚百草堂，请同志袭杀之。压抑的气氛瞬间传递开。众人走上前想知道结果，[顾晓梦]点上一根香烟，她再抬头时，众人已经围了上来。[李宁玉]吸了口烟，缓缓说道。此话一出，众人脸色皆变。
0:24:9|0:24:22|沙发上的[王田香]看着这边，慢慢站起来走来。他双指夹着翻译后的谜信展示给众人。
0:24:38|0:24:45|[武田]胜券在握地看着众人。闻言，[金生火]露出难以置信的神色。
0:24:47|0:24:55|[白小年]则是瞪着眼睛，似乎想要找出内奸。
0:24:59|0:25:6|这话让众人不由得忐忑起来，[金生火]也忙将手里不合时宜的饼干丢进烟灰缸。
0:25:7|0:25:15|[武田]不做停留，便迈步离开。众人一直盯到直到看不见他的身影。
0:25:20|0:25:48|[顾晓梦]笑了，[王田香]瞪去。[顾晓梦]捂着嘴更憋不住笑了。夜渐渐深了，这座环海小道上的豪宅散发出疹人的气息。一副望远镜正扫视着一个个嫌疑人的阳台。窗户前，[吴志国]走来，他似乎察觉到了有人在监视。
0:25:48|0:26:4|望远镜的主人很快更换目标。这次监视的目标是[李宁玉]，她正在窗后伏案写作。望远镜的主人正是[王田香]。他刚放下望远镜，又锁定了下一个目标。隐约透过窗户，
0:26:4|0:26:12|能看到床上躺着的身影，正是已经睡意朦胧的[金生火]。他突然听到动静。
0:26:14|0:26:33|他立刻坐起，伸手摸向枕头下的枪，朝外张望。[金生火]还是有些不放心，便披上衣服拿着枪出门。寂静的夜里他睡意全无，左右张望着。密电泄露的事让他感到十分不安。
0:26:34|0:26:51|王处长和[武田]的态度令他格外担心能否安全走出这里。另一边，[顾晓梦]穿着衣服躺在丝绸大床上，傻愣愣地看着天花板。[李宁玉]仍旧在窗前点着台灯伏案写作。[顾晓梦]走来拍了一下[李宁玉]，
0:27:0|0:27:7|[顾晓梦]趴在桌前故意逗乐[李宁玉]。
0:27:13|0:27:20|准备倒茶的[李宁玉]停下手上的动作，回身看着[顾晓梦]。她放下茶壶递来茶杯，
0:27:21|0:27:30|[顾晓梦]突然伸手指着[李宁玉]。
0:27:40|0:28:3|[李宁玉]照着镜子查看衣服腋下的开口。[顾晓梦]说着，端出针线盒。她蹲下身帮[李宁玉]解开旗袍。[李宁玉]脱下旗袍，[顾晓梦]顺手接过。她拿着旗袍端着针线快步走来，盘坐在高档沙发上。
0:28:10|0:28:17|[李宁玉]披着衣服坐到[顾晓梦]旁边。[顾晓梦]缠着针线，端详着[李宁玉]。
0:28:23|0:28:37|[顾晓梦]眨着漂亮的眼睛望着[李宁玉]。[李宁玉]回望过来，[顾晓梦]已经开始低头做起女工。她拉过那双正在穿针引线的纤细小手。
0:28:38|0:28:46|红着眼睛的[李宁玉]张了张嘴，没说出话。她张开双臂扑在[顾晓梦]怀里，[顾晓梦]轻轻搂着他。
