0:2:39|0:2:46|随着使者富有庄严气息的声音，外国使节[阿斯巴将军]一行人乘着马车来到大佛脚下，
0:3:16|0:3:25|进入浮屠之中，只见一根浩大铜柱接天连地立于眼前，[阿斯巴将军]举头而望，却不得其项背，
0:3:40|0:4:1|大佛乃铜铁所制密不透风，如今正值赶工之期，工匠甚多，火石熔浆裸露，故此燥热难耐。路过铜柱，[阿斯巴将军]依木而观之，那铜身自上而下皆都悬有画像，[阿斯巴将军]不知甚解，便开口问道。
0:4:33|0:4:40|他们左顾右盼地推脱，最终将一个圆润的男人推举了出去。
0:4:42|0:5:0|说话之人乃是工部侍郎[贾颐]，也正是此人一手督造了这六十六丈通天浮屠。随着十数匹骏马拉动齿轮，站在木箱中的几人缓缓上升，
0:5:16|0:5:21|说话的功夫，那监工和[贾颐]都到了大佛顶层，[贾颐]继续介绍道。
0:6:2|0:6:10|应付了监工，[贾颐]嫣然一笑向着将军走去，刚刚步入佛墓之中，却是一阵眩晕，缓缓说道。
0:6:15|0:6:38|于是几人便穿山而过来，到浮屠眼下搭建的平台之上，正如[贾颐]所说，今日天气晴好，立于此处，便可纳洛阳进入眼底。[阿斯巴将军]开口说道，大佛建于工程之内，明堂之前俯瞰而下，却见皇庭恢弘。
0:6:39|0:6:55|就在此时，翻译官尚不及将话说完之时，只见那贾颐脸上竟猛地燃出火焰，散出浓郁黑烟，听得众人纷纷向后躲闪，虽有心相助，却无从下手。
0:6:56|0:7:0|无需片刻，贾颐浑身周遭竟被烈火包裹，
0:7:4|0:7:19|那灼伤之剧痛使他张口呼号，贾颐横冲直撞，跑进大佛内部棚阁之上，然烈火罩于双目，使其不能视物，扭转踉跄之下，等不及围观众人驱火相救，他便顺着通心柱坠了下去。
0:7:19|0:7:41|大佛虽高六十六丈三百尺有余，坠身而下，不过弹指功夫，然就是这区区数秒，竟也让贾颐之残躯焚烧殆尽，至于大佛脚下之时已然化作焦灰无数。只留下些许碎骨，在场官员使节监工既都难掩目中惊诧惶恐。
0:7:42|0:7:59|天后称帝在即，欲建通天浮屠昭示天下，如今却生出此等事端，堂堂工部侍郎[于青]天白日之下，异国使节之前自焚而亡，惨不忍睹，于是乎大理寺卿[薛勇]率众赶赴现场进行查看。
0:7:59|0:8:8|大理寺乃唐朝最高司法机关，掌邦国折狱详刑之事，一切疑案皆由大理寺查办，
0:8:24|0:8:30|一行人初临浮屠之中，便见工匠皆无心修筑，围而观之。
0:9:1|0:9:7|[薛勇]话音刚落，只见黑衣人纳剑入鞘。一声大喝，随即跳下棚阁，环视众人说道，
0:9:54|0:10:2|此话一出满堂哗然，众役夫或苦面告冤或推搡咒骂，那黑衣人叫作[裴东来]，不过而立之年却官拜大理寺少卿。
0:10:20|0:10:33|说着[裴东来]向前，将监工制服于身下，观其左手问道。拍下其腕上铜钩袖套露出一只断手。
0:10:47|0:10:56|[裴东来]一阵阴笑，稍施力于监工项背，将那铜勾随意抛掷到马厩里，
0:11:38|0:11:48|听得监公此言，薛勇顺其手指所向之处望去，只见通心柱上两页符咒被掀起，露出铜柱本貌。
0:11:48|0:12:10|[裴东来]闻言近身屏观国师所绘之平安福，稍作犹豫，伸手欲接之时，薛勇快步上前一把扯下符咒，[裴东来]心中略感不安之际，去见薛勇振臂一挥扯下第二道符咒。
0:12:21|0:12:28|一声令下，相关人等皆锁镣铐置于浮屠脚下，[裴东来]正欲审问监工，却听薛勇说道。
0:12:35|0:13:2|薛勇等人向着皇城策马而奔。内城教场正值武举大选，角楼砖壁之上却旋以神迹无数，城楼文洞之外擂鼓声响，校场之上一女子身披黄金明光铠，头戴牡丹凤凰冠，勒马立于与众将士之间，正是一代天后[武则天]。
0:13:24|0:13:54|只见[武则天]挥手一招，见龙威之浩荡聚凤仪之堂皇，另一边薛勇策马于教场之上，直觉阳光燥热难耐，[裴东来]翻身下马，伏地于[武则天]面前参拜，却听远处一声惨叫传来，只见骏马上一人浑身漫卷硝烟，正是那不信鬼神之薛勇，[武则天]身旁一女护卫开口道。
0:13:56|0:14:6|随后立即抽身御驾之前，却有周身烟雾缭绕，面容扭曲骇人，女护卫观其行径，竟有直冲[武则天]而来之意。
0:14:6|0:14:28|于是驸马扬鞭身阻其道，迎那火源而上，策马终将其止于御驾之前，[狄仁杰]坠于马下，女护卫受其一撞之力，身形不稳，众将士这才反应过来，策马扬鞭将[狄仁杰]团团围住，只是却无一人敢以身犯险，只得任其将[狄仁杰]吞噬殆尽。
0:14:28|0:14:33|入夜之后大雨淋漓，天雷降及浮屠，众人人心惶恐，
0:14:57|0:15:11|尚书房中六部奏章之前，[武则天]席案而眠，众侍女乘泛舟于寅晚，缓行至殿下。见面前恭维无数，[武则天]直言，
0:15:18|0:15:26|说话之人面容清秀，一副莞尔娇娥之状，端其相貌，竟是早前校场上舍身护主的女侍卫。
0:16:12|0:16:39|此人唤作[上官静儿]，是[武则天]身边的红人，一身武艺强横，更是忠心耿耿，[武则天]衣食住行皆由她照料，看着跪伏于自己面前乖巧无比的静儿，[武则天]不由得轻抚在其云鬓之上，就在一仆一主相视而笑之际，却听宫中侍卫一阵骚乱，一众宫人追随[武则天]至廊桥之前，
0:16:39|0:16:46|只见廊下台阶上一只梅花鹿屹然而立，
0:17:54|0:18:12|[武则天]说完，不由静儿而质疑，便抽身离去。金口玉言不可有违，于是静儿便换了便装，当夜便策马赶至[狄仁杰]受刑之地，翻身下马亮出腰牌，
0:19:4|0:19:11|年轻人忽地止住脚步，顿了顿说道，
0:19:18|0:19:26|火光映于二人脸上，才觉这一老一少双目无瞳，却靠听觉视物，察觉到周遭一阵破风声响，
0:19:42|0:19:58|话音刚落便有夜行者冲上焚烧台，将二人拦腰举起，直朝火炉中扔去，二人临危不乱，以所穿木屐勾连于焚烧炉外壁之上，顺势向后引抛，夜行者赋力难收冲向焚烧炉，伸手触于炉壁之上。
0:19:58|0:20:14|不曾想这焚烧的火炉日夜不息，那炉壁更是炙手滚烫，大意之中，一名夜行者被甩下高台，这时见那年轻男子伸手入眼，将覆于双目之上的两片薄膜挤下弃于平台之上，
0:20:14|0:20:26|只见那双目如炬，红光凛然，哪有失明的迹象，只是诈作眼盲罢了，此时五感俱在，年轻人将圈内场景尽收眼底。眼看又是两名夜行者携刀并重来。
0:20:27|0:20:49|他叫老林控制燃了一半的推车，掉头转向台下，来不及反应的两名夜行者被撞翻在地，台上，夜行者抽出冰刃，年轻人以手中镣铐作为武器，迎上去孤身与四名夜行者战作一团，他先是一记冲拳猛垂于一人胸口之上，而后避开刀柄，并拢双腿将右翼人踢飞。
0:20:49|0:20:57|最后以泰山压顶之势坠于再一人身上，转身却见一名夜行者挥刀向老林劈去。
0:21:4|0:21:29|就在年轻人安心一笑之时，两名夜行者悍不畏死，冲身向前，[上官静儿]闻声赶到，只见其肃穆如雪，进退间宛若银龙，手中拥有一条金丝蟒纹长鞭，出手如风，势如雷霆，上下翻飞时似金蛇凰舞，终于，督台守备率军赶到，拔剑大喝。
0:21:32|0:21:50|随即令兵将[上官静儿]围而护之，话音刚落，便听几只飞矢破空而来，急忙呼唤众人趴下躲避，年轻人戒备着周围刺客，却见他们朝焚烧如冲去，便喊道。
0:21:55|0:22:7|趁守军混乱，只见那几名上门的刺客，将或死或残的同伴抬起丢入火炉，随后自己亦是纵身而跃，投入熊熊大火之中，
0:22:18|0:22:23|大战结束，年轻人带着老林走下焚烧台，靠坐在地上歇息，
0:22:50|0:22:58|[上官静儿]走上前伸指试探老林，被年轻人出手拦下说道，
0:23:51|0:24:17|说罢老林瞪着那一双无瞳双眼朝着[上官静儿]阴阴地笑了起来，就好像盲了眼睛却看得更清晰了一样，此时方知那年轻人便是有海曲明珠，东南遗宝之称的[狄仁杰]，画面就在老林诡异的笑容中渐渐隐去，来到第二天一早，
0:24:32|0:24:51|明堂之前数千御林军，宫廷森严，参加武举殿试二人于场中空地刀兵相见，只为天后有所侧目。浮屠街上设立太监、宫娥亲身巡视，[上官静儿]换一身墨袍顶戴乌纱，跪拜于天后面前。
0:25:19|0:25:34|惊讶之余稍作犹豫，[上官静儿]径直随一众内侍撤离了，待到左右屏退，天后招手示意，[狄仁杰]便顺势坐于架子之旁，虽一身囚衣，发肤污浊，但面见天后从容有度不失名臣之风。
0:26:20|0:26:40|二人似乎刻意回避了上下尊卑，亦将往日腥风血雨不加提及，笑谈如将场上斗争的二人晾在一旁，引得[上官静儿]侧目，说罢，她翻开[狄仁杰]一只手掌，将一枚徽章放了进去，对他说道，
0:26:53|0:27:0|身于帐前的[上官静儿]，不知是否听到了天后所说，
0:27:0|0:27:28|当下则若有所思之状，画面来到宫墙之外，长河贯穿都城，将其一分为二，河水平阔，舟船络绎，岸上城内比武人声鼎沸，适逢大唐盛世，国威远扬，街上随处可见一簇商家，邻国游客，[上官静儿]得天后令，随[狄仁杰]一道离开宫城办案。
0:27:32|0:27:43|[狄仁杰]心中知晓天后对重新启用自己有所顾虑，安插[上官静儿]在自己身边，意在监视。
0:28:4|0:28:11|二人在四方馆廊亭之中边走边论，不久便来到[狄仁杰]的房间，
0:28:20|0:28:29|说罢[狄仁杰]背后的房门缓缓关上，却听得[上官静儿]说道。
0:28:34|0:28:58|而后她便走到屋内一尊屏风之中，也不避讳直接退下了官服。一声疑问之后，[狄仁杰]也不多话，坐于铜镜之前没过多久，[上官静儿]便换了女装，从屏风后走了出来，听到动静，[狄仁杰]回头查看，将身后之人上下打量一番，脸上并无过多惊异，反倒率先开口说道。
0:29:4|0:29:10|[上官静儿]面有愠色，当今天下除却天后以外，她还从未服侍过别人，
0:29:20|0:29:28|只见[上官静儿]向后一蹬，衣架上挂着的长鞭就被踢上了半空，她踩在矮桌上跃起，扭头回身一握，
0:29:28|0:29:39|将那长鞭纳入手中。眼见[上官静儿]冲来，[狄仁杰]饮一口冷水接连喷淋在其脸上，[上官静儿]又羞又怒，舞长鞭相向，却被[狄仁杰]夺了过去，将
0:29:39|0:29:54|剃刀塞给自己，说罢[狄仁杰]脑袋靠后靠近[上官静儿]湿漉漉的小脸，昂起脖子示意她为自己剃须，
0:30:44|0:31:3|说罢那[上官静儿]居然一个转头骑在了[狄仁杰]身上，而后取了头上发簪，头发顿时散若飞瀑，最后更是一解衣衫坦然相见，哪知胯下[狄仁杰]依然不为所动，淡然说道。
0:31:4|0:31:20|[上官静儿]不答，取下口中剃刀反问道。随即她捻剃刀如花，挑拨撩械解开了身下[狄仁杰]本就松垮的囚衣，正当[上官静儿]心急着准备再有动作之时。
0:31:20|0:31:38|身下的[狄仁杰]却猛地将她抱住，仅有数面之缘的二人顿时肌肤相切。就算是[上官静儿]这类女中豪杰，亦是觉得浑身酥软，一身功夫化作了泥。屋内软玉温香娇柔之时，[狄仁杰]将长鞭塞入[上官静儿]手中。
0:31:38|0:31:50|随后抽身而出关上的房门，紧接着便有无数箭矢破空而来，二人急忙闪身躲避，[上官静儿]长鞭拖拽自己贴地而行，藏于梁柱之后开口问道。
0:31:52|0:32:7|屋外箭矢不断，[狄仁杰]说罢熄灭了身边的一盏烛灯，而后又使其手边刀顺势一掷将最后的光亮湮灭了，屋内顿时黑暗一片，户外行刺之人失了目标，冲着屋内一顿乱射之后便没了动静。
0:32:7|0:32:28|二人以不变应万变匿于屋内不动声色，忽然[上官静儿]那一侧窗头有人秉烛而行，于是她扭头查看，随后随光影而动，追至门口，见外头那秉烛之人止了身形，便想开门一窥究竟，哪知刚刚拉开一条缝隙，便被[狄仁杰]拽着肩膀拖了回去，
0:32:28|0:32:47|屋外煞时破空而来无数箭矢直冲二人门面，情急之下[狄仁杰]将官袍悬于身前，将箭矢飞溅裹挟于墨袍之中，二人仰面倒地，就在[狄仁杰]的手臂快要碰到[上官静儿]后脑之时，随即，也顾不得自己仍是赤身裸体滚离了原处。
0:32:47|0:32:56|[狄仁杰]看她一眼，甚觉奇怪，此时这点小动作比之从前当真算是沧海一粟，却不知[上官静儿]为何有如此大反应。
0:32:56|0:33:23|[狄仁杰]暗自留意了下，随后一瞥暗中箭矢却发现一处端倪，于是他破开脚边鸟笼，将那翅膀中箭尚存一息的小雀放在手心查看，屋顶瓦片响动，[狄仁杰]顾不得其他，安置好小鸟立刻翻身上扬，追出了屋子，刺客踪迹，他来到另一处院落，见宾客满堂且重兵把守。
0:34:12|0:34:17|话音刚落，只听空中一声炸响，那兵符已然消失，而后一道人影从天降落。
0:34:48|0:34:54|于是众宾客冷言讥讽相伴离去，[上官静儿]满不在乎，直言于[狄仁杰]。
0:35:47|0:35:56|[狄仁杰]望向天空，见乌云遮目，说话的功夫，[裴东来]带着[狄仁杰]和[上官静儿]来到停尸房。
0:35:59|0:36:10|仵作刚推开门，便听笼中小雀鸣叫不已。[狄仁杰]观房中焦尸，再看手中鸟笼，随即说道，
0:36:11|0:36:24|裴东来不知其中深意，只觉无奈，并将鸟笼交给下属照看，三人随即进入停尸房中，仵作点了烟烛，立身两具焦尸之前展开卷轴，开口诵读。
0:36:38|0:36:55|[狄仁杰]询问裴东来未果，便知此人谨言慎行，顾忌天后之威严，遂转而面向[上官静儿]说道，[上官静儿]看了一眼，裴东来开口回复。
0:37:0|0:37:6|[狄仁杰]边说边将那枚徽章置于二人之间看，其说得认真，[上官静儿]只得离去，
0:37:13|0:37:27|所谓证物便是那只小雀，而所言关门则是说给[上官静儿]听的。将门闭合，[上官静儿]仗剑于身后，愤而立于屋外，又心生一计，抬头向屋顶望去继续念。
0:37:39|0:37:47|屋内的钦差[狄仁杰]，令仵作展手中卷宗读得声嘶力竭，[狄仁杰]这才倾身在裴东来耳边说道。
0:37:48|0:37:55|裴东来煞是诧异，再三端详眼前之人，面上睿智坚定，随开口试探道，
0:38:1|0:38:24|外头[上官静儿]已然攀上屋顶，就在二人轻声交谈之时，[上官静儿]掀开顶上瓦片朝屋内看去，可见人之身形，可闻许作诵读，却难听到二人所言，
0:38:51|0:38:56|裴东来听闻此言，便知眼前人难以糊弄，且一心探案不论其他。
0:39:13|0:39:17|裴东来不愿继续，遂微微仰头示意开口道。
0:39:23|0:39:40|[狄仁杰]阴沉着点了点头，裴东来随即提高音量，放声大笑，他收起脸上狂笑之色，反问[狄仁杰]。
0:40:24|0:40:27|[狄仁杰]疑惑发问之时，[裴东来]面露得意，反而说道，
0:40:29|0:40:42|二人交锋之际，房外天上乌云随风散去，骄阳似火，习照大堂，也就在此时门外头照看小鸟的侍卫忽而大喊道，
0:40:54|0:41:6|[狄仁杰]略一思虑说罢，几人赶了过去，那侍卫撑一柄墨伞盖于[裴东来]顶上，行至膳房[狄仁杰]问道，
0:41:14|0:41:31|墨伞之下，[裴东来]回应[上官静儿]，他不喜艳阳，这墨伞或许是他素白如雪的缘由所在。[狄仁杰]行至膳房案板旁，寻到那碗鸡血置于身前，从怀中掏出两支箭矢，观其形貌正是昨夜刺客所用的
0:41:31|0:41:40|暗器。旋扭下箭头，只见其里中空倒置之下，一无色液体潺潺流入鸡血碗中，
0:41:58|0:42:13|言至于此，[狄仁杰]端血外行至艳阳下，将其置于案上，俯身查看，只见碗中遂趋于沸腾，[狄仁杰]挥手示意，众人皆退避血碗三尺之外。艳阳之下，
0:42:13|0:42:29|但碗中血液泵溅不止，有墨色烟雾缭绕其上，众人尚不知其威力，便再度退避，以防无妄之灾。须臾片刻之后，那积血中热气翻腾逼出水泡无数，随后便听得一声炸响了。
0:42:29|0:42:41|[裴东来]只觉眼前火光突起，煞是难忍，拿一墨伞之于身前遮掩，不过片刻，只见那岸上蔬果杂物皆都付之一炬，自燃之秘其已破解。
0:42:41|0:42:59|三人便来到通天浮屠之中寻找相关线索，[武则天]登基在即，虽有命案未破，建造浮屠却仍是紧俏之势，于是工匠依旧坐于其中，取水池旁，那工人欲灌水入湖，却听一名同僚如此说道。
0:42:59|0:43:17|那皮壶失手落入池中，浮于水上，正欲捞起之时，却见一只手臂，拾了皮壶放进壁池中，顺着那手臂望去，监工脸色突然一滞，神情复杂万分，只见面前之人正是[狄仁杰]。
0:43:18|0:43:36|监工一声惊呼后顿了顿，方才说道。端详[狄仁杰]，[上官静儿]开口道。
0:43:41|0:43:49|不远处[裴东来]对[上官静儿]说道。
0:43:58|0:44:14|哪知[上官静儿]傲气十足，直言拒绝，说罢便从其身旁离去。也就是这一瞬，[裴东来]灵光乍现，取腰上铜壶置于口鼻之间，绝无异常，但却引思绪万千，着眼于取水池附近。
0:44:14|0:44:25|[上官静儿]看他做若有所思之状，便回身立于其面前问道。
0:45:34|0:45:40|说话间二人行至通心柱下举目，[狄仁杰]不由感叹道。
0:46:10|0:46:25|[狄仁杰]见一棚桌上放有焦骨碎屑，立身于大佛左眼棚阁之上开口问道，转头而望，随即悻笑着回答道。
0:47:36|0:47:41|[上官静儿]听出这暗讽言辞，放声讥笑，
0:48:53|0:49:10|原来那监工唤作沙陀，曾任职于大理寺，是[狄仁杰]之得力助手，告别沙陀之后，[狄仁杰]一行人赶至鬼市入口，只见苍茫荒原之上，一道巨大裂缝蜿蜒漫长，悬不见底，致其深处又见暗河涌动，薄雾缭绕。
0:49:10|0:49:18|[狄仁杰]晃动面前一铜铃，不出片刻，暗河之上烟雾起里，一老朽撑船而来，沙哑开口，
0:49:32|0:49:49|三人步于船上，随那老朽一道而行，不久便深入鬼市之中。河道两岸有鬼市，众人无数，都披破旧布袍遮隐身形，这些人久居地下时常不见天日，竟与那[裴东来]相仿，皆是发肤素如白雪而形迹诡异。
