0:2:2|0:2:8|接着，他用力撑起上半身，坐了起来。随后走到屋外。
0:2:21|0:2:34|看着平静的湖面，男人仰头望天，并点燃了一支烟。至此，电影《非凡任务》正式开始。画面一转，他正在洗脸，随后就听到。
0:2:36|0:2:51|原来他叫[林凯]，此时正望着脏兮兮的镜子，凝视自己。昏暗的室内，留胡子的男人，从柜子中拿出了几包像面粉一样的东西，并将手里的单子，递给对面的年轻男子。
0:2:52|0:3:7|年轻男子迅速将面粉状的小包和纸收起来，放进了背包。然后向胡子男鞠了一躬，接着转身离开了房间。看样子，应该是胡子男的手下。
0:3:17|0:3:24|刚才的手下背着包，穿过狭长的通道，向他们走去。
0:3:42|0:3:56|[林凯]从彬哥手中接过单子。看到[林凯]将面粉状的东西放进背包，[李建国]吩咐道。
0:3:58|0:4:8|[李建国]微笑着，目送其他几人离开后，转身走到正在收拾后备箱的[林凯]身边。说完，[林凯]绕到驾驶座，上了车。
0:4:10|0:4:18|另一边，胡子男坐在老板椅上，从裤兜中掏出手机后，放在耳边，轻轻说道。
0:4:19|0:4:33|崎岖黑暗的山路上，只有[李建国]和[林凯]的车一前一后地开着。[李建国]叼着烟，漫不经心地看了一眼后视镜，接着将手伸出窗外，向[林凯]示意，在前方的岔路口分开。
0:4:34|0:4:43|于是[林凯]直接转弯，向山下拐去。[李建国]看了眼后视镜，吐出一口烟后说道。
0:5:3|0:5:17|看了眼后视镜，[林凯]猛地回头，发现警车正在向他靠近。回过头正要轰油门跑，却看到前面桥头，也放着临时路障。于是他只能硬着头皮向前开去。
0:5:33|0:5:42|[林凯]双手举起，转身趴在车上。警察在他身上摸索着，另外几个则搜查后备箱，然后发现一个轮胎。
0:5:44|0:5:50|此时，黑色小包漏了出来，其中一个警察拿着东西，向[林凯]走过来。
0:5:57|0:6:13|说完，警察就亮出了手铐。就在这时，[林凯]猛地转身，迅速出拳，将对方打翻在地。接着他小跑上车，动作麻利地挂挡，并在原地漂移起来。
0:6:16|0:6:32|[林凯]趁乱，推开车门，弯腰捡起小包，加速撞开路障后，立刻向前方冲去。警察见状，先是放枪警告，随后，开车追击。狭窄漆黑的山道上，[林凯]一边开车，一边透过后视镜观察着。
0:6:32|0:6:49|此时，一辆警车加速，来到他的右边，另一辆，则狠狠撞向车尾。三辆车就维持着夹击的模样，向前高速行驶。突然，右侧的警车用力向左一撞，瞬间，[林凯]的车头被狠狠顶上路沿。
0:6:50|0:7:5|警察乘胜追击，再次用力，[林凯]的左侧车身直接被掀起，架在了水泥护栏上，不断前行。眼看就要翻下山崖，[林凯]向右用力一打方向盘，狠踩油门后，脱离了束缚。
0:7:6|0:7:17|谁知，刚开到弯道时，就被警车顶住左侧车身，接着，直接被推向路的边缘。最终，[林凯]连人带车，不受控制地被推到了山崖下。
0:7:17|0:7:29|一阵尘土飞扬后，夜晚，再次恢复宁静。接着，几个警察拿着手电，从山坡上滑下，小心翼翼地来到[林凯]车边。
0:7:33|0:7:45|驾驶室竟空空如也。画面一转，来到昏暗的木材厂，此时空地上站着两个男人。
0:7:55|0:8:2|留着短发的男人正冲胡子男怒吼。
0:8:17|0:8:38|短发男，也就是领导，听完后，眯着眼睛看了胡子男一眼，随后，不屑地转过身，轻轻抿了一下嘴唇后，开口道。灯光打在领导身后的豪华轿车上，胡子男低头沉思了一会后。
0:8:38|0:8:58|在原地跺了跺脚，随后转身，走向身后狭窄的通道里。没过一会儿，他就提着一个皮包走了出来，慢慢来到领导面前后，拉开拉链，给他看了看里面的东西。看完，领导后退了一步。
0:9:1|0:9:6|画面一转，回到了那间昏暗的室内，[李建国]被一凳子抡倒。
0:9:15|0:9:24|胡子男咬着牙怒骂道。毅哥，也就是胡子男，蹲下身。
0:9:39|0:9:53|[李建国]急忙爬起身，打开门落荒而逃。深夜，毅哥轻轻打开房门，回到家中，然后拖着疲惫的身子，走上了二楼。他的妻子正坐在沙发上，痛苦地望着他。
0:9:55|0:10:3|毅哥先是疑惑地向左边的屋里看去，发现女儿正睡得香甜，然后转过头，不解地看着妻子。
0:10:6|0:10:11|突然他顿住，在走廊的尽头，[林凯]正狼吞虎咽地吃着面。
0:10:12|0:10:25|看到[李建国]终于发现自己，[林凯]慢慢放下碗，然后从桌子上拿起手枪，慢慢把玩着。接着，整个人放松地靠在沙发上，目不转睛地盯着对方。
0:10:25|0:10:34|看到[林凯]漫不经心的样子，[李建国]挪着脚步，小心翼翼地来到走廊深处，坐在了离他几步远的椅子上。
0:10:58|0:11:22|随后，他慢慢地从沙发上坐起来，身体微微前倾。接着，[林凯]将手中的枪放下，拿起一旁的小包甩了过去。[李建国]接住后打开看了一眼，里边不是别的，正是之前彬哥给[林凯]那几包面粉状的东西。
0:11:22|0:11:38|如今看来，正是毒品。看到这里，他诧异地抬眼，随后对着[林凯]邪笑起来。画面一转，天快黑了，在一个到处都是垃圾建材的废弃楼群里，一辆轿车，
0:11:38|0:11:45|停在了其中一栋破败的大楼前。接着，一个戴眼镜的男人从驾驶室中走下来，
0:11:46|0:11:55|望了望四周之后，向大楼的方向走去。空旷又潮湿的大楼里，地面上到处都是坑坑洼洼的积水。
0:11:56|0:12:13|此时雨水从天而降，穿过废弃大楼，直接打在眼镜男的身上。就在他抬头环视四周时，一个小石子扔到了他的脚边。原来是蹲在二楼的[林凯]扔下来的，[林凯]来到眼镜男对面。
0:12:33|0:12:49|[林凯]坐在一块石头上，从兜里掏出一包烟，甩了甩打火机之后，点燃一根，叼在嘴边，深吸一口后，又望着前方发呆。眼睛男见状，慢慢蹲在了他的身边。
0:12:50|0:13:2|说完，[林凯]看了看眼镜男，后者若有所思地点了点头。
0:13:7|0:13:12|随后，他坐上眼镜男的车，在一处棚户区前停了下来。
0:13:13|0:13:20|四处打探了一下周围后，他俯身打开车门下了车，而眼镜男则陷入了回忆当中。
0:13:29|0:13:37|穿着警服的[林凯]站在他对面，表情刚毅且坚定。
0:13:53|0:14:16|回忆结束，[林凯]已经消失在路的尽头。镜头一转，程毅带着[林凯]拐进狭窄的走廊，来到一个棋牌室门口。一个男人看到后，走了进去。英姐从牌桌上下来，来到二人面前。
0:14:20|0:14:31|另一边，杨彬和朋友正坐在车上说笑着。突然，不远处传来枪响。于是，他立刻开门就跑。
0:14:33|0:14:48|而程毅则带着[林凯]，走进了一个菜市场。他指着商贩说道。
0:14:51|0:14:57|杨彬此时拐进一个胡同，看见警察举枪就射，无奈被瞬间包围，打中心脏。
0:14:58|0:15:4|程毅正带着[林凯]向胡同深处走去，沿途时不时还有手下给程毅递烟。
0:15:5|0:15:12|另一旁，警察摸着杨彬的脖子，反复确认他是否死亡。
0:15:29|0:15:34|原来程毅带着[林凯]四处走动，去熟悉各大据点的负责人，是宣布正式取代杨彬。
0:15:36|0:15:44|随后，二人来到一个工厂内，穿戴整齐的工人正有条不紊地分离毒品。
0:15:55|0:16:3|两人在歌厅中纵情声色。
0:16:8|0:16:15|[林凯]拿到现金后转身离开，回到工厂后，又仔细打量着包装好的货品。听到[李建国]叫自己。
0:16:17|0:16:26|就跟着他走向了工厂深处。深夜来临，一辆轿车缓缓驶过江边。
0:16:42|0:16:59|[林凯]仰靠在车后座上，冲眼镜男说着。听到这里，眼镜男陷入了沉思。突然，战友痛苦的脸庞和一个名为张海涛的墓碑，进入他的脑海，但很快，这些画面又消失不见。
0:17:7|0:17:13|[林凯]和一众手下正在吃饭，喝酒，他抽着烟，
0:17:16|0:17:32|仿佛意识已经抽离。酒过三巡，人们逐渐疯狂，有人将大把人民币跑向空中，屋中下起了钞票雨。但[林凯]却神色落寞地坐在床边，望着烟雾缭绕的光影和不断洒落的人民币。
0:17:34|0:17:57|他麻木地喝着酒，一根又一根地抽着烟，周遭的狂喜仿佛与他无关。响久，喝醉的人们横七竖八地睡着了，他们有的躺在地上，有的歪在椅子上。唯一相似的，就是手中都抓着大把大把的现金。[林凯]也睡着了，
0:17:57|0:18:20|不过他却痛苦地喘息着。睡梦中，一个年轻女人蜷缩双腿，靠在椅子上，用力咬紧牙关之后，将毒品通过针管注射进了胳膊中。突然她不受控制地抽搐起来，呼吸变得十分急促。无意间将身边的台灯打翻在地。
0:18:20|0:18:28|此时，一个小男孩躲在柜子后，静静地望着屋里的场景，不敢发出一丁点声音。
0:18:29|0:18:38|看到女人突然僵直在椅子上，一动也不动，他咬紧了嘴唇，挪动脚步，来到女人身边后，忍不住哭了起来。
0:18:40|0:19:1|原来这个女人，是男孩的妈妈。急促的电话铃声响起，[林凯]瞬间睁开了双眼，梦境中的小男孩也随之消失不见，原来这就是他的小时候。
0:19:2|0:19:28|接着，[林凯]扭身拿起一旁的手机。[林凯]听完急忙起身，开了一条门缝后，看到[程毅]正站在门口严肃地看着他，随后喊了一声。[程毅]没有正面回答，
0:19:28|0:19:43|而是开车带着[林凯]，来到一个废纸压缩站内。慢慢地，轿车停在一辆大铲车前，工人们看到后，急忙走上前来。随后，[程毅]和[林凯]下了车。
0:19:50|0:20:9|[林凯]打开后备箱后，突然顿住了，里面竟然摆放着成捆的美金。看到工人们熟练地将钱抱走，他站在原地，不动声色地观察着。[程毅]则站在车前方，望着工人们，把钱抱向压缩站深处。此时，
0:20:9|0:20:22|一个人来到机器前，点了几下屏幕，传送带立刻启动起来。铲车先将废纸放进传送带上，几个工人随后将成捆的美金扔进了纸堆当中。
