0:2:44|0:2:48|[沈炼]看得是心头一紧。
0:2:50|0:3:12|那鞑子不肯善罢甘休，朝着俘虏的尸体撒尿，鞑子拎着躺着血的军刀来到另外两名俘虏面前，[沈炼]在巨石后犹豫，而达子双手挥刀一发弩箭，打中脑袋，接着[沈炼]飞身一跃砍翻了鞑子，随后躲过迎面而来的横踢，接着用棍子一记竖砍，
0:3:12|0:3:23|窜到鞑子背后使出了一记反抱摔，鞑子起身飞刀却被[沈炼]脚踢飞，随后又飞扑而来，一刀直捅鞑子心窝，两名俘虏这才侧身看清[沈炼]。
0:3:23|0:3:48|他正主刀绞碎鞑子的心脏，浓雾中冲出手持长矛的鞑子直指[沈炼]，却被一名俘虏跳起撞翻，悲痛的鞑子伸手挣扎，[沈炼]咬断他的手指，长矛敲到了俘虏的头上，只见鞑子取着长矛步步紧逼倒地的俘虏，关键时刻，[沈炼]侧方杀出一把军刀，捅了个对穿，重伤的鞑子拔出腰间匕首朝[沈炼]脖颈挥刀，
0:3:48|0:4:14|[沈炼]架起小臂隔挡，却输给了这鞑子的力气，刀尖没入了[沈炼]的肩头，[沈炼]咬牙将刀一横，双手握刀拼命上彪，一时间鲜血扑天，[沈炼]也因为力竭卧倒地上，那鞑子则是死得不透彻，一旁的俘虏见着场面着实心惊肉跳[沈炼]双手合力拔出肩上的匕首，顾不及冒血的伤口先给旁边的俘虏松绑。
0:4:14|0:4:23|麻绳轻而易举被军刀划断，疲惫的[沈炼]将匕首给俘虏，俘虏接过军刀起身去帮同僚松绑，
0:4:40|0:4:57|[沈炼]捂着肩膀上的伤口跪坐在地上，那守备斜眼盯着[沈炼]，[沈炼]才发觉他看上自己腰间的水囊，于是随手摘下丢去，他渴坏了，仰头猛灌起来，竟比那美酒喝地还香。
0:5:0|0:5:23|解渴后守备将水囊又丢给躺在地上的同僚，便转身深情郑重地朝着[沈炼]用力一抱拳，[沈炼]抱拳道，四目相对，两人表情格外认真，雪仍未停，天边竟升起来朝阳，刺目的光芒落在二人的脸庞。
0:5:23|0:5:37|[陆文昭]率先转过身来到山崖边，远望朝阳，[沈炼]也跟着上来，停步四顾，有道是朝阳破云、雪健消，[陆文昭]望着百万腐尸，
0:5:53|0:6:2|[沈炼]看了看[陆文昭]，一时没琢磨明白，又转身望向绵延的尸体，他瘦削刚毅的脸上写着不屈和桀骜。
0:6:13|0:6:20|时间一晃八年过去了，死人堆爬出来时刀盾甲破的[沈炼]已经换上了一套锦衣卫的飞鱼服。
0:6:20|0:6:40|这天夜里，他带着手下来到了北京城南的明徐芳，小小的金陵城楼里却闹出了大人命，[沈炼]端了个煤油灯，上下打量着眼前的尸体，举着火把的手下没忍住呕吐，
0:7:3|0:7:10|发现来人正是自己先前派出去的手下，
0:7:26|0:7:39|这位总旗便是[凌云铠]，是[沈炼]的死对头，[凌云铠]带着大批人马气势汹汹走来，上前抱拳道，
0:7:59|0:8:14|[凌云铠]拿着小本记录，一听是东厂公公，他忙上前检查，很快便认出了死者，掌印太监执掌的印，便是这玉玺，眼下却死在了这儿。
0:8:25|0:8:47|这是准备当面抢[沈炼]的饭碗[凌云铠]装出不可思议的神情，[沈炼]到底是上级，自是不虚[凌云铠]，[凌云铠]瞪大了眼睛，疑惑地看着周围，诚恳地说道，
0:9:25|0:9:34|[沈炼]拽出后厨柜子里的小伙计，前厅的[凌云铠]握着狼毫在小本上描绘凶案现场的画面，
0:9:52|0:10:5|[殷澄]的话传到了[凌云铠]耳朵，这时[沈炼]在后门寻找凶手的动向，[殷澄]大大咧咧地在前厅嚼着花生喝着酒。
0:10:47|0:11:3|[殷澄]酒杯被砸，转身怒视，原来是[沈炼]，[沈炼]将他领口一拽推了出去，失了面子的[殷澄]大不理睬。
0:11:5|0:11:15|却被[凌云铠]拦住了去路。手下将[殷澄]团团围住，
0:11:28|0:11:46|[殷澄]惊慌地望向了[沈炼]，[沈炼]怒目圆瞪。凌云铠顺着[殷澄]的目光挨个指着，凌云铠抿了抿嘴不爽地说道，他伸手拍着[殷澄]的肩膀。
0:12:2|0:12:14|凌云铠死死盯着[沈炼]，这时敢上前搭救，便会被打为同党，而[殷澄]被摘帽卸刀，摘帽好说，这卸刀他可不乐意了，
0:12:23|0:12:59|[殷澄]急忙撞门而逃瞧着[殷澄]夺路而逃，[沈炼]想着眼下的对策，又警惕地看着缓步而来的凌云铠。他神态浮夸，又继续难为[沈炼]，[沈炼]身后的兄弟不由得紧张起来，几名手下忙离开这是非之地
0:13:2|0:13:30|[殷澄]在人群中横冲直撞身后的锦衣卫也紧追不舍，热闹的街道上[殷澄]随手推倒一个端着火盆的路人，炭火洒一地，延缓了追兵的速度，奔到酒肆街巷，所谓酒肆街巷便是路两旁的酒馆饭店，路中间则是一条小河，每当过节这里便是最热闹的地儿，[殷澄]在人堆里举步维艰，
0:13:30|0:13:44|眼瞅着两岸的追兵就要追上来，[殷澄]索性放慢步伐在此一战。为首的锦衣卫一跃踢刀，[殷澄]横刀一挡，见追兵追来转为一拳，砸着对方面门，再一记正踢撞三四五人，
0:13:44|0:13:50|转身腾空一跃跳进游船，又将船上的伙计推下了水。他将刀架在船夫脖颈上催促道，
0:13:52|0:14:9|小河仅有的一条船被[殷澄]占了去，两岸的锦衣卫顿时束手无策，见此，[殷澄]方才松了口气，开始调整呼吸，不久小船便驶出了闹市区，[殷澄]拄着刀坐下休息。
0:14:9|0:14:29|正当他一抬头发现前方小桥上伫立着一条锦衣卫的身影，[殷澄]忙站起身来准备应敌，可临近地借着月光看到是[沈炼]后，他心中顿时曲萌生退意，[沈炼]纵飞一跃，取出一记泰山压顶，船头高高翘起便迅速砸下，溅起巨大水花。
0:14:29|0:14:51|锦衣卫[殷澄]也难以稳住身形，[殷澄]怨从心中起，恶向胆边生，挥刀下劈，竟被[沈炼]一记隔挡震开，[殷澄]不愿放弃抽刀上前，竟被[沈炼]擒拿，夺走长刀扔到湖里，那船夫以为要砍头，竟吓得跳湖逃走，
0:14:56|0:15:10|[沈炼]横眉恕目，怒不可遏，却偏偏在这时松开了[殷澄]，他注视着跪在面前的[殷澄]，当差许久的[殷澄]自是明白其中厉害，
0:15:12|0:15:46|他平静地拔出腰间匕首，[殷澄]举起匕首视死如归地望向[沈炼]，小船顺着水流缓缓飘动，穿过的这座桥梁，月光下波光粼粼的水面映在了拱桥内壁，[殷澄]十分坚定地将匕首反过来，然后双手将其刺入喉咙，这还没完，只见他拼命刺出一道口子，最后才将匕首拔出丢下，
