0:2:12|0:2:18|只有一只黑猫，就在她一脸不可思议之时，黑猫再次说话。
0:2:19|0:2:28|[春琴]见此怪事被吓得不轻，她赶忙将一整盘瓜放在离妖猫不远的地方，趁它伸懒腰的功夫，[春琴]连忙逃走。
0:2:29|0:2:44|见[春琴]离开，这说人话的妖猫并未追去，而仍是一副慵懒之态。[春琴]惊慌失措，一路小跑来到三楼的房间。就在她回想刚刚遇到的猫怎么会说人话的时候，突然又一声猫叫打破了她的思绪。
0:2:44|0:2:58|她顾不得心里害怕，赶紧来到窗前查看，突然身后再次传来妖猫的声音。[春琴]心里一惊，猛地回头。
0:3:13|0:3:20|只见妖猫虽然跛着后面的左腿，但还是毫不费力的跳上前窗，临走时留下一句。
0:3:22|0:3:32|说罢妖猫便跳窗离开，但[春琴]却站在原地一动不动，突然她的眼睛闪了一下，好似变成了猫的眼睛一般。
0:3:33|0:3:51|好在不一会儿[春琴]便恢复了神智，她从假山后探出半个身子，在确定妖猫离开之后，回到之前吃瓜的湖边进行查看。只见甲板上散落着吃剩的瓜皮，还有一滩血迹。顺着血迹向前查看，一条被吃掉眼珠子的鱼
0:3:51|0:4:0|拼命地在甲板上挣扎，血溅得到处都是。她来到石榴树下，照着妖猫的话，果真拿着锄头挖了起来。
0:4:1|0:4:8|树下的[春琴]听见丈夫回来，连忙上前迎接。她的丈夫叫[陈云樵]，是个金吾卫统领。
0:4:10|0:4:24|她挽着丈夫的胳膊等不及回房，在路上就把刚刚遇到妖猫及在树下挖钱的事儿从头到尾说了一遍。[陈云樵]觉得这件事太过离奇，刚一进房间他就问[春琴]。
0:4:25|0:4:40|[春琴]回头看了一眼丈夫，并没有说话。她慢慢打开房门，随后搬起桌上坛子往外一倒。哗的一声金币铺满整张桌子。[陈云樵]惊喜地拿起一枚金币看向[春琴]，而[春琴]也正一脸得意地看着他。
0:4:41|0:4:50|此时长城上空的乌鸦声和木鼓声交织着传入[空海]的耳中，坐在轿典中的他在心中说着。
0:4:54|0:5:12|[空海]是来自日本的僧人，为了替皇帝解咒远渡重洋而来。他面目和善，嘴角一直挂着一丝若有若无的笑意。从他平静的脸上猜不出他心里到底在想着什么。此刻的他正由皇家侍卫将带他去皇城深处。
0:5:12|0:5:20|天色渐渐暗了下去，蝙蝠在低空中不断盘旋，屋檐下的灯笼透着微弱的灯光。
0:5:29|0:5:48|起居郎[白乐天]在纸上记下了[空海]进宫的日子和来意。跟在众多皇家侍卫的身后，穿过层层大门，[空海]来到了皇帝的寝宫。辉煌的大殿在烛光的照应下更显富丽，然而皇帝的哀嚎声却在空中不断盘旋，显得格外凄惨。
0:5:48|0:6:1|侍卫急忙带[空海]走到皇上床前，此刻皇上正仰面朝上，双手微屈，一副投降的姿态，脸上没有一丝血迹，两眼直勾勾地瞪着上空，口中还不停地喘着粗气。
0:6:2|0:6:8|[空海]见状便问到一旁的少卿。
0:6:12|0:6:20|[空海]听完隐约地察觉到不对劲。突然上空传来一声凌厉的猫叫。
0:6:21|0:6:41|又是那只妖猫，[空海]警惕地环视大殿上空，正欲一探究竟时，突然身后传来皇帝啊的一声惨叫，皇帝本来死灰的脸上瞬间血脉暴起，双目发灰，然后一跃而起，一个翻身重重摔在床上。此刻[空海]确信皇上的病是妖猫在作祟。
0:6:41|0:6:45|突然钟声响起，群臣纷纷下跪。
0:6:50|0:7:6|[白乐天]愣住没有下笔。就在太医催促他动笔的时候，[空海]注意到地下的脚印。一位少卿在门口嘱咐道。
0:7:11|0:7:19|[空海]轻轻噢了一声。[空海]抬脚一看，才发现脚上不知何时沾上了许多亮晶晶的东西。
0:7:25|0:7:33|正当[空海]暗自不解，朝着远处出神的时候，突然听到身后有人叫他。
0:7:34|0:7:41|[空海]转身回头竟是[白乐天]，朝他走来。
0:8:14|0:8:26|[白乐天]从[空海]手中接过毛发后，仔细地查看了一番说道。突然[空海]好像发现了什么，快步向前走进。顺着[空海]手指的方向，
0:8:28|0:8:34|月光下[白乐天]发现皇城的地上竟然出现荧光的猫脚印。
0:8:50|0:8:57|二人说话间地上突然出现一块木牌，[空海]弯腰去拿，木牌竟然自己动了起来，这可把[白乐天]吓了一跳。[空海]拿起木牌，上面写着。
0:9:8|0:9:13|说完皇宫内院便雷声大作，似有不好的事情即将发生。
0:9:13|0:9:28|当晚在[陈云樵]府中他正与[春琴]恩爱，此刻的二人正在床上云雨，就在兴致正浓之时，突然听到屋外传来瓦砾打碎的声音。[春琴]感觉到是妖猫干的，伏在[陈云樵]桥耳边低语。
0:9:40|0:9:47|但此刻的[陈云樵]只想着温柔乡，一把扑倒[春琴]，脑子里哪还有什么猫。
0:9:48|0:9:57|只是他不知道的是透过月光，一只猫的影子正投在他们屋内的墙上，正监视着他们的一举一动。
0:9:57|0:10:15|半夜三更[白乐天]偷偷进入皇室藏书的地方御成殿。殿内堆满了大大小小的箱子，只见他踩着木箱，伸手去拿最上面写着凤栖楼的一个小盒子。到手之后他先是左右环顾，确保没人发现之后，才小心翼翼地打开盒子。
0:10:15|0:10:19|盒子里面是一把雕刻着凤凰的钥匙，和私入必死四个大字。
0:10:20|0:10:37|突然传来开门声，他赶紧吹灭蜡烛，偷偷摸摸地逃了出来。趁着夜色他躲进宫中的假山之中，见无人追来便前往凤栖楼。他敏捷穿过隐藏在假山之中的密道，看他轻车熟路的样子，就知道显然是之前就来踩过点的。
0:10:37|0:10:53|不一会儿他就来到了凤栖阁。沉重的大门被他推开，里面空无一人，踏着高耸的云梯终于来到了内殿。抬头望去，穹顶上镶嵌着各种星座图案，
0:10:54|0:11:5|大厅中间放着一个有三人高的圆形七宝函。只可惜他没有时间仔细观赏殿内的风景，三步便跨上了七宝函前面的台阶，拿出在御成殿偷来的钥匙，
0:11:5|0:11:14|小心翼翼地打开画有女皇画像的箱子。他打开之后没想到里面是一个画着龙头的箱子，再开之后又是一个画着海纹的箱子，
0:11:14|0:11:25|再开是一个花纹的箱子，再开他终于看到了柜子里面的东西。他正要伸手拿的时候，突然一个琵琶出现在他的身后，并自己弹了起来。
0:11:26|0:11:36|为了不惊动外面巡逻的官兵，他赶紧过去抓住琵琶，经过一番周旋之后，终于琵琶被他一把抱住，不过还是闹出了一些声响。
0:11:41|0:11:53|就在屋外官兵疑惑之际，突然屋内的机关又被触发。千钧一发之际他一个箭步冲到柜子前面，拿出柜中的香囊，铁质的弓箭从屋顶上倾盆而出，深深扎进了地面，
0:11:53|0:12:3|好在他反应快逃了出来。就在他冲下云梯时，突然听到官兵的声音。好险，他躲到门后，突然一声猫叫传了出来。
0:12:5|0:12:12|屋外的侍卫看见一只猫出现在缝隙格外的栏杆上，以为刚才的动静是猫发出来的，便不再追究。
0:12:13|0:12:17|躲在门后的[白乐天]也因此逃过一劫。
0:12:18|0:12:24|次日清晨[白乐天]去拜访[空海]，正好撞见[空海]在家中收拾行李，他朝着[空海]作揖。
0:12:37|0:12:48|他边说边上榻坐下，又补充道。
0:14:54|0:15:6|[白乐天]得意地说完，然后转身就走。[空海]笑了笑又跟了上去。就这样二人在熙熙攘攘的长安街上边走边聊。
0:15:31|0:15:46|正说着远处便传来了大青龙寺的钟声。伴随着悠扬的钟声，二人穿过热闹的杂技表演，最后被一个瓜农的吆喝吸引住了。
0:15:54|0:16:6|二人穿过人群来到瓜农面前，只见他先是向众人展示手中的西瓜种子，然后弯腰把瓜子种在地上，随后用脚把土填上。他又拿出水壶向众人展示，紧接着给刚种的西瓜浇水。
0:16:6|0:16:21|就在众目睽睽之下神奇的事情发生了，西瓜种子发芽了。它不仅发了芽，而且越长越高。很快西瓜便伸出藤蔓开始缠绕在瓜架上。
0:16:22|0:16:45|众人有的疑惑，有的惊喜，神态各异。紧接着西瓜跟随瓜农的指令瞬间就爬满了整个管架，然后开花，最后竟然结出了大西瓜。就在[白乐天]和众人一起欢呼鼓掌之时，[空海]的神情却很淡然。
0:16:56|0:17:5|就在[白乐天]觉得[空海]不可理喻之时，瓜农摘下一颗西瓜，用刀一切，露出里面的果肉，众人再次拍手叫好。[白乐天]依依不舍地跟着[空海]离开，突然瓜农赶到二人面前。
0:17:44|0:17:50|说完瓜农便把西瓜塞到[空海]怀中，大笑着转身离开。[空海]捧着瓜走在集市上，突然[白乐天]发现不对劲。
0:17:59|0:18:3|说完[白乐天]便抢走[空海]手中的鱼头跑开。[空海]盯着手上的鱼血。
0:18:23|0:18:31|二人来到皇城外寻找[陈云樵]，恰好看见他正好当差结束，正和手下们聊着今晚要去寻乐子。
0:18:32|0:18:38|一行人驾着马吹着口哨出发了，指着远去的背影[白乐天]对[空海]说。
0:18:39|0:18:52|只见[陈云樵]佝髅着背、眯着眼，坐在马上好不快乐。[白乐天]和[空海]因为没有马，只能尽可能地抄近道追赶他们。在一阵追逐后，[陈云樵]等人下马来到渡口准备换船。
0:19:19|0:19:32|听到[空海]说他要去妓院，这刻把一旁的[白乐天]给逗乐了。胡玉楼是依水而建，伴随着江波声，天色也逐渐暗去。星星灯火很快连成一片，美妙歌声从楼中传出。
0:19:42|0:19:57|此时的[陈云樵]任凭着姑娘们声声细语的呼唤，就是站在船头不为所动。原来是他在胡玉楼有一个相好叫[白玲]。正当[白玲]扭着细腰准备去找相好[陈云樵]时，突然撞上[陈云樵]正在上下打量着[玉莲]。
0:20:0|0:20:6|[陈云樵]见[玉莲]生的俊俏，瞬间就起了色心。
