0:0:46|0:0:50|这天，[悖亲王]正十万火急地前往神机营。
0:0:59|0:1:5|[悖亲王]深受慈禧信任，权倾一时，他大兴铁路办工厂，更建立现代化军队。
0:1:27|0:1:33|[悖亲王]火急火燎地小跑在宫廷之内，身后四名侍女手捧六合一统帽,紧
0:1:35|0:1:50|随其后。恰巧在这转弯之时，一体型硕大，样貌奇特的机械飞行器从王爷头顶划过。只见此飞行器霸道无比，榫卯结构与钢筋完美融合，但最为显眼的，还要属那如凤一般张扬的双翅。
0:2:3|0:2:17|[悖亲王]看着这宛如空中霸主一般的天威翼，嘴角微微上扬，心中顿时也充满了底气。他停下火急火燎的步伐，认真端详着在紫禁城上空肆意翱翔的天威翼。
0:2:26|0:2:42|来到[陈家沟]村外，远远望去，在已经被炸毁的战争机器特洛伊之上，竟赫然睡着一个身穿丝绸小褂，头戴六合帽的新郎官。能在这大喜之日独自躺于废墟之上，此人并不简单。
0:3:55|0:4:2|话说回来，从废墟上跌落的[杨露禅]马不停蹄地赶往大堂中与[陈玉娘]举办婚礼。
0:4:2|0:4:14|大堂左右分别坐着[陈家沟]的各位长老，而坐在大堂之上的便是[陈玉娘]的父亲[陈长兴]和威望甚高的[三叔祖]。可在这庄重的婚礼之上，天生有些呆傻的[杨露禅]竟左顾右盼，
0:4:15|0:4:22|甚至需要在[陈家]弟子的提醒之下，才想起要跪在二位长辈面前。
0:4:37|0:4:56|远处的这一声大喝打破了原本的祥和，众人闻声望去，只见门外二人头戴遮面斗笠，缓步朝大堂走来。走到一半，男子突然将斗笠甩回堂内，斗笠从男子手中离开的一瞬间，便如飞刀一般高速旋转，似有斩断一切之势。
0:4:56|0:5:3|身为伴郎的[陈有直]见状率先动身，便自上而下，一脚将斗笠踢入屋顶的铜钟之内。
0:5:4|0:5:19|[陈有直]说罢，便大步流星飞出堂内，在台阶处凌空一跃，便来到男子面前。[陈有直]见低着头不为所动的男子，也自然是毫不客气，蓄力一拳，直击面门。可诡异的是，男子仿佛对[陈家]拳了如指掌，
0:5:19|0:5:42|[陈有直]的下一招还未出手，他便以右脚为圆点向后平仰，躲避攻击，随后双手拦住[陈有直]的双臂说道，[陈玉娘]听到大哥之后，便扯下红盖头跑了出去。
0:5:48|0:6:2|[陈家]长子[陈栽秧]看到特意出来的[三叔祖]之后，眼眶逐渐湿润起来，他便顾不上与兄弟姐妹叙旧，穿过人群，径直走到[三叔祖]面前，双手抱拳，俯身低头行着礼。
0:6:5|0:6:20|在对[三叔祖]行完礼之后，[陈栽秧]将目光缓缓移向了大堂之上仍然黑着脸端坐的父亲。堂内众长老见到[陈栽秧]之后也是议论纷纷，可[陈长兴]看到在外漂泊多年的长子之后并无团圆喜色，而是始终横眉以对。
0:6:20|0:6:28|[陈栽秧]本有千言万语想说，可如今见到如此严肃的父亲之后，也不知从何说起。两人在对视许久之后，
0:6:28|0:6:37|[陈长兴]转头便朝屋里走去。面对如此情景，[陈栽秧]显然是没有想到，愣在原地不知所措。这时，门外的[豆腐哥]大喊道，
0:6:46|0:7:7|可就只是经过刚才小插曲的时间，身为新郎官的[杨露禅]已经将桌上的烧鸡啃食殆尽。夜晚，陈家沟灯火通明，烟花四起，如过年一般好不热闹，在宴席上的[三叔祖]热情招待众人。
0:7:46|0:7:55|似乎也察觉到异常的[陈栽秧]与妻子四目相对，与此同时，坐在屋顶的[陈长兴]和[陈玉娘]正看着屋内的[杨露禅]。
0:8:44|0:8:52|[陈长兴]看着性格刚烈的女儿叹了口气后，十分委婉地说道，
0:9:51|0:10:3|[陈长兴]说罢，便如凌波微步般从若高的屋檐上飞下，随后[陈玉娘]来到屋内，一把抢过[杨露禅]手中的树叶，并敲打他的头顶，可[杨露禅]却笑出声来。
0:10:14|0:10:20|[杨露禅]虽然一脸疑惑，但还是听话地跪在了[陈玉娘]的面前，随后[陈玉娘]便立起家规。
0:11:7|0:11:16|就在[陈栽秧]低头思考之时，他忽然察觉到门外有动静，还没等[陈栽秧]起身，[金允儿]便踏雪无痕般地来到窗前。
0:11:32|0:11:42|见并无危机之后，缓缓关上窗户。可就在这时，屋外闪过一黑影。见此黑影，[金允儿]便立刻藏于门柱之后，并且抽出隐于袖中的印度软剑。
0:11:46|0:11:57|听到是[陈有直]之后，[陈栽秧]轻拍[金允儿]肩膀示意她稍安勿躁，便打开房门。
0:12:9|0:12:16|见[陈有直]深夜造访，[陈栽秧]思考再三之后，还是为其讲述起缘由。
0:12:43|0:12:52|十世祖[陈所乐]虽年事已高，两鬓斑白，但还是不费吹灰之力将年轻力壮的虎形门周斌击飞出数米远。
0:13:48|0:13:58|只见疯和尚气运丹田，立于门前，头顶戒疤，金光乍现，自身佛气顿时如金钟般环绕四周，仅此一招便重伤数名陈家弟子。
0:15:55|0:16:3|[陈栽秧]听后再无多言，那一脸凝重的表情让[陈有直]不由得紧张起来。
0:16:58|0:17:5|[陈栽秧]看着求拳心切的[杨露禅]似有计谋般说道，
0:17:12|0:17:22|只见[陈栽秧]大开大合之后，单脚立于地面，整个身体侧倾到几乎与地面平行。
0:17:24|0:17:30|说罢，[陈栽秧]继续展示，他两条小腿立于地面，好似木桩一般。
0:17:31|0:17:38|而自膝盖之上，又如蛟龙般肆意摇摆。在演示完之后，[杨露禅]佩服地感叹道，
0:18:2|0:18:10|这时，[陈栽秧]缓缓走到[杨露禅]面前，可他并未出手相救，而仅仅只是捡起了[杨露禅]的帽子帮他戴上。
0:18:12|0:18:24|随后，[陈栽秧]便轻蔑地转身离去。这时，被擒住双臂，单膝跪地的[杨露禅]双眼大放异光，愤怒聚集。
0:18:25|0:18:34|在大堂内，[陈家二嫂]带着[金允儿]参观正练拳的陈家弟子，[金允儿]比划着问[陈家二嫂]为何不学拳。
0:18:40|0:18:47|又抬头看向大堂上方的铜钟，[陈家二嫂]看到之后，便解释说，
0:19:3|0:19:13|在陈家沟的小道之中，[杨露禅]为追刚才擒拿自己的三人，竟撞破厚厚的石墙，[陈有直]虽避开了[杨露禅]的攻击，但[杨露禅]的气势却不停地震撼着他。
0:19:13|0:19:25|与此同时，大堂内的[金允儿]见四下无人，便纵身一跃，干净利落地腾于铜钟之内。而在小道中，[陈有直]被[杨露禅]的气势吓得斗志全无，转身就跑。
0:19:25|0:19:35|再次回到大堂内，就在铜钟还在摇晃之际，从屋里缓缓走出一个双手背后的人影。而在村里，[杨露禅]没有追上[陈有直]，但却抓到了[豆腐哥]。
0:19:36|0:19:46|在一阵交手过后，[杨露禅]将[豆腐哥]一脚踹倒在地上，但[杨露禅]并未对倒地的[豆腐哥]痛下杀手，而是大吼一声，便追向前面的麻将姐。
0:19:46|0:19:53|[杨露禅]一路蛮横无理，所到之处鸡犬升天，终于在集市中发现了逃跑的麻将姐。
0:19:53|0:20:6|麻将姐见状急忙拿起一旁的酒坛，发动内功砸向[杨露禅]，可这些都没能阻挡住[杨露禅]的步伐，就在[杨露禅]挥拳击向麻将姐之时，村民手持木棍从他背后狠狠砸下。
0:20:8|0:20:15|这一棍下去并没有解决掉[杨露禅]，反而将自己陷入险境。[杨露禅]高高将村民举起，怒目横眉地看着周围众人，
0:20:17|0:20:25|就在[杨露禅]即将丧失理智把村民重重摔下之时，一道耀眼的强光射在他的双眼之上。
0:20:25|0:20:38|恰好就在这时，三花聚顶的功能失效，[杨露禅]缓缓闭上双眼，鼻孔还是和之前一样喷出两股鼻血之后，晕倒在地上，他手中的村民也因此才侥幸躲过一劫。
0:20:39|0:20:58|另一边，在天津北门外的一个繁华街道之中，许多工人们搬运着大大小小的货物，往来的商人络绎不绝，当然也不乏列队巡逻的官兵。就在这外街上，一高楼格外显眼，虽已被查封，但仅凭其气势也绝非随便出入之地。
0:20:58|0:21:5|这时，大门前一男子竟无视法律，明目张胆地划开封条，随后撬开锁链推门而入。
0:21:5|0:21:20|走近一看，此人正是上集率领特洛伊和大军入侵[陈家沟]的工程师[方子敬]，满脸是伤的[方子敬]刚转过身，便被工厂上空中悬着的天威翼所震惊。天威翼如今虽然残破，但其气势仍令人不寒而栗。
0:21:21|0:21:29|[方子敬]缓缓走近，他的目光从进门开始就没有离开过天威翼，他看着眼前不可思议的家伙自言自语般说道，
0:22:2|0:22:7|就在这时，大门突然被几个洋人打开。
0:22:12|0:22:25|面对官兵叫嚣，为首的洋人没有说话，而是淡定地走上前。这时，官兵队长对手下说道，
0:22:39|0:22:49|见有人撑腰的[方子敬]一扫刚才的狼狈模样，脸上顿时写满傲气。[方子敬]被[菲林明]接走之后，在马车上对他说道，
0:23:0|0:23:6|说完，便将账本丢给[方子敬]。
0:23:33|0:23:46|说罢，[菲林明]对着[方子敬]露出了无比诡异的笑容。[方子敬]现在无心理会，看着账本上一笔笔不同数量的明面十分揪心。
0:23:47|0:24:2|在[陈家沟]的药铺中，被[杨露禅]所伤的几人忍着剧痛上好了药，而在一旁昏迷不醒的[杨露禅]被绑住双手，铐在柜子上。经过这次爆发，[杨露禅]头上的三花聚顶颜色已更为加深。
0:24:25|0:24:31|[陈栽秧]听后睁大双眼，觉得不可思议，思索片刻之后，缓缓说道，
0:24:42|0:24:51|听完大哥[陈栽秧]的话之后，[陈玉娘]的心意也动摇了，她独自一人来到村口的特洛伊之上，眺望着进村的唯一小路。
0:24:51|0:25:6|几个月前，[方子敬]驾驶这个庞大的机器欲将村子夷为平地，[陈玉娘]为了村子与[方子敬]一刀两断，可从小青梅竹马的感情仍在[陈玉娘]心中尚有余温，[陈玉娘]想着想着，眼泪已充满了眼眶。
0:25:8|0:25:16|一直心想男女之情的[陈玉娘]虽然仍然按部就班与[杨露禅]练功，但其拳脚章法全凭肌肉记忆，心不在焉。
0:25:30|0:25:42|[陈玉娘]已无心教学，转身离去，这时[陈长兴]在远处喊道，[杨露禅]回过头发现掌门人倒挂在树上，于是急忙跑去。
0:26:40|0:26:48|[陈长兴]听后，突然惊喜地瞪大双眼，在仔细的端详[杨露禅]片刻之后，又看了看他的三花聚顶。
0:26:53|0:27:15|随后，[陈长兴]欣慰地独自走去，而留下的[杨露禅]也并没有因为受到表扬而得意忘形，反而因为三花聚顶反噬的减轻，使得他更能灵活地用脑，更能细致地感受生活。他看着村民采摘草药的形态皆与陈家拳融会贯通，瞬间对陈家拳的领悟更上一层。
0:27:15|0:27:25|与此同时，在天津郊外一片荒地之上建立着颇具外国气息的墙，院里面却排列着大小不一的公墓。
0:27:27|0:27:41|在其中一个公墓的墓志铭上用英文写着：这是我一生的挚爱，而这悲情话语下方的署名正是[方子敬]，这是他为与特洛伊一同炸死的女友[方子敬]倚靠在墓碑上，双眼空洞无神，
0:27:41|0:27:51|他每每想起克莱尔便会来到此地，这一坐便是几个时辰。这时，[方子敬]用余光看到[菲林明]公爵朝自己走来，便说道，
0:29:2|0:29:20|[菲林明]仍然不屑地回头看向[方子敬]，可当他看到[方子敬]那双坚定并且充满野心的眼神之后，他的表情也渐渐严肃起来。夜晚，在陈家沟中也只有少许几户人家还亮着灯光，[杨露禅]站在房顶还是一如既往地勤奋练功，
0:29:20|0:29:35|[杨露禅]边练拳边领悟，仿佛进入忘我的境地。在窗边，仍然思索儿女情长的[陈玉娘]突然听到门外有动静，[陈玉娘]毫不犹豫地冲出屋外，一探究竟。她闻声望去，却发现[陈长兴]坐在门外的椅子上。
0:29:41|0:29:46|[陈长兴]没有说话，而是将手中雕刻细腻，机关复杂的木器打开。
0:30:2|0:30:9|[陈玉娘]话还没说完，便从村子里传来铜钟的声音，而坐在一旁的[陈长兴]淡定地说道，
0:30:12|0:30:27|时间转眼便来到了第二天，这天风云骤变，天地昏暗。天刚一亮，村民们便闻声赶到大堂前，[杨露禅]紧跟着[陈玉娘]也随后赶到。
0:30:28|0:30:46|待二人进入到堂内之时，便被眼前的一幕震惊地说不出话来，只见那有数千斤重的铜钟不知在何神力的驱使之下，竟如巨大的陀螺一般飞速旋转。早早赶来的几位大长老见状，纷纷对着铜钟下跪磕头，仿佛在祈求神的原谅。
