0:1:26|0:1:37|她按下录音键说。挂了电话，[小夏]跨出了门。
0:1:39|0:1:55|此时，一架由塞浦路斯飞往北京机场的客机缓缓降落，出境大厅里人潮熙熙攘攘，穿着羽绒服拎着大行李箱的[老崔]也在其中。刚落地电话就来了，[老崔]急忙摸出手机接通。
0:2:18|0:2:24|本想发笔洋财，回国光宗耀祖的[老崔]，可这机场没出去就得买票折回去。
0:2:40|0:2:52|漂亮的空姐只能用甜美的微笑掩饰自己的惊讶。接着在登机牌上利落地盖下印章，并出本片片名，即日启程。回国的[老崔]这第一站竟是民政局，
0:2:52|0:3:8|工作人员面无表情地拿着离婚证，又用力在印章上哈了哈气，狠狠地盖在上面，[老崔]夫妻俩只是静静地坐着。这场婚姻随着崭新的离婚证尘埃落定，门外老婆大着肚子回过身，把吊坠还给了[老崔]。
0:3:10|0:3:23|[老崔]一抬头，自己的老婆却已经上了别人的车，[老崔]看向了后视镜，正是他的发小。[老崔]瞪着眼睛不可思议地说。说完，妻子便上了车。
0:3:25|0:3:40|[老崔]看着手里的貔貅吊坠暗自神伤，千里迢迢从异国回乡没能光宗耀祖，连原本温暖的家庭也散了，[老崔]的心里真不是一般滋味。空荡荡的巷子里，这个大男人轩然欲泣。
0:4:11|0:4:16|啤酒下肚也替[老崔]扫去了那些不快。
0:4:57|0:5:12|夜店里，好兄弟在女孩堆里尽情地扭动身子，炫目的灯光烘托出激情热烈的气氛。结束之后，[老崔]独自拎着箱子走在冬天的北京街头，热闹的大街上，灯光璀璨，车流不息。
0:5:12|0:5:29|醉醺的[老崔]摇摇晃晃走在路上，更显得形之影单。他回头不舍地望着这段行程，兴许是想起了自己的前半生。不知走了多久，[老崔]的酒气也散了，抬手拦下一辆出租车，车里，他闷闷不乐地望着窗外的霓虹。
0:5:29|0:5:38|路灯映在他略显沧桑的脸庞上，马路上突然冲出一个女孩，正是[小夏]。
0:5:46|0:5:57|车上的[小夏]紧张地回望着，见两人没再追来，便松了口气，放下刀具。
0:6:21|0:6:27|听闻这话，[小夏]抬手搭在[老崔]的肩上，凑近了脸，满口酒气地问道。
0:6:52|0:7:7|[老崔]趁[小夏]睡着，把刀丢出去，心虚地看了一眼[小夏]，轻轻地摇上了车窗。酒劲上头的[小夏]糊里糊涂地靠在了[老崔]的肩头，还十分自然地搂住了[老崔]的胳膊，[老崔]只得为自己的善心买单。
0:7:9|0:7:24|汽车缓缓停到小区门口，[小夏]要吐，[小夏]吐在了[老崔]的胸前。
0:8:8|0:8:22|倒霉蛋[老崔]扶着[小夏]就这样被丢下了。转过身，[小夏]做势要吐，[老崔]连忙上前拍着她的后背，[小夏]一屁股坐在地上。
0:8:40|0:8:53|见对方无动于衷，[老崔]也犯起了难。他无奈地抬手看了看表，又看了看地上的[小夏]，犹豫了一下，拎起箱子转身要走，可这刚迈两步，[小夏]身上的手机突然响了。
0:8:59|0:9:9|听见声音的[老崔]回过头，思索了一会儿，上前从脚下的兜里翻着手机，没多想便接通了电话。
0:9:57|0:10:21|接过钥匙的[老崔]半天打不开门，却被人从里面开了，屋里4个凶狠的大汉打着麻将。[老崔]不敢说话，[小夏]摆摆手指向了另一户，只见那人直接关上了房门。终于，他将[小夏]送回家。
