0:0:51|0:0:57|[老李]端来食物倒入小猫的饭盆里，轻轻抚摸着小猫身体，小猫警觉地闪躲了一下。
0:0:59|0:1:4|见小猫吃得起劲，[老李]直起身子回头朝屋内喊道。
0:1:6|0:1:29|只见一只萨摩慢悠悠地探出了身子，来喜加快了步伐，径直跑向[老李]，来喜严肃地盯着小猫，小猫也拱起了背。
0:1:47|0:1:56|来喜举着前爪，[老李]抱着小猫走向屋内，来喜则紧紧跟随[老李]的步伐。
0:1:58|0:2:6|屋内几位街坊邻居围在桌前搓着麻将，
0:2:58|0:3:26|四位老人有说有笑地离开了麻将桌，来喜躺在门口慵懒地晒着太阳。[老李]呆坐在沙发上安静的屋子里，电视机的背景音显得有些嘈杂，他起身关掉电视机，习以为常地整理着凌乱的麻将桌，身上厚重的衣服让他的行动有些不便，他缓步来到屋子门口，表情显得有些呆滞。
0:3:26|0:3:36|他摘下老花镜抬头看向天空，猛的几处烟花炸开，打破了县城的寂静。画面一转，电影的序幕部分结束。
0:3:36|0:3:48|该片讲的是祖孙三代人的代沟问题，北漂14年的女儿在听到父亲出现阿尔兹海默症前兆后，携美国留学回来的外孙女回到老家。
0:4:4|0:4:8|没想到啼笑皆非的故事也就从这场团圆开始展开了。
0:4:9|0:4:21|高群书导演表示，创作该片是为了表达真情实感，他一直想拍摄一部喜剧，但不是那种只有笑点的喜剧，想呈现给观众一部好笑又温情的电影。
0:4:21|0:4:32|过年就应该是欢欢乐乐和和美美的。该片切入点非常小，以一个小家庭的视觉展开，但其中所呈现出来的格局又非常之大，
0:4:32|0:4:42|道出了社会人伦的变迁、新旧的冲突、各种新兴文化的碰撞。这部电影不仅让观众感受到久违的年味，更能让观众重新审视周遭的生活。
0:4:44|0:4:53|而过年好这个主题说到底就是大家好才是真的好。该片并没有盲目追随热点，而是从语言上赋予影片喜剧魅力。
0:4:55|0:5:9|台词的魅力让人回归到最传统的贺岁片，整个故事妙趣横生，在制造戏剧冲突上，影片的整个故事也是一波三折，种种矛盾对立在一起，最后让观众乐开了花。
0:5:9|0:5:15|本片采用分段式叙事结构，共有5幕。第一幕从[老李]家县城切入。
0:5:33|0:5:48|这浓浓的节日氛围让冬日里的小城也温暖了不少。而反观[老李]独守的大院则显得愈发冷清。[老李]拉着手推车缓缓从屋内走出，转眼就来到了集市。
0:6:30|0:6:42|[老李]边走边摆手感叹精明的小贩套路真是层出不穷，继续向前走。一位手持菜刀头戴耳机，
0:6:42|0:6:59|动情唱歌的女老板引起[老李]的注意，她唱得投入，陶醉于自己的歌声，完全没有察觉到[老李]的注视，[老李]细细端详着女老板，情到深处竟不自觉鼓起了掌。
0:9:48|0:10:4|说完女老板做出请的手势，自顾自地唱起了歌，也不再搭理[老李]，颇有音乐厅女高音的气势。[老李]气急一声大喝，
0:10:4|0:10:20|两人都呆在了原地，索性鸡也不买了。[老李]一言不发，面露怒色地拉着小推车离开了，女老板扯着嗓子继续唱着，许是太过动听，忍不住为自己鼓起了掌。
0:10:20|0:10:36|转眼[老李]到了市场门口，一辆快递车从[老李]面前疾驰而过，电动车紧随其后，受到惊吓他不禁往后退了两步，抬头打探来往的车辆，确认安全后又重新迈步。
0:10:36|0:10:52|打扮鲜艳的秧歌队从面前经过，[老李]无暇欣赏，低头忙着赶路，从秧歌队穿过来到了马路另一边，喜庆的音乐让他的脸上挤出一抹笑容，很快又消失不见。
0:10:52|0:11:4|远处公交车缓缓开进站台，[老李]回头看向远去的秧歌队似是有些回味。公交车停下，[老李]也上了车开往回家的方向。
0:11:5|0:11:9|过年的北京城仍旧车流涌动，
0:12:10|0:12:25|[李羊朵]坐在车里看着推着行李赶飞机的思琪，她表情凝重，双目有些失神，眼看着思琪缓缓从车前走过，她抿了抿嘴唇，终究没有叫出口。她停好车来到机场大厅内，
0:13:6|0:13:14|画面一转来到县城，[老李]站在火车站台伸长脖子看向停靠的火车，民警[沈强]快步向大爷走去。
0:15:28|0:15:32|[李羊朵]听罢没有说话，打开转向灯向匝道驶去，
0:15:38|0:15:44|[朱莉]仰天一声长啸，随后便给好友打去电话吐槽，
0:16:24|0:16:32|随着一声撞击声，母女俩停止了打闹，[李羊朵]用手捂住张大的嘴巴，急忙下车查看情况。
0:17:17|0:17:30|[李羊朵]急忙回车里取钱，[朱莉]趁机溜走，[李羊朵]快步冲向[朱莉]一把揪住她。
0:17:39|0:18:0|镜头随音乐声切回石门县城，黑白色的慢动作画面里一只泰迪耸拉着耳朵，漫无目的地奔跑在街头，旁边是它的主人，一副县城女青年形象，女主人的双手拿着春联也肆意的奔跑着，脸上洋溢着幸福的笑容。
