0:1:24|0:1:32|他伸出粗糙的手指抚摸着刻痕，每一道刻痕的背后都写满了生存的不易。
0:1:34|0:1:58|不远处地大河边，一群赤裸上身，身穿兽皮的人正在做着特殊的仪式，他们身后立着高高的神坛，这便是[有熊氏]部落，[有熊氏]是上古华夏部落中的一个氏族，由于当时资源稀缺，部落之间存在竞争关系，所以每个部落相隔甚远，甚至隔着一条大河，每个部落都有自己特有的手艺，为了维持生存，部落之间可以通过交换物品来获得生活必需品。
0:1:58|0:2:15|[有熊氏]部落擅长制作陶瓷器，这天为了去大河对岸的其他部落换取生活必需品，部落族领挑选了几个比较勇敢的族人去河对岸的[神农氏]换盐。宽洁的河水浑浊不清，愤怒的波涛在不停地翻腾，这里不知道淹死过多少人。
0:2:15|0:2:32|想要渡过大河只能靠运气，为了保佑这次有人能够渡过大河，部落族人坐着古老的仪式，只见他们跪躺在地面上，双手向上，随后做起叩拜[大帝]族领拿着权杖对着天空不停的挥舞，如此反复不休。
0:2:32|0:2:53|这时6人抬着由充气皮囊制作成的木排来到人群中，木排上摆满鲜花，木排上的女人头戴着花环盘腿坐在上面，他双手高高举起，嘴里唱着古老民谣，随后抬木排的人缓缓走向河边，双脚沾满了湿润的泥土，他们来到岸边时双手举起将木排扔到大河中。
0:2:53|0:3:12|任由木排在水中抓拌，只见木排上的女人神色淡定，不慌不忙，汹涌的浪花瞬间将木排推翻，女人也随之淹没在其中。[有熊氏]族领抬头看向天空。
0:3:15|0:3:29|族领喊着特殊的口号，随后青年们穿过跪拜的族人，手里抱着充气皮囊朝大河奔去，其中[姬地]首当其冲，他眼神坚定，喊着口号为自己壮胆，随后毫不犹豫地跳入河中。
0:3:29|0:3:51|这时[有熊氏]部落女人[嫫]从远处跑来，他跪拜在地担心地望着渡河青年，宽洁的河水暴躁地激溅起浪花，渡河青年经过一番挣扎逐渐没了力气，连救命的皮囊也开始四处逃窜，没有皮囊庇佑，青年们瞬间被河水淹没，[嫫]不由得揪心起来，他双手合十默默祈祷。
0:3:54|0:4:6|这时[姬地]抱着皮囊挣扎着从水中出来，大口呼吸着转头看向其他人时发现水中的漩涡，迅速将几位族人卷入河底，[嫫母]急忙跪拜在地，生怕自己的分心惹怒了神明。
0:4:6|0:4:34|当他抬起头时，暴躁的水面除了几个充气皮囊外空无一人，这时[姬地]突然从水中冒了出来，到此为止，幸存的人只剩他一个救命的皮囊被冲走，[姬地]大口呼吸着拼尽全力快速向河对岸游着，[嫫母]再次将头扣在地上跪拜起来，再次抬头时只见河中已空无一人，只有零散的几个皮囊，她缓缓地站起身，不停地向对岸望去，突然他露出笑容。
0:4:38|0:4:46|族人感到不可思议，他们快速站起身向对岸望去，[嫫母]兴奋的向前跑了几步。他看着即将上岸的[姬地]大声地叫喊着，
