0:1:19|0:1:26|随着一声巨响，画面来到英岛IPT研究所人体实验基地。
0:1:39|0:1:42|对外掩盖IPT研究所爆炸的真相。
0:1:47|0:1:56|在此背景下，画面来到一间办公室内，霍建华饰演的[崔琥]低着头，对面的外国人开口说道。
0:2:0|0:2:3|[崔琥]缓缓抬头，眼神坚定地看向对方。
0:2:36|0:2:52|故事即将由此拉开闻名。本片主要讲述了杨幂饰演的单亲妈妈[夏天]，作为物理研究所的高级研究员，与金士杰饰演的[所长]龙共赴研究出可使生物体穿越虫洞进行时间旅行的技术。
0:2:53|0:3:3|当研究有了突破性进展时，张一鹏饰演了[夏天]儿子[豆豆]，却被[崔琥]绑架。[崔琥]以[豆豆]的性命威胁[夏天]交出粒子技术。
0:3:3|0:3:15|为了挽救[豆豆]的生命，[夏天]冒险，用未完成的粒子技术返回一小时五十分钟前。但因为一直没有成功，[夏天]不止一次穿越，却令事情变得更加复杂。
0:3:15|0:3:26|更遭遇到意想不到的困局，他需要去面对自己在时空旅行中的变异者，并与之互搏，而绑匪[崔琥]的背后故事也渐渐浮出水面。
0:3:30|0:3:33|下面继续为您讲述正分部分。
0:3:33|0:3:53|连结研究所内，无数粒子在传送器内部汇集，[夏天]与同事们正在数据台外围的操作台上忙碌着，[所长]则注视着数据台内的猿猴成像，几人纷纷停下手中的动作，转向中心的数据台，同事黄晨捂住了嘴巴，[大雄]则双手握拳。
0:4:13|0:4:20|众人还都沉浸在实验成功的喜悦当中。[所长]将数据屏放入数据台，数据台自动收入。
0:4:29|0:4:50|[夏天]和[所长]都双手合十放在嘴前，[夏天]明显松了口气，[所长]则十分喜悦，向东更是抱着文件夹低头跳了一下，黄尘则高兴地挥着胳膊，[大雄]挠了挠头和大家一起鼓着掌，接着，大家准备离开数据库，画面见黑后。
0:4:50|0:5:6|转向几座高山的悬崖边。[夏天]正带着儿子[豆豆]攀岩，[夏天]拔着凹槽向上攀登着，[豆豆]凑过脑袋，朝下望去。两人已经攀登到了很高的位置，一些较矮的山尽收眼底。
0:5:17|0:5:28|回过头的[夏天]又朝上蹬了两步，他的食指和无名指上还缠绕着防滑的胶布。手机震动，[夏天]从腰间的口袋里掏出接听。
0:5:36|0:5:48|[夏天]正挂断电话，[豆豆]的绳索突然断开。[夏天]连忙解开自己的损扣，[豆豆]追到底，土地随着他的压力显示出了电子网格。
0:6:2|0:6:4|跟着下来的[夏天]，关切地看向[豆豆]。
0:6:17|0:6:27|虚拟的攀登场景逐渐消失，场景恢复为[夏天]的家里。之后，[夏天]驱车开过横穿海面的高架桥，来到位于蔚蓝岛上的连接研究所。
0:6:37|0:6:58|换下运动装的[夏天]，身着正装，提着包包走过研究所大厅。走上楼梯和同事点头打了招呼，上楼后又走进了电梯。随着电梯向上攀登，可以看到整个研究所的外貌。小段斜坡后，电梯直直向上，来到位于高处的会议室。
0:7:1|0:7:8|会议室内部，研究小组5人并排面对着电子屏幕。坐在正中央的[董事会负责人]。
0:7:56|0:7:59|粒子传送器的灯亮起，[夏天]解释。
0:9:35|0:9:45|车子缓缓开动，[夏天]跟在一辆正在驶出的车后，突然，一个男子扑上车前窗。
0:9:56|0:10:9|男子一边拉门，一边开着车窗，向[夏天]大喊着。忽然，男子口中涌出大量鲜血，喷在车窗上。[夏天]惊魂未定地刹了车。随后，安保人员赶来。
0:10:11|0:10:15|[夏天]摇了摇头，安保队长问着同事。
0:10:32|0:10:45|[夏天]簇着眉转过身，朝车的方向走去，边走还边回头看了几眼。回到家时，天色已经很晚，走进家门，电视机里传来动画片的声音。
0:11:4|0:11:14|[夏天]走进客厅，看到[豆豆]已经在沙发上睡着，怀里还抱着玩具。[夏天]看着[豆豆]，他微微呼了口气，然后看向电视。
0:11:20|0:11:36|他拿起茶几上的遥控器，关闭了电视，又弯腰从[豆豆]怀里拿走玩具，放到一边，一手搂住[豆豆]的后背，一手托住他的屁股，将[豆豆]抱到了怀里，抱稳之后还摸了摸[豆豆]的脑袋。
0:11:36|0:11:46|回到卧室，[豆豆]已经在床上熟睡。[夏天]看着[豆豆]今天画的画，上面画着母子二人站在彩虹下，旁边还写着《我爱妈妈》的英文。
0:11:49|0:12:3|放下话之后，[夏天]也趴在了床上，一只手垫在自己的脸旁，另一只手轻轻摸了摸[豆豆]的脸颊，拨了拨[豆豆]的头发后，轻轻地吻在了他的额头上。画面见黑。
0:12:7|0:12:13|[崔琥]站在蔚蓝岛的对面抽着香烟，脸上的伤疤没有完全恢复，依然清晰。
0:12:15|0:12:28|而他注视的连结研究所露台上，一些工作人员正忙碌着自己的事情。此时，[夏天]提着包包穿过露台，走进玻璃门，与迎面而来的同事浅浅一笑打了招呼。
0:12:29|0:12:38|一对维修人员在一个身穿西服的男子带领下，从他身旁走过。西装男转头看了眼[夏天]之后，回头按下了耳机。
0:12:38|0:12:52|这群人来到研究所地下，西装男站在一处监控器下，随着他在手机上的一番操作，监控器转向了墙面，随后，西装男朝后方示意，维修小队有序地走进来。
0:12:52|0:13:0|西装男透过地面的网格盖子朝下望去，只见维修小队已经顺着楼梯往更下层走去。
0:13:0|0:13:14|维修小队来到满室管道的下层，几人开始四处行动起来，拿出圆盘状的小型炸弹安装在各处，一人挥挥手，伙伴就用包把绳索绑了下来，装完一处，[所长]，这几天大家做临床实验。
0:13:42|0:13:46|之后，[夏天]和[所长]走进传送室。
0:15:43|0:15:49|两人绕着传送器走了一圈。[夏天]笑着搪塞这个话题，[所长]把手伸进西装内的口袋里。
0:16:11|0:16:22|[夏天]结果看了看，一边打开布袋，一边看向[所长]，[所长]则笑着没说话，[夏天]掏出里面的东西，是一块手表。与[所长]交谈完之后，[夏天]和[大雄]来到实验室，正在看显微镜的向东，被拍后反应道。
0:16:39|0:16:43|[夏天]挪步到显微镜前，向东则向他解释道。
0:16:58|0:17:1|[大雄]看着向东插入数据，问道。
0:17:29|0:17:32|向东看了眼离开的[夏天]，又面向对面。
0:17:35|0:17:54|两人一同离开了实验室，显示屏上两只猿猴一左一右，右边的突然就活动起来，还伸着胳膊上下垂动着。画面转向[夏天]这边，他刚放下一杯咖啡，面前的显示屏显示着[夏天]的首席研究员定期防身训练，项目是射击。
0:17:55|0:18:8|她一边看着手上的纸质材料，一边滑动显示屏。这时，手机响了起来，一看是[豆豆]的来电，[夏天]露出笑容，把画面投屏到显示屏上，[豆豆]问道。
0:18:32|0:18:48|[夏天]看了眼手中的咖啡后，将它放下。屏幕中的[豆豆]被拖拽出了画面。[夏天]对着屏幕呼叫着。
0:18:57|0:19:7|[夏天]转身就跑了出去，驱车往家里赶，还拨着电话。她并没有注意到，自己已经被两辆车夹住。
