0:0:49|0:0:53|环境优美的山间，喇叭声响彻村里的各个角落。
0:1:40|0:1:55|村庄回响着喇叭里的通知声，[杨英俊]戴着草帽，站在蓄满水的梯田边上，双手挥舞着将和苗扔进梯田内，然后他汤水走近，弯下腰，手脚麻利地将和苗整齐地插在泥水里。
0:1:57|0:2:9|突然，一声鸟啼声响彻整片梯田，伴随着男人的歌声，一只凤鸟挥动着翅膀从梯田上方飞过，尖锐的鸟叫声引得在梯田牢座的[杨英俊]抬头望去。
0:2:12|0:2:30|万里乌云的天空中，一只颜色艳丽的凤鸟展翅翱翔，画面移动着直至它飞到与太阳重叠处，然后慢慢消失不见。梯田边种了几棵参天大树，和正在梯田里劳作的[杨英俊]组成了一幅优美的画作。
0:2:30|0:2:38|[杨英俊]的妻子[麻妹]带着一个小女孩缓缓地走过来，这时画面中出现本片的名字——十八栋村。
0:2:38|0:2:57|[杨英俊]见妻子来了，就放下手里的活，往前走去，他双手在裤子上抹了抹，然后蹲下身接过小女孩，接着用手将女孩的鼻涕抹掉，站在一旁的[麻妹]卸下背篓，将盖在上面的布拿起来，往一旁甩了甩，然后铺在了地上。
0:2:57|0:3:14|接着从碑楼里，将饭菜一个一个端出来，放在铺好的布上。[杨英俊]将小女孩抱起来，递给妻子，然后拿起地上的饭菜，开始吃饭。他吃了一口辣椒和米饭，像是有什么心事一般地将头转向另一侧，眺望美方。
0:3:16|0:3:37|另一处，一个男子敲打着面前的大鼓，身旁还有一群身穿民族衣服的大妈们，在一边舞蹈一边敲着大鼓。画面一转，一辆车穿过隧道。驶过数尔路一号公路，又来到横跨两座山的大桥上，最终在蜿蜒起伏的小路上缓慢地行驶着。
0:3:37|0:3:57|人来人往热闹的集市上，一个扎着辫子的男子漫无目的地穿梭在人群中，一辆小货车狂按着喇叭，辫子男从车旁走过时，他转头看向车内的两个人，不确定地又看了看，还没来得及说什么，小货车就启动开走了，辫子男转身。
0:3:57|0:4:4|注视着货车离开的方向，片刻，他像是意识到什么，赶紧拧头就向家的方向跑去。
0:4:5|0:4:24|弯岩崎岖的山路上，一辆三轮电动车行驶着，辫子男站在三轮车的后斗里眺望着。这时，后面的轿车直接从旁边驶过，溅起的灰尘铺在了辫子男的脸上，他嫌弃地抬手挥了挥，而小轿车一路沿着山边的小路前行着。
0:4:26|0:4:40|前方堆积的石头挡住了过往的车辆，轿车无奈地停下，从车上走下一个戴着眼镜的男子，他上前查看了一下路况，然后向一旁路过的放牛的大爷问道。
0:4:49|0:4:58|眼镜男不可置信地愣了愣，然后看向大爷离开的方向，惊讶地张了张嘴，最后无奈地扭头走向挡路的石头。
0:4:59|0:5:19|在另一处杂草茂盛的山上，一只猪在草丛里四处乱窜。不远处，[杨英俊]和[杨懒]满脸极色地寻找着丢失的猪。这时，猪一不小心跑到悬崖边上掉了下去，发出了惨烈的叫声。两人听见声响，尖叫着朝悬崖边跑去。
0:5:19|0:5:29|二人到达后，伸头看向悬崖下边。在[杨英俊]愣神的瞬间，老头摘掉头上用长布条做的帽子，将它解开围在腰间。
0:5:31|0:5:50|老头将长布条的另一端递给年轻人，二话不说身子直接爬下了悬崖，而[杨英俊]在上方拉着长布条，他面露狰狞惊恐地大叫着，眼睛被吓得闭紧，但手还是紧紧抓着老头递给他的长布条，二人将猪救上来后，直接回到了村里。
