0:3:16|0:3:21|餐厅内，暴发户拦散地脱掉外套，坐在对面的[左小欣]，嫌弃地躲闪站。
0:4:22|0:4:47|说完，[左小欣]头也不回地转身离去，此时黄昏早已谢去，夜幕逐渐铺开，街道一角的酒吧却闪烁着明亮的霓虹灯光。张艺侧靠在沙发上喝酒，眼神却紧盯着坐在二楼扶手边上的美女。
0:4:54|0:4:58|这是美女从电视上注意到他。
0:5:22|0:5:37|渣衣坐在美女对面。最后[查义]勾了勾手指，美女便高傲地侧过身俯耳去听。[查义]连忙站起身，凑在她耳边悄声说着。
0:5:51|0:6:10|小伙焦急地站在美女身旁说。小伙瞪大双眼，不可思议地看着二人，扎一耸了耸肩，向美女伸出手。楼下，两好兄弟佩服不已，随即收拾东西，前去兑现承诺。
0:6:36|0:6:44|诶，[左小欣]拉着谢东平向外走，等走到没人的地方时，她背对谢东平说。
0:7:9|0:7:12|[左小欣]见他不说话，随即放开他的手，失望地说道。[左小欣]见迟迟得不到回应，转头就给了他一卷。
0:7:34|0:7:51|谢东平说完静止离去，[左小欣]不明足矣地看向他的背影，另一边，酒吧的夜景诡谲地让人眼神迷离，舞池中间的妖魅少女随着震耳的世高音乐疯狂地扭动身躯，白皙的躯体格外引人注目。
0:7:51|0:7:57|坐在角落的扎意，直勾勾地盯着舞池中间的妖魅少女，好兄弟二条对其很是无语。
0:8:0|0:8:5|说完，扎伊一脸得意地笑着，两好兄弟非常认可地点了头，突然，十三的手机响了起来。
0:9:5|0:9:21|三十多岁一大老爷们，想上就上，紧接着，[査义]拿起酒杯走向舞池，两好兄弟目瞪口呆地望着他的背影，在妖魅少女停下后，他直直地盯着她停在眼前的腿说道。
0:9:27|0:9:33|夭媚少女不为所动，持续秀着自己的身材。另一边，大桥上。
0:11:14|0:11:16|就在这时，对面小伙仅听单琪。
0:11:40|0:11:51|最后，[左小欣]故意给丹琪喂食物，丹琪瞬间心灵生晦。突然，[左小欣]一巴掌拍在她屁股上，二人子举动，吓得小伙儿落荒而逃。
0:14:13|0:14:21|[左小欣]一脸不屑地说完，随后拿起放在一旁的奶喝了起来，边喝边看向台上的渣意，众人随着音乐不停地扭动。
0:15:46|0:15:59|[左小欣]一脸势在必得地看向他们，最后，只见他们迈着垛索的步伐走了过来。[左小欣]不为所动，眼神犀利，紧盯着他们，为首的扎一眼神锁定，左手他兜。
0:15:59|0:16:12|后面并排的二人同样迈着步伐，三人边走边展现自己的魅力，并做出认为最帅的动作。紧接着，[左小欣]缓缓地站起身，而扎一停住脚步后，微笑着对他说。
0:16:18|0:16:33|[左小欣]一脸疑惑，扎益却不给她反应的机会，转身就走向另一侧空地。白雪见[左小欣]呆愣在原地，便倾壳提醒。[左小欣]装作若无其事地转身坐下。
