0:2:1|0:2:11|小悠将藏宝图放在桌上，吸引了某种二人的目光。[胡子]立即拿出手机，一同拍摄。
0:2:15|0:2:24|杨嘉诚地形复杂，最近五年，圈内的很多高手都去倒，全部以失败告终。
0:2:29|0:2:38|[黑子]一个眼神示意，身边冷酷保镖，随即拿出一个保险箱，放在[盟主]面前。
0:2:45|0:2:56|[胡子]竟在钱堆里，翻出了[盟主]妻子和儿子的照片。[盟主]翻看着照片，不由得心头一紧。
0:3:33|0:3:51|递给了[胡子]，场面暗流涌动。[盟主]匆匆将玉皮修与藏宝图放入包中，随即带领[胡子]离开。在外守候多时的[苗子]，终于见[盟主]二人的出现，忙匆匆地跟上二人脚步。
0:4:36|0:4:51|只是这后路究竟是真是假，值得[苗子]深思。[盟主]随即将[苗子]的眼镜摘下，放在地上，举止中满是威胁。[盟主]对着眼镜就是一脚，彻底令[苗子]对他的忠诚瓦解。
0:4:54|0:5:5|[盟主]兄弟二人潇洒离去，只剩[苗子]在内心为自己谋划新的出路。一个绝佳的机会到来，[胡子]随手将装有藏宝图的包递给了[苗子]。
0:5:5|0:5:16|[苗子]拿出藏宝图与玉皮修，便放到了自己的口袋里，随即装出一副若无其事的样子上了车。车内，[苗子]一个急刹车，宣泄着自己对于[盟主]兄弟二人的不满。
0:5:18|0:5:35|显然[苗子]是故意的。[盟主]将[苗子]赶下汽车，随即自己发动车离开，独留[苗子]蹬在营地。好看[盟主]在这边的紧张气氛，可谓是轻松四溢。
0:5:38|0:5:48|一人骑着一匹骏马，在马场上激情驰骋。马匹渐渐停下奔驰的脚步，将[盟主]二人带回现实中的烦恼。
0:5:50|0:6:12|藏宝图的丢失困扰着他们的道见。[胡子]再次拨通了[苗子]的电话，无人接听的提示音让他眉头紧锁，不由低声咒骂。[盟主]拨打也是如此。
0:6:19|0:6:31|很显然，[苗子]已经看透了[盟主]的欺骗，选择离开。[盟主]不禁心中犯起了嘀咕。
0:6:36|0:6:42|[苗子]种种反常迹象，令藏宝图丢失的最大嫌疑人落在了他的身上。
0:6:50|0:7:10|吴自第一怀疑目标便是[苗子]。泳池边伴随着悠扬的歌曲，纤纤缓缓美女出水走向岸边。
0:7:12|0:7:30|仙仙走的每一步都仿佛踩在了[肖啸天]的心里，岸边的他早已将目光落在了仙仙身上。[肖啸天]盯着仙仙的每一步，露出迷恋的眼神，仙仙一颦一笑皆是风景万种。
0:7:30|0:7:36|见仙仙走上岸，他连忙凑上前去，操着一口台湾话对仙仙搭话。
0:7:49|0:7:53|仙仙故意眼含深情地看向了[肖啸天]。
