0:1:58|0:2:3|行进途中，一个头戴钢盔的日本士兵正迎着冬日清冷的阳光仰面休憩。
0:2:4|0:2:15|长久的徒步而行使他顾不得思考，只待一声令下，便将背包垫在脑后，随身长枪还于胸前，抓住机会席地而卧。
0:2:15|0:2:25|睡梦中似是梦到了什么，又或许是身下坚硬的石块使他无法安然入睡，士兵无意识地撑开军列的双唇，然后缓缓睁开双眼。
0:2:27|0:2:44|接着，耳边便传来同伴的呼唤声，名为[角川正雄]的他迅速起旋修整，再次扛起装备向前迈进。不多久，整支队伍抵达了一处尘土飞扬的战壕前，一人高的沟壑中此时已布满手持长枪的士兵。
0:2:46|0:2:53|[角川正雄]矮身跳下，随后弯腰穿过一柱桥洞。突然，听到同伴望着前方感叹道。
0:2:56|0:3:14|可他并未理会，而是接过另一个士兵手中的水壶，急忙吞下几大口。燕族过后，眯着双眼朝前方望去。百米外的土制城墙，早已在炮弹的轰炸下，仅剩半壁残垣。
0:3:16|0:3:39|战火熊熊燃烧，空气中裹挟着弹药残屑，全部都压在城墙上方。几架战斗机近乎擦着头顶冲向城面，似再次攻击。城外则率先开始战斗，带两辆装甲车直直抵达城门处后，散步在战壕四周的多辆战车静止开炮。
0:3:41|0:3:57|本旧摇摇欲坠的城墙，在火炮的攻击下，很快如流沙一般散落开来。[角川正雄]则与一众士兵，手持长枪，沉默地蹲守在战壕中。瞪直双眼，目视城墙逐渐倒塌。
0:3:57|0:4:9|此时，南京城内，城北边的驿江门下，国民党第36师宋熙莲部下的士兵正成群地躲在城门边。突然，一群人从城内向士兵涌来。
0:4:12|0:4:22|队长的一声令下，堵在城门边上的士兵们各个挽紧双臂，正对城内来人。里三层外三层的架势，竟是将城门洞堵得严严实实。
0:4:23|0:4:38|眼看人群逐渐逼近城门，站在队伍最前方的一个小兵抱紧长枪就迎了上去。可待人群越走越近后，[小兵]竟然开始动摇起来，捏着枪管的双手，止不住地上下磨缩。
0:4:38|0:4:44|此时，再次向人群中看去，来者正是一群手持枪棍，身着军装的士兵。
0:5:8|0:5:23|人群中，不知是有人无意走火，还是故意放枪，本就躁动的双方听到枪响后，情绪瞬间被点燃，只见逃兵们将枪棍横在胸前，从海跑动起来，狠狠将围守的那个[小兵]撞翻在地。
0:5:28|0:5:42|小队到底是低估了逃兵们的执着，原本用手臂围成的人墙，三两下便被冲散了过去。人墙之中，军官[陆剑雄]和胖子士兵[顺子]更是被人推搡至人群最外围。
0:5:42|0:5:56|待[陆剑雄]拿起长枪站起身再回头望去，那逃兵们早已如失心疯一般积极涌向城门洞内。可面前不仅城门紧闭，层层用麻袋搭建的攻势更是抵在众人面前。
0:5:58|0:6:16|铺在最前方的逃兵在推搡中倒在地上，躲闪不及，便被身后人踩在脚下。不一会儿，竟借此搭起了人梯，逃兵们此时也顾不得脚下他人性命，手脚并用，疯狂地将堵在城门洞内的麻袋砸向后方。
0:6:16|0:6:23|不等麻袋清理干净，逃兵找准空隙，就奋力钻了进去，摔下宫室后，竟直逃向门外。
0:6:25|0:6:44|另一边，在用大炮将城墙轰倒后，日本士兵们倚着断臂残垣，一边高举手中的长枪，一边挥舞着旌旗敬贺。而一家门内，听闻军队也逃离之后，老百姓更是赶着毛驴挑着扁担，急匆匆地追随而去。
0:6:44|0:6:50|来得及的人家，毛驴背上还驮着锅碗桌椅，一种生活必备用品，生生地出去二人高。
0:6:52|0:7:13|来不及的人家只能捡重要的物件塞进布袋子里，寄在胸前赶忙离去。脱家带口的百姓中，母亲干脆将两三岁的孩子装进扁担，扛起来就跑，生怕耽误了时间。没有孩子的，则将几只鸡鸭拴在扁担里，好在逃亡路上冲击。
0:7:13|0:7:18|[陆剑雄]则站在城门洞内的石阶旁，低头望着这些急匆匆逃离的老百姓。
0:7:24|0:7:39|一阵混乱过后，城内暂时平静下来。突然，一个车夫拉着黄包车逆行进了城。黄包车的车身座椅处，竖着一杆破旧的旗子。旗子外围画着圆圈，中央正好包住一个十字。
0:7:40|0:7:58|同样的黄包车一共有四辆，为首的车上坐着一个烫着短卷发，戴着珍珠耳环的中年女子，第二辆车上则坐着一个与她模样相似的少女，而她怀中还有一个大概三四岁的小女孩，她们全都好奇地打量着周遭。
0:8:1|0:8:19|看到这一行逆行而来的人群正在逃离的百姓中，几个小孩好奇地打量着，还没看起眼便被父亲大吼着赶快离开。不远处，手握长枪，勾搂着身子的几个日本士兵正好奇地在街边搜寻着什么。
0:8:19|0:8:25|在经过一处早已面目全非的小酒馆门前时，其中一个士兵突然眼前一亮。
