0:0:43|0:0:51|繁华的街景之上，只见一人一驴悠闲地走着。可突然，驴不听使唤，脱缰绳指冲前。
0:0:55|0:1:2|他一蹦一跳太滑稽，在驴的屁股后面紧追不舍。这一幕引得路上行人纷纷驻足。
0:1:13|0:1:35|终于驴也跑累了，放慢了脚步，男子急忙伸开双臂挡住驴的去路。他一把抓住驴脖子上的缰绳，终于将这头巨驴制服。他转头还没等说完话，这巨驴又发动了，扭着屁股蹦蹦跳跳地跑了。
0:1:41|0:1:58|高楼大厦与宽阔的道路交织在一起，秦皇岛车站门口，行人如织。赶来接人的胖大叔还在车里呼呼大睡，他把头靠在方向盘上，显然铃声对他丝毫没有作用，时不时还夹杂着此起彼伏的呼噜声。
0:1:58|0:2:8|这边女人一边打电话一边催促姑娘们，他们身后紧跟着的是一群退伍军人，带头的是[少兵]。
0:2:36|0:2:44|另一边，跟在女人身后的姑娘们兴奋地四处张望，可女人的电话还是没打通，她尴尬地朝旁边的女孩笑了笑。
0:2:48|0:2:52|[少兵]意气风发，感受着回到故乡的亲切。
0:3:17|0:3:26|这驴的主人竟是二叔。[少兵]回头，正对上一头驴，四目相对傻了眼。
0:5:19|0:5:25|二叔走后，[少兵]看着驴，面露惊色。此时，女人拍了拍车门。
0:5:38|0:5:51|就这样，一群年轻的姑娘跟着女人坐上面包车，东瞅瞅西看看，大城市的风景让她们心中无比向往。这里处处都是高楼，带头的姑娘子[岳梓馨]问道。
0:6:12|0:6:14|听三姐这么说。姑娘们脸上都是惊喜。
0:6:25|0:6:30|面包车逐渐远去，承载着一车小姑娘的梦想。此时公安局里。
0:6:46|0:6:51|刘明的表情还是懵懵懂懂。这边，哨兵把背包放在驴身上。
0:6:59|0:7:21|再往前走，不让动了哦，少兵刚摆好姿势，一个跨步，驴没骑上，却摔了个拱屈时。这一幕，引得围观群众哄堂大笑，少兵看了驴连连叹气，无奈之下进出奇招，只见他从地上爬起，拉开背包，给驴弹吉他。
0:7:35|0:7:50|这招竟然真的有用，淘气的毛驴乖乖就范。少兵骑上毛驴，整理好军装，拉起缰绳，踏上回家的征程。
0:8:57|0:9:12|姑娘们都进去之后，[岳梓馨]终于卸去伪装，转眼间露出阴险狡诈的表情。[张绍斌]轻手轻脚地关好房门，[岳梓馨]从包中掏出香烟，一副胜券在握的悠然姿态。[张绍斌]拦到[岳梓馨]旁边，一脸谄媚。
0:9:43|0:9:46|[张绍斌]委屈巴巴地用手捂住耳朵。
0:9:57|0:10:1|说完[岳梓馨]倾笑，拍了拍[张绍斌]的脸。
0:10:20|0:10:23|公安局里，刘明接到报案急忙赶来。
0:10:51|0:11:5|大街上，别人开车，哨兵骑驴，这一景象引得路人纷纷围观拍照。他好像是凯旋的将士一样，和群众们挥手致谢。哨兵刚到马路边，却碰上红灯。
0:11:14|0:11:29|和小朋友告完别后，他又踏上征程，路过广场舞时，[岳梓馨]被深深吸引。治安老头可不乐意了，晃晃悠悠地来到他的身边。此时，一人一旅正看得入迷，完全没有发现其他人正靠近。
0:11:29|0:11:33|治安老头轻轻拍了拍他的肩膀，吓了[岳梓馨]一跳。
0:11:43|0:12:0|老头嘴里嘟囔着，伸手摸了摸毛驴的头，转头看向[岳梓馨]。面对老头的质问，[岳梓馨]一时语塞。
0:12:6|0:12:9|牌子上写着，禁止宠物入内。
0:12:32|0:12:48|他神情慌张，看着周围人指指点点。他回头看去，一摊一摊全是驴粪，尴尬陪笑。
0:13:16|0:13:42|他接过收据，无奈之下从兜里掏出钱，还没等伸手给钱，直接被老头一把拽走。他整理好衣服后点头答应。少兵一拍驴屁股，驴鱼直向前冲，老头瞬间被驴撞得亮相。
0:14:1|0:14:19|横滑的街道上，汽车排起了长队，少兵拉着驴继续赶路，为了不影响城市环境，他绞尽脑汁想办法的时候，正巧遇见了一家卖鞋垫，这下有了办法，他将驴拴在店门外，往里面看了看，便自顾自的走进了鞋垫。
0:14:21|0:14:28|在一排排鞋柜面前竞票细选，接连比划了几双都不太合脚，这时老板走了过来。
0:14:46|0:14:54|只见他手握拳头，模仿着驴蹄的形状穿上鞋，胳膊当地面，一下一下地走了起来。老板吃惊地看向门口。
0:15:43|0:16:2|老板没好气地从哨兵手里接过钱，白手催促让他赶快离开。毛驴在外等候已久，他拿着新鞋给驴穿上，引起一群路人围观。
0:16:7|0:16:31|一旁的妹子伸手摸了摸毛驴，小伙看见也想效仿，可毛驴却不愿意了。少兵给驴穿完鞋，起身得意地拍了拍手。围观群众不是夸赞，就是拿出手机拍照。
0:16:40|0:16:52|毛驴全副武装地准备上路，蹄子穿上棉鞋，走在路上别提有多滑稽。路过的群众无一不拿起手机拍照记录，[哨兵]热情地和他们挥手打招呼。
0:16:54|0:17:6|没想到，又遇到了治安老头，[哨兵]边骑驴边敬礼，顺便指了指驴蹄子和驴屁股，这可把老头乐坏了，头一次看见给驴穿鞋，穿尿不湿的。
0:17:15|0:17:35|老头望着远去的背影，满眼感叹。赶路途中，驴也累了，人也渴了。[哨兵]找了一处地方带驴歇歇脚，好好整顿休息。他用手接住矿泉水，给驴喂水。
0:17:35|0:17:42|哨兵将手中的瓶盖拧好，将水放在一边，伸手摸了摸[驴头]，看着[驴脸]，他突然想到。
0:17:49|0:18:8|他捧着[驴脸]看着，笑出了声。画面一转，娇罗达虎真是热闹，哨兵身穿喜服，胸前戴着大花，牵着毛驴驮着漂亮媳妇，正接盖头却被驴咬住胳膊。这次[驴]就是不听他的话。
0:18:19|0:18:37|少兵看了看漂亮媳妇，他和新媳妇同时弯腰，父母满心欢喜地注视着一对新人。少兵和新媳妇面对面，微微鞠躬，却一不小心磕了头。
0:18:41|0:19:1|他一把将新媳妇抱起，在众人的簇拥下走进了新房，喜庆的喜字映照在少兵的面旁，两人端正地坐在床边，少兵微微转头，透过新娘的面纱能看出他脸上的害羞，他抬手想为新娘揭起盖头，可不知道是羞怯还是为何。
0:19:3|0:19:20|这时，一颗苹果从天而降，两人瞬间明白了意思，都互相将头转向对方，哨兵挪了挪略显僵硬的身体。新娘微微抬起面纱，两人的面旁都向苹果靠拢。随着气息的接近，苹果被移开，两人顺势倒在床上。
0:19:20|0:19:34|新娘子则亲吻着[张绍斌]的嘴唇，脸上已经满是唇印，还嘟着嘴享受。可下一秒，一切都是浮云，睡梦中的[张绍斌]还嘟着嘴，可和他接吻的对象并不是新娘，而是那头驴。
