0:0:49|0:0:56|在燕赵农业大学里，同学们结伴走进教学楼，男孩却跑向另一个方向，拦住女孩们问道。
0:1:12|0:1:29|这时，他身后出现的女孩默默离开。女生宿舍里，固定的床位显得整齐，宿舍的布置简单而又温馨，大家都在忙着各自收拾行李，突然，最里面的女孩一屁股坐在床上感叹。
0:2:9|0:2:19|坐在床对面的女孩一句话仿佛戳中了[山性]的心事，她抱着衣服若有所思地坐在床边，目光呆滞地盯着前方。
0:3:2|0:3:27|画面转到四年前，村庄里一片祥和，男子迈着轻快的步伐走进院里，埋头修车的中年男子丝毫都没有注意到。[支书]大步走在前面，中年男子紧随其后。
0:4:17|0:4:22|[支书]已把接过通知书拿在手里仔细查看，随后他肯定地说道。
0:5:4|0:5:13|[山杏爹]俩站在原地，目送[支书]出门。随后，[山杏爹]看向身旁的妻子，可此时妻子也不知该怎么办。
0:5:28|0:5:33|大爷吊着烟管，若有所思地紧盯[支书]的背影。
0:5:42|0:6:2|[山杏]家，[山杏]正扛着锄头走进院子，她边走边擦下额头上的汗水，见缸里有水，她弯下腰就去盛。忙碌了一天的她，根本来不及放锄头，单手端起水瓢就开始喝，等喝饱之后，她才走向墙角放下锄头，朝着里屋喊道。
0:6:3|0:6:7|听到女儿的呼唤，母亲面无表情地走向桌子。
0:6:8|0:6:18|他无视站在面前的[山杏]，拿起桌上的录取通知书就转交给[山杏]。父亲坐在一个旁的凳子上，单手撑着脑袋，紧紧盯着地面。
0:6:18|0:6:25|但[山杏]接过录取通知书仔细阅读时，[山杏娘]却将头转向一边，不知道该怎么面对这件事。
0:6:26|0:6:42|看到自己被录取后，[山杏]露出了喜悦的表情。可是她继续向下阅读时，竟发现入学报到的学费竟然高达6500元。她脸上的表情瞬间僵住，不可置信地紧盯着录取通知书。
0:6:42|0:7:15|随后，她将录取通知书重新放回桌上，转身走了出去。站在门口的她强忍着心中的不甘，目光呆滞地看向正前方，随后，她迈着沉重的步伐走出门外。面对父母的沉默，她深知其中的苦楚，不知不觉中，她来到大桥上。
0:7:44|0:7:52|也许有的人已经知道了，[支书]的话令在场所有人都默默低下头。
0:9:3|0:9:10|这书自街上吧告诫大家，一旁的妇人连忙捂住口鼻，生怕自己会哭出声来。
0:10:11|0:10:28|说吧，大家便各自散去。另一边，[山杏]独自坐在书桌前，目不转睛地看着桌面。这时，街坊邻居纷纷熄灯休息。母亲虽然早早躺下，可她却整夜未眠，脑海里想的全都是白天所发生的事情。
0:10:32|0:10:40|她越发地控制不住自己的情绪，只能将身体转向里侧。与此同时，隔壁的[山杏]也早已泪流满面。
0:10:41|0:10:44|他紧着盯着桌面上摆放整齐的钱。
0:11:23|0:11:37|钱由小到大的排列着，镜头摆放着他的录取通知书，这是他唯一的机会，一连串泪水从他悲伤的脸上无声地流下来，没有一点哭声，只任凭眼泪不停地往下流。
