0:0:34|0:0:41|影片开始，只见人们有序地验票进入马戏团场馆，来往观众络绎不绝，十分热闹。
0:0:43|0:1:0|观众入席后，长福大马戏团开始上演热烈的欢迎仪式，两面大旗拉开了表演的序幕。紧接着，舞台中央上来两头舞狮，两只狮子的头、四肢和身子灵活地挪动着，有力地奔腾着，轻快地跳跃着。
0:1:0|0:1:19|舞台一旁还有几人在表演翻筋斗，一套动作形容流水，十分漂亮。此后，古号队上场，他们手拿小号边走边吹，绕场一周将舞台围住。他们后面还跟着四个小朋友，给大家表演了一段迪卢汉的杂技。
0:1:19|0:1:27|最底下的杂技演员毫不费力地将三人托举起来绕场一周，十分厉害。场内气氛欢快，整个热场活动十分热闹。
0:1:28|0:1:33|幕后，[小丁]掀开帘子从化妆间走出来，他四处张望，像是在找什么人。
0:1:51|0:1:59|[小丁]离开后，他的父亲[沈师傅]也重新戴好帽子，原本严肃的脸此刻挂上了笑容。
0:1:59|0:2:13|此后，吊绳节目开始，[Chiang Yitien]神采飞扬地从后台翻出来亮相，此后一马当先地拽住吊绳，其余两人紧随其后，三人在空中快速地搬着跟头，速度之快，像是正在行驶中的轮胎。
0:2:14|0:2:28|紧接着，他们开始劈叉，两条腿在绳子间不停地变换着姿势，各种动作眼花缭乱，堪比现在的吊环运动员。绳子在手腕越绕越多，他们离地面也越来越远。
0:2:28|0:2:34|这时，[Chiang Yitien]忽然将绳子放长，台下的观众以为他要掉下来，都吓得惊呼出声。
0:2:47|0:3:0|后台，画着小丑装的[Han]，给[小梅]异地塞了几张钱。彼时，舞台上的[小丁]正在和搭档表演双人空中技巧。搭档左手拽着秋千架，右手拉着[小丁]。
0:3:0|0:3:17|[小丁]在空中一边旋转，一边做出一字马，倒挂金钩等难度系数很高的动作。表演精彩的同时也十分梦幻。观众被这精彩的表演打动，一时间掌声雷动。赛马场的演出也正在如火如荼地举行中。
0:3:17|0:3:31|两个演员在马上表演杂技，[小丁]在舞台中间拿着马鞭赶马。这时，扎着冲天辫的女演员[小丁]从外面冲进来想要上马。谁知两人都不搭理她，她懊恼地推到一边，气愤地甩着胳膊。
0:3:34|0:3:47|中床休息时，[小丁]走出场地，他用手抹了把汗，来回揪着身上的衣服透气。他走到旁边的帐篷坐下，他的爱人[小梅]一脸无可奈何地对他说。
0:4:22|0:4:39|[小丁]拿过[丁梅]手中的小丑鼻子，转身回到场地。她迈着滑稽的步伐走到舞台中央，选择想来的项目。她钻过铁丝来到秋千演出这里，故意演出要被秋千打到的样子。灰鞋的表演逗得观众恐怖大笑。
0:4:39|0:4:49|接着，她抓住秋千板，整个人盘在上面，跟着她前后摆动。谁知下一秒，她直接翻到了木板上面，带着秋千来了个360度的旋转。
0:4:51|0:5:4|秋千在空中不停地旋转，最后一圈下落时，一天被后面的人顺势抛出，本以为他会掉在地上，谁知被对面表演倒挂金钩的人接住，三人在空中挨了段跌落汗。
0:5:5|0:5:21|一连串的表演实在是太刺激，观众明显还有点意犹未尽。紧接着是儿童杂技表演，只见[小女孩]手上脚上额头上一共顶了五盏竹台，另一边三个[小女孩]正在钻圆筒。
0:5:21|0:5:34|随着表演的深入，[小女孩]顶着竹台做翻身、下腰等工作，另外三个[小孩]其中两个背对背钻进一个圆筒里，交替着把对方举起来，另一个则是站立着将腿掰过头顶。
0:5:36|0:5:47|此后是竹竿表演，六个男人，三个一组盘在两根竿子上，他们动作整齐划一，像是复制粘贴一般，就连年纪较小的一男也能顺利完成。
0:5:49|0:5:58|惹得观众接连叫好，紧接着，所有人退下来，[Chiang Yitien]独自一人爬上杆子，他仅仅一靠臂力，只用手便爬到了最顶端。
0:5:58|0:6:8|随后，他纵身跳到另一根杆子上，只见他来回在两根杆子上跳跃，最后他头朝下，滑下杆子，与同伴一起鞠躬谢幕。
0:6:10|0:6:23|[小丁]直出演的是一个神情呆滞的儿童，所有人退下后，他迷迷糊糊地走上场，看看这儿瞧瞧那儿，随后一个大跳朝前扑去。
0:6:45|0:6:53|只见[Chiang Yitien]一个打俩，身子灵活，拳拳抱肉，打得对方措手不及。
0:7:19|0:7:31|[Shen Tinyi]把钱还了之后，瞪了一眼[Chiang Yitien]，随后冷呵而去。下午，[Shen Tinyi]一天和[小丁]再次回到内场，他们表演的是魔术飞刀。
0:7:31|0:7:45|[小丁]将自己固定在圆盘上，[Shen Tinyi]将其转动起来。[Shen Tinyi]站在远处，朝圆盘投掷飞刀，只见飞刀像是长了眼睛一般，完美地避开[小丁]。观众十分紧张，大气都不敢喘。
0:7:46|0:8:1|在看见人没射之后，场内一时间掌声雷动。三人表演完还没喘口气，就[Han]处理异地的事。
0:8:22|0:8:27|[Shen Tinyi]正对着镜子穿空中飞人的衣服，[小丁]快步走进来劝说他。
0:8:40|0:8:57|话虽如此，[Shen Tinyi]还是有些担心。空中飞人历经坎坷，终于开始。[Chiang Yitien]身披着披风，掀开幕布闪亮登场。观众已期待许久，现场一片欢声笑语。他从容淡定，一点也不慌张。
0:8:57|0:9:4|[Chiang Yitien]站立后，激动地展开双臂向观众致意。此后他一把抓住横杆，蓄力向前荡去。
0:9:5|0:9:19|突然，一颗炮弹从天而降，在他面前炸开。易东从横杆上坠落，幸好他反应快，及时抓住了安全绳。但轰炸机还在继续投掷炮弹，马戏场内瞬间化成一片火海。
0:9:20|0:9:38|观众一窝蜂地跑出马戏团，来不及跑的人被炮弹炸飞，本来应该充满欢笑的地方瞬间被尖叫声所充斥。马戏团瞬间变成一片火海，上方升起一朵朵蘑菇云，[沈师傅]掩护着女儿和徒弟一起跑出马戏团。
0:10:11|0:10:13|大家把钱分了，以后各奔前程。
0:10:46|0:10:52|易东看了眼易天，别过头不想接钱，但易天还是将钱栽进了口袋里。
0:11:28|0:11:47|易东和众人道别之后，义无反顾地离开了。战争的炮火响彻云霄，日本人抢占东三省，建立起韦满洲国。他们在中国各地烧杀抢掠，鸣不聊生。画面来到码头，这里人潮拥挤，大家都想尽办法逃离这里。
