0:1:6|0:1:11|此时，他们正围着训练场进行体能训练。
0:1:57|0:2:16|训练场上是[刘莉]练习的身影，她留着像男孩一样的短发发型，一边大吼着给自己振作士气，一边对着空中练习。杨卉看着[刘立]。水货，小月，杨卉手上拿着计时器，得意洋洋地看着琉璃。
0:2:20|0:2:34|杨卉撑起身子，看了眼计时器，对琉璃说。练得起劲的琉璃停了下来，一脸精疲力尽的样子。汗水浸湿她的头发，她双手撑膝，缓缓比出二。
0:3:2|0:3:5|琉璃拉了一把杨卉，笑嘻嘻地将她推倒。
0:3:12|0:3:38|共同的生活道路，让我们这两个不像女孩的女孩，彼此间产生了深深的音乐，有一种说个名也报个白的感情。我们不知道她是什么，却充满惊喜地眼看她，一天比一天更浓烈。
0:4:1|0:4:4|两人急忙撒了一把纸币。
0:4:44|0:4:46|这时，[刘丽]一把拿过钱，向外跑去。
0:4:51|0:5:4|[刘丽]一路飞奔，从更衣室跑到场馆，手中攥着那几张钱，可场馆的玻璃门却锁了，她趴在门上奋力地捶玻璃，脑海中浮现出了小时候的情景。
0:5:4|0:5:14|那时的[刘丽]将杨卉送到家门口，只见杨卉母亲黑着脸推开门，一把将杨卉拉了进去，随后一脸嫌弃地对酷似男孩的[刘丽]说道，
0:5:21|0:5:41|[刘丽]一边做鬼脸一边离开了杨卉家。杨卉妈妈随后瞟了一眼深厚的杨卉。杨卉全然不听母亲的数落，一边上楼一边对她做鬼脸。
0:5:44|0:6:2|他拉起杨卉的胳膊，此时，[刘丽]爬上了屋顶。杨卉妈妈说罢，气冲冲地拿盆要接热水，杨卉委屈地站在一旁，抬头便看到[刘丽]在屋顶耍起武术。
0:6:11|0:6:17|杨卉妈妈正要给女儿擦手，却发现她满手是血，可杨卉却一声不吭。
0:6:31|0:6:37|淘气的[刘丽]此时还在屋顶看着杨卉母女。杨卉母亲一回头，[刘丽]冲她吐着舌头。
0:6:43|0:6:53|说话，便朝他泼了盆水。此时，一声呼唤将他拉回现实。[刘丽]有些恍神地点点头。大爷打量了她一下，提醒道。
0:6:57|0:7:1|[刘丽]朝大爷后退了几步，眼神中却带有一丝木然。
0:7:13|0:7:26|突然，[刘丽]想起自己还有喊收训练，一路跑回训练场地。回队后，杨卉春教练不注意问[刘丽]母亲在不在，[刘丽]坚定地摇头，将手里的纸币偷偷还给她。
0:7:26|0:7:34|怎料这一幕正好被教练尽受眼底，她用手中的棍子狠狠拍[刘丽]的手，钱散落一地。
