0:0:47|0:0:55|一艘轮船驶过，[程翼]正在家里抽着烟。窗边摆着两张相片和一幅石膏像。
0:1:14|0:1:33|乐谱和报纸散落在地上，[程翼]一双腿夹在凳子上，还时不时地搓搓脚，他一手拿笔在纸上写字，一手举起烟，深吸一口。面前放着的风扇不足以驱散燥热，他在手上卷了一把纸，擦了擦汗。
0:1:33|0:1:42|擦完之后，将卷纸随手丢在桌上后，他拿起写好的谱子，起身走到钢琴旁边，摆上自己刚写好的谱子。
0:1:57|0:2:1|诚意望向门口。房东走上台阶坐了下来。
0:2:33|0:2:44|[程翼]摘下刚刚塞进左耳里的纸团，朝着门口侧耳，转过身又摘下右耳的纸团，画面转向餐厅，一个眼镜男手拿着戒指盒。
0:2:59|0:3:11|眼镜男和上戒指盒，紧紧地握在手里笑着，他抬起头看向店外，高兴地发现，他站起身，却没了笑容，只见女友说道。
0:3:35|0:3:55|眼镜男伤心地望着女友离开，另一边，[程翼]坐在椅子上，拿起放在地上的水瓶，喝了一口，用手揉搓着头发。
0:4:30|0:4:49|[程翼]挂掉电话，把手机收到兜里。他看向门口，从凳子上起身后，轻手轻脚地向门口走了两步。他扒开薄薄的纱帘，朝前探了探头后，又侧耳倾听着，然后又回到卧室换了身衣服，捏手捏脚地打开了门。
0:4:49|0:5:1|他先是只探出个头，注意到台阶上睡着的房东后，喘了口气，无声地挖了一下，快速闪出门外，满脸狰狞地轻轻合上铁门，走出楼之后才松了口气。
0:5:2|0:5:7|[程翼]走在大街上，迎面一个西装男带着儿子走来。
0:7:57|0:7:59|[程翼]喝了口酒，放下酒杯。
0:9:12|0:9:19|[阿玲]收起香水望向[程翼]这边，[程翼]冲她点头笑一笑，她笑着走到[程翼]面前。
0:9:32|0:9:35|[程翼]在[阿玲]旁边抖起步。
0:9:47|0:10:4|[程翼]叫住刚转身的[阿玲]，凑到她跟前。[阿玲]不太好意思地笑着点点头回到柜台，[程翼]望着她。画面转向深圳高铁站外，一亮亮的地势使出使劲。
0:10:6|0:10:19|[成毅]背着生煎包大步走出高铁站，穿过马路后左右望了望，他推了一下眼镜大呼一口气继续走，转眼来到一个高级的酒店餐厅，他在台上弹着钢琴。
0:10:38|0:10:44|随着[程翼]的琴声，一个中山庄男子带着一个墨镜男和一个美女大步走进酒店。
0:10:47|0:10:58|这时，中山庄男子等人来到餐厅，他双手插头望了望，[程翼]也注意到了他们。中山庄男子转身对着墨镜男说道。
0:11:1|0:11:12|美女挽着大哥的胳膊，两人跟着[程翼]上了台阶，后面还跟着两个保镖，三人先后落座，[李小露]一直在注意他们。
0:11:40|0:11:47|大哥搂着美女[NIKOLE]。大哥掏出礼盒。
0:12:31|0:12:51|[NICOLE]一手拎着平包，扭着屁股朝[程翼]走去。他走上台阶，[程翼]望向他。这时，一伙人冲进了餐厅，为首的长发男对大哥合掌一鞠躬。周彪指着穿中山装的男子。
0:12:58|0:13:1|表面像谈生意，但是到底在干什么不法的勾当，只有天知道。
0:14:13|0:14:21|说完，[NICOLE]踩着高跟鞋走下台阶，[李小露]看着她回到周彪身边坐下，露出一抹笑容。
0:14:24|0:14:34|他想了想，微叹了口气，又低下头继续弹琴。到了第二天，[程翼]来到琴行，[李小露]放下正在擦着的乐器迎了上来。
0:14:41|0:14:49|[程翼]听到琴声，向里面的钢琴走去，却发现是[NICOLE]在弹钢琴，他的手指在琴键上熟练地挪动。
0:14:54|0:14:59|[NICOLE]起身让开，站在一旁听着琴声从[程翼]指尖弹出。
0:15:37|0:15:45|两人相识一笑。[程翼]看着[李小露]离开，看了眼钢琴，又看了眼地址。
0:16:0|0:16:7|马路上车来车往，[程翼]抱着一袋水果回到香港，刚好碰到[阿玲]出门。
0:16:28|0:16:30|[阿玲]妈妈，也就是房东，走出了楼，整了整衣服，摸了摸头发，问道。
0:16:53|0:17:3|说着，拿过[阿玲]手里的水果扔到了地上，[程翼]躲在墙后看着这一切，只见一个男人走到[阿玲]母女俩面前，然后牵着[阿玲]上了车。
0:17:10|0:17:31|[程翼]扶着墙，自言自语道。[程翼]咬了咬嘴唇，走到楼前缓缓吞下。手在空中停了停后，还是捡起了地上的水果，还将掉在外面的一个梨在胸前擦了擦，然后塞进袋子里。接着他抱着水果，看着[阿玲]母女坐车离开。
0:17:31|0:17:36|[程翼]换了身衣服后，来到紫金花广场上，他拿起手机等待着。
0:17:41|0:17:43|又玻璃一遍，边等边向海边走。
0:18:24|0:18:26|大眼美女拿走诚意的电话。
0:18:39|0:18:41|诚意深出手，大眼美女转过头去。
0:19:2|0:19:17|说着，大眼美女又按着号码，但这次却没人接听。诚意在一旁想说什么又止住。大眼美女边等待边斜眼看了眼诚意，只见她双手插兜，看着美女沮丧地放下胳膊叹了口气。诚意惊讶地蹲下捡起手机。
0:19:29|0:19:44|大眼美女却快不走开了，[程翼]打开手机晃了晃，接着他来到一处酒吧，舞女正在台上表演。阿辉一边擦酒杯，一边对吧台的[程翼]说。
0:20:12|0:20:21|阿辉抬起头，却看到前女友[安久]，挽着男人走了进来。[安德烈]也看见他，但低下了头，诚意望过去说。
0:20:25|0:20:35|诚意侧过头拍了拍手说，阿辉看着走开的前女友等人舞女伴随音乐激烈的舞蹈圈。
0:20:57|0:21:9|此时，大眼美女走了进来，诚意百无聊赖地推了推眼镜。大眼美女四处张望了一圈，看到了吧台上的诚意，她侧着头走上前，拍了拍诚意的肩膀。
0:21:24|0:21:27|大眼美女转了个圈，靠着吧台。
0:21:46|0:21:50|太子爷对着打手说道。大眼美女注意到这边。
0:21:55|0:21:59|诚意定睛一看，她冲到[李小露]面前。
0:22:10|0:22:20|[李小露]搂着安救离开。等他们离开，诚意冲到[阿玲]面前扶着他。
0:22:34|0:22:49|之后，诚意按照[NICOLE]给的地址来到了一处别墅区。走上一个小坡，来到一幢别墅门口。他看了看里面，看了看地址，上前伸出手打招呼。门口的保镖过来问道。
0:23:7|0:23:11|诚意边走边看着豪华别墅，保镖在玻璃门前停下。诚意推门走进去，几个保镖在门外巡逻着。他打量了一下屋内，看到进门不远位置那架琴行里满下的钢琴。
0:23:31|0:23:39|拿起钢琴上的琴谱，然后自然地坐了下来，摆好琴谱，望了眼会客厅里，随即自顾自地弹了起来。
0:23:51|0:23:54|原来[程翼]正和长发男在会客厅谈生意。
0:24:20|0:24:23|老人朝屋外走去，[李小露]在后面朝他们微点了一下头。
0:24:53|0:24:57|两人在泳池旁边坐下，马上有侍者端来酒水。
0:25:39|0:25:43|两人走到一边，软酒拍了拍[程翼]的胸口。
0:25:57|0:26:18|软九转身走开，没想到一个转身便掏出枪，[程翼]身后的保镖也立马举起枪，[程翼]笼笑一声，此时，两边的手下都举着枪。[程翼]抓起桌上的钱袋，便在保镖的掩护下撤离。一个保镖被软酒打中，掉进了泳池里。
0:26:18|0:26:20|[程翼]听到外面的动静抬起头来。
0:26:52|0:27:5|屋外一片混战，[成翼]的琴声仿佛变成了个个倒下的人的背景乐，直到几人从玻璃门前跑过，[成翼]才停下来站起身。很快，桌椅和保镖被软酒追上。
0:27:8|0:27:26|阮九连开几枪，周彪的背上出现两个枪伤，[成义]联盟躲在钢琴后面。玻璃门也被阮九打碎，周彪又补了几枪后，还坚持转过身来，对着阮九连开数枪，但是自己也踉跄着朝后退了好几步。
0:27:26|0:27:44|[程翼]皱紧眉头，想看看情况，又不敢冒头。最终，阮九和周彪双双倒地，没有了枪声，[程翼]才敢露出个脑袋，直接外面已经倒下去好几个人。周彪口吐鲜血，看到了[程翼]便朝他伸出手想要爬过去。
0:27:44|0:27:51|[程翼]左右一看，确定没人，起身跑向门口，在门口左右望了望，才敢走出去。
0:27:57|0:28:4|没注意脚下的他，被周彪抓住了小腿，他转了几下没挣脱，才蹲下身去扶周彪。
