0:1:42|0:1:49|几名男子将粪桶绑上大纸花，周围的群众一脸高兴，现场还有记者进行拍摄报道。
0:2:31|0:2:34|再也看不到这个背着粪桶淘大粪的工人了。
0:2:57|0:3:3|所以呢，[时传祥]一代的掏粪工人，只能把大粪一桶一桶地从这里背出去。
0:3:32|0:3:50|学生们一拥而上，围在粪桶前打闹。[石淳丽]和清洁工人们背着粪桶走向了新型清洁车。他们的脸上洋溢着幸福的微笑。[石淳丽]放下粪桶，微笑着看着身边的孩子们。她穿过人群，注意到了远处的解放老师。
0:3:50|0:3:56|解放一个人站在太阳底下，呆呆地看向远处。[石淳丽]走到他的身边，问道。
0:4:1|0:4:21|她看着眼前破旧的厕所对[石春丽]说。她不由地陷入回忆，在一个寒冷的冬天，尚在墙堡中的她被遗弃在了这间厕所的门口，孤零零地在冰凉的石凳上哇哇大哭。记忆拉回到现实，她看着眼前差了一半的厕所，泪流满面。
0:4:31|0:4:39|一辆越野车正在行驶着，道路两旁的绿化带被修剪得整整齐齐。这时，方律师接到一个电话。
0:7:5|0:7:18|老太太陷入了回忆之中，年轻时她在刘家做工，这天她正在院里洗衣服，将衣服从盆里捞起来拧干，上下抖了抖将其晾在绳子上，这时门外传来男人的声音。
0:7:35|0:7:41|英子点点头，转头开始收拾，她将绳子上的衣服收了起来，对门口的[时传祥]说道。
0:7:44|0:7:55|[时传祥]身穿补丁衣服，背着沉重的粪桶，快步朝院子里走去。英子见他如此忠厚，便进屋盛了碗水端了出来，对[时传祥]喊道。
0:8:7|0:8:15|刘夫人一把夺过英醉手中的碗，将水倒在了地上的猫碗里，英醉不可置信地看着。这时，[时传祥]走了过来。
0:8:24|0:8:41|刘太太指着猫碗对[时传祥]说，[时传祥]看着漂浮着鱼骨头的猫碗，气愤不已，眼里充满了怒火。只见[时传祥]一言不发，愤怒地朝门外走去。跨出门槛，他生气地回头看了看，强忍着满腔怒火走了。
0:8:41|0:8:50|英子见此情形，也心疼不已，[时传祥]利落地将粪水挑进大桶中，再次回头看了眼刘家院子，随后怒气冲冲。
0:10:6|0:10:13|老王高兴地拿着篮子来领窝头，不料对方却只给他四个，走吧。
0:11:26|0:11:32|夜幕降临，方律师和玲玲正在渔庄吃饭，店里顾客颇多，热闹非凡。
0:11:42|0:11:55|可口的啤酒，美味的小吃，鲜美的鱼肉，让顾客忍不住舔手指。方律师悠哉地喝着果汁，玲玲则吃得不亦乐乎。看着[玲玲]豪迈的吃相，[方律师]放下果汁，忍不住对她说道。
0:12:52|0:12:56|第二天，两人来到养老院，对[沈老太太]一顿精心照顾。
0:14:22|0:14:36|[玲玲]见状，立马对[方律师]使眼色。[方律师]秒懂，赶紧打开收音机。那年冬天，解放军包围北京城，到处打冷枪。
0:15:45|0:15:59|[英子]抱着孩子站在门口，有些不知所措。她私下张望了一会儿，便抱着孩子向巷子里走去。她用围巾遮住自己的脸，将孩子抱在怀里，穿过层层烟雾，经过土地庙。
0:15:59|0:16:4|她在路口小心翼翼地观察着四周，确定路上没人后，继续向外走去。
0:16:5|0:16:20|走过弯弯曲曲的小巷，来到一个破旧的茅厕，警惕地四下张望着，确定无人发现之后，他小心翼翼地将孩子放在了茅厕门口的大石头上，干净地包裹，与周围脏乱的环境格格不入。
0:16:21|0:16:39|他缓缓站起身来看着孩子，后退着准备离开。不料，他刚一转身，孩子就哭了起来。他连忙小跑着回到孩子的身边，蹲下身子轻拍背，温柔安慰。可孩子却怎么也哄不好，一直哭个不停。
0:16:39|0:16:55|这时，一阵脚步声传来，[时传祥]警惕地抬头看了看，赶紧躲到了茅厕后边。[石船祥]推着粪车走来，他将粪车停在茅厕门口，提起粪桶准备开始工作，一转头就看到了石头上的鹰儿。
0:16:56|0:17:11|他连忙放下粪桶，小心翼翼地抱起孩子，丝毫没有注意到鹰子正躲在墙边偷看，孩子在[石船祥]的怀里啼哭不止，他一边温柔地哄着孩子，一边环顾着四周想要寻找孩子的家人。
0:17:12|0:17:30|可终究是一无所获。英子见状，赶紧躲进了女厕所。[时传祥]看着怀里可怜的孩子，周围空空荡荡，也不见有人的踪影，便抱着孩子离开了.英子看着[时传祥]离去的背影，暗自记下了他的模样。
