0:3:12|0:3:20|弄堂里，两个小男孩捏手捏脚地走到杂货店门口。弟弟小虫在冰柜前兴奋地停住了脚步。
0:3:27|0:3:51|哥哥[阿轩]拉着弟弟小虫的手走进杂货店，老板正在打盹。[阿轩]偷偷地拉开放钱的小抽屉。小虫不小心碰出了声响，[阿轩]飞快地抽出几张纸币。临走前，小虫还是没忍住拉开了冰柜。这时，老板醒了。
0:3:57|0:4:23|老板在后面追着两人跑，边跑边骂。他们中途撞倒了一个阿婆，小虫把阿婆扶了起来，给她鞠躬道歉。老板从背后抱住小虫，[阿轩]扔石块砸中老板的头，小虫趁机逃脱。
0:4:28|0:4:33|两人坐在高高的台阶上吃冰棍，面前是一望无际的大海。
0:4:56|0:5:12|不知不觉，小虫长大了。他拉开窗帘，坚定地看着窗外。他背着书包准备出门，爸爸问道。
0:5:26|0:5:37|爸爸从柜子里拿出一个奖杯，放到小虫眼前。爸爸把奖杯摔在地上。
0:5:50|0:6:12|爸爸用手指点着小虫的胸口，小虫反驳。小虫转身跑出家门，爸爸气愤地挥了一下拳头。高中操场上，田径队正在训练，[周以晴]骑着摩托车竟直开到了跑道边停下。
0:6:14|0:6:26|潘教练看到他，示意队员们停下，队员们向潘教练问好。周以晴摘下头盔，走到[潘教练]身边。
0:7:30|0:7:35|小虫从书包里拿出马拉松海报，盯着[阿轩]继续问。
0:7:57|0:8:11|[阿轩]把小虫推到了地上，狠狠地瞪了他一眼，转身跑去训练。这时，[方崇宇]走过来，向小虫伸出一只手。小虫看到了[方崇宇]手臂上的伤疤，自己站了起来。
0:8:17|0:8:32|他看向田径队训练的方向。周以晴看着他专注的样子，若有所思。田径队跑过来，最前面的小胖把跑道上小虫的书包踢向一边。
0:8:36|0:8:39|周以晴想要拉住生气的小虫，小虫甩开他的手。
0:8:58|0:9:10|小[崇]趁乱跑走，[潘教练]跑来。
0:9:15|0:9:19|[周以晴]走到教练身边，看着小崇跑走的方向。
0:10:20|0:10:43|小崇被潘教练的话逗笑了。小崇脸上的笑容顿时消失。小崇转头冲队员们喊道。坐在地上的队员们不服气地起身。
0:11:0|0:11:23|在[方崇宇]和队员们的注视下，两人站到了起跑线上。小虫把[周以晴]拉到跑道内侧，[周以晴]笑着接受了她的绅士行为。[阿轩]走上前叮嘱小虫。[阿轩]没有听从哥哥的嘱托。[周以晴]做好了起跑姿势。
0:11:27|0:11:49|刚开始，小虫领先，但是两人并没有拉开很大差距。[阿轩]发现小虫并没有站内圈，不禁皱起了眉头。最后的冲刺阶段，[周以晴]开始发力，小虫力不从心，被[周以晴]反超，队员们鼓掌欢呼。
