0:0:49|0:0:56|影片开头，在一家高级西餐厅内，一位女士随意地用叉子拨弄着自己盘中的面条。
0:1:11|0:1:18|主厨点头，女士请他品尝。主厨用叉子插起一块熏香肠放进嘴里，女士继续问道。
0:1:22|0:1:25|女士质疑，转头看向一同进餐的几人。
0:2:9|0:2:14|女士得意地长舒了一口气，随后抬头看向上方不远处的吊灯。
0:2:33|0:2:42|主厨招呼身边的服务员亲身吩咐。服务员搬来梯子，小心翼翼爬上去。
0:3:6|0:3:16|大家摇头。前后倾斜，灯泡反射到盘子上的光点没有了。主厨恍然大悟。
0:3:28|0:3:35|[李美玲]不在意地挥挥手。主厨鞠躬后离开，[李美玲]一脸骄傲地坐着身子。
0:4:9|0:4:13|[程羽蒙]萌笑了笑，饭后众人准备离开。
0:4:27|0:4:29|[程羽蒙]优雅地上了车。
0:4:32|0:4:44|商务车驶离，车内，[程羽蒙]扭头看着自己离餐厅门口的众人越来越远，这才疲惫地闭上眼，靠在座椅上休息。
0:4:56|0:5:16|[程羽蒙]打开自己的钱包，里面只有为数不多的几百元。他把钱递给司机。他又重新靠在座椅上闭眼休息，心头却如同被石头压着。
0:5:18|0:5:43|没一会儿他就睁开眼睛看向窗外，城市的夜晚五光十色，灯光斑驳地映在他的脸上。地铁站内，[程羽蒙]投了几枚硬币购买了地铁票，背包从行李安检机中缓缓穿过。他接过背包，检票进站，顺着楼梯来到等候区。
0:5:43|0:6:4|一辆列车行驶进站。他迈进这趟不再拥挤的晚班地铁，面无表情地坐下，车门关闭。下了地铁，他来到便利店内，用十几块零钱买了几串关东煮。
0:6:4|0:6:14|随后，他缓慢又疲惫地走回家，高跟鞋敲击着路面，路上少有车辆，昏暗的灯光下只有[程羽蒙]一人。
0:6:16|0:6:40|居民楼下，漆黑的巷子两旁停满了自行车，有人正推着自行车离开。他走进居民楼内，穿过一层又一层昏暗的楼梯，路过过道旁的灶台，回到自己的屋子。打开灯，拔下钥匙，关上房门。
0:7:18|0:7:27|主编停下指导员工拍摄后，又向前走去。主编瞪了眼吃泡面的员工。一个男生正给一个女生递早餐，主编翘了翘他们的办公桌。
0:7:44|0:7:51|来到主编办公室，主编先开办公白板上的第一张纸，录出了许多照片。看着这些照片，[程羽蒙]录出笑容。
0:8:48|0:9:3|你突然跟我说去尼泊尔，就算你把那地儿说得再好，这落差是不是也太大了，主编面无表情，抬眼看着陈宇萌，随后放下手中的饼干站了起来。
0:10:3|0:10:13|主编用手指向白板上的四个大字，我很幸福，随后他走到桌前打开了一罐红牛。
0:10:18|0:10:21|他喝了口红牛，继续说道。
0:11:3|0:11:19|[程羽蒙]冲主编乖巧的一笑，可下一秒就收起了笑容，难以失落与无奈，转身看着我很幸福这四个大字。出发的日子到了，机场航站楼内，旅行团的几位大姐吃着橘子嚷嚷。
0:11:31|0:11:46|[程羽蒙]厌恶地走到机场书店，拿起书翻阅。机场出口，旅行团团长指着幸福之旅的牌子等待着。[王灿]推着行李走出来，他一副醉醺醺的样子，拿着手机摇摇晃晃，和团长打了个招呼。
0:11:50|0:12:13|大姐们将行李安置在旅行团大巴的后备箱，随后匆匆上车。娜姐上车推门时，把躺在座位上的[王灿]的脚夹了一下，[王灿]迷迷糊糊坐了起来。[王灿]随手拉着一个刚上车的短发女孩。
0:12:13|0:12:17|女孩从包里掏出毛巾，下车将手里的矿泉水倒在毛巾上。
0:12:55|0:13:12|[程羽蒙]瞟了一眼众人，对[王灿]面露不满。那个热心的[餐厅女孩]一直低着头看着手机，里面是一张张尼泊尔的照片，上面写着幽静深远，寺庙灵力，佛光笼罩。[餐厅女孩]的眼神中透露出对这场旅行的期待。
0:13:13|0:13:37|乘坐大巴在转乘飞机的途中，[餐厅女孩]一直通过手机浏览着尼泊尔的一切。转眼间，她们已经抵达了加德满都国际机场。导游拉欣举着一张写有幸福之旅的纸不断晃动。
0:13:42|0:13:49|这趟幸福之旅由此开启，[程羽蒙]打开QQ空间，配文写道。
0:15:12|0:15:20|[王灿]从两人刚刚经过的店铺里走了出来，他看着向前走去的二人露出不屑的表情，转身朝反方向走去。
0:15:24|0:15:35|导游拉星站在杜巴广场一座神像前。大姐们与广场上成千上百只鸽子嬉戏，拉星带着旅行团边走边讲解。
0:15:41|0:15:57|[李美玲]用手机拍照记录，僧人，外国游客，佛像都是这里的组成部分。旅行团内的摄影爱好者们拿着单反相机对准当地的孩子以及各种特色一顿狂拍。[程羽蒙]在不靠谱旅友群内写道。
0:16:5|0:16:20|大家逛遍了当地的饰品店、服装店以及地摊。[陈伟蒙]走在街道上，注视着这里来来往往的人，一个老人从旁边经过和他对视。
0:16:44|0:16:57|第二天，旅行继续，[王灿]试戴着各种各样的手套，[程羽蒙]拿着地图站在街道中央，皱着眉头看着车来车往，人来人去，他垂头丧气地放下地图，然后朝天空望去。
