0:2:50|0:2:58|The unruly steed continued to gallop forward, and the group turned towards another intersection.
0:2:58|0:3:9|Chasing on the sand dunes, [William] galloped excitedly, shouting without realizing he was chasing in the wrong direction.
0:3:10|0:3:14|The yellow sand scattered freely among the chasing herd of horses.
0:3:14|0:3:22|Under the shadow of the giant rock, [William] the leader watched as the pursuers departed, nodding towards the others.
0:3:22|0:3:30|The crowd dared not slack off, changed direction and continued to flee, the desert sun casting long shadows of the escapees.
0:3:33|0:3:41|At night, a person is bandaging a thigh wound by the campfire, with [William] and [Pero] looking on coldly, [William] with a face full of unwillingness.
0:5:30|0:5:38|A strange gust of wind blew in, causing the flames of the torches to flicker. Just as the two figures in front of the bonfire looked up, a blurry figure flashed by.
0:5:38|0:5:47|The two were attacked by an unknown object. [William] and [Pero] quickly gathered their spirits, drew their swords cautiously, and approached the fire pit quietly.
0:5:50|0:6:1|In front of them was only a lonely bonfire. Looking around, [Pero] noticed a trail of fresh blood on the ground.
0:6:2|0:6:10|A strange noise is heard, the two stand back to back holding their swords defensively. [Pero] nervously says:
0:6:20|0:6:29|[William] raised his long sword high and struck with all his might, cutting off a beast's claw. He slashed horizontally and vertically, and with two consecutive strikes, the monster fell off the cliff.
0:6:45|0:6:59|Crossing the desert, the land gradually became more vegetated. On a small path, [William] and [Pero] rode on horseback. In the distance behind them, the sound of galloping horses could be heard, and the two turned around to see the Khitan people approaching.
0:7:5|0:7:18|After speaking, William and Female General hurried towards the mountain, while several riders with bows and whips chased after them, already reaching the narrow mountain path.
0:7:18|0:7:22|The winding path was dusty, and the Khitan people were in high spirits.
0:7:22|0:7:28|Two men rode their horses up the mountain along a small path, with pursuers shouting and brandishing large knives closely behind them.
0:7:28|0:7:47|Climbing over the steep slope, the sound of horse hooves fading away, the two sides getting closer and closer, the Khitan people starting to get excited. [Pero] glanced back, then urged his horse to catch up with [William], the two of them riding up a hill, only to stand dumbfounded in place.
0:7:59|0:8:4|Upon the command of the generals, a rain of arrows fell to the ground, forming a circle trapping the two individuals.
0:8:4|0:8:11|Hundreds of soldiers clad in armor and wielding spears, the towering Great Wall came into view as two figures looked up.
0:8:12|0:8:19|On the city wall, there were hundreds of archers wearing soft armor, drawing their bows and waiting to release their arrows.
0:8:19|0:8:26|On the city wall road, the cavalry is orderly and marching in formation, while the towering beacon tower is emitting thick smoke.
0:8:26|0:8:35|The two turned their horses around and looked back at the Khitan people who were approaching.
0:8:49|0:8:55|[William] took the lead in dismounting, and the two of them raised their hands high and walked towards the city wall.
0:9:5|0:9:9|[William] gave him a glare, and the two of them dropped their weapons in unison.
0:9:18|0:9:24|Three generals, dressed in various specially made armors, wearing cloaks, and carrying waist knives, walked proudly and confidently.
0:9:36|0:9:44|In the center, [Female General] slowly raised her head, and a fierce and terrifying beast claw was thrown onto the table in the military camp.
0:9:44|0:9:51|Four generals stepped forward to inspect,
0:11:22|0:11:48|Upstairs, the foreigner secretly observed as the soldiers approached and opened the two men's clothes, revealing the armor underneath. [Female General] drew her sword and pointed it directly at [William]'s neck. On the stage, [Dian Shuai] frowned and advised, "[Female General], raise your sword," after a moment of hesitation, she snorted coldly and sheathed her sword.
0:11:50|0:11:58|He then continued to report forward.
0:12:33|0:12:39|The sentry pushed the door open and entered, quickly descending the stairs to report the military situation.
0:12:46|0:12:51|The sentry received the order and ran out quickly, while the tightly coordinated drumming on the city tower was intimidating.
0:12:52|0:12:58|Gazing at the steep mountains in the distance, the winding Great Wall sprawls across them, with beacon towers emitting smoke signals.
0:13:3|0:13:10|Inside the city, [Female General] and [Counselor Wang] are escorting two individuals.
0:13:56|0:14:2|The team arrived at the entrance of the warehouse, where the young soldier frantically searched for the keys.
0:14:10|0:14:17|On the beacon tower, the soldiers and generals were waiting in formation, with [Dian Shuai] looking solemn. At this moment, [Counselor Wang] strode over.
0:14:22|0:14:29|A well-trained infantry unit rushes towards the city wall at the gate.
0:14:29|0:14:38|The team escorting [William] arrived at the gate, and the huge gate slowly opened, with water rushing inside hitting the waterwheel.
0:14:48|0:14:54|The bare-bodied guards stirred the wheel together, the sound of machinery echoed, and the hemp rope slowly pulled the cage up.
0:14:54|0:15:0|As they passed each level of the attic, the soldiers inside were preparing for battle.
0:15:4|0:15:14|Some soldiers and warriors are holding torches, some are forging iron, the gears of the mechanism slowly turning. At the top, a bronze phoenix locked in a red cage.
0:15:17|0:15:36|The Vermilion Bird slowly rises to the surface of the Great Wall, where soldiers are lined up neatly. Not far away, a column of imperial guards escorts two people over, while the Vermilion Bird mechanism on the side slowly rises, unfolding four iron bridges for one person each.
0:15:38|0:16:3|The Imperial Guards with spears forced [William] and another person into a corner. They looked towards the Great Wall, where a catapult slowly emerged from the wall. Beside it, a young soldier shouted, "On the main road of the wall, the female generals and infantry are marching in two separate formations, in an orderly manner."
0:16:3|0:16:12|[Female General] handed the iron helmet to the general. [Female General] put on the iron helmet and looked into the distance, standing by the stone drum.
0:16:46|0:16:56|On the high platform on the city wall, soldiers raised their crossbows high, ready for battle. Female soldiers on the Vermilion Bird Ironworks tightened their belts one after another.
0:16:56|0:17:4|William strode towards the forefront of the Iron Wing. [Pero] saw this scene and asked:
0:17:7|0:17:20|The female soldier walked to the forefront of the Iron Wing, and soldiers on the Vermilion Bird Platform threw spears. The female soldier caught the spear thrown by her ally, collectively turned the gun heads, bent down and stood, pointing straight down to the city. [William] sighed.
0:17:28|0:17:48|Leading the way, [Female General] strides on the iron wings of the Vermilion Bird. Next, two spears fly towards her, which she catches in mid-air with both hands, arms outstretched in a fighting stance. On the city wall, the soldiers look serious, with [Dian Shuai] sitting in the center, exuding a dignified air as he gazes intently into the distance.
0:17:49|0:18:1|On the city wall, the archers with giant crossbows are ready, while Zhuque Jun stands proudly with an iron wing spear in hand.
0:18:3|0:18:12|The city wall is overgrown with wild rocks, resembling a desert. In the reed valley, huge stones stand tall with no grass in sight. The sound of the wind faintly carries on.
0:18:14|0:18:31|[Pero] couldn't help but ask. At this moment, thousands of exotic beasts were rushing towards the Great Wall. The general remained calm and issued orders, while the drummers on the city wall beat the drums to relay commands, the sound of drums echoing from the towering walls.
0:18:32|0:18:53|Inside the Great Wall, the strongmen are moving giant stones. They pour hot oil on the stones, and when the soldiers' torches approach the stones coated with sesame oil, they instantly turn into fireballs. With a push of a wooden stick, the fireballs roll down rapidly, while outside the Great Wall, one after another stone-throwing arm swings them out.
0:18:53|0:18:59|Fireballs streaked across the sky like meteors, trailing long plumes of smoke as they crashed down on the ravenous alien beast.
0:19:0|0:19:11|The fireball landed and immediately exploded, smashing the limbs of the alien beast. The archers on the city wall acted in unison, and for a moment, a volley of arrows rained down.
0:19:11|0:19:17|Arrows of iron were shot at the alien beast, and one arrow hit the eye of the Taotie, causing it to fall to the ground.
0:19:22|0:19:29|A ferocious beast climbed up the rock and roared angrily, then leaped forward to join the army in leading the charge.
0:19:29|0:19:39|Above the entire wilderness, strange beasts roamed everywhere dragging balls of thick smoke, while a rain of crossbow bolts filled the sky, with each ball of fire drawing an arc in the sky.
0:19:39|0:19:42|The gluttonous army charged fearlessly from the canyon.
0:19:44|0:19:50|The main general dared not delay, and immediately ordered Female General to lead the troops with a flying rope in hand and a long spear.
0:19:53|0:20:1|The female general fiercely thrust two spears into the Taotie's body, soldiers on the city tower stirred the ropes, allowing the female general to be pulled back.
0:20:1|0:20:10|[William] The two of them watched in shock as the female soldiers on the ironworks threw down two more spears, which flew into the mouth of the gluttonous creature, preventing it from climbing the Great Wall.
0:20:10|0:20:18|The [Female General] on the iron platform spread her arms, holding a spear and striking down with remarkable grace, wielding her twin spears to stab at the glutton.
0:20:18|0:20:33|Dragged back again, a female soldier was leaped upon by the Taotie in mid-air, her abdomen dragged down to the city walls. The Taotie quickly tore her apart, limbs scattering in an instant.
0:20:33|0:20:42|In the secret chamber on the city wall, the soldiers stirred the wheel and only pulled back the waist chains. They took off the waist chains stained red with blood and stored them together.
0:20:42|0:20:50|[William] and [Pero] were deeply impressed by such an army, while the foreign old man hid in the corner.
0:20:54|0:21:2|The battlefield was filled with smoke and fire, as the endless and voracious army rushed through the chaotic rocky valley.
0:21:2|0:21:16|In their army, there is a group of strong bronze-winged gluttonous beasts, they all fold their bronze wings, in the middle is the terrifying leader of the gluttonous beasts with fangs, the leader howls to the sky.
0:21:21|0:21:37|Under the command of [Dian Shuai], soldiers ignited the giant flaming meteor hammer and simultaneously launched hundreds of flying fire meteor hammers towards the Beast King. All the gluttonous beasts spread their wings to form a protective barrier, observed [Dian Shuai].
0:21:37|0:21:50|The protected Beast King not only emerged unscathed, but also let out a furious roar, shaking the horns on its head and signaling to all the gluttons with its head. The glutton army charged even more bravely towards the Great Wall.
0:21:50|0:22:1|The layers of Taotie surged like waves under the city walls, launching an attack towards the Great Wall that resembled a dam.
0:22:2|0:22:10|On the high platform, shouts pierced through the sky filled with flames of war, and the soldiers quickly responded by forming their battle formation, raising their spears.
0:22:10|0:22:23|The horde of Taotie is almost insane, unafraid of arrows, already climbing the wall. The first Taotie, using all four limbs, climbs up the city wall, fiercely opening its bloodthirsty mouth to bite and devour the soldiers.
0:22:23|0:22:46|The V-shaped formation was broken by his strike, and the Taotie on the city wall casually picked up a soldier, threw him off the wall, and the soldiers in the air were torn apart by the Taotie outside the wall. Everyone deployed in formation and charged towards the Taotie, the young soldier guarding [William] looked anxious, worriedly watching his comrades. [William] saw the foreign old man approaching and shouted loudly.
0:22:50|0:22:58|The young soldier hesitated, but the Taotie on the city wall shook its head and tail, knocking him away. The soldier made up his mind, dropped his shield, and charged into battle.
0:23:4|0:23:10|The young soldier exerted all his strength to stab the long spear into the hind leg of the gluttonous beast, only to be sent flying by the beast with a sudden turn.
0:23:12|0:23:25|The Taotie was closing in on the young soldier step by step, it pulled out the spear with its sharp teeth and flung it, [William] jumped high against the wall to catch the spear in mid-air, and thrust it into the Taotie's huge mouth.
0:23:25|0:23:32|[Pero] held a pointed shield above his head and charged straight at the young soldier.
0:23:33|0:23:43|[William] pulled the little soldier to safety, dodged the attack of the monster, crashed into the crowd, changed direction, and came out again. [William] kicked the little soldier away, the monster missed again, and crashed heavily into the city wall.
0:23:43|0:23:56|The Taotie opens its huge mouth and crawls towards [William]. [William] thrusts a spear into the giant mouth, with the other end against the ground. The enraged Taotie pushes [William] along the ground, and in desperation, kicks a long spear.
0:23:56|0:24:4|[William] took the spear and thrust it into the Taotie, causing it to retreat in pain. Kro continued to pursue, using his shield to push the iron spear even deeper.
0:24:4|0:24:19|[William] picked up a crossbow from the ground and turned it into a sturdy bow. More monsters climbed up the city wall from outside, charging towards the crowd on the wall. [Pero] rushed over, grabbed a red cloth, and vigorously waved it.
0:24:20|0:24:23|The Taotie is attracted by the moving red cloth.
0:24:24|0:24:30|It turned around and sprinted towards the red cloth, behind which was [William] with a bow and arrow ready.
0:24:30|0:24:37|The Taotie was shot in the eye and fell to the ground. The old man shouted for help as another Taotie ran towards him.
0:24:39|0:24:43|[Pero] saw the old man narrowly dodge the fatal pounce of the Taotie.
0:24:43|0:24:49|[William] A skater slid through the belly of the Taotie, shooting an arrow into its eye in one smooth motion.
0:24:49|0:24:52|The Taotie falls to the ground, blood splattering out.
0:24:53|0:25:2|Outside the city walls, cannons roared, giant stones and meteor hammers whistled past, the leader of the Taotie tribe observed the battle, lowering its head to signal with its horns.
0:25:2|0:25:11|The gluttonous army stopped their movements one after another, and the brown-haired one behind them received the retreat signal, using its mouth to drag the injured companion. The army retreated like a tide.
0:25:11|0:25:21|The city walls are filled with the swords of the fallen, as [William] uses his last strength to pick up his dead comrade and throw him off the wall, slowly dragging him away among the rubble. Overlooking the battlefield riddled with wounds,
0:25:21|0:25:30|The scattered Taotie are being dragged or falling away from their companions.
0:25:32|0:25:38|[Dian Shuai] and [Counselor Wang] also led troops to the outskirts of the city to observe, while the archers collected their weapons and advanced slowly.
0:25:38|0:25:47|The female general on the Vermilion Bird's wings also gazed into the distance, while soldiers on the city wall pushed carts to clean up the battlefield and tidy up the troops.
0:25:47|0:25:59|[Pero] wearily asked [William], "Who are leading the approaching Imperial Guards?" It was [Dian Shuai] and [Female General], with [Counselor Wang] following closely behind.
0:25:59|0:26:4|[Dian Shuai] slowly brought the Forbidden Army to a halt, gazing steadfastly at the two with [Female General].
0:26:5|0:26:13|[William] first dropped the hard bow in his hand, and the dejected [Pero] dropped his swords, [William] gently pushed [Pero].
0:26:13|0:26:19|[Pero] watched as the Forbidden Army dropped the dagger hidden in his waist, and all the soldiers stared at the two of them.
0:26:34|0:26:48|In the stone chamber, [William] wearily walked down the stairs, the torches on the wall illuminating the room. [William] looked around, frowning suddenly as his gaze was drawn to something. It was his own reflection in a mottled bronze mirror.
0:26:49|0:26:56|Looking at his unkempt reflection in the bronze mirror, [William] suddenly realized that he had been on the run for days.
0:26:56|0:27:3|The dirty-faced young soldier pushed the door open. [William] just came to his senses, and the soldier respectfully saluted.
0:27:4|0:27:15|[William] looked at the young soldier, nodded, wanting to say something, but then remembered the language barrier. He awkwardly raised his hand and clasped his fist, the young soldier smiled in relief.
0:27:15|0:27:19|Turning around and walking away, the sunlight shining down, [William] felt a mix of emotions in his heart.
0:27:21|0:27:28|The cold night falls on the city walls, where two figures stand, [Dian Shuai] and [Female General].
0:27:53|0:28:23|[Dian Shuai] finished speaking and instructed [Female General]. Inside the stone room, [William] suddenly opened his eyes, immediately drew the dagger from his boot, [Pero] pulled out a scimitar and jumped off the bed. It was only then that [William] recognized the foreign old man he had saved during the day.
0:28:36|0:28:42|[William] looked at [Pero] upon hearing the words.
0:28:50|0:29:4|The old man criticized [William] for his incomprehensible behavior. He glanced disapprovingly and then turned away unsteadily.
0:29:6|0:29:12|The door closes, [Pero] says excitedly:
0:29:33|0:29:46|[William] nodded in agreement: The sturdy iron gate slowly opened, and two handsome foreigners walked in. It was none other than the transformed [William] after their rest and makeover.
0:29:46|0:29:53|Following the soldiers' lead, the two entered the military banquet. [Dian Shuai] stood up and applauded, as the two slowly entered everyone's sight.
0:29:53|0:29:58|The soldiers and officers stood up and applauded, [William] and [Pero] looked a bit bewildered.
0:29:58|0:30:7|The two of them looked at each other, walked down the stairs together amidst enthusiastic applause, and strode towards the center of the banquet.
0:30:7|0:30:15|The applause subsided as the generals and soldiers took their seats.
0:30:18|0:30:32|[William] nervously pursed his lips and said, "[Pero] teased, as [General Chen], clad in custom armor, approached with [William]'s weapon."
0:30:42|0:30:49|General Chen returned the weapons to him and saluted.
0:30:55|0:31:1|The audience burst into laughter at these words.
0:31:2|0:31:9|In the hall, the soldiers and generals stood up and applauded, while the soldiers on both sides moved the tables to make room.
0:31:21|0:31:38|Everyone looked at [William], who spoke softly. [Pero] looked displeased as he quickly walked to the table, picked up a wine bowl, drank it all in one gulp, wiped his mouth with the empty bowl, and walked over. [William] handed the wine flask to [Pero] and said:
0:31:57|0:32:19|[William] attracted everyone's attention by tossing the empty bowl and flipping the iron bowl. [William] shot three arrows in a row, the first arrow hit accurately, causing the flying bowl to collide with a pillar. The falling bowl was stopped by the second arrow nailed into the pillar, still teetering on the edge. At a critical moment, the third arrow came with a breaking wind sound, and together with the second arrow, it caught the falling empty bowl.
0:32:19|0:32:28|The generals were shocked by this incredible archery skill, and then collectively stood up and burst into thunderous applause, even [Dian Shuai] cast a look of approval.
0:32:28|0:32:33|William's archery skills won the applause of the audience. William walked over and stuffed the quiver into William's arms.
0:34:15|0:34:27|[Female General] thought for a moment and said, [William] seemed a bit puzzled. Looking at the food, he stared at [Female General] waiting for her explanation. After a moment of contemplation, [Female General] spoke.
