0:2:21|0:2:33|Mr. Qian also shouted, then used a calculator, and then wrote in a notebook, saying to [Li Guofu],
0:2:52|0:3:4|[Li Guofu] continued to ask, and Mr. Qian said helplessly,
0:3:21|0:3:30|After speaking, Li Guofu looked somewhat pleased as he glanced at the suona in his hand, and Mr. Qian continued,
0:3:41|0:3:47|Mr. Qian raised his hand to hit [Li Guofu] while counting money, but accidentally tripped and scattered money all over the floor.
0:4:20|0:4:29|At this moment, [Li Guofu] suddenly remembered that his son was outside and about to leave. Mr. Qian saw the police surrounding [Li Guofu] and tried to slip away, but he was still caught by the police.
0:4:43|0:4:50|At the same time, Li Guofu, who had just climbed over the outer wall, was also caught. Pinned to the ground, Li Guofu looked towards his accomplice not far away.
0:4:50|0:4:54|Li Guofu was pinned down by three police officers, screaming in pain.
0:4:55|0:5:27|The four people who were then controlled were handcuffed to the iron bars of the detention vehicle. [Li Guofu] stared at Boss Qian, then looked at his son and asked. Li Faqun shook his head, and after [Li Guofu] nodded, he kicked Boss Qian, who hit back. Boss Qian felt guilty and remained silent. [Li Guofu] angrily asked, and Boss Qian, with a helpless and annoyed expression, replied,
0:5:29|0:5:44|After lecturing Mr. Qian, [Li Guofu] shouted towards the police in front. Seeing no response from the police, he turned around to comfort his son, Li Faqun.
0:6:3|0:6:26|After letting out a sigh, [Li Guofu] felt uncomfortable in the back of his neck. He reached out and touched it, pulling out the broken sunglasses from the collar of his sweater. At this moment, [Ping Wa] saw blood flowing from the back of [Li Guofu]'s neck and shouted incoherently, "Dad, he's bleeding, he's bleeding, over there!" Mr. Qian looked guiltily at the blood in [Li Guofu]'s hand, then kicked towards Mr. Qian.
0:6:34|0:6:43|The assistant next to them also lowered his head. After arriving at the police station, the police understood the situation and pushed Boss Li and his assistant inside.
0:6:43|0:6:47|Indoors, the police officer apologized to [Li Guofu],
0:7:44|0:7:50|The police officer chuckled, then [Li Guofu] awkwardly said,
0:8:0|0:8:17|The police officers in the room awkwardly smiled after listening. [Li Guofu] widened his eyes and urgently asked, then the police officers did not refuse to send the father and son back home.
0:8:17|0:8:23|In the back seat of the police car, [Ping Wa] looked around cautiously, while [Li Guofu] excitedly stared ahead through the sunglasses on the passenger seat.
0:8:23|0:8:32|At this moment, the police spoke to [Li Guofu],
0:8:39|0:8:48|The police officer smiled and pointed at the sunglasses in front of the car, saying,
0:9:5|0:9:14|[Li Guofu] carefully looked through the sunglasses, then put them on and turned to ask his son in the back seat, [Ping Wa], who nodded in response.
0:9:14|0:9:42|[Li Guofu] turned around with joy and looked at the rearview mirror in front of the car. Then he adjusted the mirror towards himself and smiled brightly. Shortly after, a police car slowly passed through the alley in front of [Li Guofu]'s house. Wearing sunglasses, [Li Guofu] sat in the police car and confidently spoke to the neighbors on the roadside. The neighbors were stunned for a moment, and after showing off, he got into the car through the window.
0:9:44|0:9:51|Walking through the streets and alleys, we arrived at the courtyard where [Li Guofu] lived. The car lights slowly swept over the neighbors who were moving things outside the house.
0:9:52|0:9:55|After the police car came to a stop, the father and son got out of the car.
0:9:55|0:9:58|[Li Guofu] took off his sunglasses and bid farewell to the police officer.
0:10:4|0:10:13|Excited, [Li Guofu] raised his sunglasses and gestured thanks to the police. After saying goodbye to the police, [Li Guofu] put on his sunglasses again and walked towards the house. Seeing this, the neighbor next door shouted to [Li Guofu],
0:10:31|0:10:51|After saying that, he proudly returned to the room. [Ping Wa] picked up the boiled kettle from the stove and poured foot-washing water for the two of them, while [Li Guofu] lay on the bed holding the new sunglasses carefully examining them, from the lenses to the legs of the glasses, even every screw, he looked at them repeatedly, like a child getting a long-awaited toy.
