0:0:53|0:0:59|After hearing this, [Jiang Haolong] reached out and took the bag of clothes from [Mandy]'s hand.
0:1:5|0:1:17|Suddenly a minibus crashed into [Zhang Haolong], [Mandy] was so scared that she covered her ears with both hands, her pupils dilated.
0:1:26|0:1:53|[Mandy] suddenly paused, then continued cutting vegetables. [Chen Qiang] glanced at her, still standing by the window hanging clothes. Suddenly losing balance, [Chen Qiang] flipped out of the window frame and into a massage parlor. [Mandy] and Jimmy sat side by side on the sofa. [Mandy] turned her head, lowered her eyes, and thought for a moment.
0:2:5|0:2:10|His head tilted to one side, body unmoving, [Mandy] looked at him with a puzzled expression, reaching out to push him again, but he remained completely still.
0:3:18|0:3:30|[Yu Chunjiao] stood up, grabbed a tissue in one hand, picked up the phone on the coffee table with the other hand, and started flipping through photos. [Yu Chunjiao] handed the phone with photos to [Zhang Zhiming], who was drinking watermelon juice.
0:3:51|0:4:9|Ignoring [Zhang Zhiming], she walked away. Amidst their argument, the film title "Zhang Zhiming and Yu Chunjiao" appeared on the screen, with the sun shining brightly and the wind changing, the setting sun appeared exceptionally lonely against the backdrop of the tall buildings.
0:4:10|0:4:34|On the night of July 27, 2009, the bustling streets of Hong Kong were brightly lit. [Zhang Zhiming], Gong Gong, Da Ge, and [Paul] sat in the bar. Paul took out his phone and played a recording. He closed his eyes, took a deep breath, and everyone looked at the phone, then turned to his sinister expression. Zhang Zhiming joked:
0:6:2|0:6:18|At this moment, with the street brightly lit and vehicles constantly passing by, the family of Yu Chunjiao sat in Joyful Restaurant. Yu Chunjiao looked embarrassed, with her mother sitting in the middle yawning repeatedly.
0:6:30|0:7:1|[Zhang Zhiming] returned home late at night, shouting towards [Yu Chunjiao] as soon as he opened the door. [Yu Chunjiao] did not respond to him. He turned on the light and changed his shoes before heading towards the bedroom. Glancing at the living room on his way to the bedroom, he stopped in his tracks and slowly leaned forward. He saw a birthday bun in a food container on the table, smacked his lips, and casually put down his backpack. [Yu Chunjiao] was focused on washing dishes in the kitchen. [Zhang Zhiming] cautiously walked up behind [Yu Chunjiao]. As [Yu Chunjiao] put down a washed dish, [Zhang Zhiming] gazed at her back.
0:7:4|0:7:20|[ Yu Chunjiao ] pouted while tidying up the dishes, [ Zhang Zhiming ] remained silent, his hands in his pockets as he looked at the floor.
0:7:44|0:7:50|After saying that, she turned around and picked up the bowls in the washbasin and placed them on the cabinet.
0:8:12|0:8:19|[Yu Chunjiao] looked up at [Zhang Zhiming] for a moment, [Zhang Zhiming] lowered his head and met her gaze, [Yu Chunjiao] then looked away.
0:9:1|0:9:27|In the evening, [Yu Chunjiao] and her girlfriends were sitting by the bay eating barbecue. Isabelle was on the phone while [Yu Chunjiao] sat there with a worried look on her face. [Zhang Zhiming] walked over to them and sat directly beside [Yu Chunjiao]. He picked up [Yu Chunjiao]'s drink, took a sip, twisted the cap back on, and turned to [Yu Chunjiao], saying, "He reached for a chicken wing."
0:9:36|0:9:59|[Zhang Zhiming] left with chicken wings in hand, while [Yu Chunjiao] continued to barbecue. As [Yu Chunjiao] turned her head and saw [Zhang Zhiming] passing the chicken wings to someone else in the distance, her father-in-law immediately dodged away upon seeing her approaching.
0:10:56|0:11:22|[Yu Chunjiao] turned around and touched her nose before leaving, [Zhang Zhiming] impatiently moved his mouth. At night, [Zhang Zhiming] returned home, one hand on the doorknob and the other turning on the light. He turned around and saw a note on the dining table. He threw the keys on the cabinet in the hallway and slowly walked to the dining table. The note on the table read: "I'm staying at my mom's house." Raindrops fell on the car window, [Yu Chunjiao] looked at the night scene outside the window.
0:11:22|0:11:37|The dim light of the night illuminated the gloomy mood of [Yu Chunjiao], while on the other side, [Zhang Zhiming] took a sip of beer at home and then put it down.
0:11:42|0:12:3|[Yu Chunjiao]'s mother's house upstairs was brightly lit, her phone received eight consecutive text messages. [Yu Chunjiao] was lying on the bed, just picking up her phone when her mother pushed the door open and sat beside her, placing her hand on her shoulder. In the living room, [Zhang Zhiming] heard [Yu Chunjiao]'s mother coming out and looked up at him.
0:12:47|0:13:0|[Zhang Zhiming] walked out of [Yu Chunjiao]'s house, with Auntie watching him leave. [Yu Chunjiao] leaned against the window and watched [Zhang Zhiming] getting into his car downstairs. [Zhang Zhiming] looked up at the building across the street, then drove away.
0:13:0|0:13:7|[Yu Chunjiao] stood silently behind the curtain, looking blankly ahead.
0:13:7|0:13:13|The next day, looking up at the sky, the weather was clear and the situation was changing rapidly.
0:13:13|0:13:19|The cigarette butt on the trash can is still smoking, the unfinished skyscraper is swaying in the wind. On November 22, 2009, [Yu Chunjiao], [Zhang Zhiming], [Sam], and [Shang Youyou]...
0:13:32|0:13:54|On the other side, under the bright sunshine, [Yu Chunjiao] held the leash and heard the phone ring. She took out her phone, glanced at it nervously, and answered the call. On the subway, [Zhang Zhiming] looked out the window. [Yu Chunjiao] walked slowly forward, while [Zhang Zhiming] licked his lips with his tongue. [Yu Chunjiao] remained silent.
0:14:11|0:14:25|[Zhang Zhiming] raised his head unnaturally, touched his cheek with his tongue, while [Yu Chunjiao] listened to the voice on the phone, tears filling her eyes.
0:14:27|0:14:35|[Yu Chunjiao] burst into tears as she listened, tears streaming down her cheeks.
0:14:55|0:15:17|After hanging up the phone, [Yu Chunjiao] shed tears. On the subway, [Zhang Zhiming] quietly waited for the next stop. Meanwhile, [Yu Chunjiao] walked down the stairs slowly with her dog. A plane flew slowly across the sky, the screen gradually darkened, and subtitles appeared.
0:15:17|0:15:23|On October 15, 2010, on the 421st day since Yu Chunjiao and Zhang Zhiming met,
0:16:23|0:16:30|The passenger nudged the flight attendant's buttocks with his elbow, and the flight attendant turned around.
