0:2:20|0:2:29|In the city, tall buildings stand densely, with crowds of people flowing continuously.
0:2:29|0:2:43|At the traffic light intersection, a group of young people with blank expressions are standing. A girl with ear-length hair, wearing a smart suit and high heels, appears in the middle of the crowd. With a calm and confident expression on her face, she looks like she can conquer the world.
0:2:43|0:2:48|The girl, [Xiong Dun], is heading towards the crosswalk as the green light comes on and the crowd surges towards the intersection.
0:2:48|0:2:59|[Xiong Dun] walked calmly forward, reaching the center of the crossroads. Suddenly, she stopped, hesitated for a while, and then let out a big sneeze. The ground immediately cracked and collapsed downward.
0:3:7|0:3:19|On the ground, vehicles and crowds were suspended in mid-air due to inertia, with only [Xiong Dun] standing in the middle of the road. Like a superhero, she watched everything happening in front of her, feeling satisfied as she admired her masterpiece, a mischievous smile on her face.
0:3:19|0:3:23|She lowered her head, and the floating object fell down instantly, hitting the ground heavily.
0:3:23|0:3:31|She made a striking move towards the front. Following that, the title of the movie appeared. [Xiong Dun] maintained this posture, her thoughts pulled back to reality.
0:3:34|0:3:40|[Xiong Dun] snapped out of his daydream just now, standing in the middle of the road, bewildered and running around aimlessly.
0:3:45|0:3:53|[Xiong Dun] patted her head in frustration, standing still on the street. She looked around in embarrassment.
0:4:0|0:4:7|At this moment, a wedding is taking place in a church. The groom is looking at the bride walking slowly towards him, with a happy smile on his face.
0:4:23|0:4:37|The church door was pushed open by someone, and [Xiong Dun] cautiously walked in. The guests turned their heads to look at [Xiong Dun], whispering about this intruder. The bride and groom looked puzzled, clearly not recognizing [Xiong Dun], who just kept his head down and ran in.
0:4:37|0:4:45|Xiong Dun's boyfriend Xiao Chuan sat in the guest seat, looking at Xiong Dun running towards him with a look of despair. The priest, seeing this, breathed a sigh of relief and said.
0:5:23|0:5:29|[Xiong Dun] suddenly stared at the bride's shoulder. She spoke and then reached out to tear it directly.
0:5:37|0:5:44|Xiao Chuan dragged [Xiong Dun] by the arm expressionlessly to a table with desserts.
0:5:49|0:5:55|[Xiong Dun] picks up a cake and eats it while turning his head.
0:6:17|0:6:20|Xiong Dun had the cake pressed forcefully onto his mouth by Xiao Chuan, then she turned and left.
0:6:20|0:6:32|Not long after, [Xiong Dun] started drinking at the dining table. She propped up her drowsy head and looked around, seeing the table filled with empty wine glasses, at least a dozen of them. Overwhelmed by the alcohol, [Xiong Dun] soon got drunk.
0:7:29|0:7:33|[Lao Zheng] stands on the boxing ring, the audience below cheering and rooting for him. [Lao Zheng] easily dodges a punch and finally delivers a fatal blow to his opponent.
