0:1:28|0:1:34|The driver got out of the car and headed straight for the entrance of the club.
0:1:34|0:1:43|He skillfully turned a corner and walked into a long corridor covered with posters.
0:2:48|0:2:56|[Lu Xiaoxing] threw him over her shoulder and slammed him to the ground, leaving everyone around in shock. She dragged [Liang Cong] out of the club as if she was escorting a prisoner.
0:2:59|0:3:6|[Liang Cong] struggled constantly, finally running out when [Lu Xiaoxing] opened the door. But before he could take a few steps, he was kicked to the ground by [Lu Xiaoxing].
0:3:6|0:3:11|She impatiently pulled off the decorative chain on Liang Cong's pants and tied his hands to the handle above the co-driver's seat.
0:3:21|0:3:27|[Lu Xiaoxing] sat in the driver's seat with a cold expression, skillfully started the car, reversed, and then shifted gears, leaving the club with [Liang Cong].
0:3:27|0:3:38|It was late at night, the car was driving smoothly on the viaduct. [Liang Cong] struggled for a long time but couldn't break free from the iron chains, feeling frustrated. Meanwhile, [Lu Xiaoxing] drove expressionlessly, completely ignoring him.
0:3:38|0:3:44|[Liang Cong] pleaded with a look at [Lu Xiaoxing].
0:4:1|0:4:6|[Liang Cong] glared angrily at [Lu Xiaoxing], then suddenly extended his foot to the bottom of the driver's seat and stepped on the gas pedal all the way down.
0:4:9|0:4:18|The car suddenly accelerated out of control, with [Lu Xiaoxing] trying to hold onto the steering wheel. Unaware that the seatbelt buckle had been opened, a bus suddenly appeared, causing [Lu Xiaoxing] to jerk the steering wheel.
0:4:18|0:4:27|Temporarily escaping a disaster, but the wheels lost control again, crashing into the roadside guardrail. [Lu Xiaoxing] felt a sudden darkness before her eyes, knowing nothing at all.
0:4:27|0:4:36|When she regained consciousness, [Lu Xiaoxing] found herself lying on the ground, covered in bruises, looking confusedly at the car stuck in the middle of the guardrail.
0:4:38|0:4:45|The car was swaying dangerously, while [Liang Cong] was still tied inside.
0:4:53|0:5:1|Liang Cong was eager to save himself, struggling constantly with his wrist. But as the movement intensified, the car tilted more and more severely. Liang Cong looked in horror at the vehicles passing under the bridge.
0:5:11|0:5:18|[Liang Cong] desperately pulled down the chain, unaware that the fence was increasingly unable to support the weight of the car.
