0:2:20|0:2:27|After filming, Wu Fuchun sat across from Jing Ruyi, looking at her.
0:3:10|0:3:21|[Jing Ruyi] glanced disdainfully at [Wu Fuchun], ignoring his outstretched hand. Seeing this, [Wu Fuchun] awkwardly withdrew his hand, leaning back in his chair, staring thoughtfully at [Jing Ruyi].
0:3:55|0:3:59|[Wu Fuchun] smugly looked at [Jing Ruyi], then followed her gaze to the window.
0:4:1|0:4:9|[Wu Fuchun] quickly took out a DSLR camera from his bag and started snapping away at the penguins outside the window.
0:4:35|0:4:42|At this moment, a thick fog rolled in, reducing visibility. The control tower called out to the pilots, warning them of a massive cyclone forming ahead.
0:5:4|0:5:8|The plane jolted heavily again, and [Wu Fuchun] immediately dropped the camera, hurriedly fastening the seat belt in a panic.
0:5:8|0:5:13|The plane slowly entered a dark cloud layer, with a dense black mass inside the cloud, occasionally lit up by flashes of lightning.
0:5:31|0:5:39|[Jing Ruyi] and Natasha ignored him, holding each other's hands tightly. Seeing this, [Wu Fuchun] became even more anxious, tightening the seat belt as much as possible. At this moment, the control tower issued another warning.
0:5:42|0:5:50|The pilot flew the plane past lightning, with very low visibility in the foggy clouds, relying solely on experience to continue flying forward.
0:5:50|0:6:1|[Wu Fuchun] looked out the window with a gloomy expression, almost on the verge of tears. It wasn't until the plane narrowly avoided a mountain peak that there was time to resume contact with the control tower. At this moment
0:6:1|0:6:8|The plane has encountered severe icing and needs to make an emergency landing. The cockpit instruments are flashing uncontrollably, causing [Wu Fuchun] to panic.
0:6:10|0:6:21|The pilot tried his best to control the plane, but couldn't prevent it from shaking. The luggage compartments were shaking more and more violently, and suddenly the plane seemed to be suspended in mid-air as if someone had pressed the pause button.
0:6:21|0:6:39|Natasha then fell uncontrollably, like a withered leaf being blown away by the wind. At this moment, Wu Fuchun and [Jing Ruyi] screamed in confusion, while [Jing Ruyi] grabbed onto the handrail, closed her eyes tightly, her face pale. The plane continued to flip uncontrollably, making everyone extremely uncomfortable.
0:6:39|0:6:45|The boxes on the luggage rack also fell down one after another, scattering the items inside all over the cabin.
0:6:45|0:6:50|Even more deadly, a thermos flew up and smashed onto the pilot's head.
0:6:50|0:6:58|The pilot crashed stiffly onto the control stick, and the plane headed straight towards the mountain ahead, scraping its belly as it surged up between the mountains.
0:6:58|0:7:10|The left engine hit a rock, instantly igniting a fire. The propeller, due to inertia, swung back again and directly stirred into the cabin. The rapidly rotating propeller blade brushed against the hem of [Jing Ruyi]'s clothes.
0:7:10|0:7:19|In an instant, her glasses were shattered, causing a loss of pressure in the cabin and a large number of items to fly out, including the crucial latitude and longitude detector.
0:7:19|0:7:28|The plane is now completely out of control, intentionally skimming the mountainside and sliding down, flipping and crashing repeatedly, with the pilot and seat scraped out.
0:7:28|0:7:37|After skimming over the mountain, the plane did not stop, but continued to dive forward along its inertia, crashing headfirst onto the ice.
0:7:39|0:7:48|At this moment, the three people in the cabin are unconscious, their fate unknown. The film begins with this plane crash.
0:7:52|0:8:5|After an unknown period of time, [Wu Fuchun] finally opened his eyes. His mind was still spinning, and for a moment he couldn't figure out where he was. He could see half of his head buried in the snow.
0:8:5|0:8:9|After a moment of daze, [Wu Fuchun] finally rolled his eyes and struggled to get up.
0:8:9|0:8:16|Originally, [Wu Fuchun] was knocked down with a chair in a snowy field, and he quickly unfastened the safety buckle around his waist.
0:8:16|0:8:27|Wu Fuchun fell off the chair, blinked hard to try to wake himself up, then stood up. At this moment, there was nothing else except for vast glaciers and chairs.
0:8:27|0:8:38|He took a few weak steps, clutching his neck, before collapsing on the ground. His eyes were unfocused as he turned his head slightly and was stunned by the sight on the other side.
0:8:38|0:8:53|Only to see the wreckage of the plane everywhere, scattered all over the ground, the tail of the plane was lifted up under the huge impact. Only the cabin barely remained intact. [Wu Fuchun] looked fearfully at everything in front of him, a little hesitant to face it.
0:8:53|0:9:4|Suddenly he panicked, touching his face, then looking at his hands to make sure they were intact before nervously [Wu Fuchun] pinched his thighs, calves, and knees.
0:9:4|0:9:12|After confirming that he was not injured, the sudden noise made [Wu Fuchun] look back at the wreckage of the plane.
0:9:13|0:9:24|He welled up with tears in an instant, pacing aimlessly in place. At this moment, [Jing Ruyi] was still lying in the cabin of the plane, her head hitting a cabinet.
0:9:24|0:9:35|Blood kept flowing down her forehead, and after a while she slowly opened her eyes. Suddenly, she felt liquid dripping from above her head, so she sluggishly lifted her head.
0:9:35|0:9:46|Natascha, sitting next to her, was hanging upside down with blood continuously flowing from her mouth. [Jing Ruyi] was too preoccupied to care about Natascha at the moment, wiping the blood off her face.
0:9:46|0:9:57|Struggling to sit up with her upper body, she found it difficult to free her legs as there was a huge steel plate pressing down on her lower leg.
0:9:57|0:10:4|[Jing Ruyi] pushed the steel plate on her leg with anger and frustration, but even with all her strength, she couldn't move the plate an inch.
0:10:5|0:10:21|At this moment, Natasha finally regained consciousness, furrowing her brow and opening her eyes. [Jing Ruyi] frantically tapped on the airplane window to seek help, and [Wu Fuchun] rushed into the cabin upon hearing the noise, only to be shocked by the scene before him.
0:10:22|0:10:28|[Wu Fuchun] carefully looked at the position of the iron plate on the ground, then glanced at the weakly breathing Natasha.
0:10:30|0:10:40|[Wu Fuchun] trembled as he nodded, taking the lead in lifting Natasha and trying to get her off the overturned seat. What he didn't see was a piece of metal had already pierced Natasha.
0:10:40|0:10:51|[Wu Fuchun] unbuckled Natasha's seatbelt, carried her out of the cabin, while [Jing Ruyi] was pinned under a piece of metal, unable to move, watching helplessly as [Wu Fuchun] and Natasha left the cabin.
0:10:51|0:10:57|At this moment, Wu Fuchun is experiencing a mix of emotions, with each passing second feeling like a torment to her.
0:10:58|0:11:5|After settling Natasha down, [Wu Fuchun] quickly returned to the cabin, giving [Jing Ruyi] a renewed sense of hope for survival.
0:11:14|0:11:30|The sudden turbulence of the plane caused [Wu Fuchun] to fall down. By now, the ice had already cracked open, and the cabin was rapidly sinking, allowing seawater to rush in. Seeing this, [Wu Fuchun] quickly picked up the backpack and prepared to rush outwards.
0:11:30|0:11:43|He glanced apologetically at [Jing Ruyi], then rushed out without looking back. Facing the desertion of his teammates, [Jing Ruyi] felt both pain and despair as the seawater continued to spread upwards.
0:11:43|0:11:55|[Jing Ruyi] could only sit up straight, trying her best to lift the steel plate on her leg. As self-rescue proved futile, [Jing Ruyi] finally burst into tears. Suddenly, [Wu Fuchun] appeared at the cabin door.
0:11:55|0:12:4|He clung to the door frame of the cabin, watching as [Jing Ruyi] cried and struggled to lift the steel plate. When [Jing Ruyi] saw [Wu Fuchun], a hint of pleading smile appeared on her face.
0:12:4|0:12:14|Little did [Wu Fuchun] know, her gaze was actually fixed on the black suitcase behind her. She grabbed a fire extinguisher and placed it under the steel plate, then forcefully pulled up [Jing Ruyi]'s upper body.
0:12:18|0:12:25|[Wu Fuchun] quickly dropped [Jing Ruyi] and knelt in front of the steel plate, trying to pull out her foot, but the non-slip boot was firmly stuck under the steel plate.
0:12:25|0:12:28|It is impossible to retrieve it with the strength of the two.
0:12:28|0:12:35|[Wu Fuchun] could only pull [Jing Ruyi]'s foot out of the shoe, grabbing her arm and dragging her out with all his might.
0:12:35|0:12:39|The two people escaped from the cabin, but the 10-meter ice couldn't support them anymore.
0:12:39|0:12:46|The wreckage of the plane slowly sank in front of them, in the chaos [Wu Fuchun] fell to the ground but dared not to pause for a moment.
0:12:46|0:12:52|Dragging [Jing Ruyi]'s clothes, [Wu Fuchun] climbed further away, while [Wu Fuchun] moved backwards using both hands and feet.
0:12:52|0:12:59|He didn't stop until he felt safe, and soon the plane disappeared completely into the ice hole.
0:12:59|0:13:4|Now there were only the three of them on the ice, with [Wu Fuchun] and [Jing Ruyi] gazing at everything before them.
0:13:4|0:13:16|Wu Fuchun, who was the first to regain his strength, couldn't calm down for a long time. He propped up his feet and held up his phone to search for a signal everywhere, while Jing Ruyi sat beside Natasha, reaching out to touch her carotid artery.
0:13:16|0:13:24|After a while, [Jing Ruyi] slowly withdrew her hand, and [Wu Fuchun] looked at the phone with "No Service" displayed in the top left corner, his brows furrowed in silence.
0:13:24|0:13:34|[Jing Ruyi] covered Natasha's eyes with her hands, tears streaming down uncontrollably. [Wu Fuchun] squatted silently in front of [Jing Ruyi], not saying a word for a long time.
0:13:34|0:13:41|After giving [Jing Ruyi] some time to calm down, Wu Fuchun couldn't hold back any longer and took a few steps forward.
0:13:43|0:13:49|[Jing Ruyi] sat on the side absentmindedly, as if not hearing a word of what [Wu Fuchun] was saying.
0:13:59|0:14:4|[Wu Fuchun] furrowed his brow in thought, then lifted his head to look at [Jing Ruyi].
0:14:4|0:14:12|[Jing Ruyi] raised her wrist to check the time, only to find that her watch face had been shattered.
0:14:25|0:14:30|The confident words of the high-altitude physicist hit [Wu Fuchun] like a hammer to the chest.
0:14:30|0:14:36|He sat weakly on the ice, looking around at the vast white glaciers in silence.
0:14:36|0:14:44|Wu Fuchun quickly picked himself up and began to reorganize the remaining supplies.
