0:2:2|0:2:8|He then exerted force to prop up his upper body and sat up. He then walked outside.
0:2:21|0:2:29|Looking at the calm lake, the man looked up at the sky and lit a cigarette. With this, the movie "Extraordinary Mission" officially begins.
0:2:29|0:2:34|The scene cuts to [Lin Kai] washing his face, then he hears a noise.
0:2:36|0:2:43|He is actually called [Lin Kai], staring at the dirty mirror, gazing at himself. In the dimly lit room, the man with a beard,
0:2:43|0:2:51|Took out several packages of things resembling flour from the cabinet, and handed the list in his hand to the young man opposite.
0:2:52|0:3:0|The young man quickly put away the powdery small package and paper into his backpack, then bowed to the bearded man.
0:3:0|0:3:2|Then turned around and left the room.
0:3:2|0:3:7|It looks like he is one of the henchmen of the bearded man.
0:3:17|0:3:24|Lin Kai's henchman, carrying a bag, walked through the narrow passage towards them.
0:3:42|0:3:49|[Lin Kai] takes the list from Bin Ge's hands.
0:3:50|0:3:56|Seeing [Lin Kai] putting the powdery substance into his backpack, [Li Jianguo] ordered.
0:3:58|0:4:6|[Li Jianguo] smiled and watched as the others left, then walked over to [Lin Kai] who was packing up the trunk.
0:4:6|0:4:8|After speaking, [Lin Kai] walked around to the driver's seat and got into the car.
0:4:10|0:4:18|On the other side, the bearded man sat on the boss chair, took out a phone from his pocket, put it to his ear, and spoke softly.
0:4:19|0:4:24|On the rugged and dark mountain road, only the cars of [Li Jianguo] and [Lin Kai] were driving one after the other.
0:4:24|0:4:33|[Li Jianguo] took a drag of his cigarette, casually glanced at the rearview mirror, then stuck his hand out of the window to signal [Lin Kai] to split up at the upcoming fork in the road.
0:4:34|0:4:43|So [Lin Kai] made a sharp turn and headed downhill. [Li Jianguo] glanced at the rearview mirror, took a puff of smoke, and said.
0:5:3|0:5:9|Glancing in the rearview mirror, [Lin Kai] suddenly turned around and saw the police car approaching him.
0:5:9|0:5:17|He was about to step on the gas and drive away, but he saw a temporary roadblock at the bridge ahead. So he had no choice but to drive forward with determination.
0:5:33|0:5:42|[Lin Kai] raised his hands, turned around and lay on the car. The police searched him, while others checked the trunk and found a tire.
0:5:44|0:5:50|At this moment, the black bag leaked out, and one of the police officers walked towards [Lin Kai] holding something.
0:5:57|0:6:2|After speaking, the police officer took out the handcuffs.
0:6:2|0:6:6|At that moment, [Lin Kai] suddenly turned around, swiftly threw a punch, and knocked the opponent to the ground.
0:6:6|0:6:13|Lin Kai then jogged to the car, swiftly shifted gears, and started drifting in place.
0:6:16|0:6:22|[Lin Kai] took advantage of the chaos, pushed open the car door, bent down to pick up the small bag, accelerated to crash through the roadblock, and immediately rushed forward.
0:6:22|0:6:27|The police first fired a warning shot upon seeing the situation, then chased after them in a car.
0:6:27|0:6:32|On the narrow and pitch-black mountain road, [Lin Kai] drove while keeping an eye on the rearview mirror.
0:6:32|0:6:38|At this moment, a police car accelerated and arrived on his right side, while another one ruthlessly crashed into the back of the car.
0:6:38|0:6:46|Three cars maintained the appearance of encirclement and drove forward at high speed. Suddenly, the police car on the right forcefully rammed to the left.
0:6:46|0:6:49|In an instant, [Lin Kai]'s car was fiercely rammed into the roadside curb.
0:6:50|0:6:58|The police pursued aggressively, once again exerting force, and the left side of [Lin Kai]'s car was lifted directly, resting on the concrete guardrail, continuing to move forward.
0:6:58|0:7:5|As he was about to fall off the cliff, [Lin Kai] forcefully turned the steering wheel to the right, stepped on the gas pedal hard, and broke free from the restraints.
0:7:6|0:7:13|Who knew, just as he entered the curve, his car was rammed on the left side by a police car, and then, he was directly pushed towards the edge of the road.
0:7:13|0:7:17|In the end, [Lin Kai], along with the car, uncontrollably rolled off the cliff.
0:7:17|0:7:29|After a cloud of dust settled, the night returned to tranquility. Subsequently, several police officers holding flashlights cautiously slid down the hillside and approached the car of [Lin Kai].
0:7:33|0:7:39|The driver's seat was unexpectedly empty. The scene then shifted to a dimly lit lumber mill.
0:7:39|0:7:45|At this moment, two men are standing on the open ground.
0:7:55|0:8:2|The man with short hair is shouting angrily at the man with a beard.
0:8:17|0:8:24|The man with short hair, also known as the leader, listened and then squinted at the man with a beard, before turning away disdainfully.
0:8:24|0:8:38|After gently pursing his lips, [Lin Kai] spoke. The spotlight shone on the luxurious car behind the leader, and the man with a beard lowered his head in contemplation.
0:8:38|0:8:43|Stomping his foot in place, he then turned around and walked into the narrow passage behind him.
0:8:43|0:8:58|Shortly after, he walked out carrying a leather bag, slowly approaching the leader. He unzipped it and showed him the contents inside. After seeing it, the leader took a step back.
0:9:1|0:9:6|The scene cuts back to the dimly lit room, where [Li Jianguo] is knocked over by a stool.
0:9:15|0:9:24|The man with a beard gritted his teeth and cursed angrily. Yi Ge, also known as the man with a beard, squatted down.
0:9:39|0:9:41|[Li Jianguo] quickly got up, opened the door, and fled in panic.
0:9:41|0:9:43|Late at night, Lin Kai, Laoying, Li Jianguo, and Qingshui were gathered around a table.
0:9:43|0:9:52|Yige gently opened the door and returned home, then dragged his weary body up to the second floor. His wife was sitting on the sofa.
0:9:52|0:9:53|He looked at him in pain.
0:9:55|0:10:3|Yige first looked puzzled towards the room on the left, where he found his daughter sleeping soundly, then turned his head and looked at his wife in confusion.
0:10:6|0:10:11|Suddenly he stopped, at the end of the corridor, [Lin Kai] was devouring noodles hungrily.
0:10:12|0:10:20|Seeing [Li Jianguo] finally recognizing himself, [Lin Kai] slowly put down the bowl, then picked up the pistol from the table and played with it slowly.
0:10:20|0:10:25|Lin Kai relaxed and leaned back on the sofa, staring intently at the other person.
0:10:25|0:10:34|Seeing [Lin Kai]'s casual demeanor, [Li Jianguo] cautiously moved his feet and came to the deep end of the corridor, sitting on a chair a few steps away from him.
0:10:58|0:11:4|He then slowly sat up from the sofa, leaning slightly forward.
0:11:6|0:11:14|Next, [Lin Kai] put down the gun in his hand and picked up the small bag next to him, throwing it over.
0:11:14|0:11:22|Li Jianguo caught it and took a look inside. It was not something else, but exactly the powdery substance that Bin had given Lin Kai before.
0:11:22|0:11:31|It seems like drugs now. He looked up in astonishment at this point, then smirked at [Lin Kai].
0:11:31|0:11:38|The scene changes, it's getting dark. In an abandoned building complex filled with garbage and construction materials, a sedan,
0:11:38|0:11:45|Stopped in front of one of the dilapidated buildings. Then, a man wearing glasses got out of the driver's seat,
0:11:46|0:11:55|After looking around, [Lin Kai] walked towards the direction of the building. Inside the spacious and damp building, the ground was covered with puddles and potholes.
0:11:56|0:12:4|At this moment, rain was pouring down from the sky, passing through the abandoned building and directly hitting Lin Kai. As he looked around,
0:12:4|0:12:13|A small stone was thrown to his feet. It turned out to be thrown down by [Lin Kai] squatting on the second floor, and [Lin Kai] came to the opposite of the man with glasses.
