0:2:44|0:2:48|Shen Lian's heart tightened as he watched.
0:2:50|0:3:12|The Tartar refused to give up, urinating towards the bodies of the captives. Holding a bloody knife, the Tartar approached two other captives. [Shen Lian] hesitated behind a huge rock, while Dazi shot an arrow with both hands, hitting the head. Then [Shen Lian] leaped forward and knocked down the Tartar, dodging a kick coming towards him. He then struck vertically with a stick.
0:3:12|0:3:23|Shen Lian sneaked behind the Jurchen and executed a reverse throw. As the Jurchen got up, his flying knife was kicked away by Shen Lian's foot. Then, he lunged forward, stabbing the Jurchen in the heart. It was only then that the two captives got a clear look at Shen Lian.
0:3:23|0:3:48|He was in the process of cutting open the heart of a Tartar with a knife, when a Tartar emerged from the thick fog holding a spear, aiming straight at [Shen Lian]. However, he was knocked down by a prisoner who jumped up, the grieving Tartar reached out to struggle, [Shen Lian] bit off his fingers, and the spear struck the prisoner's head. The Tartar, holding the spear, pressed closer to the fallen prisoner step by step. At a critical moment, [Shen Lian] rushed out with a military knife from the side, stabbing through, the severely injured Tartar pulled out a dagger from his waist and swung it towards [Shen Lian]'s neck.
0:3:48|0:4:14|[Shen Lian] raised his arm to block, but was overpowered by the strength of the Tartar, the blade pierced into [Shen Lian]'s shoulder. Gritting his teeth, [Shen Lian] held the blade horizontally, gripping it with both hands and fighting desperately. Blood splattered everywhere for a moment, and [Shen Lian] eventually collapsed due to exhaustion. The Tartar, however, did not die completely. The other captives on the side were truly frightened. [Shen Lian] used all his strength to pull out the dagger from his shoulder, ignoring the bleeding wound, and first untied the captive next to him.
0:4:14|0:4:23|The hemp rope was easily cut by a military knife, the weary [Shen Lian] handed the dagger to the captive, who then took the knife and stood up to help untie his colleague.
0:4:40|0:4:57|[Shen Lian] knelt on the ground, holding the wound on his shoulder. The guard with a squinting eye stared at [Shen Lian]. Only then did [Shen Lian] notice him eyeing the water pouch at his waist. He casually took it off and threw it away. Thirsty, he tilted his head back and gulped it down, finding it even more refreshing than the fine wine he had drunk before.
0:5:0|0:5:23|After quenching his thirst, the guard handed the water bag to his colleague lying on the ground, then turned around and solemnly clasped his hands towards [Shen Lian]. [Shen Lian] returned the gesture, their eyes met, both with a particularly serious expression. The snow was still falling, but the sun rose on the horizon, casting a dazzling light on their faces.
0:5:23|0:5:37|[Lu Wenzhao] turned around first and came to the edge of the cliff, looking into the distance at the sunrise. [Shen Lian] followed suit, pausing to look around. As the saying goes, the sunrise breaks through the clouds, and the snow is healthy. [Lu Wenzhao] looked at the millions of rotting corpses.
0:5:53|0:6:2|[Shen Lian] looked at [Lu Wenzhao], puzzled for a moment, then turned to look at the endless bodies. The determined and resolute expression on his thin face showed his indomitability and arrogance.
0:6:13|0:6:20|Eight years have passed in the blink of an eye. [Shen Lian], whose armor was broken when the dead piled up, is now dressed in the embroidered uniform of the Jin Yi Wei.
0:6:20|0:6:40|That night, he brought his men to Ming Xufang in the south of Beijing. In the small Jinling city tower, a big tragedy occurred. [Shen Lian] held a kerosene lamp, looking up and down at the body in front of him. His men holding torches couldn't help but vomit.
0:7:3|0:7:10|The newcomer was none other than the subordinate he had sent out earlier.
0:7:26|0:7:39|The commanding officer here is [Ling Yunkai], the archenemy of [Shen Lian]. [Ling Yunkai] arrives with a large group of soldiers in a menacing manner, and greets by clasping his hands together.
0:7:59|0:8:14|[Ling Yunkai] held a small book and, upon hearing that it was a eunuch from the Eastern Depot, hurried forward to inspect. Soon, he recognized the deceased - the eunuch in charge of the seal, which was now lying dead here.
0:8:25|0:8:47|This is [Ling Yunkai], who is preparing to challenge [Shen Lian]'s position. [Shen Lian] is obviously superior, so [Ling Yunkai] does not dare to underestimate him. [Ling Yunkai] widens his eyes, looks around in confusion, and earnestly says,
0:9:25|0:9:34|[Shen Lian] dragged the young apprentice out of the kitchen cabinet, while [Ling Yunkai] in the front hall sketched the crime scene on a small notebook with a wolf hair brush.
0:9:52|0:10:5|Yin Cheng's words reached Ling Yunkai's ears. At that moment, Shen Lian was searching for the killer at the back door, while Yin Cheng was casually chewing peanuts and drinking wine in the main hall.
0:10:47|0:11:3|[Yin Cheng] had his wine glass smashed, turned around angrily, only to see it was [Shen Lian]. [Shen Lian] grabbed his collar and pushed him out, leaving the humiliated [Yin Cheng] ignored.
0:11:5|0:11:7|Ling Yunkai blocked the way.
0:11:7|0:11:15|His men surrounded [Yin Cheng] in a tight circle.
0:11:28|0:11:46|Yin Cheng looked panic-stricken at Shen Lian, who glared angrily. Ling Yunkai followed Yin Cheng's gaze, pointed one by one, pursed his lips, and said displeasedly. He reached out and patted Yin Cheng's shoulder.
0:12:2|0:12:14|Ling Yunkai stared at [Shen Lian] intently. If anyone dared to step forward to rescue her at this moment, they would be labeled as accomplices. As for [Yin Cheng], having his hat removed was one thing, but he was not happy about having his sword taken away.
0:12:23|0:12:33|Yin Cheng hurriedly fled, Shen Lian pondered the current strategy while vigilantly watching Ling Yunkai approaching slowly.
0:12:33|0:12:59|His demeanor was exaggerated, and he continued to make things difficult for [Shen Lian]. The brothers behind [Shen Lian] couldn't help but feel nervous, and several of his men quickly left this troubled place.
0:13:2|0:13:30|[Yin Cheng] dashed through the crowd with the Jin Yi Wei closely following behind. In the bustling street, [Yin Cheng] casually pushed over a pedestrian carrying a brazier, spilling charcoal all over the ground, slowing down the pursuers. He ran into the alley of taverns, where on both sides of the road were restaurants and inns, with a small river in the middle. During festivals, this place was the liveliest spot. [Yin Cheng] found it difficult to move forward in the crowd.
0:13:30|0:13:35|Seeing the pursuers from both sides about to catch up, [Yin Cheng] decided to slow down and make a stand.
0:13:35|0:13:44|The leading Jin Yi Wei leaped and kicked with a knife. [Yin Cheng] blocked with a horizontal sword, then turned it into a punch when the pursuers approached, hitting the opponent's face, followed by a straight kick that knocked down three or four people.
0:13:44|0:13:50|Turning around, [Shen Lian] leaped into the pleasure boat and pushed the boatman into the water. He then held a knife to the boatman's neck and urged,
0:13:52|0:14:9|The only boat on the small river was taken by [Yin Cheng], leaving the Jinyiwei on both banks helpless. Seeing this, [Yin Cheng] finally breathed a sigh of relief, adjusted his breathing, and soon the boat sailed out of the bustling area. [Yin Cheng] sat down to rest, leaning on his knife.
0:14:9|0:14:29|As he looked up, he saw a figure of a Jin Yi Wei standing on the small bridge ahead. [Yin Cheng] quickly stood up to prepare for the enemy, but as he approached and saw that it was [Shen Lian] under the moonlight, a sense of retreat suddenly arose in his heart. [Shen Lian] leaped up and executed a powerful move, causing the bow of the boat to rise high and then quickly smash down, splashing up huge water sprays.
0:14:29|0:14:51|The Jinyiwei [Yin Cheng] also struggled to stabilize his figure. With resentment rising from his heart, evil taking hold of his courage, he swung his knife down, only to be blocked and pushed back by [Shen Lian]. Unwilling to give up, [Yin Cheng] advanced with his knife, but was ultimately captured by [Shen Lian], who disarmed him and threw his sword into the lake. The boatman, thinking he was about to be executed, was so frightened that he jumped into the lake and fled.
0:14:56|0:15:10|[Shen Lian] frowned and glared, unable to contain his anger. But at this moment, he unexpectedly let go of [Yin Cheng]. He stared at [Yin Cheng] kneeling before him, and after a long while, [Yin Cheng], who had served as an official for a long time, naturally understood the severity of the situation.
0:15:12|0:15:46|He calmly drew the dagger from his waist, [Yin Cheng] raised the dagger and looked at [Shen Lian] with a determination to die. The small boat drifted slowly along the water, passing under the bridge. The moonlight shimmered on the water inside the arch bridge. [Yin Cheng] firmly turned the dagger around, then with both hands, he stabbed it into his throat. It wasn't over yet, as he desperately cut a gash before finally pulling out the dagger and throwing it away.
