0:2:12|0:2:18|With only a black cat present, just as she looked incredulous, the black cat spoke again.
0:2:19|0:2:28|[Chun Qin] was quite frightened by this strange occurrence. She quickly placed a whole plate of melons not far from the demon cat, and took the opportunity while it was stretching to make her escape.
0:2:29|0:2:35|Seeing [Chun Qin] leave, the talking demon cat did not chase after her, but remained in a lazy manner.
0:2:35|0:2:44|[Chun Qin] panicked and ran all the way to the room on the third floor. Just as she was recalling how the cat she had just encountered could speak human language, suddenly another meow broke her thoughts.
0:2:44|0:2:50|She couldn't care about her fear and hurried to the window to check. Suddenly, the voice of the demon cat came from behind again.
0:2:51|0:2:58|[Chun Qin] was startled and turned around suddenly.
0:3:13|0:3:20|The demon cat, despite limping on its left hind leg, effortlessly leaped onto the front window before leaving a parting remark.
0:3:22|0:3:32|After the demon cat finished speaking, it jumped out of the window. However, [Chun Qin] stood still in place, and suddenly her eyes flashed, as if they had turned into cat eyes.
0:3:33|0:3:43|Fortunately, [Chun Qin] soon regained consciousness. She poked her head out from behind the rockery, confirmed that the demon cat had left, and returned to the lakeside where she had been eating melons to investigate.
0:3:43|0:3:51|On the deck, there were leftover melon peels scattered around, as well as a pool of blood. Following the blood trail forward, a fish with its eyeballs eaten out was found.
0:3:51|0:3:55|Struggling desperately on the deck, blood splattered everywhere.
0:3:55|0:4:0|She arrived at the pomegranate tree and, following the words of the demon cat, indeed started digging with a hoe.
0:4:1|0:4:8|Under the tree, [Chun Qin] heard her husband returning and hurried forward to greet him. Her husband, [Chen Yunqiao], is the commander of the Jinwu Guard.
0:4:10|0:4:18|She walked arm in arm with her husband and couldn't wait to get back to the room. On the way, she recounted the encounter with the demon cat and the incident of digging for money under the tree from beginning to end.
0:4:18|0:4:24|[Chen Yunqiao] found this matter too bizarre. As soon as he entered the room, he asked [Chun Qin].
0:4:25|0:4:31|[Chun Qin] glanced back at her husband without saying a word. She slowly opened the door and then lifted the jar on the table and poured it out.
0:4:31|0:4:34|The table was covered with coins with a clatter.
0:4:34|0:4:40|[Chen Yunqiao] picked up a gold coin with surprise and looked at [Chun Qin], who was looking at him smugly.
0:4:41|0:4:50|The cawing of crows and the sound of wooden drums intermingled in the air above the Great Wall, reaching [Kong Hai]'s ears as he sat in the sedan chair, silently contemplating.
0:4:54|0:4:59|[Master Konghai] is a monk from Japan who crossed the ocean to lift a curse for the emperor.
0:4:59|0:5:8|He has a kind face, with a faint smile always hanging at the corner of his mouth. From his calm face, it's hard to guess what he is really thinking.
0:5:8|0:5:12|At this moment, he was being escorted by the royal guards to the depths of the imperial city.
0:5:12|0:5:20|The sky gradually darkened, bats continuously circling in the low air, lanterns under the eaves emitting a faint light.
0:5:29|0:5:33|The imperial attendant [Bai Letian] wrote down on paper the date and purpose of [Kong Hai]'s visit to the palace.
0:5:33|0:5:40|Following behind numerous royal guards, passing through layers of gates, [Kong Hai] arrived at the emperor's sleeping chamber.
0:5:40|0:5:48|The magnificent hall appeared even more splendid under the flickering candlelight, yet the emperor's wails continued to echo in the air, sounding particularly mournful.
0:5:48|0:6:1|The guard hurriedly brought [Kong Hai] to the Emperor's bedside. At this moment, the Emperor was lying face up, hands slightly bent in a surrendering posture, with no trace of blood on his face. His eyes were staring straight up, breathing heavily.
0:6:2|0:6:8|[Kong Hai] saw the situation and immediately asked the young minister standing beside him.
0:6:12|0:6:20|[Master Konghai] listened and vaguely sensed that something was wrong. Suddenly, a sharp meow came from above.
0:6:21|0:6:41|Once again, the demon cat appeared. [Master Konghai] vigilantly scanned the hall, about to investigate, when suddenly a scream of agony came from behind. The Emperor's face, previously lifeless, instantly flushed with blood, his eyes turned gray, then he leaped up and fell heavily back onto the bed. At that moment, [Master Konghai] was certain that the Emperor's illness was caused by the demon cat.
0:6:41|0:6:45|Suddenly, the sound of bells rang out, and the courtiers all knelt down.
0:6:50|0:6:57|[Bai Letian] hesitated and didn't start writing. Just as the imperial physician urged him to write, [Kong Hai] noticed the footprints on the ground.
0:7:0|0:7:6|A young official instructed at the door.
0:7:11|0:7:19|Kong Hai made a soft exclamation. Looking down at his feet, Kong Hai realized that they were covered with many shiny things.
