0:1:57|0:2:0|Dong Xianzhou teaches the young [Dong Haichuan] martial arts step by step.
0:2:9|0:2:14|His martial arts are now powerful and vigorous. At this moment, he is practicing martial arts in the courtyard.
0:2:18|0:2:30|Carrying a quiver on his back and holding a bow and arrow in his hand, [Ma Dongmei] walked out of the house with a broad smile, approaching him who was practicing martial arts.
0:2:56|0:3:5|With his father Dong Xianzhou's permission, Dong Ying happily pulled [Dong Haichuan] towards the forest and successfully shot a wild rabbit.
0:3:15|0:3:28|A wealthy young master rode a horse to the woods, followed by many servants. At this moment, one of the servants spotted a girl picking mushrooms.
0:3:30|0:3:37|Upon seeing the teenage girl, the wealthy young master, along with his servant, quietly approached the girl.
0:4:0|0:4:8|The girl exerted all her strength and landed a solid slap on the face of the wealthy young master.
0:4:22|0:4:31|During the struggle, the girl's clothes were torn apart, and immediately after, her tight-fitting underwear was exposed for all to see.
0:4:31|0:4:39|[Dong Haichuan] and [Ma Dongmei] heard the cry for help and quickly ran towards the direction of the sound.
0:4:44|0:4:55|[Ma Dongchuan] was seen sweeping with a stick, causing several servants to fall to the ground. The rich young master, seeing this, released the girl and gritted his teeth as he watched this troublemaker.
0:5:0|0:5:15|The wealthy young master took the sword from [Butler Luo], walked towards [Dong Haichuan] who was fighting, before he could get close, everyone accompanying him fell to the ground and couldn't get up. The wealthy young master tried to frame [Butler Luo], but was immediately knocked down by [Dong Haichuan].
0:5:44|0:5:50|[Hu Gongzi] swung his sword, [Dong Haichuan] reacted quickly and then used a stick to push him away with a strike and a poke.
0:6:35|0:6:46|Led by the girl, [Dong Haichuan] and Dong Ying arrived at the grass hut deep in the jungle, where an old man was practicing Tai Chi with a horse stance in the courtyard.
0:6:47|0:6:53|[Dong Haichuan] was fascinated by the old man's every move. The old man's movements were smooth and flowing,
0:6:53|0:7:4|Like a fox catching a rabbit, like a cat catching a mouse, [Ma Dongmei] relaxed her whole body after receiving it in her lower abdomen, slowly loosened her knees, and turned her head to look at her granddaughter at the door.
0:8:29|0:8:44|[Butler Luo] led several servants to look for [Dong Haichuan]'s whereabouts. It started to rain heavily outside. At this moment, [Dong Haichuan] and two others were carrying a wild rabbit they had hunted, preparing to sell it to a tavern. Coincidentally, this scene was seen by [Butler Luo] who happened to pass by.
0:8:44|0:8:50|He carefully identified him and, after confirming that it was [Dong Haichuan], hurriedly ran back to the mansion.
