0:1:49|0:1:54|[Zhu Guangsheng] looked at the grilled meat in his hand, then placed the skewer on the plate.
0:2:39|0:2:45|Dejected, [Zhu Guangsheng] placed his clenched fist on the table and immediately stood up.
0:2:52|0:3:1|The other two at the table watched as Zhu Guangsheng's eyes followed the man, and just as Zhu Guangsheng was about to leave, he was stopped.
0:3:31|0:3:57|The fat man shook off [Zhu Guangsheng]'s hand. [Zhu Guangsheng] shouted at their backs, at a loss for words. He looked at the little dog in his arms with a heart full of pity. The just rescued little dog had a pair of big watery eyes, looking innocent. Then he nodded and continued to say, then he walked home with the little dog. But not long after, he put the little dog on the side of the road.
0:3:57|0:4:1|He felt very pleased watching the lively little dog in front of him.
0:4:4|0:4:31|The clueless puppy sat still watching him swing the scarf around his neck. Then he made a dramatic gesture towards the puppy, took a few small steps forward, and [Zhu Guangsheng]'s figure gradually moved away. The puppy stood up and walked towards him. The screen gradually turned black, and the title "Blood Wolfhound" emerged in the middle, accompanied by the mournful howls of two evil wolves.
0:5:4|0:5:25|The highly vigilant snow wolf looked back at everything around it, the sky full of white clouds flowing rapidly in its eyes. Suddenly, under the snow-covered ground, a pair of eyes covered in frost slowly opened under a black hat. He stared closely at the snow wolf not far away, and finally the snow on the branches fell down, and the flat ground sank.
0:5:25|0:5:30|The snow wolf, Zhu Guangsheng, heard the movement and let out a low growl, but the hunting rifle in the dark had already aimed at him.
0:5:31|0:5:37|The long-planned gunshot finally rang out, and at this moment the Snow Wolf also fell in a pool of blood. On the other side
0:5:37|0:5:44|Forest ranger [Zhu Guangsheng], who heard the sound, is rushing towards the deep mountains on horseback, followed closely by hunting dogs to help him find the way.
0:5:44|0:6:3|At the same time, a group of people emerged from the snow, ignoring the snow on their bodies, their eyes fixed on the fallen snow wolf not far away. [Zhang Biao], holding a hunting rifle with a forest ranger badge on his arm, and another person took out a woven bag they carried with them and approached the snow wolf, then put it into the bag.
0:6:3|0:6:13|Zhu Guangsheng then arrived at the forest police station in Sardabande Canyon. Sitting on a horse, he pulled down the scarf covering his mouth, looked around, as if searching for something.
0:6:14|0:6:35|In the deep mountains, hunters carrying snow wolf woven bags walked towards the forest, unaware that three snow wolves standing on the mountainside were staring at them fiercely. Soon they arrived at the snow wolf's den, and upon seeing the wolf cubs, the lead man immediately caught one out. The captured wolf cub looked at the hunters and kept making a mournful and plaintive cry.
0:6:39|0:6:49|The injured wolf cub caught by the hunter was thrown towards the tree trunk and fell to the ground, and he pulled out another wolf cub from the hole. At this moment, a hunting gun was aimed at the two of them, and [Zhang Biao] holding the gun said,
0:7:20|0:7:29|The impatient [Director Liu] became cautious instantly after hearing [Zhu Guangsheng]'s words. Subsequently, [Director Liu] quickly gathered the police officers to head to the Wild Wolf Valley. Due to his exceptional familiarity with the terrain,
0:7:35|0:7:53|The four fleeing individuals ran in different directions, as the arriving police officers got out of the car and raised their guns to chase after them. [Zhu Guangsheng], who got out of the car later, called his beloved dog to join the pursuit. The thick snow on the ground hindered the police officers' chase, but they fearlessly followed the footprints left by the hunters.
0:7:55|0:8:5|At that moment, [Zhu Guangsheng]'s beloved dog Mengzi came to the rescue. Brave and fierce, it swiftly pounced on [Zhang Biao], biting onto his arm. No matter how hard [Zhang Biao] tried to shake it off, he couldn't escape its jaws.
0:8:5|0:8:8|Director Liu then forcefully pulled off Zhang Biao's mask,
0:8:13|0:8:33|The police pushed the handcuffed [Zhang Biao], who suddenly looked up at [Zhu Guangsheng] standing beside him with resentment in his eyes. The simple-minded [Zhu Guangsheng] frowned and stared back at him. Then, the Director Liu behind them pushed and urged him to move on quickly. However, after taking a few steps, he turned back and warned [Zhu Guangsheng] with his eyes. At that moment, the kind-hearted [Zhu Guangsheng] finally realized and started to worry.
0:8:33|0:8:45|In the dim sky, large snowflakes fell one after another, as if hiding the massacre in the white snow. The snow wolf that escaped quietly kept all of this in mind.
0:8:45|0:8:55|The next day, the sun shone down on the earth. In the forest ranger station of Sardaband Canyon, sheep were gathered in piles, standing on the mountainside that had not yet melted, bleating.
0:8:55|0:8:58|Accompanied by the frantic barking of the dogs locked in the dog pound.
0:8:58|0:9:4|Later, [Lao Zhou] carried a shoulder pole and walked towards the dog field, while [Mengzi] excitedly ran ahead.
0:9:6|0:9:15|Patiently, [Zhu Guangsheng] opened the cages one by one to feed the wolves, and the wolves, attracted by the food, immediately stopped barking. Then, [Zhu Guangsheng] took [Mengzi] to the training ground.
0:9:18|0:9:23|Mengzi leaped up, swiftly passed through the obstacle equipment, and the car on the mountain road broadcasted a sound.
0:9:35|0:9:57|[Zhu Guangsheng] was driving and talking on the phone. He tried hard to see the road ahead clearly and firmly replied. With only his car on the mountain road at this moment, he quickly stepped on the brake, turned the car around, and urgently headed home with the hazard lights on. He drove the car swiftly through the pitch-black road and soon appeared at the dog kennel. Holding a flashlight, he walked towards the innermost part.
0:9:57|0:10:3|In sight are a mother dog and several puppies lying in a doghouse,
0:10:9|0:10:21|After expressing his love for dogs, [Zhu Guangsheng] took off his coat and covered the mother dog, who had just given birth, as she continued to lick the puppies to clean them.
0:10:21|0:10:37|Returning home, [Zhu Guangsheng] first put on a military coat with a forest ranger badge. Then he looked at the stacked blankets on the bedside, glanced at the table beside, and finally placed the pillow aside, picked up the blanket with one arm. Suddenly, he noticed a jar on the cabinet.
0:10:37|0:10:46|He picked up the can and carefully read the instructions, then put it down. After a few steps, he turned back, picked up the can, and walked outside.
0:10:47|0:11:8|Not long after, [Zhu Guangsheng]'s wife returned to the house in the snowstorm. Standing at the door, she stomped to get rid of the blood seeping into her shoes. While brushing off the snow on her body, she looked inside the house. Then she walked towards the messy dining table holding two cabbages. She first put down her shoulder bag, then placed the cabbages on the table. Still not fully recovered, she rubbed her hands together while looking around.
0:11:8|0:11:19|In the dog kennel, the mother dog finally gave birth to the last puppy with the help of [Zhu Guangsheng]. It immediately bit through the puppy's amniotic sac and helped clean the puppy, while [Zhu Guangsheng] held onto its tail.
0:11:20|0:11:46|After saying goodbye to his old friend, [Zhu Guangsheng] turned and walked away, leaving only him leaning on the fence, quietly watching the mother dog and her puppies. At this moment, he felt extremely happy inside. The mother dog then picked up the puppies that were placed on [Zhu Guangsheng]'s back, one by one, and started nursing them. [Zhu Guangsheng] picked up the last puppy born and placed it next to the mother dog, allowing her to continue cleaning the puppies. Contentedly, [Zhu Guangsheng] sat in the dog's nest and unconsciously started humming a song.
0:11:46|0:11:52|He lovingly stroked the mother dog's head, unable to express his feelings at the moment with words.
0:11:52|0:12:3|The old buddy looked at the recovering mother dog and smiled at [Zhu Guangsheng]. Then he handed over the prepared milk powder, and [Zhu Guangsheng] carefully took the basin and placed it in front of the mother dog for her to drink freely.
0:12:4|0:12:23|Later, when [Zhu Guangsheng] returned home, he saw his wife, who was picking dates, suddenly become cautious. He turned around, walked to the mirror, took off his hat, shook off the snow on his body, then bent down to wash his hands. After drying them, he walked to the stove, picked up the lid and looked inside. Not finding any food, he opened another lid beside it.
0:12:23|0:12:42|To his surprise, there was still no food in the pot. He looked at his wife sitting next to him in amazement, then took out a small knife he carried with him and cut down the cured meat hanging in the corner. Sitting in front of the cutting board, he put away the knife and ate the meat heartily. After gnawing on a piece of meat, [Zhu Guangsheng] nervously shifted his feet.
0:12:43|0:12:49|The two of them stood back to back, talking. [Zhu Guangsheng] forced himself to remain calm and turned his head to say,
0:12:50|0:13:8|Zhu Guangsheng's wife, who was turning the big red date, pursed her lips, suppressing the anger in her heart. Zhu Guangsheng, chewing on the meat, began to look uneasy. He chewed on the meat, staring blankly at the remaining meat in his hand. Seeing him not responding for a long time, his wife, lost in thought, he realized at this moment that he had made a mistake.
0:13:12|0:13:18|His wife, [Zhu Cong], still received no response. She gradually clenched the hand placed in the dustpan in anger.
0:13:22|0:13:35|The wife threw the dustpan along with the jujubes at him, and he dropped the meat and picked up his hat to leave. When [Zhu Guangsheng] walked out of the door, the wife picked up the dustpan from the ground and threw it heavily at his back again.
0:13:56|0:14:16|Zhu Guangsheng and Zhang Biao sat on either side of the bed, panting heavily. After the eldest daughter finished speaking and left, the helpless younger daughter picked up the knife at the end of the bed and also walked out. At that moment, a frame appeared in the scene, containing two family photos and pictures of the young couple. They used to be so green, but the past time will never return.
0:14:16|0:14:28|The next day at the bustling market, the second daughter [Zhu Lin] stood at the cotton candy stall, waiting for her own cotton candy. After she finished eating the cotton candy to her satisfaction, she went to the stall selling bags and asked the boss to pack it for her.
0:14:28|0:14:54|Shortly after, she walked alone towards the market in the scene, and soon appeared next to the pile of dirt, where she was tidying up her clothes. A small dog squatting nearby lifted its innocent head to look at [Zhu Lin]. It softly whimpered when it saw [Zhu Lin] walking away and followed closely behind. [Zhu Lin] immediately stopped to prevent it from following, but after a few steps, it caught up again. After repeating this a few times, it finally lay on the ground, exposing its belly, and acted coquettishly towards [Zhu Lin].
0:15:2|0:15:10|[Zhu Lin] walked to [Zhu Cong]'s side, leaning against her, and they both turned to look.
0:15:28|0:15:35|Reluctant Changzi, after putting down his hand that was caressing his head, took a satisfying bite of the skewer and returned to the room where Zhu Cong was practicing dance moves.
0:15:54|0:16:19|[Zhu Cong] turned around and leaned on the bed railing, delivering a kick from behind. When her eyes glanced at [Zhu Lin]'s school bag, the guilty [Zhu Lin] immediately hugged the bag to his chest. Curious, [Zhu Cong] walked up and opened [Zhu Lin]'s bag, revealing a little dog poking its head out and looking around. Meanwhile, [Zhu Guangsheng] with a sickle in hand herded the sheep into the pen, then slowly walked down the hill and placed the sickle in front of the house.
0:16:19|0:16:49|[Zhu Lin], who was leaning against the wall, turned around holding a small dog when he heard a noise. [Zhu Guangsheng] smiled and glanced at [Zhu Lin], then turned to look at the sickle. After realizing what was happening, he immediately turned to look at the small dog in [Zhu Lin]'s arms. He couldn't help but walk over, pointing at the dog and asking [Zhu Lin]. Excitedly, [Zhu Guangsheng] stared at the dog, continuously petting its head. After speaking, he stood up straight and looked in the direction behind him.
0:16:50|0:16:52|He then turned to [Zhu Lin] and said,
0:16:54|0:17:4|He leaned close to [Zhu Lin]'s ear and whispered softly. The two like-minded individuals exchanged smiles, then [Zhu Guangsheng] turned and left, leaving [Zhu Lin] alone playing with the puppy.
0:17:16|0:17:31|Following the mother turning around and opening the door, reluctant [Zhu Lin] slowly walked towards the door and followed the mother out. With one foot propped on the bed railing doing a split, [Zhu Cong] smiled triumphantly, while the innocent little dog was placed on a pile of snow-covered weeds.
0:17:31|0:17:39|The next morning, as soon as it was light, [Zhu Lin] opened the door to look for the little dog. Just as he was feeling disappointed, the dog came walking along the wall corner.
0:17:46|0:18:3|She excitedly held the puppy tightly in her arms. At noon, under the bright sunshine, Old Zhu stood in front of the adobe oven, scooping the freshly baked bread into a basin with a shovel. His wife sat in the garden washing clothes. Suddenly, the sound of a tractor caught his wife's attention. She saw a man getting off the tractor.
0:18:18|0:18:24|The man stood on one foot on the adobe kiln, then squatted down beside it.
0:19:19|0:19:28|Old Zhu looked at [Zhu Lin] with affection on his face, his wife hung up the clothes and walked towards them, glaring at Old Zhu with her eyes, then she picked up the basin filled with bread and left.
0:19:32|0:19:37|The man turned and left tactfully, while Old Zhu caressed the little dog in his daughter's arms and said,
0:19:58|0:20:16|On the hillside, a man holding a bow and arrow, Zhu Guangsheng put down the shovel in his hand and walked towards him. Zhu Guangsheng reached out and took the bow and arrow. The man stepped back behind him and said, placing the sword on the string, adjusting his stance by pinching the end of the sword with two fingers, pulling back with force, only to see the arrow hitting the wooden stake in front accurately.
0:20:18|0:20:42|After handing the bow to the man, he looked at the stake he shot with a surprised expression. [Zhu Lin], holding a puppy, admired his father and then, in the training ground formed by the wooden stakes, Old Zhu was directing the apprentices. Sitting on the side holding the puppy, [Zhu Lin] watched them with pursed lips. After Old Zhu finished training, he guided the young puppy to walk on the arch-shaped equipment.
0:20:58|0:21:5|Time flies, Blue Wave has grown into a well-trained wolf dog, with strong and powerful limbs, running as fast as lightning.
0:21:5|0:21:13|After receiving instructions from Zhu Guangsheng, [it] quickly passed through the arched bridge and then swiftly climbed up the obstacle ladder.
0:21:13|0:21:26|Zhu Guangsheng then bent down at the finish line, arms outstretched, as Zhang Biao leaped over his back. After seeing Zhang Biao land smoothly, Zhu Guangsheng twirled his mop handle in a dramatic gesture and playfully frolicked with Zhang Biao.
0:21:30|0:21:48|The soaring [Blue Wave] grabbed [Zhu Guangsheng]'s hat and walked towards home, while [Zhu Lin] who was standing aside, bounced over to [Zhu Guangsheng] and linked arms with him, walking behind [Blue Wave]. A year later, as a forest ranger, [Zhu Guangsheng] walked in the snow leading a horse to search for mountains.
0:21:54|0:22:4|He was unaware that a snow wolf hidden deep in the forest was staring at him intently, with [Lan Bo] running ahead as if sensing something, heading towards the depths of the forest.
0:22:4|0:22:30|[Zhu Guangsheng] tied the horse to a tree, but suddenly heard the sound of an electric drill. At that moment, he became alert and discovered footprints extending into the depths of the forest in the snow. He glanced at [Zhang Biao] beside him and then gave an order. The well-trained [Zhang Biao] instinctively rushed out, with [Zhu Guangsheng] following closely behind. Nearby, the snow wolf licked its tongue as if waiting for a meal.
0:22:32|0:22:43|Zhu Guangsheng, who didn't pay attention to his footing, fell to the ground. Seeing the villain trying to escape, he quickly got up and chased after him. The brave Zhang Biao closely followed, seizing the opportunity to bite the villain's arm.
