0:0:44|0:0:50|The woman sat on a chair in the bank and placed the mynah bird in her arms on the ground.
0:0:50|0:0:55|On the street at this moment, a person zips up their leather jacket and tightens their leather gloves.
0:1:2|0:1:4|A newspaper was ordered.
0:1:6|0:1:19|At the same time, the man in leather jacket on the street put on a helmet, followed the woman out of the bank, rode an electric bike, holding a ball in his arms.
0:1:19|0:1:25|A man riding a bicycle happened to witness this scene, quickly stopped and said something to the woman before chasing after the man in the leather jacket.
0:1:25|0:1:30|Despite the woman holding a dog and waving her hand to signal not to chase, he, a first-rate duck, still caught up with her.
0:1:31|0:1:42|The story begins here, mainly focusing on the story of an 80-year-old father and daughter who strive and struggle for their dreams, love, and more.
0:1:42|0:1:52|The protagonist [Wang Xiaopo] is portrayed by Zhu Yuchen, his girlfriend [Zhang Li] is played by [Zhang Li], Fan Ming plays the father of Officer [Zhang Li], and Ju Zhaojie plays the editor-in-chief [Zheng Jin].
0:1:54|0:1:59|And the one chasing the man in the leather jacket is [Officer Zhang].
0:1:59|0:2:4|The scene shifts to the interrogation room, and the story officially begins.
0:2:4|0:2:8|Obviously, the man in the leather jacket has been caught up with, holding his helmet and being questioned.
0:2:55|0:3:4|Officer Zhang picked up the newspaper on the table and unfolded it, while the female officer next to him covered her mouth and nose.
0:3:4|0:3:10|Officer Zhang didn't expect to see dog poop in the newspaper, which left him stunned.
0:3:10|0:3:11|Officer Zhang picks up the dog poop.
0:3:44|0:3:45|[Zheng Jin] raised an eyebrow and said.
0:4:10|0:4:13|[Zheng Jin] gestured with a finger and continued speaking.
0:4:18|0:4:19|Speak up, [Zheng Jin] is getting up.
0:4:28|0:4:29|Officer Zhang empty-handed.
0:4:59|0:5:7|In the sales office, the female salesperson [Zhang Li] is standing at the door giggling, she hurriedly takes out her phone and runs to the door to answer the call.
0:5:7|0:5:11|Boyfriend [Wang Xiaopo] walked towards the car while talking.
0:5:22|0:5:25|At the same time, in another car, [Wang Xiaopo] said to Shen Yun.
0:5:54|0:6:0|Shen Yan's car collided with Wang Xiaopo's car at the intersection, and Wang Xiaopo quickly got out of the car to check.
0:6:10|0:6:12|Xiao Tang finished speaking and turned to leave.
0:6:29|0:6:30|[Da Xu] raised the chopsticks and blew a sound.
0:6:45|0:6:48|Wang Xiaopo's expression suddenly changed, and Da Xu quickly put on a smile.
0:7:39|0:7:41|The three of them clinked glasses, then [Da Xu] turned his head and said.
0:8:24|0:8:39|Upon hearing what Anonymity said, [Wang Xiaopo] and [Da Xu] were stunned.
0:8:39|0:8:47|After the three of them clinked glasses again, the scene shifted to an indoor room filled with models, where everyone was busy with their work.
0:8:47|0:8:52|[Wang Xiaopo] and [Da Xu] sat next to each other, pointing and gesturing at the painting on the table.
0:9:37|0:9:44|Wu Ming took out a marker and wrote on the paper, while [Wang Xiaopo] looked down in surprise. Wu Ming handed the paper over.
0:9:44|0:9:47|Da Xu quickly picked it up and both of them couldn't help but get excited.
0:9:51|0:9:56|Wu Mingjiang only cared about the past and glanced at [Wang Xiaopo] as he spoke.
0:9:56|0:10:10|The scene shifts to the central area of Nanjing. In a high-rise building by the road, a rural woman walks in, looks around, surveys the spacious office, and then walks in with a contented smile, asking.
0:10:45|0:10:50|Wang Xiaopo was leaning tightly on the table, looking behind the woman to check on the staff.
0:10:50|0:10:52|The woman also took a look.
0:10:52|0:11:4|On the other side, at Officer Zhang's home, Officer Zhang's mother sat on the sofa reading a magazine, while Officer Zhang changed channels with the remote control and talked on the phone with her boyfriend, [Wang Xiaopo].
0:11:4|0:11:11|Mrs. Zhang turned her head to look at her daughter when she heard this, then lowered her head to glance at the magazine in her hand.
0:11:11|0:11:12|What did Zhang Li suddenly think of?
0:11:24|0:11:25|Officer Zhang closes his phone.
0:11:34|0:11:41|Zhang Li impatiently got up and left, then Officer Zhang opened the door, put the key in the briefcase, and walked towards the sofa.
0:11:44|0:11:51|[Mrs. Zhang] pointed inside the room and patted her husband's leg.
0:12:5|0:12:9|Hurry up and get me something to eat, [Mrs. Zhang] stood up.
0:12:15|0:12:20|Officer Zhang took a sip of tea, picked up the newspaper on the coffee table, and took a date from the plate.
0:12:20|0:12:22|He flipped through the newspaper, and a jujube fell down.
0:12:22|0:12:24|Just picked up, stuffed back into the mouth.
0:12:30|0:12:36|Officer Zhang spat out the snuff bottle, stuffed the newspaper back onto the coffee table, and quickly picked up the bowl.
0:12:36|0:12:37|[Mrs. Zhang] sits back on the sofa.
0:13:9|0:13:11|Officer Zhang turned his head and picked up a dish to serve Mrs. Zhang.
0:13:16|0:13:20|The scene shifts to the auto repair shop, where Wang Xiaopo is studying blueprints at a table.
0:13:20|0:13:23|[Da Xu] put down the iron rod in his hand and walked to [Wang Xiaopo]'s side.
0:13:23|0:13:25|[Wang Xiaopo] pulled the table.
0:13:52|0:13:56|On the battlefield, it's all about the heat of the moment. [Da Xu] rubbed his hands nervously and asked.
0:14:50|0:14:56|[Mrs. Zheng] squatted down and put down the dog, holding the leash. A golden retriever ran over, scaring [Zheng Jin] who quickly ran away.
0:15:48|0:15:51|The ladies sniffed the sesame in their arms and then went to sniff the serious one.
0:16:26|0:16:28|[Wang Xiaopo] grabbed a handful of hair fiercely.
0:16:36|0:16:46|The two of them started to get busy, with [Wang Xiaopo] marking on the floor, then picking up the cutting machine, welding, putting on gloves to work. In the repair shop, sparks from welding were flying.
0:16:46|0:16:54|In a blink of an eye, he put down the electric drill, selected the parts, then put on sunglasses, and started cutting with a saw to make parts for the renovation car.
0:16:55|0:17:2|[Da Xu] is working on the site, putting down one tool and picking up another due to the welding situation of the iron saw.
0:17:2|0:17:5|In the abandoned recycling center, Wang Xiaopo and Zheng Jin worked from dawn till dusk.
0:17:7|0:17:10|The night falls, and the scene shifts to Zhang Li's home.
0:17:10|0:17:15|[Zhang Li] hung family photos on the wall next to the bed, and there was also a string of wind chimes in the middle of the room.
0:17:15|0:17:20|[Zhang Li] is listening to music, swaying her body in front of the mirror on the dressing table.
0:17:20|0:17:30|[Mrs. Zheng] pushed open the door of [Zhang Li], holding several cards in her hand, happily approaching her daughter, carefully taking off one side of her headphones.
0:17:30|0:17:33|[Mrs. Zheng] held up the card in her hand, but [Zhang Li] turned her head and lay down on the bed.
0:17:59|0:18:3|[Zhang Li] was about to leave as soon as she heard it, and Mrs. Zhang quickly pulled her up.
0:18:10|0:18:17|[Zhang Li] turned around.
0:18:17|0:18:25|In the repair shop, [Wang Xiaopo] is lying on the car roof, holding a flashlight and working busily.
0:18:25|0:18:28|Speaking without stopping the movement of his hands.
0:18:28|0:18:33|[Da Xu] climbed onto the roof of the car, [Wang Xiaopo] took off his gloves and took the phone.
0:18:33|0:18:35|Hastily hand the parts to [Da Xu] and answer the phone.
0:18:40|0:18:45|He threw the gloves onto the toolbox.
0:18:45|0:18:51|Listening to his girlfriend, [Wang Xiaopo] scratched his thumb on his head.
0:18:51|0:18:56|The whole face wrinkled towards the center.
0:19:3|0:19:6|Both of them were attracted by the sound outside the door.
0:19:6|0:19:10|[Da Xu] widened his eyes.
0:19:14|0:19:17|[Wang Xiaopo] recognized the person in the car.
0:19:17|0:19:24|He walked to the passenger side window and bent down.
0:19:57|0:20:10|[Da Xu], although reluctant, still checked the car's condition, while the two girls got out of the car.
0:20:13|0:20:19|It's late at night, Wang Xiaopo and Da Xu walk out of the auto repair shop, watching the two girls drive away.
0:20:23|0:20:24|[Da Xu] takes off his gloves.
0:21:25|0:21:30|Hanging up the phone, [Zheng Jin] put away his smile and spoke into the phone.
0:21:30|0:21:46|The scene shifts to the workplace where Wang Xiaopo works. The squad leader is carrying a tea pot, Wang Xiaopo quickly pats his colleague, sits up straight, the squad leader coughs slightly, puts down the tea pot, Wang Xiaopo yawns, the squad leader sits down and says.
0:21:47|0:21:51|The company has started, with a meeting of senior leaders above the platoon leader level.
0:22:17|0:22:20|Upon hearing this, [Wang Xiaopo] turned his head and said to the squad leader.
0:22:39|0:22:43|Go, stop talking nonsense, [Wang Xiaopo] gets up and leaves.
0:22:45|0:22:49|Night falls, and the streetlights and car lights all come on.
0:22:49|0:22:56|[Wang Xiaopo] drove the car and brought [Zhang Li] to the park on the hill. Looking down from the trees, they could see the night view of the entire Nanjing.
0:22:56|0:23:4|The car slowly came to a stop, its headlights also turned off, blending into the night.
0:23:4|0:23:12|[Wang Xiaopo] turns on the interior lights of the car and looks out the window.
0:23:12|0:23:12|He pointed outside.
0:23:35|0:23:38|His face gradually turned serious, he turned to his girlfriend and asked.
0:23:44|0:23:52|[Zhang Li] looked at him, thought for a moment, and sighed.
0:23:52|0:23:58|[Wang Xiaopo] furrowed his brow, and [Zhang Li] paused before speaking.
0:23:58|0:24:6|[Zhang Li] stopped looking at him after hearing this, and [Wang Xiaopo] also looked out the window.
0:24:8|0:24:15|He reached into his pocket, took out his phone, glanced at it, and pressed the answer button.
0:24:15|0:24:18|[Zhang Li] patted [Wang Xiaopo].
0:24:26|0:24:30|[Zhang Li] listened eagerly.
0:24:34|0:24:39|Hanging up the phone, [Zhang Li] looked at [Wang Xiaopo], who still had his head down gloomily.
0:24:45|0:24:48|[Wang Xiaopo] finally turned his head and spoke with determination.
0:25:4|0:25:10|[Zhang Li] excitedly questioned [Wang Xiaopo], but [Wang Xiaopo] just looked at him calmly without saying a word.
0:25:10|0:25:13|Zhang Li leaned against the car, Wang Xiaopo lowered his head and said.
0:25:16|0:25:31|[Wang Xiaopo] tapped the car door with his index finger, opened it, put on his sunglasses, and got out of the car. [Zhang Li] watched him, opened her mouth, then turned to look out the car window to see if [Wang Xiaopo] was walking away. She also opened the car door and got out, calling out to [Wang Xiaopo].
0:25:32|0:25:36|[Wang Xiaopo] did not turn around. With the knocking sound, a beam of light lit up inside the room.
0:25:38|0:25:45|[Mrs. Zhang] opened the door, in the pitch-black corridor, only the face of a woman was illuminated.
0:25:45|0:25:47|It turns out that [Zhang Li] was looking at her phone.
0:25:51|0:25:54|She walked slowly into her room with heavy steps.
0:25:54|0:25:57|[Mrs. Zhang] followed and turned on the lights in the room.
0:25:59|0:26:0|[Zhang Li] has already laid down.
0:26:10|0:26:15|[Zhang Li] turned over with a stuffed toy in her arms, with [Mrs. Zhang]'s hand resting on her arm.
0:26:21|0:26:23|Mrs. Zhang touched her daughter's back.
0:26:27|0:26:30|She picked up a piece of paper from the table and wiped her daughter's tears.
0:26:37|0:26:45|[Zhang Li] grabbed her.
0:26:45|0:26:52|[Zhang Li] flipped over and faced upwards.
0:26:52|0:26:56|[Mrs. Zhang] had a big smile on her face.
0:27:42|0:27:44|[Da Xu] approached for inquiry.
0:28:1|0:28:3|[Wang Xiaopo] twisted the parts and asked [Da Xu].
0:28:8|0:28:12|He turned his head in surprise.
0:28:12|0:28:16|Wang Xiaopo's neck muscles also bulged.
0:28:16|0:28:17|He turned to [Da Xu].
0:28:25|0:28:28|The two turned around to put away the tools and prepare for the test drive.
0:29:3|0:29:11|[Da Xu] struggles to come down from the roof of the car.
0:29:58|0:30:2|In the yard outside the repair shop, [Da Xu] is directing in the front.
0:30:28|0:30:30|Da Xu's big foot stretched in.
0:30:30|0:30:32|Da Xu's big belly was exposed.
0:30:53|0:30:57|The cannon of the armored vehicle hit a tree.
0:30:57|0:31:3|[Da Xu] hit his head.
0:31:3|0:31:10|He quickly climbed out of the car and went down to check the situation.
0:31:10|0:31:14|Smoke billowed from the front of the armored vehicle.
0:31:14|0:31:15|[Wang Xiaopo] is wiping off sweat.
0:31:23|0:31:26|[Da Xu] struggled to pull out the cannon barrel.
0:31:43|0:31:48|The cannon unexpectedly got pulled out and was thrown away directly.
0:31:48|0:31:55|[Wang Xiaopo] kept backing away in fear, while [Da Xu] stood on the roof of the car, staring blankly.
0:31:55|0:31:58|The next day, inside the cafe.
0:32:22|0:32:25|[Zhang Li] put away her smile and looked around awkwardly.
0:32:25|0:32:29|The returnee man smiled warmly, with his hands resting on his legs, looking at [Zhang Li].
0:32:31|0:32:35|The returnee man took a deep breath.
0:32:50|0:32:55|[Zhang Li] showed a surprised smile and then looked at the returnee man across from her.
0:33:7|0:33:15|Outside the café, the sun was shining brightly. [Wang Xiaopo] rode his bicycle through the sunlight and the shade of the trees, drawing S shapes on the ground.
0:33:15|0:33:22|Approaching the destination, [Wang Xiaopo] smoothly slides one foot on the ground, deftly turns to the side of the road to park, puts down the kickstand, and then walks towards the café.
0:33:24|0:33:29|He happily took out the ticket from his shirt pocket, took big strides up the steps, and pushed the door open.
0:33:37|0:33:41|[Wang Xiaopo] stood behind the wooden fence, hands inserted, watching [Zhang Li].
0:33:41|0:33:43|Wang Xiaopo looks towards Haiguinan.
0:33:58|0:34:5|Wang Xiaopo turned around, then immediately turned back, placed the ticket in front of Zhang Li, and then turned and pushed the door open to leave.
0:34:52|0:34:53|He picked up the briefcase and started searching through it.
0:35:2|0:35:19|He put down the phone with his right hand, the briefcase with his left hand, and unbuttoned his shirt with his teeth, revealing a scratch on his ankle. He raised his phone to check the wound, then pulled out a piece of paper, wincing in pain. The scene shifted to the repair shop, where Wang Xiaopo was shooting hoops in front of a makeshift basketball hoop.
0:35:19|0:35:27|The armored vehicle stopped by his side, and the basketball dropped out of the hoop. [Wang Xiaopo] missed the shot, and the ball rolled to the side of the armored vehicle.
0:35:28|0:35:31|He bent down to pick it up, but hit his head when he stood up.
0:35:31|0:35:42|[Wang Xiaopo] didn't care about basketball anymore, he covered his head, bent over, and then straightened up.
0:35:42|0:35:46|After he put his hand down, he still felt pain and touched his head again.
0:36:18|0:36:24|He picked up the pliers and fiercely smashed them towards the front of the armored vehicle, then took two steps back and threw the pliers directly.
0:36:27|0:36:28|Threw the axe again.
0:36:31|0:36:35|The glass of the armored vehicle shattered on the ground, and [Wang Xiaopo] turned around and left after urging once.
0:36:35|0:36:42|The scene shifts to an outdoor setting, at a city wall entrance in Nanjing. [Mrs. Zheng] is walking along the road, shouting as she goes.
0:36:42|0:36:47|The surface of Xuanwu Lake ripples, and looking across the lake, there are rows of buildings on the opposite side.
0:36:47|0:36:56|[Mrs. Zheng] was desperately searching for her Pekingese, walking all the way to the lakeside, holding onto both arms as she descended the steps.
0:36:56|0:36:57|She sat down by the lake.
0:37:6|0:37:12|He pounded his legs hard, when suddenly, his phone rang.
0:37:12|0:37:15|He reached into his pocket and took out his phone.
0:38:18|0:38:23|The scene cuts back to [Wang Xiaopo], who lowers his head and returns to his rented room in silence.
0:38:23|0:38:27|Pushing open the door, the walls were covered with various blueprints for two-wheeled vehicles.
