0:0:44|0:0:47|[Qi Jia] boarded a bus with a vacant look in her eyes.
0:0:47|0:0:51|A little girl saw him willing to stand up.
0:0:51|0:0:54|[Qi Jia] glanced at the girl.
0:0:54|0:1:1|[Qi Jia] looked around and confirmed that the "auntie" mentioned by the girl was herself.
0:1:1|0:1:4|[Qi Jia] firmly grasped the girl's face.
0:1:4|0:1:10|She ambitiously shook the girl's cheeks back and forth, unceremoniously taking the seat the girl had vacated.
0:1:11|0:1:16|Several passengers in front turned their heads angrily and glared at him.
0:1:16|0:1:20|[Qi Jia] looked back, and everyone in the car cast accusing glances at her.
0:1:23|0:1:29|The onlookers' eyes were relentless, but [Qi Jia] couldn't be bothered to pay attention to them, so she turned her head and looked out the window.
0:1:29|0:1:32|A lush greenery passed by, tears gradually welled up in his eyes.
0:1:45|0:1:50|In Qi Jia's eyes, a graceful figure in a wedding dress is reflected.
0:1:50|0:1:52|The time goes back to 2009.
0:1:54|0:2:1|[Qi Jia] is wearing a wedding dress, with ribbon high heels on her feet, running desperately under the shade of trees on the university campus.
0:2:1|0:2:5|She ran out of breath, attracting the attention of her classmates along the way.
0:2:7|0:2:16|[Qi Jia] pushed open the doors of the auditorium, with a carpet leading all the way to the colorful stage. The graduates in academic gowns sat packed on both sides of the auditorium.
0:2:16|0:2:25|He walked into the auditorium, with Lin Shuer helping him lift the trailing wedding dress. [Qi Jia] mischievously looked up and smiled amidst the cheers, pointing at the classmates beside the aisle.
0:2:29|0:2:41|He walked to the front row, waved to everyone, and walked with Lin Shuer to a handsome and gentle-looking boy, who asked quietly.
0:2:58|0:3:4|Liu Chong beside [Qi Jia], slowly stood up with the manuscript in hand and walked to the platform, bowing deeply to everyone.
0:3:4|0:3:9|Qi Jia kept her eyes fixed on her, clapping and smiling.
0:3:25|0:3:33|Liu Chong finished his passionate speech and was about to step down from the stage when [Qi Jia] suddenly stood up and walked towards him.
0:3:33|0:3:37|[Qi Jia] looked at everyone with a smile, then turned to Liu Chong.
0:3:37|0:3:41|The principal on stage gestured for everyone to be quiet, standing in front of the microphone and speaking.
0:3:54|0:3:59|[Qi Jia] lifted her skirt, ran to Liu Chong's side, took his arm, and pulled him in front of the principal.
0:4:16|0:4:20|Li Teng boiled over again, [Qi Jia] turned towards him, holding Liu Chong's arm.
0:4:45|0:4:53|Liu Chong was extremely embarrassed, with classmates focusing intently on the stage, [Lin Shuer] even clasping her hands in front of her chest.
0:4:55|0:5:1|Liu Chong pushed away [Qi Jia]'s hand, and her eyes instantly lost focus, her mind going blank.
0:5:7|0:5:9|And at the next moment, something unexpected happened.
0:5:12|0:5:23|[Qi Jia], in a daze, was helped out of the hall by [Lin Shuer]. As the scene unfolds, a few words fall down and gradually merge with a gynecological medical record, with the title appearing: "My Early Menopausal Girlfriend".
0:5:23|0:5:37|In this film, [Qi Jia] had been in a relationship with her [Ex-Boyfriend] for many years, and their relationship had always been very good. However, to [Qi Jia]'s surprise, her [Ex-Boyfriend], whom she thought she would marry and have a wedding with, unexpectedly rejected her on the day of their graduation.
0:5:37|0:5:40|From then on, [Qi Jia]'s nightmare began.
0:5:41|0:5:46|The failed love experience has plunged [Qi Jia] into an unbearable pain.
0:5:46|0:5:50|A series of menopausal symptoms appeared successively on the young [Qi Jia].
0:5:50|0:6:1|Just then, a man named [Yuan Xiaoou] suddenly barged into his life, the hospital corridor was bustling with noise and people, [Qi Jia] sat on a bench outside the gynecology clinic.
0:6:1|0:6:7|He cut his hair short, leaving a short bangs above his eyebrows, and after exchanging a glance with the big brother next to him, he looked away.
0:6:8|0:6:11|The middle-aged woman in the clinic wiped her sweat and said to [Doctor].
0:6:55|0:6:58|[The doctor] leaned in close to [Qi Jia]'s face, carefully examining it.
0:7:0|0:7:2|[Doctor] lowered his head to look through the medical records.
0:7:16|0:7:20|[Qi Jia] stood up in anger and squatted deeply in front of the [doctor].
0:7:20|0:7:23|The doctor's eyes followed the figure of [Qi Jia] up and down.
0:7:24|0:7:27|[Qi Jia] cursed while picking up the cactus on the table and thrusting it towards the face of the [doctor].
0:7:51|0:7:54|[Qi Jia] is lying on the lawn wearing sunglasses.
0:7:54|0:7:56|[Lin Shuer] bent down and looked at her, saying.
0:7:58|0:8:0|Lin Shuer knelt beside Qi Jia.
0:8:18|0:8:21|[Ling Shuer] stuffs [Qi Jia] into the passenger seat of the sports car.
0:8:31|0:8:36|Every year at this time, graduates always dress up the peaceful summer nights wildly and catch up.
0:8:49|0:8:56|On the day of graduation, [Qi Jia] in a wedding dress, leaning on the railing and vomiting, sat on the steps under the shade of a tree with Lin Shuer.
0:9:3|0:9:10|[Qi Jia] pouted in grievance, burying her head on Lin Shuer's shoulder, who quickly patted her to show comfort.
0:9:31|0:9:44|On the balcony of the dormitory building, countless sheets hang down, expressing the sadness of parting. Some people are lighting candles and drinking beer on the grass, while others are sitting in a circle singing loudly. A long-haired man is desperately grabbing a short-haired man and shouting.
0:9:48|0:9:56|[Qi Jia] and Lin Shuer laughed until their stomachs hurt, when suddenly two guys wearing only underwear ran out onto the street.
0:10:9|0:10:12|Lin Shuer, who is 1.8 meters tall, simply lifted up [Qi Jia].
0:10:15|0:10:22|Ling Shuer ran up the stairs with her family in her arms, and the two of them stumbled to the dormitory door.
0:10:22|0:10:25|Ling Shuer reached out and twisted the doorknob.
0:10:27|0:10:31|Ling Shuer pressed her ear against the door and listened intently.
0:10:50|0:10:59|Glancing back into the room, [Qi Jia] blushed lazily, looking disoriented as she hurriedly ran down the stairs clutching her clothes.
0:10:59|0:11:5|In a panic, she left a sneaker in the hallway and [Qi Jia] quickly turned on the light and rushed into the dormitory.
0:11:59|0:12:10|Old Bai, with his shirt not properly buttoned, walked towards the door carrying a storage box, then turned around to bid farewell.
0:12:10|0:12:15|The dormitory door was closed by Lao Bai, and the oil painting on the door gradually turned into a real alleyway.
0:12:27|0:12:33|On the wall of the alley lies a pear blossom cat, and at the foot of the wall lies a homeless man sleeping on a makeshift bed.
0:12:33|0:12:39|He stood up and looked towards a corner not far away, where [Yuan Xiaoou] was sitting, gnawing on sugar cane, with a pile of luggage beside her.
0:12:43|0:12:50|[Yuan Xiaoou] ignored the beggar while gnawing on the sugar cane, as he stood up muttering to himself.
0:12:50|0:13:5|He saw her leaving the house and immediately rushed up to snatch the bag.
0:13:5|0:13:9|[Yuan Xiaoou] turned around and saw someone being pulled by a beggar, immediately rushed over with a sugarcane in her mouth.
0:13:13|0:13:18|[Yuan Xiaoou] shields [Qi Jia] behind her and points at the vagrant with a sugarcane.
0:13:18|0:13:22|[Yuan Xiaoou] sprayed the sugarcane residue in her mouth all over the homeless man.
0:13:32|0:13:37|[Yuan Xiaoou] handed the keys in his pocket to the homeless man, who then squatted down and cursed while crying.
0:13:42|0:13:46|She locked eyes with [Qi Jia] and immediately turned her head without saying a word.
0:13:51|0:13:57|The door was pushed open, [Qi Jia] walked in with [Yuan Xiaoou], and Lin Shuer on the sofa stood up in surprise.
0:14:26|0:14:29|Qi Jia pulled Lin Shuer to the window and pleaded.
0:15:14|0:15:16|They cleared out a room for [Yuan Xiaoou] to stay in.
0:15:16|0:15:18|Lin Shuer reminded Qi Jia.
0:15:22|0:15:28|Watching Lin Shuer leave, [Yuan Xiaoou] breathed a sigh of relief, lowering her head with a triumphant smile.
0:15:28|0:15:29|Time passes by.
0:15:32|0:15:39|A sports car pulled up to the stairs of the lane, Lin Shuer parked the car, and [Qi Jia] climbed down from the passenger seat.
0:15:40|0:15:42|Lin Shuer lifted [Qi Jia] up.
0:15:48|0:15:49|The two of them walked with their heads held high.
0:17:3|0:17:6|[Yuan Xiaoou] carried [Qi Jia] back to the room.
0:17:6|0:17:8|[Qi Jia] went to the hospital today.
0:17:8|0:17:10|Lin Shuer continued speaking while holding a water cup.
0:17:26|0:17:28|[Yuan Xiaoou], still wearing an apron, asked.
0:17:37|0:17:40|[Yuan Xiaoou] closed her eyes tightly and uttered a single word.
0:17:41|0:17:43|Lin Shuer looked at her with interest.
0:18:8|0:18:12|Lin Shuer turned and walked away, leaving [Yuan Xiaoou] standing there in a daze.
0:18:12|0:18:17|The bedroom was dimly lit, [Yuan Xiaoou] sat on the edge of the bed, wiping [Qi Jia]'s hands with a towel.
0:18:17|0:18:23|[Qi Jia] is sound asleep, but her hand is restlessly pulling away from the towel.
0:18:23|0:18:28|[Yuan Xiaoou] continued to gently wipe her wrist with a towel, holding onto it persistently.
0:18:30|0:18:41|Qi Jia tossed and turned like a child in her dreams, her head on the pillow, sometimes facing up and sometimes on her side, suddenly breaking free from the hand held by [Yuan Xiaoou].
0:18:41|0:18:49|[Yuan Xiaoou] finally stopped and gazed at [Qi Jia] for a long time, her gentle face resembling the way she used to sneak glances at [Qi Jia] in college.
0:18:50|0:18:57|At that moment, he hid behind the bookshelves in the library, peering through the cracks at Qi Jia who was reading.
0:18:57|0:19:2|Qi Jia looked up, but he instantly squatted down like a shy turtle.
0:19:2|0:19:7|Until Qi Jia looked away, he finally agreed to shuffle a few steps forward along the bookshelf.
0:19:7|0:19:13|[Yuan Xiaoou] walked quietly, but her eyes never left Qi Jia, who was reading on the sofa.
0:19:13|0:19:15|Liu Chong entered his line of sight while holding a cat.
0:19:18|0:19:23|Liu Chong hugged Qi Jia, playing with the small kitten in their hands together.
0:19:23|0:19:29|The two of them cuddled on the sofa for a while, then picked up the cat and left the library arm in arm.
0:19:29|0:19:37|[Yuan Xiaoou] put down the book in front of her face, leaned against the window, biting her hand, and cried softly.
0:19:37|0:19:45|Awakening from a dream, [Yuan Xiaoou] sees [Qi Jia] sitting on the edge of the bed, staring at him.
0:19:50|0:19:52|[Yuan Xiaoou] raised her hand and wiped her eyes.
0:19:57|0:20:3|[Qi Jia] stood up, but involuntarily leaned towards the wall, using her shoulder to slide along the wall, inch by inch.
0:20:3|0:20:8|She turned around and leaned against the wall, frowning and clutching her stomach.
0:20:18|0:20:23|[Qi Jia] walked to the window while drinking water, and gulped down the entire glass.
0:20:23|0:20:25|He looked out the window and let out a long sigh.
0:20:25|0:20:28|[Yuan Xiaoou] also relaxed with him.
0:21:9|0:21:11|[Qi Jia] stared at [Yuan Xiaoou], clearly this sentence hit a nerve with her.
0:21:11|0:21:13|[Qi Jia] walked away holding her stomach, while [Yuan Xiaoou] continued to chatter incessantly.
0:21:53|0:21:58|[Qi Jia] was so angry that she was speechless, and immediately ordered the person to leave.
0:21:58|0:22:2|[Yuan Xiaoou] huffed, turned around and walked away without closing the door.
0:22:2|0:22:5|[Qi Jia] was about to slam the door shut, but was blocked by [Yuan Xiaoou].
0:22:5|0:22:7|She held up a photo and said.
0:22:19|0:22:23|[Qi Jia] pushes the door open in frustration, while [Yuan Xiaoou] leans against the door outside, determined.
0:22:27|0:22:31|Qi Jia picked up a photo from the ground, it was their graduation photo.
0:22:31|0:22:36|[Qi Jia] is dressed in a wedding gown, standing out among the black robes.
0:22:36|0:22:38|He straightened up, with his mouth half open.
0:22:53|0:23:1|Qi Jia lowered her arm, tears streaming down her face. In a hospital that combined Eastern and Western medicine, the [Doctor] was giving a lecture.
0:24:25|0:24:30|[Yuan Xiaoou] came back with a cactus, placed it on the table, and pushed it in front of [the doctor].
0:24:30|0:24:32|The doctor shrank back in fear.
0:24:32|0:24:37|Watching [Yuan Xiaoou] leave, [Qi Jia] quickly threw the cactus into the trash can.
0:24:37|0:24:40|In an outdoor setting, Lin Shuer elegantly pours red wine while sitting.
0:25:10|0:25:16|[Yuan Xiaoou] points at Ling Shuer, standing still and leaving quietly in the peaceful and warm alley at night.
0:25:16|0:25:25|[Qi Jia] sat on the window sill in the bedroom, swinging her legs outside. She held onto the top of the window frame with both hands, closed her eyes, and breathed in the outdoor air with intoxication.
0:25:25|0:25:31|[Yuan Xiaoou] returned with bags in hand, looked up to see dangling legs, waiting for the moment of release.
0:26:10|0:26:18|The passerby that Wen Sheng refused to let in was surrounded by onlookers at the alley entrance. [Yuan Xiaoou] quickly rushed into the house, ran into [Qi Jia]'s bedroom, and closed the window.
0:26:24|0:26:26|Yuan Xiaoou's hand resting on Qi Jia's shoulder hangs in mid-air.
0:27:0|0:27:4|[Yuan Xiaoou] covered one eye, blood streaming from her nose, and walked out the door.
0:27:6|0:27:8|At a barbecue stall by the roadside.
0:27:51|0:27:55|[Yuan Xiaoou] quickly comforted [Qi Jia] to sit down, and then pressed down the bottle of wine she picked up.
0:28:18|0:28:26|Yuan Xiaoou took the grilled meat handed over by the waiter, then pressed down on the wine in Qi Jia's hand, handing him a skewer of chicken wings, before picking up another skewer herself.
0:28:30|0:28:34|[Qi Jia] takes a bite and immediately speaks.
0:28:34|0:28:38|[Yuan Xiaoou] quickly signaled the waiter to stop talking.
0:28:38|0:28:40|Urge [Qi Jia] to sit down again.
0:28:55|0:28:58|[Qi Jia] picked up the bottle of wine and smashed it on the table twice.
0:28:58|0:29:1|Seeing that the wine bottle didn't break, [Qi Jia] smashed it towards the head of [Yuan Xiaoou].
0:29:1|0:29:7|The wine bottle shattered in half, [Qi Jia] walked towards the waiter.
0:29:7|0:29:9|[Yuan Xiaoou] hugged [Qi Jia] around the waist.
0:29:17|0:29:21|[Yuan Xiaoou] dragged [Qi Jia] to the roadside and stuffed him into a taxi.
0:29:21|0:29:29|The taxi speeds away.
0:29:29|0:29:34|The car almost hit a group of muscular men with round tattoos, who were heading towards the barbecue stall.
0:29:34|0:29:37|[Yuan Xiaoou] hurriedly walked ahead of them and entered the store.
0:29:39|0:29:43|He imitated the tattooed man's posture and swaggered towards the waiter.
0:29:43|0:29:46|The waiter panicked.
0:29:46|0:29:49|[Yuan Xiaoou] adjusted her waistband and said to the waiter.
0:30:15|0:30:18|The waiter quickly sat up and squatted down in place.
0:30:25|0:30:31|The waiter squatted down and smiled at the table with the tattooed people.
0:30:31|0:30:38|[Yuan Xiaoou] whistled as she walked into the alley and was surprised to see Qi Jia leaning against the wall, looking drunk and unsteady.
0:30:38|0:30:48|[Yuan Xiaoou] rushed forward, clumsily embracing him, while Qi Jia stood there like a puppet, letting him manipulate her.
0:30:51|0:30:53|[Yuan Xiaoou] encouraged [Qi Jia] and lifted her up horizontally.
0:30:56|0:31:0|Another night, [Qi Jia] leaned drunkenly against the wall again, and [Yuan Xiaoou] rushed over.
0:31:1|0:31:3|The delivery guy at the door asked.
0:31:22|0:31:25|[Yuan Xiaoou] took the pen and signed the document.
0:31:31|0:31:34|[Qi Jia] snatched the package from under [Yuan Xiaoou]'s armpit.
0:31:37|0:31:39|She looked at the paper box unsteadily.
0:31:50|0:32:3|[Qi Jia] swayed back and forth, rubbing her chest, pointed at [Yuan Xiaoou], and picked up the box with the words "Liu Chong" on it, holding it close to her chest.
0:32:3|0:32:6|[Qi Jia] pushes the door open and walks into the building, while [Yuan Xiaoou] hangs her head in sorrow and anger.
0:32:15|0:32:18|[Qi Jia] sat cross-legged at the head of the bed, tears streaming down her face.
0:32:37|0:32:45|The next day, [Qi Jia] was lying quietly in a bed of petals wearing a vintage chiffon dress, holding a crystal ball in her hand.
0:32:48|0:32:53|In the early morning, in the deserted alley, [Yuan Xiaoou] holds [Qi Jia] and runs like crazy.
0:32:53|0:33:0|[Qi Jia]'s slender arms hung behind her waist, like a doll that could break at any moment.
0:33:0|0:33:20|Passersby on the street turned to look at them, [Yuan Xiaoou] quickly disappeared at the end of the road. In a single hospital room, [Lin Shuer] walked to the bedside screen, [Qi Jia] lying on the bed couldn't help but press her stomach, watching her close her eyes and gasp lightly. [Lin Shuer] sat down, leaning on the edge of the bed and said.
0:33:34|0:33:39|[Ling Shuer] looked at him speechlessly, then turned her head to persuade him.
0:33:45|0:33:50|[Ling Shuer] showed a hint of jealousy between her eyebrows and finally asked the long-hidden mystery in her heart.
0:33:56|0:34:0|[Qi Jia] turned her head to the side, with her back facing [Ling Shuer] who was about to sleep.
0:34:0|0:34:1|[Ling Shuer] walked up to [Qi Jia].
0:34:9|0:34:15|Qi Jia's tears slid into her ears, and she recalled and shared her inner journey.
0:34:23|0:34:27|She still doesn't look at [Lin Shuer], remained silent for a few seconds before continuing.
0:34:32|0:34:37|[Yuan Xiaoou] pushed the door open and walked quietly to [Qi Jia]'s bedside.
0:35:6|0:35:8|[Yuan Xiaoou] nods.
0:35:14|0:35:16|[Qi Jia] turned around and looked at the ceiling.
0:35:19|0:35:25|Lin Shuer and [Yuan Xiaoou] shouted at the same time, but went in opposite directions, the scenery outside the car window receding.
0:35:31|0:35:41|[Qi Jia] saw [Yuan Xiaoou] turn her head and immediately glared back.
0:35:41|0:35:50|The sports car sped along the coastal highway, with fishing boats outside the window quickly disappearing into the greenery. The setting sun half-dipped the sea surface in shimmering gold.
0:35:51|0:35:57|In the outskirts villa, the rapeseed flowers are in full bloom, Lin Shuer drives the car onto the small road in the flower field.
0:35:57|0:36:2|As soon as the car stopped, [Qi Jia] opened the back door and quickly walked towards the flower bushes.
0:36:2|0:36:5|Lin Shuer got off the car and shouted.
0:36:11|0:36:13|[Qi Jia] scolded as she saw [Yuan Xiaoou] getting out of the car.
0:36:27|0:36:36|[Qi Jia] and Lin Shuer ran to the depths of the flower field, looked around, and then squatted down. The flower field was quiet, as if no one had ever been there.
0:36:36|0:36:47|After a while, [Qi Jia] and [Yuan Xiaoou] lightly supported themselves on the half-height rapeseed flowers, leisurely strolling and spinning in the flower field, playfully walking out of the field arm in arm.
0:36:47|0:36:54|The car drove to the entrance of a farmhouse by a small bridge, and in a blink of an eye, the three of them were sitting in the yard having dinner.
0:37:22|0:37:25|[Lin Shuer] immediately grabbed the meat.
