0:0:22|0:0:25|Night falls, and the entire town seems to fall into a deep sleep.
0:0:25|0:0:28|Looking around, only the houses in the center of the town were still lit up.
0:0:29|0:0:44|On the signboard on the roof it reads "Heaven on Earth", on the terrace the singer is showing graceful dance moves, at the entrance, [Old K] is escorting a man to see off the guests.
0:1:9|0:1:13|The fat man is sitting outside, gossiping with a group of dusty women.
0:1:13|0:1:18|A young man with a backpack, dressed in peasant clothing, walks by.
0:1:18|0:1:25|A young man arrived at a snack street, where he looked at Wang Damao making pancakes, Hong Tao selling lotus seeds, and other small vendors, feeling nervous.
0:1:25|0:1:28|At this moment, a loud shout from behind made him turn around to look.
0:1:30|0:1:35|A figure in night clothes leaped down from the second floor of the Heaven on Earth.
0:1:35|0:1:42|After somersaulting in the air for a few rounds, he landed on the roof behind Xiao Shangfan, and then smoothly rolled to the ground.
0:1:42|0:1:48|He then sat down several clear sky sails on the flat ground and hid behind the coffin lying on the ground.
0:1:48|0:1:54|As soon as he turned around, he was shot in the forehead with a gun and fell to the ground.
0:2:20|0:2:26|Welcome, the soldiers raised their guns and fired, writing a word on the coffin just now - death.
0:2:26|0:2:41|The scene zooms in on the words on the coffin, officially starting the movie. It tells the story of the early Republic of China, in the city of [Hong Tao] where people from all walks of life gather. Listen carefully, being able to work in Lord Wang's factory is a result of your ancestors' virtues, it's a great blessing.
0:3:21|0:3:34|As soon as he finished speaking, the door behind him opened, and a woman in a tight cheongsam with a high slit walked out, holding an oil-paper umbrella. Following her was a short and wealthy man.
0:3:34|0:3:40|The crooked-mouthed man who was just boasting quickly slapped himself in the face and hastily changed his tune,
0:3:45|0:3:48|Wang Damao quickly helped Hong Tao stand aside, unable to finish speaking.
0:3:48|0:4:5|The lady held an oiled paper umbrella for the master as she walked slowly towards the courtyard. The master sat expressionless on the boss chair in the center of the courtyard, while the lady disdainfully looked at the first interviewee, then rolled her eyes sharply before walking up to the second interviewee.
0:4:5|0:4:9|Approaching the third candidate with a look of disdain, holding his nose.
0:4:10|0:4:14|With a contemptuous glance, Wang Damao arrived in front of the fourth interviewee.
0:4:14|0:4:20|He looked up and down at the young man in front of him, who also gazed back at him with a determined look.
0:4:20|0:4:23|After two sentences, [Wang Damao] slowly spoke.
0:4:26|0:4:30|After speaking, she turned and walked towards [Old K] with a swaying posture.
0:4:30|0:4:34|Standing still, [Old K] spoke as if sitting in the boss's chair.
0:4:36|0:4:43|Old K, after listening to what his wife said, expressionless, slowly took out an old deck of playing cards from his sleeve.
0:4:43|0:4:54|Wang Damao watched the young man who came for the interview, then took out a deck of cards, using the small table in front of him as a pivot point, skillfully shuffling the cards and switching between different shuffling techniques.
0:4:54|0:5:2|Finally, after shuffling the cards in hand, [Old K] slowly raised the [Hong Tao] A, facing the interviewees in front of him, and then spoke.
0:5:4|0:5:19|After speaking, he scattered the playing cards into the air, and for a moment, the sky was filled with scattered playing cards. The crooked-mouthed man looked foolishly at the falling cards, while [Old K] closed his eyes and enjoyed it all. The interviewees stood dumbfounded in their original spots.
0:5:20|0:5:34|One of the interviewees looked firmly at a "Fang Pian" in front of him, as if he had a plan in mind. Mrs. Liu looked solemnly at the scattered replica cards, unaware that one card had already fallen on her chest.
0:5:34|0:5:41|With everyone's gaze, [Mrs. Liu] also realized something was wrong, and she looked towards her chest. The interviewees, seeing this, all crazily reached out towards her.
0:5:41|0:5:48|[Mrs. Liu] looked at the approaching group of people in horror, and quickly stepped back, only to twist her foot and fall backwards.
0:5:48|0:6:2|The oil lamp in his hand was thrown into the air due to weightlessness. Just as his body was about to touch the ground, a pair of strong hands caught him. [Mrs. Liu] looked in horror at the ground so close by, then turned to look at the man who caught her.
0:6:2|0:6:12|The man is the fourth interviewee he just praised. The fourth interviewee used his mouth to pick up the card at Mrs. Liu's chest, which is the [Hong Tao] A that can be left behind.
0:6:12|0:6:16|Old K suddenly opened his eyes as if sensing something.
0:6:23|0:6:26|[Old K] led [Shun Zi] to a courtyard.
0:6:27|0:6:29|He then spoke to the person guarding the house.
0:6:49|0:6:54|But then he thought of something and turned to give instructions.
0:6:54|0:7:7|After Old K left, Shun Zi quietly opened the door of Er Taimei's room. Once inside, he carefully turned around and closed the door. To his surprise, as he turned his head, a pair of scissors was placed against his neck. He opened his mouth in shock and said.
0:7:7|0:7:15|Hearing the voice, Er Second Madam looked at [Shun Zi] in front of her and couldn't help but shed tears.
0:7:15|0:7:21|The two of them were overjoyed and wept, embracing each other, as Mrs. Er said.
0:7:21|0:7:25|After a brief hug, [Shun Zi] stepped back from Er Tai Tai and asked.
0:7:30|0:7:37|[Chun Tian] choked up when talking about his father, and his once bright and lively eyes became dull and lifeless.
0:7:37|0:7:56|On the day of the incident, [Chun Tian]'s father sat in the audience, playing the pipa with his eyes closed, while [Chun Tian], dressed in elegant dance attire, danced at the intersection of the stairs. His jade-like hands gracefully moved, his watery eyes deep and serene. Just as he was immersed in it, the sound of the pipa suddenly stopped, and he looked up.
0:8:15|0:8:18|He sat in the chair, reaching out his hand to touch [Chun Tian] who was still kneeling on the ground.
0:8:18|0:8:25|Father passed away in the end, [Chun Tian] knelt in front of the grave. At this moment, Lord Cat and his men walked up and spoke.
0:8:41|0:8:45|After listening to everything Chun Tian had told, Shun Ze calmly asked.
0:8:56|0:8:59|[Shun Zi] placed both hands on [Chun Tian]'s shoulders, comforting him.
0:9:4|0:9:7|He embraced [Chun Tian] and calmly considered his countermeasures.
0:9:8|0:9:10|On the other side, [Wang Damao] exclaimed in surprise.
0:9:27|0:9:32|Upon hearing this, [Hong Tao] exclaimed in disbelief.
0:9:32|0:9:43|After expressing her emotions, [Hong Tao] stood up and walked towards the door. [Wang Damao] quickly followed suit, shouting after her as he walked.
0:9:43|0:9:49|Looking at the back of [Chun Tian], [Wang Damao] said.
0:9:55|0:9:57|[Shun Zi] hurriedly grabbed [Wang Damao] and said.
0:10:7|0:10:11|[Shun Zi] spoke with [Wang Damao] leading the way, and then said.
0:10:18|0:10:20|[Wang Damao] looked at [Shun Zi] in surprise.
0:10:21|0:10:23|He then said thoughtfully.
0:10:24|0:10:33|On the other side, [Hong Tao] is in the room wearing a gorgeous cheongsam, holding a glass of red wine, and with a mysterious look, she asks, "What do you think?"
