0:3:40|0:3:44|On the other side, the female lead [Sha Lu] is wearing a pair of exquisite high heels.
0:3:57|0:4:2|The lawyer placed the agreement in front of [Sha Lu], who lowered his head to look at it.
0:4:21|0:4:30|The lawyer handed the pen on the table to [Sha Lu], who took it and signed his name, then the lawyer quickly put away the agreement.
0:4:38|0:4:40|The lawyer packed up the agreement and left with a smile.
0:4:40|0:4:45|On the other side, [Xiang Shaolong] was driving on the bustling street.
0:4:45|0:4:50|A deliveryman suddenly appeared in front, pulling a large basket of goods.
0:5:7|0:5:10|Daughter [Ah Hei] is lying on her back with a blank expression, wearing dirty overalls.
0:5:10|0:5:13|The two then arrived at the entrance of a restaurant.
0:5:15|0:5:19|[Xiang Shaolong] pushed aside the door curtain and walked in, followed by [Sha Lu].
0:5:19|0:5:23|He saw many guests burying their heads in their meals and was stunned for a moment.
0:6:38|0:6:43|[Xiang Shaolong] reached into his pocket, while [Sha Lu] stared straight at him.
0:6:43|0:6:49|He took out a tissue to wipe his mouth and continued eating heartily.
0:6:50|0:6:55|He took out a toothpick from the other pocket and shaved his teeth with it.
0:6:55|0:6:58|[Ahei] rolled his eyes.
0:7:8|0:7:10|On the other side, [Sha Lu] arrived at the hospital.
0:7:10|0:7:11|The scene shifts, a door opens.
0:7:38|0:7:44|[Xiang Shaolong] brings his fiancée [Jiang Yi] to their new home, and he unties the scarf covering her eyes and opens the curtains.
0:7:44|0:7:46|[Xiang Shaolong] stood by the window.
0:8:0|0:8:1|He raised the key and knelt down on one knee.
0:8:1|0:8:3|Aunt Jiang, with tears in her eyes, covered her mouth and walked towards another room.
0:9:27|0:9:29|Aunt Jiang looked at [Xiang Shaolong].
0:9:51|0:9:53|[Xiang Shaolong] embraces crying Aunt Jiang.
0:10:2|0:10:7|At night, [Sha Lu] passed by a real estate agency and picked up a flyer at the entrance.
0:10:7|0:10:11|[Xiang Shaolong] leaned against the wall on the street, smoking alone.
0:10:15|0:10:23|[Xiang Shaolong] carried a lunch box in his hand as he walked towards the real estate agency where he worked, his attention caught by the sports car parked outside the company's entrance.
0:10:23|0:10:28|On the other side, the young colleague [Very Wong] was playing with the intern's nameplate.
0:10:28|0:10:33|[Xiang Shaolong] carefully examined the sports car before walking into the company's storefront.
0:10:33|0:10:35|[Xiang Shaolong] stared at the intern as soon as he walked in.
0:10:50|0:10:52|[Xiang Shaolong] hesitated to speak.
0:11:12|0:11:15|[Xiang Shaolong] sighed.
0:11:23|0:11:29|[Very Wong] speeds away in a sports car.
0:11:29|0:11:33|[Xiang Shaolong] is alone in the company, opening a lunch box.
0:11:51|0:11:55|After hanging up the phone, he immediately called the client.
0:12:11|0:12:14|This is [Sha Lu] arriving at the agency.
0:12:38|0:12:51|Miss, [Xiang Shaolong] hung up the phone and arrived at Wushuang Terrace with [Sha Lu], [Ah Hei], and [Very Wong].
0:13:47|0:13:47|After the promotion, [Xiang Shaolong]
0:14:19|0:14:22|Four people arrived at the rooftop, [Ah Hei] looked at the distant night view and smiled.
0:14:59|0:15:4|Sha Lu did not respond, he leaned towards [Xiang Shaolong] and said to him.
0:15:29|0:15:39|Sha Lu waved his hand and said, "I have seen many houses, but none of them can compare to this view." The camera then cuts to the four of them arriving on the streets of Hong Kong.
0:15:39|0:15:43|Everyone's face is filled with a happy smile.
