0:4:8|0:4:11|The story begins with the Fox Clan's residence in Qing Qiu.
0:4:11|0:4:18|In the realm resembling the edge of the sky, Monkey Immortal is currently fighting with Squirrel Immortal over a piece of food.
0:4:26|0:4:39|Seeing [Bai Qian] running towards the distance, the monkey fairy scratched his ear and cheek, reached out his arm to grab a thin vine above his head, leaped onto a tree branch and transformed back into his true form as a monkey. After waiting for the injured squirrel fairy to catch up, he chased after [Bai Qian] together.
0:4:39|0:4:44|Lu Xian is squatting on the ground, carefully examining the mushrooms he just picked.
0:4:44|0:4:50|He couldn't help but chuckle when he saw [Sun Wukong] in a hurry, then he also transformed into his true form.
0:4:50|0:4:54|He has a graceful figure, handsome like a dumpling, and is covered with round spots.
0:4:54|0:5:3|Running towards the direction of Monkey Immortal under the lead of Squirrel Immortal, [Bai Qian] with her black hair flowing, her long skirt spreading out behind her as she moves.
0:5:3|0:5:8|Running along the way, he encountered a fallen tree stump, leaped joyfully and transformed into a nine-tailed fox.
0:5:9|0:5:17|The fluffy tail was raised high, the body moved lightly, and the soft fur of the tattoo fluttered with the wind, looking disdainful and charming.
0:5:17|0:5:22|The monkey spirit roamed through the forest with the help of vines, quickly catching up to [Bai Qian].
0:5:22|0:5:28|The wolf fairy also refused to show weakness, running wild in the woods, while not far away, Miggu was also running in the woods.
0:5:28|0:5:32|Mi Gu is a tree spirit that absorbs the essence of the sun and moon to cultivate into human form.
0:5:38|0:5:43|[Bai Qian] turned a deaf ear and, after a quick sprint, she returned to her residence.
0:6:16|0:6:22|Mi Gu handed Bai Qian the invitation sent by the East Sea Water King, and Bai Qian looked at it for a while.
0:7:29|0:7:34|The rice fields have been harvested, the frost has arrived, and [Bai Qian] has just decided to visit the East Sea Dragon Palace.
0:7:34|0:7:45|A giant jellyfish swam up to Bai Qian with the waves, fully extending its umbrella-like body. Once Bai Qian stood firmly on it, the jellyfish retracted its umbrella.
0:7:46|0:7:57|Wrapped in [Bai Qian], the whole figure resembled a balloon, with tendrils trailing behind swaying as she floated towards the Dragon Palace in the East Sea.
0:7:57|0:8:14|In the Eastern Sea, one of the Four Seas, the scenery is wonderfully beautiful. Mountains, lakes, and sea reefs are colorful, and marvelous little fish roam in the gorgeous coral bushes. At a glance, there are endless varieties of coral bushes. Suddenly, a magnificent Dragon Palace appears in front of the eyes.
0:8:21|0:8:25|She furrowed her brows, covered her eyes with her hand, and quickly put on the ribbon prepared by Mo Yuan.
0:9:0|0:9:3|Two fairies were tripped by [Bai Qian] using a little trick.
0:9:11|0:9:16|[Bai Qian] had already left the main hall and came to the Coral Garden alone.
0:9:21|0:9:29|Speak up, [Ye Hua] finished the last sip of wine in the jug and angrily threw it away.
0:9:29|0:9:31|Bai Qian turned her head and saw a little boy.
0:9:54|0:9:58|Bai Qian couldn't help but laugh when she heard him say that.
0:9:58|0:10:4|[Bai Qian] got up and followed the little sticky rice ball to a secluded coral thicket.
0:10:15|0:10:19|[Bai Qian] searched everywhere in the Coral Maze, but still couldn't find any trace of her.
0:10:19|0:10:24|She didn't know that a woman disguised as a soldier, wearing the clothes of a shrimp and crab, had kidnapped the dumplings.
0:10:24|0:10:34|Halfway, the fan that was taken by the bun fell down. [Bai Qian] was furious and struck the person on the shoulder and neck, causing the person to drop the child and almost fall to the ground.
0:10:47|0:10:52|Unexpectedly, at this moment, Tuanzi picked up the fan from the ground and gently waved it in the direction of the two.
0:10:52|0:11:0|Suddenly, a strong wind rose up, and [Xuan Nv] took the opportunity to escape. When [Bai Qian] realized this, she took back the fan from her.
0:11:2|0:11:8|Tuanzi lowered her head, her face full of grievances.
0:11:10|0:11:16|[Bai Qian] mistakenly thought the newcomer was the demon clan [Xuan Nv] in disguise, so she spoke coldly to her.
0:11:23|0:11:42|After speaking, he directly swung his sword towards the person, in the fight, the person tried to remove the ribbon sewn in front of his eyes, after several unsuccessful attempts, he used his long sword to pick open the ribbon, neatly put the sword back into the scabbard, he looked at [Bai Qian] with her face completely uncovered, his eyes immediately filled with shock, the ribbon that [Bai Qian] lost.
0:11:42|0:11:43|Covering his eyes in frustration.
0:11:46|0:11:51|Beside her, Ali couldn't believe her eyes and rushed over to hug [Bai Qian].
0:13:18|0:13:21|Ye Hua flashed a smug smile and took a step towards [Bai Qian].
0:14:6|0:14:13|Bai Qian was so angry with this father and son that she turned around and tried to leave the scene.
0:14:13|0:14:28|A woman hurriedly walked towards [Ye Hua], but stopped in her tracks when she saw [Bai Qian].
0:14:28|0:14:30|Hearing this, the woman quickly avoided [Bai Qian]'s gaze.
0:14:48|0:15:3|After speaking, [Bai Qian] brushed her sleeves and left the Coral Palace. When the banquet was over, she was ready to return to Qingqiu from the bottom of the sea. However, thinking that she had nothing else to do, she detoured halfway to the Ten-Mile Peach Blossom east of the East Sea, intending to ask Zhe Yan, the High God, for two jars of peach blossom wine.
0:15:4|0:15:13|At this time, it is the season when peach blossoms are in full bloom. The Ten-Mile Peach Blossom Forest is filled with peach blossoms from beginning to end, covering the mountains and plains, vibrant in color like a raging fire.
0:15:13|0:15:32|After Zhe Yan whistled, tens of thousands of hummingbirds fluttered among the peach trees, their wings trembling, causing the trees to rustle. The peach trees shed their petals, with thousands of petals falling gently into the stream in the forest. Some petals fell from between the rocks into Zhe Yan's wine-making pool, and thus the peach blossom wine was born.
0:15:57|0:16:0|Bai Qian explained the situation to Zhe Yan in detail.
0:16:23|0:16:38|After Bai Qian swallowed the peach blossom in her mouth, she voiced the doubts in her heart.
0:16:38|0:16:44|Bai Qian approached and questioned, causing Zhe Yan to pause his action of tasting the wine.
0:16:44|0:16:48|Upon hearing this, [Bai Qian] stopped asking further questions and later returned to Qing Qiu.
0:17:35|0:17:44|If you are deliberately looking for trouble, then don't bother talking nonsense. [Ye Hua] heard the goods and stood up, with a smile on his face, unable to hide his joy.
0:18:12|0:18:15|[Ye Hua] turned to [Bai Qian] and said.
0:18:40|0:18:44|[Bai Qian] angrily pulled her sleeve and then left the room in a huff.
0:18:44|0:18:48|The next morning, she was sleeping in bed as usual.
0:18:48|0:18:50|[Ye Hua] came to her with Ali.
0:19:5|0:19:10|[Bai Qian] covered herself with a blanket, let out a long sigh, and then left with the two of them.
0:20:23|0:20:25|Mo Yuan was unfortunately engulfed in poisonous flames.
0:20:25|0:20:28|[Ye Hua] chuckled at his comical antics.
0:20:28|0:20:32|Later, he pulled down the vine controlling the water, letting the water flow into the basin filled with vegetables.
0:20:32|0:20:37|After washing them clean, she quickly cut them up with her excellent knife skills.
0:20:37|0:20:39|After seeing it, Bai Qian was full of admiration.
0:20:39|0:20:42|He patted the fish tail with the back of the knife, and the scales all over the body fell off one after another.
0:20:43|0:21:2|Using immortal techniques to burn firewood and boil water, then soaking the noodles and water in the air at the same time, the dough instantly formed into noodles as he swung them up and down between his hands. On the side, Bai Qian watched intently, while Ye Hua flicked the noodles towards Bai Qian, then skillfully retracted them, before coming to stand in front of Bai Qian.
0:21:2|0:21:4|Strands of noodles swirled around [Bai Qian] like ribbons.
0:21:5|0:21:7|Suddenly, the flesh seemed to turn into a long whip.
0:21:11|0:21:16|[Ye Hua] skillfully fries the fish before stewing it, adding carrots and other side dishes for decoration.
0:21:16|0:21:20|Before long, a table full of sumptuous dishes appeared.
0:21:20|0:21:24|[Bai Qian] lifted a bowl of fish soup, scooped half a spoonful with a spoon and tasted it.
0:21:39|0:21:48|After speaking, he paused for a moment, his hand holding the fish soup suspended in midair.
0:21:48|0:21:51|After dinner, Mi Gu accompanied Ali to play games in the woods.
0:22:21|0:22:32|Ye Hua repeatedly made requests, Bai Qian immediately put away the just hung up xiangrong, and picked up the wine jug.
0:22:32|0:22:37|Bai Qian angrily threw the wine jug lid at him, but he just smiled faintly.
0:22:40|0:22:45|[Bai Qian] looked displeased, but [Ye Hua] found her expression intriguing.
0:22:45|0:22:49|[Ye Hua] As night falls, a bright moon hangs high above the horizon.
0:22:49|0:22:52|[Bai Qian] is getting ready to go to sleep.
0:23:18|0:23:28|One person lay in front and the other lay behind on the bed. [Bai Qian] tried to sleep as close to the edge of the bed as possible, pulling a corner of the blanket over to cover half of her body.
0:23:37|0:23:57|Sensing [Ye Hua] approaching her, [Bai Qian] felt uneasy and shifted away towards the edge of the bed. Seeing this, [Ye Hua] simply got up and leaned directly beside [Bai Qian].
0:23:57|0:24:4|That night finally passed, and early the next morning, [Bai Qian] was looking at what [Ye Hua] had done for her the day before when a voice sounded behind her.
0:24:10|0:24:16|[Bai Qian] took down the wine pot from the high shelf and poured a cup of wine for Ali, when Migui suddenly appeared.
0:24:34|0:24:37|After Ali finished drinking, she passed the wine glass over again.
0:24:37|0:24:42|Ali's eyes gradually became unfocused, and after swaying a few times, she fell to the ground with a thud.
0:25:2|0:25:5|Ye Hua looked at Ali lying on the bed and asked.
0:25:5|0:25:7|[Bai Qian] smiled and said to him.
0:25:36|0:25:40|Ye Hua released Ali's hand, suppressing his anger, and stood up to look at [Bai Qian].
0:25:51|0:25:58|The two of them fell silent for a while, but Ali suddenly got up with a big smile, and after laughing, she lay back down on the bed.
0:25:58|0:26:7|Seeing A Li was just drunk, [Ye Hua] quickly grabbed her hand again, looking at A Li who was sleeping soundly, her anxious heart finally relaxed.
0:26:7|0:26:14|[Bai Qian] relaxed as her tense heart finally calmed down. She shook her sleeve and walked out of the room quietly.
0:26:14|0:26:18|They then arrived at the Peach Blossom Forest.
0:26:52|0:27:8|Prince Tian Sun, my mother has long forgotten about you. Following Ali's footsteps, [Su Jin] arrived at the Salt Slide Cave in the Maze Valley, where she was stunned to see a man's body attached to an ice coffin.
0:28:2|0:28:8|Upon hearing Bai Qian's words, Su Jin's body froze in place, and the two stood facing each other in a standoff.
0:28:13|0:28:16|Ali quickly hid behind Bai Qian as soon as she saw Su Jin.
0:28:16|0:28:18|Ali quickly hid behind Bai Qian's pavilion as soon as she saw Su Jin.
0:28:18|0:28:23|Ali quickly hid behind Bai Qian as soon as she saw Su Jin.
0:28:23|0:28:26|Ali quickly hid behind Bai Qian as soon as she saw Su Jin.
0:28:26|0:28:29|Ali quickly hid behind [Bai Qian] as soon as she saw [Su Jin].
0:28:29|0:28:34|Ali quickly hid behind Bai Qian as soon as she saw Su Jin.
0:28:41|0:28:48|[Susu] remained silent, leaving Qing Qiu behind, [Xuan Nv] was crying endlessly facing the deep abyss.
0:29:0|0:29:4|[Xuan Nv] heard a voice and quickly turned around to see [Susu] walking towards her.
0:29:41|0:29:45|Siyin coldly finished speaking about everything known in the East Sea.
0:29:46|0:29:50|Upon hearing Xuan Nv's question, Su Jin smiled and looked at her.
0:30:1|0:30:5|[Ye Hua] brought [Bai Qian] to the Junqi Mountain in the mortal realm.
0:30:5|0:30:9|This mountain is called Junqi, the closest place to the mortal realm from the immortal realm.
0:30:14|0:30:20|[Bai Qian] looked around at the surroundings, with thatched cottages on the mountain surrounded by trees on three sides.
0:30:20|0:30:25|[Ye Hua] walked into the room, continuously striking two pieces of flint together.
0:30:29|0:30:38|After finishing speaking, he prepared to start a fire with his immortal technique, but [Siyin] quickly stopped him.
0:30:46|0:30:49|After Ye Hua finished speaking, he coaxed Siyin to sleep.
0:30:49|0:30:53|[Bai Qian] had nothing to do, so she wandered around the room.
0:30:53|0:30:56|She looked at the furnishings in the room and walked to a table.
0:30:56|0:31:3|There was an old painting on the table, covered with a thick layer of dust. [Bai Qian] leaned down to examine it carefully.
0:31:3|0:31:7|The woman in the painting has delicate eyebrows and a charming appearance.
0:31:7|0:31:13|She breathed out a sigh, blowing away the dust on the painting, and the woman's face in the painting became clear.
0:31:13|0:31:14|Bai Qian couldn't help but feel sorrowful in her heart.
0:31:18|0:31:25|Bai Qian's gaze never left the painting.
0:31:25|0:31:30|[Ye Hua] watches as [Bai Qian] looks at the painting attentively.
0:31:30|0:31:34|[Bai Qian] looked at the woman in the painting and smiled.
0:31:34|0:31:42|[Ye Hua] looked at her smiling, and in a daze, he seemed to see the figure of [Susu] on her, so he started talking to her about the past.
0:32:0|0:32:10|Ye Hua, who fell into the mortal realm, collapsed on Junji Mountain. He was seen by Susu passing by. Susu looked at his picturesque brows and eyes, as if he were asleep, and called out softly.
0:32:51|0:32:59|[Ye Hua] was taken aback when he heard the news, then stood up and stood directly in front of [Susu], before speaking.
0:33:0|0:33:6|[Susu] didn't expect that the absurd words she casually said were taken seriously by [Ye Hua].
0:33:23|0:33:28|One day, [Susu] was preparing to cook, while [Ye Hua] looked at a piece of wood.
0:33:42|0:33:52|If I could stay by his side all the time, I would be willing to fall into the mortal world. [Susu] lit the fire in no time.
0:34:19|0:34:21|[Ye Hua] walks and talks.
0:34:21|0:34:24|Bai Qian is telling about her past with Susu.
0:34:24|0:34:33|Suddenly, she stopped under a peach tree in the courtyard, where [Susu] was holding a ball of yarn, slowly knitting a piece of clothing.
0:34:43|0:34:52|At that time, during the peak season of peach blossoms, [Ye Hua] approached to admire the peach blossoms.
0:34:52|0:35:3|He reached out a hand to [Susu], who looked at him lovingly, then ran towards him and threw herself into his arms, with a smile on her face that only grew wider.
0:35:5|0:35:8|After embracing for a long time, the two slowly separated.
0:35:8|0:35:13|[Susu] couldn't help but kiss [Ye Hua] as she looked at him.
0:35:13|0:35:18|Bai Qian and Ye Hua are holding hands under the peach tree, gazing affectionately at each other.
0:35:42|0:35:47|Facing the questioning from [Bai Qian], [Ye Hua] lowered his eyes in contemplation, then glanced at the peach tree after a moment.
0:35:50|0:35:57|After Ye Hua finished speaking, he turned and entered the thatched cottage without saying more, leaving Bai Qian alone under the peach tree, lost in thought.
0:35:57|0:36:5|Nightfall gradually descends, the sky darkens, and countless sky lanterns scatter in the air. Ah Li lights up the sky lantern in [Bai Qian]'s hand.
0:36:52|0:36:56|After hearing Bai Qian's wish, Ye Hua recalled Susu from three hundred years ago.
0:37:5|0:37:24|In the past, [Susu], just like today's [Bai Qian], held a sky lantern in her hands, closed her eyes, crossed her index fingers in front of her chest, then released the lantern from her hands, watching it slip away from her fingertips, slowly flying into the sky, merging into a sea of lanterns. The lanterns scattered all over the sky, resembling thousands of twinkling stars.
0:37:25|0:37:44|The pitch-black night sky was adorned with brilliance. The next morning, Ye Hua sat in front of the dressing table facing the bronze mirror, with [Bai Qian] holding the tomb book and combing his long hair for him. As he looked at the characters in the mirror, it seemed as if he had returned to three hundred years ago, when [Susu] was also standing behind him like [Bai Qian].
0:37:44|0:37:53|Using the same technique and posture to help him stand up, three hundred years later today, after [Bai Qian] arrived at Junji Mountain, all of this appeared in his mind one by one.
0:38:3|0:38:11|[Bai Qian] combs through Ye Hua's long hair, gathers it up on top of his head, then puts on a jade crown and uses hairpins to secure the hair.
0:38:17|0:38:22|[Bai Qian] half-bowed her body, watching Ye Hua with his well-styled hair in the bronze mirror, lost in thought.
0:38:22|0:38:41|Upon returning to Qingqiu, [Bai Qian] went straight to Yanhua Cave. She placed one hand on the ice coffin, and immediately, the fairy vines around the coffin climbed up her arm to her chest. In an instant, they ruthlessly pierced into her heart, causing her body to tremble uncontrollably as the vines greedily absorbed her heart's blood.
0:38:42|0:38:47|Transmitting slowly through his own meridians to the sleeping [Mo Yuan] in the inn.
0:38:47|0:39:0|[Bai Qian] looked at [Mo Yuan], recalling the battle of the Ghost Tribe seventy thousand years ago. [Mo Yuan] wielded his long sword and descended from high above, using all his cultivation to seal the Ghost Lord Qin Cang inside the ice of the Eastern Yellow River.
0:39:51|0:39:57|[Bai Qian] looked at [Mo Yuan], took a sip of wine and tears welled up in her eyes.
0:40:5|0:40:16|Above the Heavenly Realm, the clouds are swirling, giving a surreal feeling. Gradually, the misty fog dissipates, revealing a distant, looming palace.
0:40:16|0:40:31|[Ye Hua] sat at the desk in the hall, absentmindedly watching the lamp on the table, even when [Su Jin] walked up to her table with a teapot, poured tea into the cup, she remained oblivious, just staring at the lamp for a long time. [Su Jin] approached and softly called out,
0:40:36|0:40:36|Turned around and left.
0:40:36|0:40:39|[Bai Qian] in order to find out
0:41:24|0:41:34|Mistaken identity, [Bai Qian] pondered Zhe Yan's words and returned to the Salt Sliding Cave. She saw Mi Gu and asked him in confusion.
0:41:45|0:41:51|Mo Yuan accidentally fell down the stairs, but Bai Qian suddenly fell ill and transformed into Xuan Nv.
0:41:51|0:41:54|At this moment, the figure of [Siyin] also appeared at the entrance of Yanhua Cave.
0:41:54|0:42:2|He looked at Mo Yuan, who was being taken care of by Xuan Nv after fainting on the ground, snorted coldly, and then led Xuan Nv into the cave.
0:42:2|0:42:8|[Xuan Nv] looked at [Mo Yuan] lying in the hotel, recalling a scene from seventy thousand years ago in the East Sea Palace.
