0:1:33|0:1:38|Night falls, the bustling streets of Tokyo are illuminated by thousands of lights.
0:1:38|0:1:44|The tram rattled and roared as it passed over the tracks suspended above the crossroads.
0:1:44|0:1:50|At this moment, a woman in a tight leather jacket stops her motorcycle in front of a hotel.
0:1:50|0:1:55|The elevator bell rang and the door opened. At some point, she found herself holding a carefully wrapped rectangular gift box.
0:1:56|0:2:10|Next, [Swan] sneaked into a beautifully decorated large penthouse, placed the gift box in her hand on a crystal glass coffee table, and carefully untied the packaging rope on the gift box.
0:2:10|0:2:17|A butter cake catches the eye, but upon closer inspection, the center of the cake seems to conceal a liquid capsule.
0:2:17|0:2:22|Once everything was settled, [Leather Jacket Woman] hung up the phone and hurried back to the hotel downstairs.
0:2:22|0:2:27|As soon as the door of the building was pushed open, a huge fire could be seen halfway up the towering hotel.
0:2:28|0:2:32|Before long, the surroundings were shrouded in billowing smoke.
0:2:32|0:2:41|The explosion's flames strangely added a touch of beauty to the dazzling night, as [SWAN] walked away without looking back.
0:2:41|0:2:49|At the same time in Hong Kong, at the UFS International press conference, the host is passionately introducing the key employees, player [David Marshall].
0:2:51|0:2:57|The moment the voiceover began, the spotlight shone directly on a young man with a stubble and small braids tied up.
0:3:2|0:3:10|And not far from him, an Asian man in a sharp suit with earphones plugged in was patrolling back and forth inside the venue. 
0:3:10|0:3:12|At this moment, the host's voice was heard again.
0:3:12|0:3:21|Today's press conference, which covers all three weight classes of UFS, is a party exclusively for the player [David Marshall].
0:3:21|0:3:27|At the same time, the audience present are all witnesses of history, and no one in the future can stop them.
0:3:27|0:3:31|The host then asked the journalists in the audience if they had any questions.
0:3:41|0:3:48|[David Marshall] immediately rushed down the stage, and the Asian Men's Alliance raised the walkie-talkie.
0:3:48|0:3:56|At this moment, at the back of the stage, a handsome guy dressed similarly to the Asian man is sound asleep, with the Asian man's voice occasionally coming through the headphones.
0:4:0|0:4:10|The handsome [Li Shan] was finally awakened by the noise. As soon as he arrived in the hall, he saw that [David Marshall] had already grabbed the female journalist's collar, with a slap about to land on her.
0:4:10|0:4:18|Asha rushed to the two of them, pushed away Li Shan's arm with an elbow, and then threw the other person to the ground.
0:4:28|0:4:38|[Li Shan] wanted to show off in front of the female reporter, playing the hero to save the beauty. Little did he know, he got the situation wrong and ended up being knocked on the back of his head by an Asian man who jumped up in anger.
0:4:38|0:4:44|Continuing, the two of them awkwardly smiled at the reporters and occasionally glanced back at the unlucky [David Marshall].
0:4:44|0:4:48|The farce ended, the two of them drove to the street.
0:5:0|0:5:23|[Li Shan] lay on the passenger seat, facing the Asian man. Due to his excitement, the Asian man pushed hard, causing the seat beneath him to slide straight back and the steering wheel to slip from his hands. [Li Shan] quickly controlled the direction with his foot.
0:5:39|0:5:51|Upon hearing Asen mention changing the location again, the Asian man Li Shan was initially puzzled, but after hearing a few more words from the other party, he suddenly smiled, tapped his head and said "wait a moment", then looked towards [Li Shan].
0:6:8|0:6:15|An Asian man looked excitedly towards the wild mountains, then tightly gripped the steering wheel with both hands and stepped on the gas pedal, ready to set off.
0:6:15|0:6:22|As soon as Ke Gang stepped on the gas, the car, like an old man with asthma, swayed back and forth as it sucked in the fire.
0:6:22|0:6:32|At this moment, upon closer inspection, Li Shan had already concealed the color of the vehicle itself, and with a light touch, the rearview mirror could easily fall off. The scene then shifted to the two brothers arriving at Lianchuan.
0:6:42|0:6:46|Outside the airport, an Asian man hands a business card to [Li Shan].
0:6:59|0:7:2|An Asian man shouted that he loves Korea, then he put his arm around [Li Shan] and quickly walked towards the taxi stand outside the airport.
0:7:18|0:7:37|The two brothers quickly arrived at the lobby of a hotel, where they heard an Asian man talking on the phone, saying he had already arrived. Then, a middle-aged foreigner with gray hair stood up and gestured towards them. The Asian man was puzzled why the person who commissioned them didn't come together. Suddenly, a text message came through on the phone of the foreigner, [Ayo].
0:7:40|0:7:43|The three of them kept ringing the doorbell outside, but no one answered.
0:7:43|0:7:48|[Li Shan] couldn't resist knocking on the door when he heard [Ayo] say this was the place.
0:7:48|0:7:52|The Asian man was about to kick the door when he glanced at the waitress and said.
0:8:4|0:8:10|The waiter saw Li Shan, an Asian man, clutching his stomach and screaming in pain, and he took out a room key card to open the door.
0:8:10|0:8:16|Seeing the door being opened, he shouted in Korean to hurry up, and rushed straight into the room.
0:8:16|0:8:27|Upon entering the room, [Li Shan] noticed an unopened birthday cake placed on the center of the dining table. Seeing that the recipient was [Ayo], he turned and asked if the cake was meant for him.
0:8:27|0:8:37|[Ayo] denied it, then looked down to see it was a call from the client, he quickly answered. But the next second, he felt something was wrong, because the other party actually asked him where he was right now.
0:8:59|0:9:7|Thinking of hanging up the phone, but the other party actually guessed that there was cake and red wine in room 2003, scaring [Ayo] into immediately looking at these two things.
0:9:8|0:9:13|Little did anyone know, [Li Shan] had already cut a piece of cake and was enjoying it heartily.
0:9:23|0:9:24|Gradually revealing its brilliance.
0:9:27|0:9:38|In the underground parking lot, [Li Shan] put his arm around the shoulder of the Asian man, asking in confusion. With no answer in sight, he reluctantly opened the passenger door and slowly got in.
0:9:38|0:9:45|In the parking lot, it suddenly went pitch black. The Asian man sitting in the back seat just turned on the car's dome light when he was abruptly extinguished by [Li Shan].
0:9:57|0:10:2|As soon as the words fell, a beam of strong light shone over.
0:10:6|0:10:13|[Li Shan] looked through the gap and saw a long-haired man casually tossing a palm-sized disc in front of him.
0:10:14|0:10:17|The next second, he was firmly attached to the front windshield.
0:10:17|0:10:29|In less than two seconds, a laser emitted from the center of the disc cut a hole in the glass, followed by thick smoke filling the cramped carriage.
0:10:29|0:10:32|Watching a group of black-clad individuals wearing gas masks take [Ayo] away.
0:10:38|0:10:46|The Asian man, also known as Ayo, leaped towards the ambulance opened by the men in black without waiting for Li Shan to stop him.
0:10:46|0:10:52|Unfortunately, the aim was off, and it went straight through the space between the two doors at the back of the ambulance.
0:10:52|0:10:58|I wanted to get up and chase again, but after falling heavily to the ground, I couldn't use my waist strength.
0:10:58|0:11:6|Li Shan quickly climbed up from beside the car door and ran towards Ayo. Suddenly, the entire hotel shook, and debris kept falling down along the wall.
0:11:29|0:11:47|Seeing the ambulance about to disappear around the corner, [Li Shan] hurriedly urged [Ayo]. Unfortunately, the traffic light turned on just then. The man in black decisively pressed the button, activating the ambulance's emergency siren. Instantly, it smoothly maneuvered through the busy road, with the two brothers quickly following suit.
0:11:47|0:11:50|But in an instant, it caused chaos in the surrounding traffic.
0:12:2|0:12:8|But soon, the two of them quickly picked themselves up and stared fixedly at the old warehouse car not far away, accelerating to chase after it.
0:12:8|0:12:13|The intersection quickly became congested, but the instigator's fate was unpredictable and gone.
0:12:13|0:12:25|Suddenly, a two-meter tall off-road vehicle rushed straight from the rear side, crashing into the sedan at the intersection, then stepping on the gas pedal to lift one side of the car and pressing down on the hood of the other sedan as it chased after the old warehouse car.
0:12:28|0:12:37|The woman in the driver's seat glanced at the passenger seat, looking at the two brothers' well-defined figures, and a faint smile played on her fiery lips.
0:12:44|0:12:49|The glamorous woman then stepped on the gas pedal and rammed straight into the back of Li Shan's car.
0:12:49|0:12:53|The steering wheel in Li Shan's hand slipped and the car rushed towards the inner lane being maintained.
0:13:35|0:13:43|The seductive woman gave a devilish smile, and the latter immediately picked up a tablet, and the off-road vehicle instantly connected to the electronic sensing system.
0:13:43|0:13:49|The next moment, the glamorous woman stepped over to the driver's side window, her right hand tightly gripping the luggage rack on the roof.
0:13:49|0:13:58|After Daitian used the computer to accelerate the speed of the car, he swung a silver ball with his left hand towards the ambulance roof. The ball, after falling, firmly attached itself to the roof.
0:13:59|0:14:2|And then, a laser beam split the ball in two.
0:14:2|0:14:7|At the bottom of the sphere, a long circular section was cut off by a laser.
0:14:7|0:14:15|The seductive woman took the opportunity to leap up and descend from the sky, blocking the inside of the ambulance, picking up a stun gun and aiming it at the black-clothed men inside.
0:14:15|0:14:21|At the same moment, the provoked Li Shan was driving the soon-to-be-scrapped car closely behind.
0:14:21|0:14:28|In the passenger seat, [Ayo] who pretended to be unconscious, glanced at [Li Shan] with narrowed eyes, then quietly fastened the seatbelt.
0:14:29|0:14:39|In the ambulance, [Swan] quickly took care of the black-clothed man in the back seat, then moved forward, with her left leg straight against the driver's neck, and her right elbow fiercely gripping the throat of the co-driver.
0:14:39|0:14:47|At this moment, [Li Shan] stepped on the gas pedal, crashing into the rear of the ambulance. [Ling Xin] was caught off guard and couldn't dodge in time, slamming back into the rear seat.
0:14:47|0:14:52|[Ling Xin] quickly got up and rushed towards the driver, tightly gripping his neck from behind.
0:14:53|0:15:3|[Li Shan] then rammed into the ambulance again, hitting the rear of the vehicle. The already precarious front hood was instantly flipped over, and the vehicle behind couldn't dodge in time, resulting in a head-on collision.
0:15:9|0:15:16|The character [Ayo], who had been pretending to be unconscious, suddenly widened his eyes, then raised both hands high and firmly gripped the handle above the car window.
0:15:16|0:15:28|At this moment, [Li Shan] stepped on the gas pedal, quickly moved forward parallel to the ambulance, and then violently hit the side of the ambulance to the left. [Ling Xin], who had already controlled the steering wheel, saw a bend ahead.
0:15:28|0:15:33|Suddenly stepping on the brake, the rubber tires left two tracks on the ground, then accelerated to avoid the collision with [Li Shan].
0:15:55|0:16:5|Brother Yo was about to get off the car when he looked up and saw [Ling Xin] striding towards him aggressively.
0:16:5|0:16:10|Ayo just opened the car door and stepped out, [Ling Xin] raised her hand and fired a shot at him.
0:16:16|0:16:20|Seeing [Ling Xin] charging towards him, [Li Shan] quickly slipped out from the passenger seat.
0:16:24|0:16:33|As soon as the words fell, [Ling Xin] pulled out the stun gun again and rushed towards [Li Shan], but [Li Shan] stepped on the ground, supported himself on the car roof with both hands, and flipped in front of [Ling Xin].
0:16:33|0:16:44|In the blink of an eye, [Li Shan] pulled out a collapsible baton from his waist and struck the glamorous woman directly in the face. After the glamorous woman dodged to the side, he then pressed the baton against her back.
0:16:45|0:17:1|With a flick of the hand, the electric machine gun was disarmed, the seductive woman who suffered a loss, a scorpion tail swung straight at [Li Shan]'s back of the head, deftly avoiding the suppression, then both feet landed on the car door, empty-handed and fell, the right foot struck [Li Shan]'s head, but just as he picked up the machine gun, it was snatched away by [Li Shan] who leaned over.
0:17:1|0:17:5|At this moment, the ambulance suddenly revved its engine and sped away from the scene.
0:17:5|0:17:9|[Li Shan] hesitated for a moment, then dropped the gun and headed towards the ambulance.
0:17:9|0:17:19|Water had just taken a few steps when a violent explosion occurred on the ambulance, and the shock wave instantly knocked [Li Shan] over, hitting the car on the side of the road before falling heavily to the ground.
0:17:19|0:17:28|Late at night, by the quiet dock, [Li Shan] and Ayo had their hands tied behind their backs, awakened by a man from the Central Union splashing water on them. Not far away were the glamorous woman and Swan.
0:17:52|0:17:58|The news reported that a terrorist attack has just occurred at Incheon Hotel A, with surveillance footage capturing two suspects.
0:18:3|0:18:11|In the news, not only are [Li Shan] and Ayo listed as wanted criminals, but also the information of the enchanting woman and two others is prominently featured.
0:18:53|0:19:2|Hearing the seductive woman's instructions, [Ayo] prevents Li Shan from approaching Big Brother and lifts him up into the air, then throws him into the water.
0:19:47|0:19:47|38 years old.
0:20:32|0:20:34|Qiao Ge picked up the portrait and looked at it.
0:22:6|0:22:12|Afraid that [Li Shan] might say something detrimental to the cooperation, Ayo quickly raised his glass to propose a toast.
0:22:12|0:22:19|The five of them enjoyed fine wine on the luxurious yacht, engaging in conversations that were strangely harmonious.
0:22:19|0:22:28|The next morning, a private plane arrogantly flew towards Thailand, [Ayo] handed a cup of coffee to interrupt [Li Shan] who was staring at the sunrise.
0:22:30|0:22:35|[Ayo] lounged on the leather sofa chair, taking a big sip of juice.
0:22:35|0:22:37|[Ling Xin] looked at him and then asked.
0:22:47|0:22:49|[Ayo] awkwardly smiles.
0:22:55|0:22:58|[Swan] pushed [Ayo]'s funny face out for everyone to enjoy.
0:23:21|0:23:25|Katie changed into a flight suit and stood in front of [Li Shan].
0:23:33|0:23:44|Watching [Ayo] in a flight suit, bracing against the wind on the edge of the cabin for mental preparation, Katie suddenly kicked him in the back, then leaped into the air from ten thousand meters high.
0:23:44|0:23:49|The other three quickly put on their red goggles and leaped out of the cabin with their arms open.
0:23:50|0:23:57|The tall and long-legged [Li Shan] continuously adjusts his posture in the air, with his arms close together and hands clasped, heading straight towards [Li Shan].
0:23:57|0:24:2|Before long, [Li Shan] pressed the button on his backpack and the parachute opened with a whoosh.
0:24:2|0:24:13|Li Shan, Ayo, Ling Xin, Swan, and Tom, who have changed out of their flight suits, now stand in front of a high-end shopping mall.
0:24:13|0:24:19|The brothers Li Shan and Ayo complained, while Katie walked to the mall in high heels of nearly ten centimeters.
0:24:43|0:24:47|Katie then took the two brothers to a high-end men's clothing store.
0:24:47|0:24:51|The manager brought out two rows of suits for Li Shan and Ayo to choose from.
0:25:7|0:25:14|Tian Ke looked at the 1.87-meter-tall, sharp-eyed and sharp-edged [Li Shan], lightly bumping into Katie's shoulder with a mischievous smile on his face.
0:25:14|0:25:20|At this moment, [Li Shan] put on a bright striped suit, adjusted the French bow tie around his neck, and walked towards the mirror.
0:25:24|0:25:27|Katie took a big step towards [Li Shan] and helped her adjust her bow tie.
0:25:38|0:25:51|The newly-suited Ayo raised his eyebrows and asked, then was pulled to sit in front of a mirror. He saw Swan dig out a layer of hair mud with two fingers, then wiped it on Ayo's hairline.
