0:1:56|0:2:1|At this moment, a handsome man and a beautiful woman are flirting in a high-end restaurant.
0:2:4|0:2:21|The man politely took the menu from the waiter's hand and flipped through a few pages with ease.
0:2:21|0:2:31|He closed the menu and looked at the girl opposite with concern, while the girl rested her chin on her hand and nodded admiringly.
0:2:35|0:2:44|The man evenly sprinkled pepper into the soup, then carefully added a few drops of fish sauce, while the girl still propped up her chin, looking at the man with a smile.
0:2:47|0:2:49|The man smiled and scooped a spoonful of soup, handing it to her.
0:2:54|0:2:59|After the girl took a sip, the man took back the spoon and finished the rest of the soup.
0:2:59|0:3:5|Soon after, the two drove on the road, with the girl sitting in the passenger seat, leaning easily on the man's shoulder.
0:3:5|0:3:13|When the man's hand skillfully moved towards the girl's thigh, the girl did not dodge, and even shyly threw herself into the man's arms.
0:3:13|0:3:20|At this moment, as the red light came on, the vehicles all stopped at the intersection, and the two of them took the opportunity to embrace and kiss as if no one else was around.
0:3:20|0:3:23|Suddenly, the jarring sound of brakes screeching filled the air, prompting the man to curiously stick his head out.
0:3:25|0:3:30|A crowd of people formed a circle not far away.
0:3:30|0:3:33|The man regained consciousness and drove forward.
0:3:33|0:3:40|In the circle surrounded by pedestrians, vegetables scattered on the ground, a catfish fell out of a plastic bag, emitting a silent gasp.
0:3:40|0:3:45|The woman surrounded by the group lies on the ground, her elegant skirt already soaked through with blood.
0:3:45|0:3:49|At this moment, Chen Jiaqiao and Yanzi arrived at a temple on the mountain.
0:3:49|0:3:53|The girl held three sticks of incense in her hand, raised them to her forehead, and bowed devoutly with her eyes closed.
0:4:25|0:4:37|The girl couldn't find Chen Jiaqiao's figure in the temple, she shook her arms in frustration and left the temple helplessly.
0:4:37|0:4:43|The girl's hand holding the phone slipped weakly, looking out at the night outside the window with melancholy.
0:4:45|0:4:53|Late at night, the girl in a flight attendant uniform hurriedly pulls a suitcase and rushes out of the departure hall. After exiting, she anxiously looks around.
0:5:7|0:5:12|At this moment, [Chen Jiaqiao] mischievously crouched behind the girl.
0:5:12|0:5:17|Suddenly, Chen Jiaqiao embraced Yanzi as she anxiously searched, and passionately kissed her.
0:5:19|0:5:32|On the way home, the girl clung to [Chen Jiaqiao] tightly like a koala, occasionally leaning towards his cheek. [Chen Jiaqiao] held the steering wheel without looking away, but easily brushed against her lips in response.
0:5:32|0:5:37|Soon, the door was opened and [Chen Jiaqiao] covered the girl's eyes with one hand, leading her inside.
0:5:42|0:5:51|After stopping, [Chen Jiaqiao] smiled and put down his hand, seeing the girl with a hat in the room open her eyes in joy and curiously looking into each room.
