0:2:2|0:2:6|The story begins with a car slowly stopping in front of a residential area.
0:2:6|0:2:18|The man took out a lighter, lit a document with a form, then inserted a USB drive into the laptop, and copied several folders with the names of land acquisition funds into the drive.
0:2:18|0:2:21|The man clenched his fists nervously, his eyes fixed firmly on the screen. [Xu Decai]
0:2:21|0:2:27|After finishing, the man immediately pulled out a USB drive, deleted the files on the computer, and nervously glanced at the clock hanging behind him.
0:2:28|0:2:33|Next, carefully place the USB drive into a small metal box, and pack it into the suitcase.
0:2:33|0:2:41|[Xu Decai] completed all this, stood up straight, looked at himself in the mirror of the liquor cabinet opposite, pursed his lips, and then walked out of the room.
0:2:41|0:2:49|A man sits in the elevator going down. As he walks out of the elevator, the camera behind him slowly starts to turn, closely following his figure.
0:2:49|0:2:56|He hurriedly made his way through the crowd, drove away, and on the highway, it seemed that a large truck was closely following the man's vehicle.
0:2:57|0:3:17|The man turned left, with a large car closely following behind. As the man waited at the traffic lights, in the car behind him, a pair of hands gripping the steering wheel were tapping anxiously. The man furrowed his brow and gradually drove towards the highway. When he turned and approached the toll booth, he saw police officers setting up a checkpoint ahead, stopping and inspecting vehicles.
0:3:52|0:3:59|The man anxiously looked at the road ahead, then turned around and stuffed the suitcase into the back seat.
0:3:59|0:4:2|The man opened the car door and sat in the passenger seat.
0:4:9|0:4:13|A [police officer] walked up in front of the car.
0:4:48|0:4:51|The driver, with a big smile on his face, finished talking to the police and continued driving on the road.
0:5:23|0:5:26|The man angrily took off his sunglasses and glared at the driver.
0:5:26|0:5:31|After a while, the driver turned around and found that the man had already fallen asleep.
0:5:31|0:5:37|The driver gave him a disdainful look, and the car slowly drove into the countryside.
0:5:56|0:6:14|The driver tried to help the man with the suitcase, but was rebuked. The man got off the car to avoid the dog inside, and took the luggage. The driver twitched his ears, sweat dripping down his forehead. He turned and walked towards the counter.
0:6:17|0:6:28|A fierce and menacing middle-aged woman stood up.
0:6:28|0:6:31|Cuihua stared at the driver with her head down.
0:6:31|0:6:41|The woman is still standing there, not leaving.
0:6:41|0:6:43|The woman rolled her eyes.
0:6:47|0:6:50|Before long, the woman placed the beef noodles heavily on the table.
0:6:52|0:6:56|The woman turned and walked away, as the driver glared fiercely at her retreating figure.
