0:1:9|0:1:13|In a wide alley, the sunlight shines particularly bright on the street.
0:1:14|0:1:18|On a sunny day, the people were busy with their own affairs.
0:1:18|0:1:26|At this moment, the camera shifts to a blacksmith shop on the street, where two men are standing inside, continuously hammering on the iron materials on the wooden block.
0:1:30|0:1:37|The fire continued to burn, the smoke coiled like an iron snake in circles, getting higher and higher, gradually drifting away.
0:1:37|0:1:45|Under the alternating blows of the large and small hammers, the iron material was stirred by the fire and emitted a scorching light, causing [Yuchi Gong] to sweat profusely and drop large particles.
0:1:46|0:1:56|[Yuchi Gong] continued to put the iron into the fire for forging. Passersby couldn't help but marvel at his blacksmithing skills. The iron rolled under the sharpness, gleaming as if it were about to turn into water.
0:1:56|0:2:7|On the iron needle, [Yuchi Gong] strikes while the iron is hot, sparks flying with each strike. [Yuchi Gong] swings a big hammer to strike, while the old man uses a small hammer to tap, one big and one small, one strike and one tap, one burn and one clear.
0:2:7|0:2:14|The rhythmic sound attracted the attention of passersby, who praised the two for their superb ironworking skills and marveled at the complexity of the iron smelting process.
0:2:15|0:2:30|Under the gaze of the crowd, [Yuchi Gong] raised the gourd of wine high, took a big sip but didn't swallow it. To the anticipation of everyone, he aimed at the spot where the iron rod had been burned by fire and sprayed the wine out. The iron rod sparked and splattered, causing the crowd to clap and cheer.
0:2:30|0:2:42|The man came to the large wooden tub filled with water next to the anvil again, and after cooling the iron in the water, accompanied by the sound of sizzling, steam evaporated from the surface, [Yuchi Gong] revealed a satisfied smile.
0:2:42|0:2:48|The man took out the iron material cooled in the water, which had turned into a beautiful iron whip.
0:2:48|0:2:53|The woman in the house walked out at this moment, calling for the man and [Yuchi Gong].
0:3:19|0:3:23|The wife turned around and walked into the house.
0:3:23|0:3:34|The man sat directly across from [Yuchi Gong], holding a bowl larger than his own face, sighing as he ate noodles.
0:3:44|0:3:51|The man borrowed the baby from his wife's arms, sat down slowly holding the child. The wife played with the baby's little face, the family of three was harmonious and happy.
