0:0:53|0:1:4|Chubby [Sun Yue] is wearing a Fuwa headgear.
0:1:4|0:1:7|[Sun Yue] is lying on the sofa covered with a blanket.
0:1:7|0:1:13|She impatiently took off her helmet and glanced up and down.
0:1:13|0:1:17|[Guo Degang] stood at the corner of the stairs, peeking out with a book in his arms.
0:1:17|0:1:22|The characters, with their completely different personalities as described, have formed a new team.
0:1:22|0:1:24|The life of the comedians in "Happy Comedy Club" begins.
0:1:40|0:1:43|On the stage, [Tai Wei] slowly turns around.
0:1:52|0:1:59|Zhang Xiaofei sat on the sofa and casually pressed the button on the remote control.
0:3:1|0:3:8|After switching channels, [Zhang Xiaofei] and [Ai Lun] stood on both sides wearing magician costumes, while [Sun Yue] was trapped inside a cardboard box in the middle.
0:3:58|0:4:1|And borrowed some performance techniques from Southeast Asia.
0:7:3|0:7:7|The plane slowly descends, its wheels gliding slowly on the tarmac.
0:7:7|0:7:13|The team has just arrived in Macau and started their four-day-three-night trip.
0:7:13|0:7:16|The team just walked out of the airport in a cool and handsome manner, coordinated with the music.
0:7:16|0:7:22|The camera pans across, each of them walking confidently, all wearing sunglasses and pushing suitcases, each with their own style.
0:7:24|0:7:29|At this moment, two beauties walked towards them, both unable to help but glance at the beauties.
0:7:29|0:7:35|[Zhang Xiaofei] refused to admit defeat and competed with the beauties, while [Ai Lun] reluctantly followed the beauties as they left.
0:7:35|0:7:37|[Zhang Xiaofei] saw the situation and quickly pulled [Ai Lun] back.
0:7:39|0:7:47|The luxury sedan parked at the entrance of the chicken farm had been waiting for a long time. The driver, seeing them approaching, stepped forward to greet them and took their luggage.
0:7:47|0:7:51|Ai Lun's team just got on the car, and the car smoothly shuttled through the streets of Macau.
0:7:51|0:7:52|Approaching the luxurious hotel.
0:7:52|0:8:5|The team members in the car are enjoying luxury cars and fine wine, raising their glasses together in celebration.
0:9:10|0:9:12|At this moment, someone in the co-pilot seat is holding a camera.
0:9:39|0:9:42|The team members looked at the camera, each paying attention to their personal image. 
0:9:42|0:9:50|They put down their raised legs, pretended to be very harmonious as they clinked glasses to celebrate, and the sedan drove into the hotel, shuttling on the winding road.
0:9:50|0:9:53|The exterior of the hotel is both luxurious and imposing, standing proudly in the center of Macau.
0:10:24|0:10:28|At this moment, a hand is holding a phone and secretly taking photos.
0:10:28|0:10:32|The person who was squatting stood up, and it turned out to be the comedy master Mr. [Guo Degang].
0:10:32|0:10:36|He looked around with his phone held up, then suddenly turned to the just-formed crowd.
0:10:41|0:10:51|Fans noticed that Mr. [Guo Degang] excitedly turned and ran out.
0:10:51|0:11:2|The team members who just lined up were no exception. They all excitedly ran to take a photo with Mr. [Guo Degang], except for [Yue Yunpeng], who smiled and walked to the side of the master while dragging his luggage.
0:11:28|0:11:41|Guo Degang left the reporters he had filmed and turned to leave. The bustling streets of Macau were filled with people. In a magic shop, [Ai Lun] clumsily performed magic, pretending to mysteriously stuff a dove into his clothes and then pull it out again.
0:11:41|0:11:44|The clumsy magic trick seemed not very clever, and the boss gestured to [Ai Lun].
0:11:52|0:11:57|A handsome man is stretching his arms, showing off his physique.
0:11:57|0:12:5|[Zhang Xiaofei] took a glance back and unexpectedly saw a handsome guy showing off his muscles. He then lowered his sunglasses, hoping to see more clearly.
0:12:5|0:12:8|While [Yue Yunpeng] was eating the samples in the food section.
0:12:16|0:12:21|[Yue Yunpeng] looked at the salesperson with a face full of illusions, then took out a shopping list from his pocket.
0:12:21|0:12:26|He showed off a list of items that couldn't be found on camera to the clerk, who stared at him intently.
0:12:26|0:12:35|Mr. Bean, who arrived in Macau, was curious about everything. He picked up his phone and started snapping pictures, following the camera to the famous casino in Macau.
0:12:35|0:12:39|[Tai Wei] is showing off his skills, all of which are being secretly filmed by reporters.
0:12:52|0:12:59|On the other side, the shop owner did not teach Ai Lun how to do magic tricks, but instead tricked him into buying many expensive magic props.
0:12:59|0:13:6|In the hotel, [Guo Degang] suddenly noticed someone taking photos behind him. He stopped and cooperated, but Mr. Hando pushed him away.
0:13:6|0:13:16|In fact, he was shooting the exhibit behind [Guo Degang], who awkwardly covered his face with a hat.
0:13:31|0:13:38|The handsome man felt for his party stick and got up to leave, [Zhang Xiaofei] awkwardly pursed her lips, while [Guo Degang] was busy shopping like crazy.
0:13:38|0:13:48|In the casino, Zhang Taowei also lost all his chips. Inside the hotel, [Sun Yue] the journalist held up a camera to film Pan Binglou. They stared into each other's eyes, refusing to admit defeat.
0:13:48|0:13:51|At this moment, journalist [Sun Yue] took the initiative to break the meaningless confrontation.
0:14:1|0:14:3|[Sun Yue] the journalist quickly moved his neck.
0:14:12|0:14:20|[Pan Binlong] also took off his guard and slowly stood up, but due to not moving for too long, he directly knelt on both knees. So he simply crawled forward.
0:14:36|0:14:48|In the room, [Guo Degang] tears off a face mask and sticks it on the mirror, then writes on the mirror with his hand.
0:14:48|0:14:59|In the bar, two beautiful women are sitting on a sofa. The long-haired woman is waving at someone on her phone, while the short-haired woman next to her is looking around with a photo of [Guo Degang] in her hand.
0:16:54|0:17:2|At this moment, Mr. Bean nonchalantly walked in as the elevator doors opened.
0:17:2|0:17:5|[Guo Degang] signaled for help to Ai Lun, but Ai Lun gave him a thumbs up instead.
0:17:13|0:17:23|The beauties were very excited to see Mr. Bean. The long-haired beauty took out her phone and walked to Mr. Bean's side.
0:17:23|0:17:27|Soon after, a short-haired beauty took charge and grabbed [Guo Degang] firmly in place with both hands.
0:17:27|0:17:35|The long-haired beauty gets Mr. Bean's consent and they take a selfie together.
0:17:35|0:17:40|The beauties changed positions, the short-haired beauty stepped forward to take a photo with Mr. Bean, while the long-haired beauty held onto [Guo Degang].
0:17:56|0:18:5|At this moment, [Guo Degang] appeared to be taking a group photo with the three, but secretly pressed the elevator floor button. When the elevator doors opened, he threw away his phone and turned to run.
0:18:5|0:18:11|Guo Degang, who escaped from the elevator, breathed a sigh of relief. But as he turned around, he bumped into the journalist Sha Wukong back to back.
0:18:25|0:18:32|Sandy the journalist, with his professional instincts, noticed something was amiss and immediately turned on his video camera to secretly record it.
0:18:32|0:18:37|He changed various positions to record the video, leaning boredly on the sofa and dozing off.
0:18:37|0:18:43|Suddenly, a group of people walked up the stairs aggressively, with the man in white leading the way followed by many bodyguards.
0:18:44|0:18:51|Mr. Bean walked in front of them, but accidentally spilled the jelly beans all over the floor.
0:18:51|0:18:58|A group of people behind were blocked by Mr. Bean, [Ai Lun] was impatient and decided to take a detour.
0:18:58|0:19:3|But Mr. Bean seemed to be able to anticipate the man's actions, always managing to block him in advance.
0:19:3|0:19:8|[Ai Lun] casually gestured to the bodyguards, who obediently escorted Mr. Bean away.
0:19:8|0:19:17|And behind the man, followed by the two beautiful women who had just kidnapped [Guo Degang], the cornered journalist Sand Monk recorded everything with his camera.
0:19:44|0:19:49|At night, the hotel lights were bright, but under this beautiful light, there was a hint of danger.
0:20:26|0:20:27|[Guo Degang] is already so old,
0:21:45|0:21:49|After they left, [Zhang Xiaofei] immediately pressed the voice key on her phone and said:
0:22:18|0:22:40|[Yue Yunpeng] and [Pan Binlong] came to the massage parlor looking for [Guo Degang]. When [Yue Yunpeng] touched the massage bed, on the other side, [Zhang Xiaofei] went to the bathroom and stuffed all of [Guo Degang]'s face masks into her pocket. Then she picked up the expensive skincare products on the table and examined them carefully.
0:22:40|0:22:44|He then squeezed some onto his face, looking satisfied at his reflection in the mirror.
0:23:40|0:23:42|Pan [Pan Binlong] unleashed his imagination.
0:24:16|0:24:21|The beauty Mei Zhangwen fell to the ground, and another beauty was awakened and got up to check.
0:24:57|0:25:5|The male police officers went to check on the fainting beauty, while the female police officer drew her baton and knocked [Guo Degang] down on the chair with a blow, returning to reality under the female officer's reprimand.
0:26:19|0:26:28|[Ai Lun] got up excitedly and walked towards the bathroom, leaving the team members pondering why [Guo Degang] had disappeared. Little did they know that [Ai Lun] was actually taking a shower in the bathroom.
0:26:29|0:26:37|The water heater floats up, and then he notices the gradually appearing characters on the mirror, and then gets up to take a closer look.
0:26:42|0:26:45|He quickly called his teammates over for help.
0:26:58|0:26:59|[Zhang Xiaofei] realized that her reaction was inappropriate.
0:28:18|0:28:24|The team members gathered around, looking at the keys they had just found in silence.
0:28:24|0:28:26|Suddenly, [Ai Lun] slammed the table and said.
0:29:53|0:29:58|Seeing them getting up to leave, [Ai Lun] planned to follow, but [Zhang Xiaofei] pushed him back onto the sofa.
0:29:58|0:30:7|The flashing lights in the bar, the beautiful women singing on stage, and the strong sense of rhythm make everyone involuntarily move their bodies to the music.
0:30:7|0:30:13|Meanwhile, [Yue Yunpeng], [Pan Binlong], and [Zhang Taiwei] also arrived at the bar, feeling the joyful atmosphere inside.
0:31:24|0:31:27|[Pan Binlong] shook the money in his hand as the waiter looked around.
0:31:43|0:31:49|After receiving the clue from the waiter, [Ai Lun], [Zhang Xiaofei], [Pan Binlong], [Tai Wei], [Sun Yue], and [Guo Degang] swayed their bodies to the music and walked towards the dressing room.
0:32:45|0:32:55|[Guo Degang] and [Tai Wei], who were stopped by the security guard, were startled. [Tai Wei] turned around and knelt on the ground in fear. [Guo Degang] adjusted his mood, turned around and smiled, saying,
0:33:23|0:33:30|Later, the two of them split up, and while the chaos ensued, [Pan Binlong] sneaked into the dressing room to search for the corresponding locker for the key.
0:33:30|0:33:34|Just then, a voice suddenly sounded, causing him to quickly hide.
