0:2:1|0:2:8|Xiaoyou placed the treasure map on the table, attracting the attention of two individuals.
0:2:8|0:2:11|[Hu Zi] immediately took out his phone and started filming together.
0:2:15|0:2:24|Yang Jiacheng has a complex terrain. In the past five years, many masters in the circle have tried to overthrow him, but all ended in failure.
0:2:29|0:2:38|[Heizi] gave a glance and the cold bodyguard beside him immediately took out a safe and placed it in front of [Alliance Leader].
0:2:45|0:2:51|Hu Zi actually found a photo of the Alliance Leader's wife and son in the pile of money.
0:2:51|0:2:56|The Alliance Leader looked at the photo, feeling a tightness in his heart.
0:3:33|0:3:37|[Hu Zi] was handed the item, and tensions rose in the scene.
0:3:37|0:3:44|[Alliance Leader] hurriedly put the jade pendant and treasure map into the bag, then led [Hu Zi] away.
0:3:44|0:3:51|Miao Zi, who had been waiting outside for a long time, finally saw the appearance of Alliance Leader and hurriedly followed their footsteps.
0:4:36|0:4:41|The truth of this escape route is worth [Miao Zi]'s deep consideration.
0:4:41|0:4:47|The Alliance Leader then took off Miao Zi's glasses and placed them on the ground, his actions filled with threats.
0:4:47|0:4:51|[Alliance Leader] kicked [Miao Zi] in the face, completely shattering his loyalty towards him.
0:4:54|0:4:59|The two brothers, [Alliance Leader] and [Hu Zi], left gracefully, leaving [Miao Zi] to plan a new path for himself in his heart.
0:4:59|0:5:5|An excellent opportunity arose, and [Hu Zi] casually handed the package containing the treasure map to [Miao Zi].
0:5:5|0:5:12|[Miao Zi] took out the treasure map and jade pendant, put them in his pocket, and then casually got on the car as if nothing had happened.
0:5:12|0:5:16|In the car, [Miao Zi] slammed on the brakes, venting his dissatisfaction with the two brothers, [Alliance Leader].
0:5:18|0:5:19|It is obvious that [Miao Zi] did it on purpose.
0:5:22|0:5:28|The Alliance Leader forces Miao Zi out of the car, then drives away leaving Miao Zi behind at the camp.
0:5:28|0:5:35|The handsome [Alliance Leader] exudes a relaxed atmosphere amidst the tension here.
0:5:38|0:5:44|A person rides a spirited horse, galloping passionately on the racetrack.
0:5:44|0:5:48|The horses gradually stopped their galloping hooves, bringing [Alliance Leader] and the others back to the real world's troubles.
0:5:50|0:5:56|The loss of the treasure map troubles their Daoist beliefs.
0:5:56|0:6:11|[Hu Zi] dialed [Miao Zi]'s number again, but the unanswered tone made him furrow his brows, and he couldn't help but curse under his breath.
0:6:11|0:6:12|[Alliance Leader] also made the call.
0:6:19|0:6:24|It is obvious that [Miao Zi] has seen through the deception of the [Alliance Leader] and chooses to leave.
0:6:26|0:6:31|The Alliance Leader couldn't help but mutter to himself.
0:6:36|0:6:42|[Miao Zi] Various abnormal signs pointed to him as the prime suspect in the disappearance of the treasure map.
0:6:50|0:6:53|Wu Zi's first suspicion target is [Miao Zi].
0:6:53|0:7:10|By the poolside, accompanied by melodious music, the graceful beauty emerged from the water and walked towards the shore.
0:7:12|0:7:21|Every step Xianxian took seemed to tread on [Xiao Xiaotian]'s heart, and he, standing on the shore, had already fixed his gaze on Xianxian.
0:7:21|0:7:30|[Xiao Xiaotian] stared at Xianxian's every step, showing a look of infatuation. Every frown and smile of Xianxian was a picturesque scenery.
0:7:30|0:7:36|Seeing Xianxian walk ashore, he quickly approached and struck up a conversation with her in Taiwanese.
0:7:49|0:7:53|Xianxian intentionally looked at [Xiao Xiaotian] with deep affection in her eyes.
0:7:59|0:8:3|On the bank, two people gazed into the distance under an umbrella, with a hint of romance and warmth.
0:8:6|0:8:11|A luxury car stopped at the entrance of the Wuzhou International Hotel, and a man and a woman got out of the car.
0:8:11|0:8:15|With such an imposing demeanor, this man is not to be trifled with.
0:8:15|0:8:22|The man's name is [Zhang Renfa].
0:8:22|0:8:28|[Xiao Xiaotian] personally came downstairs to greet, further highlighting his extraordinary identity as a man.
0:8:28|0:8:31|Several people then walked up the stairs, ready to discuss the mysterious transaction.
0:8:35|0:8:43|[Xiao Xiaotian] and the others had just walked up the stairs when the Mengchu brothers entered the hotel right after them.
0:8:53|0:8:59|With a few knocks on the door, a burly man walked into the room, bringing [Xiao Xiaotian] some good news.
0:9:4|0:9:9|[Xiao Xiaotian] took out the safe and deliberately opened it in front of everyone.
0:9:13|0:9:16|[Zhang Renfa] stared at the box of money, lost in thought.
0:9:40|0:9:48|Obviously, [Zhang Renfa] has been fooled by [Xiao Xiaotian]'s manipulation and decides to buy the vase.
0:10:4|0:10:8|Brother Fa carefully held the vase in his hands as if it were a treasure.
0:10:14|0:10:17|Completely forgetting about the lover beside him, [Xiao Qian].
0:10:17|0:10:20|Wu Dalang unexpectedly returned to the room with 600,000 in hand.
0:10:20|0:10:22|[Xiao Xiaotian] warmly greeted him to take a seat.
0:10:35|0:10:41|Warlord Wu was full of expectations, helping [Xiao Xiaotian] to negotiate such a big deal.
0:10:41|0:10:47|Xiao Xiaotian of the Empty Door unexpectedly only gave him a hundred yuan as his hard work fee.
0:10:47|0:10:51|Xianxian curiously opens the safe, wanting to feast her eyes on the huge sum of money.
0:10:51|0:10:55|Unexpectedly, a huge mystery was discovered during the search.
