0:0:43|0:0:47|On the bustling street, only Yue Zixin and Zhang Shaobin were seen leisurely walking with a donkey.
0:0:47|0:0:51|Suddenly, the donkey, under the control of no one, broke free from the reins and charged forward.
0:0:55|0:1:0|He hopped and skipped in a comical manner, closely following behind the donkey's backside.
0:1:0|0:1:2|This scene attracted the attention of passersby on the street.
0:1:13|0:1:18|Finally, the donkey also got tired and slowed down. The man quickly stretched out his arms to block the donkey's path.
0:1:18|0:1:29|He finally grabbed the reins on the donkey's neck and subdued the giant donkey.
0:1:29|0:1:35|He hadn't even turned his head to finish speaking when the giant donkey started up again, wiggling its butt and bouncing away.
0:1:41|0:1:47|The tall buildings and wide roads intertwine at the entrance of Qinhuangdao Station, with pedestrians coming and going.
0:1:47|0:1:58|The chubby uncle who came to pick up someone was still fast asleep in the car, with his head resting on the steering wheel. Obviously, the ringing had no effect on him at all, and occasionally there were intermittent snoring sounds.
0:1:58|0:2:8|The woman here is making a phone call while urging the girls on. Following closely behind them is a group of veterans, led by [Shao Bing].
0:2:36|0:2:44|On the other side, the girls following behind the woman looked around excitedly, but the woman still couldn't get through on the phone. She awkwardly smiled at the girl next to her. 
0:2:48|0:2:52|[Zhang Shaobin] is full of spirit, feeling the warmth of returning to his hometown.
0:3:17|0:3:22|The owner of this donkey turns out to be [Zhang Shaobin].
0:3:22|0:3:26|[Zhang Shaobin] turned around and came face to face with a donkey, and they both looked at each other in confusion.
0:5:19|0:5:23|After Uncle Er left, [Zhang Shaobin] looked at the donkey, his face filled with surprise.
0:5:23|0:5:25|At this moment, [Yue Zixin] patted the car door.
0:5:38|0:5:47|The young girls followed the woman and got on the van, looking around curiously. The scenery of the big city made them yearn for it deeply.
0:5:47|0:5:51|The place is filled with high-rise buildings, and the leading girl [Yue Zixin] asked.
0:6:12|0:6:13|Hearing what Third Sister said.
0:6:13|0:6:14|The girls' faces were filled with surprise.
0:6:25|0:6:29|The van gradually drove away, carrying the dreams of a group of young girls.
0:6:29|0:6:30|At this moment, inside the police station.
0:6:46|0:6:48|Liu Ming still looked confused.
0:6:48|0:6:51|Here, the sentry puts the backpack on the donkey.
0:6:59|0:7:12|Proceed forward, don't move, Shaobin just adjusted his posture, took a step, didn't mount the donkey, but fell into a somersault.
