0:0:26|0:0:31|A sedan is driving on a small road, with three men in the car dressed in neat Zhongshan suits.
0:0:31|0:0:36|The sedan stopped at the door, and a rough hand knocked on the wooden door.
0:0:36|0:0:40|The sedan continued to drive, and the number of people inside the car increased from three to four.
0:0:40|0:0:42|The man who got on the car turned around and asked.
0:0:52|0:1:1|He turned back thoughtfully, quietly looking at the road ahead, the buildings outside the car window displaying the national emblem, solemn and dignified.
0:1:1|0:1:12|The time goes back to the man's childhood experiences, the scorching sun hanging in the sky. A ragged little boy looks around, standing still in place, calmly watching the passersby in front of him.
0:1:13|0:1:22|The scene on the bridge was originally bustling, with vendors setting up stalls and carrying loads, conducting their business in an orderly manner, and the continuous cries of selling goods filling the air.
0:1:22|0:1:36|The stall displayed a variety of goods that caught people's attention. A middle-aged man concealed a piece of brocade in his hand, and the wrestling match was intense. A young man agilely leaped behind his opponent, while the acrobat was flipping a large prop to reveal a treasure ball.
0:1:36|0:1:52|The wrestling match has determined the winner, while the young boy walks aimlessly on the street, suddenly hearing the fast-paced sound ahead and quickly stepping forward to squeeze into the crowd.
0:1:52|0:2:0|Mr. Gao Fengshan thanked the audience and then stood up shakily, supporting his knees.
0:2:0|0:2:10|The young boy picked up the tip money on the ground and walked towards [Mr. Gao Fengshan]. Mr. Gao Fengshan looked at the boy, glanced at the money in his hand, and then waved it away.
0:2:39|0:2:48|The little boy quickly picked up the props on the ground.
0:2:48|0:2:50|[Mr.] stared at the little boy in front of him.
0:2:50|0:2:50|The boy stood still.
0:2:56|0:3:4|The boy walked away dejectedly as [Mr.] watched his departing figure, his calm face seemingly seeing through the hardships of the world.
0:3:4|0:3:11|[Mr.] walked into the alley with props on his back, suddenly stopped in his tracks, and saw a little boy curled up sleeping on a sack.
0:3:11|0:3:24|He walked up to the boy, looked at him quietly, then lowered his head to look at the pocket on his chest. He reached into the pocket and searched for a moment, then looked down at what was in his hand, and slowly approached the boy, looking at him.
0:3:24|0:3:27|The young boy slept quietly with his hands folded across his chest.
0:3:27|0:3:35|[Mr.] raised his hand and slowly took the things off his shoulder, gently leaning them on the sack next to the little boy's head.
0:3:35|0:3:40|He bent down and placed the object in his hand in front of the little boy, his movements gentle and full of pity.
0:3:42|0:3:52|Having done all this, he picked up his belongings, slowly got up, put the luggage back on his shoulders, and left without any nostalgia.
0:3:52|0:3:54|At this moment, the young boy opened his eyes.
0:3:57|0:4:4|In a blink of an eye, [Gao Fengshan] returned to his home, leaning against the table corner while sitting on a chair, hands supporting his left knee, massaging it repeatedly.
0:4:6|0:4:11|A woman in simple clothes walks up and hands a neatly folded towel to [Gao Fengshan].
0:4:11|0:4:13|She sat on a small stool on the side.
0:4:21|0:4:24|The woman sighed as she leaned against [Gao Fengshan]'s knee.
0:5:10|0:5:18|The little boy standing outside the door listening to the music turned and left. Standing on the street looking around, the old man who played the music followed to find him.
0:5:18|0:5:20|The little boy turned his head.
0:5:37|0:5:42|The boy stared at him quietly without moving.
0:5:42|0:5:46|After speaking, the old man turned and walked away, leaving the young boy staring at his back with a hint of confusion.
0:5:54|0:6:1|The onlookers threw their tips on the ground, and a young boy waiting on the side quickly picked them up and handed them to the slowly sitting down Gao Fengshan.
0:6:3|0:6:9|[Gao Fengshan] took the money, glanced around, and stood up leaning on the nearby stall.
0:6:10|0:6:12|The boy hurried forward to help.
0:6:17|0:6:19|After speaking, the young boy gathered up his courage and brushed off the dust on Gao Fengshan's body.
0:6:19|0:6:19|The little boy stopped what he was doing.
0:7:14|0:7:17|The inn owner stood up and walked towards the boiling kettle to add water for himself.
0:7:45|0:7:48|[Gao Fengshan] leads the young boy into the room.
0:7:50|0:7:52|Gao Fengshan looked at the little boy responding to his question.
0:8:5|0:8:7|The woman covered her nose, her face full of disgust.
0:10:20|0:10:29|And so, the young boy found a place to rest. He squatted in the courtyard, holding a basin of water, and splashed it on the ground with his hand. The inn owner approached him with a kettle in hand.
0:10:58|0:11:4|The young boy stood up, wiped the sweat off his head, and placed the pieces of coal on the ground into the pot.
0:11:28|0:11:37|The little boy's body stood in front of the water pump so small and thin, he struggled to press the water pump, and a hint of emotion appeared on [Gao Fengshan]'s calm face.
0:11:42|0:11:47|The young boy walked into the room with a bowl in his hands, carefully placing the medicine on the table.
0:11:47|0:11:53|[Gao Fengshan] sat at the table with a shirt on, the boy was not idle, he took out a basin from under the bed and walked out of the room.
